HICOM_PING_START run=20
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
WARNING: timeout at seq 485
Progress: 500/2000 (lost: 1)
WARNING: timeout at seq 545
WARNING: timeout at seq 547
Progress: 600/2000 (lost: 3)
Progress: 700/2000 (lost: 3)
Progress: 800/2000 (lost: 3)
Progress: 900/2000 (lost: 3)
Progress: 1000/2000 (lost: 3)
Progress: 1100/2000 (lost: 3)
WARNING: timeout at seq 1180
WARNING: timeout at seq 1186
Progress: 1200/2000 (lost: 5)
Progress: 1300/2000 (lost: 5)
Progress: 1400/2000 (lost: 5)
Progress: 1500/2000 (lost: 5)
Progress: 1600/2000 (lost: 5)
Progress: 1700/2000 (lost: 5)
Progress: 1800/2000 (lost: 5)
WARNING: timeout at seq 1854
WARNING: timeout at seq 1864
Progress: 1900/2000 (lost: 7)
Progress: 2000/2000 (lost: 7)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    7 (0.350%)
RTL (us):
Mean:   2651.987    Std dev: 1211.346
Min:     275.264    Max:     13254.288
P50:    2483.600    P95:     4553.168
P99:    7132.288    P99.9:   9876.336
Throughput: 377 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,9876336
2,4152992
3,4954656
4,7058112
5,3474560
6,7919008
7,7132288
8,4313648
9,4237808
10,5912880
11,3507840
12,4365952
13,3367808
14,4260976
15,9206000
16,4004320
17,3634176
18,3608064
19,2059456
20,2383152
21,2774928
22,2320368
23,3657600
24,5236832
25,4220704
26,3253424
27,2452608
28,3388784
29,2511056
30,1287856
31,2086192
32,2806528
33,359648
34,3061776
35,3069744
36,1761648
37,2112272
38,2561632
39,2814064
40,2212240
41,2288608
42,1804976
43,1241152
44,2171392
45,1324208
46,3627472
47,2472000
48,3238944
49,3255776
50,352208
51,2508512
52,1938384
53,4117760
54,2042640
55,1266192
56,2109408
57,890416
58,1942304
59,2241840
60,2440304
61,3127968
62,2330096
63,2897472
64,4620480
65,2612448
66,372752
67,2174096
68,3293680
69,2389328
70,2161904
71,2474432
72,3240832
73,2055776
74,3916448
75,3215216
76,2248784
77,3305776
78,576176
79,2909424
80,1893856
81,2416864
82,3548816
83,1697280
84,3533328
85,3258720
86,3814896
87,536176
88,1375040
89,2214176
90,2042672
91,3394512
92,565568
93,592320
94,3302480
95,364448
96,3354624
97,1949312
98,2324736
99,2933584
100,2694976
101,2621696
102,1472928
103,2138832
104,2145312
105,1896816
106,3519776
107,2370736
108,3778608
109,2621888
110,2856112
111,2356064
112,1913680
113,3223056
114,3171600
115,2090608
116,2011040
117,1230064
118,440208
119,1914928
120,1797584
121,2081440
122,2395424
123,2792608
124,1987200
125,1974592
126,1992912
127,2366928
128,1901872
129,2373408
130,3051248
131,2164864
132,1878320
133,2062080
134,3313312
135,2570992
136,2567456
137,1965520
138,2070144
139,2112240
140,3311184
141,1453472
142,2164624
143,2385568
144,3597824
145,3701280
146,2263760
147,2771696
148,592448
149,3043264
150,2047424
151,3100768
152,3849728
153,3919392
154,2672720
155,3267568
156,464688
157,3030416
158,2068400
159,3010096
160,1989264
161,2027408
162,1961408
163,327168
164,2551424
165,1905952
166,2158240
167,644976
168,2488928
169,480832
170,3501600
171,1975920
172,1698992
173,2203344
174,548240
175,3740672
176,2152352
177,451648
178,3701792
179,2184816
180,1949072
181,675232
182,1388336
183,3113648
184,2203856
185,2061216
186,2084000
187,5882336
188,3312912
189,3706832
190,5527744
191,3535264
192,4605888
193,3205184
194,590000
195,2180176
196,3473840
197,2797840
198,2003712
199,432624
200,3518752
201,2483712
202,2358000
203,3187152
204,2134304
205,1954352
206,2192912
207,3795904
208,3016176
209,2201296
210,3246176
211,3244240
212,332432
213,2500448
214,1910032
215,3146480
216,2448000
217,3252176
218,2209696
219,1188192
220,2660112
221,2015104
222,2258464
223,1644608
224,3144912
225,2634544
226,3230496
227,2601424
228,3547568
229,1271696
230,2314736
231,2769456
232,2853248
233,3724272
234,351392
235,2959312
236,2083328
237,3175008
238,2234976
239,2017728
240,1292656
241,1853232
242,4372000
243,7254960
244,3497568
245,3023312
246,987904
247,6940048
248,3293968
249,3483696
250,3393424
251,7038736
252,4936080
253,2712992
254,3150528
255,2192720
256,3222912
257,2423472
258,3598480
259,3020384
260,2688016
261,1806864
262,2840688
263,1690672
264,3246384
265,2309520
266,412832
267,2346064
268,2292896
269,1759216
270,3311328
271,1764688
272,3002000
273,2302592
274,3763248
275,2143184
276,454768
277,2859392
278,2183104
279,2139296
280,1608784
281,3249456
282,614640
283,1486288
284,2198784
285,2596560
286,1261056
287,2286704
288,3179824
289,527088
290,1715456
291,1649920
292,1672320
293,1875248
294,1374560
295,1932864
296,1601248
297,2335856
298,3072096
299,2102672
300,3277168
301,3172320
302,3525232
303,1744112
304,408176
305,2880384
306,2620640
307,3310848
308,2312304
309,2780800
310,2072592
311,4217456
312,342576
313,3479744
314,1868544
315,3980576
316,612896
317,3593456
318,2109312
319,463920
320,2103440
321,389600
322,3692320
323,2649424
324,2237920
325,1618512
326,1886720
327,2258640
328,3122048
329,2527280
330,1289840
331,4444816
332,535360
333,2231968
334,2398064
335,2761472
336,565200
337,1516784
338,3393408
339,2307888
340,2878512
341,2387744
342,3316224
343,2283392
344,3178336
345,4826528
346,3897936
347,2222448
348,2113872
349,2385040
350,1930576
351,3759056
352,2761104
353,3479312
354,1720240
355,2355904
356,1992592
357,3112512
358,2570704
359,2086656
360,1355424
361,2369536
362,5063232
363,2678864
364,2622064
365,2299568
366,3052544
367,2720640
368,3048640
369,3933040
370,2377536
371,2632832
372,3344432
373,2387424
374,3257152
375,1964912
376,3305488
377,2690864
378,3372240
379,3490176
380,2370048
381,5033264
382,2375376
383,3833104
384,1190784
385,3787920
386,2178048
387,3157824
388,2716736
389,2521808
390,2221664
391,2280176
392,2863984
393,475248
394,3691552
395,3714960
396,2288896
397,2730272
398,3307984
399,3312368
400,3015808
401,2615408
402,3177280
403,2443728
404,3104320
405,2721296
406,3223536
407,2047808
408,3267424
409,435200
410,2040624
411,3679392
412,2255856
413,3371040
414,3630592
415,2271232
416,690272
417,1986688
418,2195728
419,3074592
420,3327264
421,2304512
422,2333968
