HICOM_PING_START run=22
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
WARNING: timeout at seq 339
WARNING: timeout at seq 352
Progress: 400/2000 (lost: 2)
Progress: 500/2000 (lost: 2)
Progress: 600/2000 (lost: 2)
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2819.781    Std dev: 1367.960
Min:     287.264    Max:     16887.600
P50:    2584.032    P95:     5252.256
P99:    7349.456    P99.9:   9581.792
Throughput: 355 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2356480
2,1351936
3,3783680
4,4561392
5,2982592
6,4264768
7,4579008
8,5777216
9,4283312
10,3747504
11,809024
12,6904928
13,5472720
14,5106576
15,2027408
16,2579008
17,3056768
18,1927360
19,2078128
20,399968
21,2430096
22,1179664
23,1687200
24,1750752
25,1674608
26,312832
27,2529376
28,360032
29,3268096
30,701344
31,1974480
32,347248
33,1742080
34,1355136
35,2100224
36,2446032
37,3479920
38,3288720
39,1675408
40,2267344
41,3146128
42,1590768
43,2137392
44,2189888
45,3334752
46,434240
47,2773088
48,305104
49,1992064
50,1670832
51,1261168
52,2277952
53,1305008
54,2176880
55,1789376
56,3120080
57,1054576
58,2865408
59,1925808
60,2009280
61,3272000
62,1985104
63,1331376
64,1933776
65,1914144
66,3737808
67,2705888
68,3454336
69,3985360
70,2893424
71,2191744
72,557280
73,1678928
74,3239424
75,2264560
76,2223408
77,1980272
78,1956272
79,427824
80,1866736
81,2851120
82,2877088
83,1688624
84,2532352
85,3112656
86,2507072
87,1926064
88,1492848
89,2354048
90,2368144
91,2421408
92,3052800
93,2653952
94,2151024
95,3356464
96,1998480
97,2809856
98,2789392
99,3764448
100,2137552
101,3240976
102,2427280
103,1973248
104,495216
105,3435232
106,3260176
107,2468816
108,3012704
109,2375808
110,1973104
111,3410112
112,392544
113,2970864
114,2183056
115,1908048
116,3306992
117,2452816
118,2932480
119,470288
120,3110672
121,2039056
122,2527552
123,2396016
124,4758544
125,371632
126,2359088
127,2032320
128,3254112
129,3384960
130,2404032
131,2128848
132,3224624
133,2200768
134,1859824
135,1490848
136,2174176
137,915360
138,2785968
139,4377504
140,1929840
141,2847088
142,2808912
143,3207552
144,3512064
145,2220176
146,3236976
147,1902512
148,347248
149,1978912
150,4319152
151,4230256
152,2688816
153,2082256
154,1230032
155,2161584
156,303344
157,449920
158,2008416
159,1256992
160,1938320
161,3481968
162,1877776
163,3619216
164,1709824
165,1253520
166,2223488
167,2593312
168,2317728
169,2044416
170,3715040
171,2485984
172,2621056
173,3892640
174,1904976
175,328128
176,2289952
177,1888640
178,1727408
179,2045696
180,2554544
181,2465424
182,2451376
183,388512
184,3141616
185,2371696
186,6142016
187,2686336
188,5190032
189,964336
190,3791632
191,6736688
192,2705568
193,3492784
194,2535040
195,7845280
196,349168
197,3106432
198,4671968
199,4748768
200,6502752
201,5121968
202,4179456
203,4557008
204,2768528
205,4594992
206,3833808
207,3849328
208,3037248
209,5178592
210,3581376
211,2735744
212,3286144
213,868048
214,3402128
215,4117792
216,3399664
217,6943120
218,3934464
219,3772784
220,4025232
221,3434864
222,3221824
223,2835328
224,1392832
225,2784352
226,2577392
227,4017696
228,4060048
229,2107936
230,1846112
231,3654560
232,2362224
233,2237376
234,538784
235,3385600
236,3517664
237,2262112
238,1235008
239,2356304
240,3750832
241,5029184
242,608592
243,3207360
244,2328672
245,501712
246,2040784
247,2055760
248,2958192
249,3341424
250,405600
251,2203936
252,2881744
253,2441664
254,2021280
255,2564032
256,301600
257,2561600
258,2342240
259,2023216
260,3462528
261,2524608
262,2858016
263,2445600
264,3201024
265,2723088
266,2910928
267,2513568
268,3041072
269,2466864
270,2042784
271,2338848
272,1291376
273,2422736
274,2333152
275,1893312
276,3206960
277,2283536
278,1721312
279,3730048
280,3053552
281,4090864
282,4016928
283,4509440
284,7795232
285,6235936
286,847216
287,3006560
288,648640
289,7198160
290,2351376
291,403648
292,3578208
293,2367856
294,1398016
295,2119264
296,2498144
297,3315856
298,2274832
299,362896
300,2437840
301,1882576
302,2354256
303,3119168
304,2366224
305,2076272
306,1303456
307,2112736
308,3539472
309,2983008
310,2023840
311,2082608
312,2687152
313,2788272
314,2310832
315,2761488
316,2482768
317,1965712
318,3421872
319,2160784
320,1902208
321,1494432
322,2085280
323,2860912
324,370832
325,3049888
326,1842480
327,2491536
328,1633488
329,2229248
330,2392032
331,3065760
332,2866288
333,2232224
334,3774208
335,4520912
336,2108288
337,5033808
338,2452784
339,3063904
340,3237008
341,4482128
342,5894960
343,2793584
344,599536
345,3449904
346,2310320
347,2584976
348,1713616
349,1805856
350,3343472
351,3130224
352,3854832
353,3289600
354,2238032
355,2042448
356,2582128
357,2462864
358,3711808
359,1446016
360,2505536
361,2769088
362,2333200
363,3192912
364,2194688
365,3427952
366,2375280
367,2994576
368,2510464
369,3584400
370,3697344
371,2241280
372,1980944
373,2393456
374,2762176
375,4159248
376,2282656
377,1417312
378,2312912
379,2539856
380,3049840
381,2294032
382,2016864
383,16887600
384,9510288
385,1916832
386,5358528
387,3665488
388,2161840
389,2083568
390,6013632
391,2229632
392,1894288
393,3727872
394,3967600
395,287552
396,4389632
397,3451824
398,7192320
399,836112
400,4421952
401,5187712
402,4084304
403,587952
404,3962560
405,2328080
406,5274080
407,3387504
408,3099520
409,2688256
410,2111472
411,3061648
412,2443936
413,2411680
414,2274752
415,378240
416,2106160
417,3033072
418,4161104
419,523040
420,538640
421,1824320
422,1331904
423,2493344
424,1990352
425,1967680
426,2567792
427,2023008
428,3509936
429,2511680
430,3498816
431,2077776
432,2608720
433,2709440
434,1920480
435,2320144
436,2375664
437,2070256
438,3273232
439,2411664
440,3923104
441,3288816
442,3796752
443,2266288
444,2148000
445,3429712
446,2637392
447,323792
448,2351104
449,675680
450,3038592
451,3607024
452,1849072
453,602368
454,1507600
455,1608608
456,3318912
457,4565872
458,2862448
459,3814880
460,2261264
461,2553744
462,1904816
463,2320688
464,2245488
465,2973712
466,485344
467,3670128
468,2642752
469,2773040
470,2140320
471,2666272
472,1263904
473,2257456
474,2828032
475,3793760
476,1992080
477,2553840
478,2990896
479,2408832
480,3188224
481,2563072
482,2507904
483,2892176
484,2034720
485,1985712
486,3460288
487,2073456
488,2145472
489,3153184
490,2117888
491,2346672
492,7920848
493,2752128
494,2062832
495,1842800
496,4166464
497,3613760
498,2178400
499,7625856
500,6280240
501,2293824
502,3830432
503,3086864
504,3966416
505,4036432
506,1110320
507,6258336
508,3006032
509,3941520
510,5052704
511,2078560
512,3789264
513,1759264
514,2379264
515,3153456
516,2476288
517,3074128
518,607744
519,2149264
520,2456848
521,2915968
522,4066064
523,3862304
524,2166960
525,2324176
526,2456864
527,3935808
528,2772464
529,2318192
530,3953472
531,2412112
532,2780304
533,2390720
534,5517664
535,2180832
536,3653872
537,1255584
538,1932752
539,3262784
540,708608
541,1332624
542,1992160
543,3312848
544,2584032
545,2119536
546,2626784
547,1827440
548,2501136
549,2069840
550,3910432
551,3343120
552,3587440
553,3416496
554,2489488
555,3723408
556,3099536
557,2123376
558,2600320
559,2889552
560,3356000
561,4037904
562,3152720
563,2644080
564,351024
565,2086672
566,1303360
567,2593952
568,2538624
569,378928
570,2201792
571,1788368
572,1698080
573,2277712
574,2236256
575,2418208
576,2612176
577,3511280
578,3677648
579,2441264
580,3549824
