HICOM_PING_START run=24
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
WARNING: timeout at seq 210
WARNING: timeout at seq 216
Progress: 300/2000 (lost: 2)
Progress: 400/2000 (lost: 2)
Progress: 500/2000 (lost: 2)
Progress: 600/2000 (lost: 2)
Progress: 700/2000 (lost: 2)
WARNING: timeout at seq 768
Progress: 800/2000 (lost: 3)
Progress: 900/2000 (lost: 3)
Progress: 1000/2000 (lost: 3)
Progress: 1100/2000 (lost: 3)
Progress: 1200/2000 (lost: 3)
Progress: 1300/2000 (lost: 3)
Progress: 1400/2000 (lost: 3)
Progress: 1500/2000 (lost: 3)
Progress: 1600/2000 (lost: 3)
Progress: 1700/2000 (lost: 3)
Progress: 1800/2000 (lost: 3)
WARNING: timeout at seq 1805
WARNING: timeout at seq 1883
Progress: 1900/2000 (lost: 5)
WARNING: timeout at seq 1997
Progress: 2000/2000 (lost: 6)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    6 (0.300%)
RTL (us):
Mean:   2666.213    Std dev: 1323.382
Min:     288.864    Max:     22492.608
P50:    2440.544    P95:     4891.088
P99:    7060.864    P99.9:   11137.152
Throughput: 375 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,5889152
2,3705952
3,2899264
4,3782960
5,3205408
6,4320688
7,3836240
8,4204112
9,1694000
10,5480528
11,3350048
12,4481568
13,4125840
14,3938608
15,7152240
16,2288640
17,4970336
18,2995856
19,5376224
20,1922256
21,4124992
22,5264320
23,1148800
24,6875168
25,4164368
26,3422416
27,1876064
28,2166096
29,2412192
30,3137024
31,3934336
32,2018784
33,2443904
34,572736
35,2440544
36,3219760
37,2057744
38,3409856
39,4508448
40,1433872
41,3201200
42,4613136
43,1953104
44,2784096
45,2825648
46,2183808
47,594992
48,1611296
49,2243920
50,2768160
51,1902800
52,2119568
53,443424
54,3116720
55,1840784
56,3099088
57,2358864
58,2084896
59,1147200
60,2352064
61,3100592
62,2300448
63,1777776
64,3094672
65,2304800
66,1847456
67,3530480
68,3284896
69,2138560
70,2252112
71,3034960
72,2079472
73,3951584
74,2158912
75,1400304
76,2010080
77,1096128
78,3815232
79,2060832
80,2918352
81,2128752
82,1785760
83,1646000
84,2092816
85,2307712
86,2059264
87,1710272
88,2259392
89,2119040
90,2431680
91,5817760
92,1232640
93,5809392
94,3551888
95,2321904
96,3417552
97,6155520
98,2005040
99,4382816
100,4076672
101,4299248
102,7060864
103,4459568
104,4344912
105,7480544
106,3289040
107,4263552
108,3064720
109,4064624
110,2713280
111,3716192
112,5083264
113,2820832
114,580912
115,3092032
116,2997392
117,650608
118,5161840
119,363536
120,3918928
121,5223136
122,7353056
123,3386048
124,4462224
125,6137728
126,4323136
127,2972432
128,2855072
129,2664176
130,6216224
131,2853424
132,2013296
133,2255552
134,1819120
135,561744
136,3925392
