HICOM_PING_START run=30
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 63
Progress: 100/2000 (lost: 1)
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
WARNING: timeout at seq 739
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2842.123    Std dev: 1350.597
Min:     289.872    Max:     9511.760
P50:    2641.376    P95:     5248.240
P99:    7306.448    P99.9:   9502.496
Throughput: 352 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2991040
2,2950688
3,1312672
4,3988112
5,4045184
6,4245104
7,6426208
8,2964656
9,622384
10,6082544
11,6560112
12,1973984
13,5809568
14,3004272
15,4616256
16,4532144
17,3374720
18,7807344
19,3016624
20,2117808
21,622272
22,3213360
23,4713504
24,6406832
25,409712
26,2634032
27,6534112
28,3416448
29,3183328
30,1768256
31,2357648
32,3293104
33,1892480
34,2034128
35,1736528
36,314464
37,2531136
38,2232976
39,3140784
40,2518928
41,1951664
42,1334480
43,2178464
44,3316752
45,2223280
46,525456
47,2342000
48,2404000
49,2848240
50,3409232
51,2646944
52,2064640
53,1864592
54,1392512
55,2662512
56,2667312
57,1734688
58,3240256
59,2614224
60,384032
61,2408928
62,2397392
63,3251904
64,3060080
65,3074256
66,1985472
67,1440448
68,1993344
69,1679472
70,2141776
71,2023040
72,1332272
73,2456640
74,5369776
75,2169760
76,1118672
77,2360096
78,1494480
79,1654320
80,3045136
81,2012064
82,4500976
83,1996304
84,2467264
85,404816
86,2694096
87,3344432
88,4046224
89,3158736
90,2053760
91,1305488
92,2101248
93,3434096
94,3172112
95,3988336
96,1999728
97,1793552
98,2802096
99,2091296
100,2634736
101,2291520
102,510496
103,1745744
104,1371648
105,2174336
106,2240896
107,3642016
108,1623312
109,2592272
110,2147840
111,2439328
112,1934768
113,2914352
114,3063040
115,384816
116,3959856
117,3651888
118,2301760
119,1856464
120,2978768
121,2326432
122,1951344
123,1610000
124,2145536
125,540720
126,2158576
127,2092704
128,3288480
129,1979232
130,2075744
131,1419216
132,1809280
133,2979120
134,4266544
135,1791968
136,1984704
137,1699200
138,3552864
139,2294112
140,1563184
141,3219408
142,473072
143,1947840
144,2191440
145,2229728
146,4050816
147,2878336
148,2468816
149,3172192
150,2968528
151,2618912
152,3722656
153,2122560
154,3280736
155,3630496
156,2359776
157,2226432
158,1906736
159,3193152
160,4191920
161,4015552
162,5714864
163,2241056
164,3685792
165,3673920
166,2500176
167,3598144
168,3819104
169,2449840
170,4780416
171,5682320
172,2952672
173,582064
174,3422608
175,3580624
176,4093936
177,3262176
178,2542864
179,5606288
180,1216832
181,3560640
182,3998960
183,2145728
184,5241760
185,2713008
186,4523856
187,2205184
188,2184832
189,4487728
190,1694880
191,2044544
192,2146688
193,4404480
194,423504
195,2310304
196,2479088
197,1317264
198,4767520
199,3473152
200,3018000
201,2267264
202,3284752
203,2873936
204,2917056
205,2111392
206,2975776
207,2975456
208,2971152
209,1931856
210,3062848
211,350880
212,2316496
213,2099600
214,2120176
215,488400
216,2508304
217,2873872
218,2183040
219,1967664
220,2095856
221,2334672
222,3002128
223,446864
224,3197296
225,2223328
226,2182848
227,3944768
228,2211888
229,2872544
230,2971248
231,2493696
232,2228288
233,2326208
234,1897504
235,2949600
236,2284736
237,2225792
238,2918992
239,2389568
240,2343008
241,2198736
242,1988736
243,3784528
244,1876144
245,2460544
246,4845632
247,3332576
248,2319328
249,1902912
250,2485488
251,4500160
252,3869984
253,2656256
254,7355536
255,1859568
256,3783104
257,4132480
258,3242560
259,2027296
260,524656
261,4633056
262,3912912
263,2165312
264,2164448
265,3020704
266,2277248
267,3473728
268,2399232
269,3290256
270,2749056
271,2505536
272,5713568
273,2333760
274,5265808
275,3708512
276,1964960
277,2709824
278,3494032
279,3164688
280,638592
281,1959920
282,3240896
283,2194096
284,2169264
285,1900528
286,2303648
287,2560432
288,3028208
289,4309952
290,1811184
291,2168656
292,4889936
293,1915856
294,2402016
295,3192688
296,3854896
297,1831456
298,1909744
299,2044192
300,1972544
301,2190272
302,2446096
303,3163872
304,1739936
305,2208864
306,1960896
307,2455744
308,1151904
309,2135440
310,3312784
311,2443760
312,1944640
313,3125440
314,510208
315,1964448
316,4283712
317,2255520
318,2044880
319,2238720
320,3400848
321,2320496
322,2223072
323,1866816
324,384816
325,1386368
326,2542352
327,2005616
328,2232128
329,3550208
330,2139952
331,2073456
332,3003280
333,426880
334,1858768
335,2278576
336,1933488
337,2430128
338,1984272
339,1162352
340,525184
341,3137664
342,2528096
343,3153152
344,2413568
345,3449072
346,2151984
347,3345824
348,3405120
349,2440272
350,426224
351,4284672
352,2232752
353,2341392
354,1954768
355,2310560
356,1859488
357,3242432
358,2745264
359,2955136
360,2447984
361,3710256
362,2838304
363,1722912
364,2212608
365,2809168
366,3119056
367,3454048
368,1768320
369,3197104
370,2250864
371,3527568
372,2176400
373,3128224
374,2384304
375,1940736
376,2691024
377,395584
378,2150496
379,1674432
380,2965424
381,2316704
382,1908288
383,310128
384,525456
385,3115632
386,2085200
387,3336448
388,2187072
389,2247648
390,5279712
391,1944160
392,1329264
393,1960944
394,2306944
395,2103008
396,3179312
397,1192256
398,1909248
399,2543888
400,2222416
401,3021680
402,2556912
403,2616144
404,1940320
405,2374176
406,2219584
407,2051952
408,1257744
409,3785072
410,2108448
411,3104128
412,1948016
413,3525504
414,2157296
415,4018192
416,2224288
417,4786480
418,4609488
419,3122352
420,2375728
421,2134736
422,1958848
423,3983280
424,3120384
425,1916896
426,2538832
427,292016
428,2511920
429,1630928
430,1869920
431,1893712
432,2026368
433,2353072
434,3087760
435,3822608
436,2484256
437,3430752
438,2243216
439,1530528
440,3213696
441,1960976
442,2218640
443,3063200
444,3736880
445,1897200
446,3608640
447,3809760
448,3521392
449,3964592
450,2161408
451,3706064
452,2123680
453,3048160
454,4768976
455,3028704
456,2369488
457,1989296
458,3674704
459,3225664
460,2192880
461,2333520
462,1769232
463,3739280
464,4293952
465,1786880
466,4515216
467,4298928
468,2806832
469,3489888
470,4918496
471,2156304
472,5175328
473,2386720
474,4647216
475,835280
476,4097408
477,3111712
478,1432640
479,7799648
480,4249488
481,7388544
482,4564912
483,1992912
484,4291168
485,5134032
486,3946704
487,3436624
488,4825120
489,4823520
490,3764816
491,2746832
492,4107680
493,2327552
494,3282224
495,462928
496,1694592
497,1133088
498,3836272
499,2163872
500,3377344
501,1748784
502,1651040
503,1810320
504,1735824
505,1979152
506,2063168
507,2466976
508,2201152
509,2024352
510,2050816
511,1962128
512,3011072
513,2056128
514,2195296
515,1504320
516,2188496
517,2198432
518,2070464
519,2213968
520,2977632
521,1952608
522,2222880
523,1271408
524,1982912
525,2606848
526,3110608
527,2109728
528,2248528
529,2156016
530,3131792
531,1992368
532,2171696
533,3207200
534,2273392
535,1532816
536,2199328
537,3140624
538,2449696
539,3486320
540,2360000
541,1782240
542,350976
543,2427504
544,670336
545,3961600
546,4396624
547,2795696
548,5189760
549,1029952
550,2097008
551,3797696
552,3669968
553,2246784
554,1913840
555,2086960
556,2812624
557,4656384
558,2329584
559,1874432
560,1217600
561,1996928
562,2370592
563,2031824
564,436560
565,3088992
566,2096592
567,3043888
568,2364176
569,2301232
570,462144
571,2080704
572,2729856
573,1955024
574,1869056
575,1961936
576,1895168
577,2175696
578,1961552
579,1412464
580,1596144
581,418880
582,383408
583,3410832
584,645184
585,3117728
586,3731824
587,2093664
588,2816864
589,357888
590,2123408
591,2366848
592,2219488
593,3844544
594,3095024
595,2118368
596,2653952
597,1869728
598,1864208
599,549008
600,2257440
601,2396512
602,1208080
603,2046336
604,1653040
605,2259184
606,3172656
607,639936
608,2140384
609,5598432
610,5273024
611,2952992
612,2468560
613,4263040
614,5241008
615,4122672
616,3281248
617,2462000
618,460416
619,3302896
620,355312
621,4051264
622,2493200
623,3636448
624,688144
625,4008240
626,4506416
627,4043008
628,2679424
629,3541680
630,7175344
631,4221600
632,4579936
633,2615600
634,4548768
635,4032272
636,3429408
637,5834304
638,7916432
639,4363600
640,2986304
641,5157584
642,4025312
643,6974176
644,7415072
645,5094704
646,2354176
647,4846992
648,2586384
649,3729280
650,4232896
651,6241136
652,7706768
653,4612176
654,3026688
655,2183856
656,3485264
657,2082480
658,3309392
659,2486112
660,2930512
661,1878256
662,2932304
663,2483904
664,2106752
665,691808
666,2050464
667,3248896
668,2430512
669,3636432
670,3225808
671,2618640
672,2017072
673,2634928
674,2865408
675,2183632
676,2354224
677,3513952
678,3549088
679,3382784
680,2676720
681,2086368
682,3245920
683,374480
684,1418944
685,3412832
686,2046064
687,474448
688,2736192
689,3012528
690,3324208
691,3017056
692,2765552
693,2311584
694,2237632
695,3219040
696,2609744
697,3388112
698,2551696
699,2670688
700,1876928
701,3924064
702,2165472
703,2031520
704,1070816
705,2300752
706,347104
707,2574400
708,1810128
709,1961760
710,3764992
711,1192048
712,2272896
713,3193456
714,1788464
715,2359120
716,2817184
717,2231360
718,4123424
719,3616896
720,5379840
721,514768
722,3877488
723,4728224
724,3803376
725,557888
726,3936928
727,3676160
728,4074992
729,3839136
730,4110320
731,1200032
732,5476832
733,6108048
734,5674736
735,6362672
736,4382640
737,3928400
738,3429536
739,1832160
740,4915648
741,3018256
742,699040
743,2857616
744,3801504
745,3314144
746,3024336
747,2691872
748,3341456
749,3596528
750,3439936
751,3061440
752,2641376
753,2285040
754,3227456
755,2475296
756,3936800
757,2652592
758,722192
759,3289376
760,3445600
761,2552512
762,681536
763,4118928
764,3659840
765,645200
766,2233328
767,444736
768,2908048
769,3771760
770,2198944
771,2814688
772,3545008
773,3272944
774,4177744
775,3431792
