HICOM_PING_START run=9
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
Progress: 1200/2000 (lost: 0)
WARNING: timeout at seq 1241
Progress: 1300/2000 (lost: 1)
WARNING: timeout at seq 1322
WARNING: timeout at seq 1323
Progress: 1400/2000 (lost: 3)
Progress: 1500/2000 (lost: 3)
Progress: 1600/2000 (lost: 3)
Progress: 1700/2000 (lost: 3)
Progress: 1800/2000 (lost: 3)
Progress: 1900/2000 (lost: 3)
Progress: 2000/2000 (lost: 3)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
Mean:   2720.597    Std dev: 1091.944
Min:     307.424    Max:     7742.672
P50:    2757.552    P95:     4230.496
P99:    5295.840    P99.9:   7547.712
Throughput: 368 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3000768
2,2419232
3,1877440
4,2379232
5,1789344
6,1338528
7,2156080
8,369584
9,2429120
10,457488
11,2101136
12,1955728
13,2657696
14,1707888
15,2198208
16,2074208
17,1274016
18,2452944
19,2571184
20,2267344
21,2584624
22,3378480
23,2799680
24,2703152
25,1988640
26,307424
27,1137584
28,3152416
29,1881936
30,1958544
31,2205248
32,1248016
33,2077936
34,2983872
35,2398064
36,2328480
37,2711760
38,2065776
39,2131168
40,2955056
41,2357760
42,1873344
43,3942352
44,2905184
45,593472
46,1631440
47,2193328
48,2837936
49,2365344
50,1873104
51,1727536
52,4608896
53,2559056
54,1891280
55,2246816
56,2085424
57,3325792
58,2316272
59,2597344
60,1796976
61,1378800
62,1369728
63,1549952
64,3388928
65,2506256
66,3324640
67,1827712
68,2027488
69,2328816
70,595584
71,4082112
72,3287536
73,4630288
74,2736384
75,2515520
76,415408
77,2013856
78,2764080
79,2828672
80,2030352
81,2402336
82,1750080
83,2123488
84,1932544
85,476992
86,2834848
87,3823888
88,6292240
89,3735728
90,4275680
91,3148256
92,4562160
93,2632256
94,1930704
95,2459328
96,2417008
97,1927856
98,1823984
99,2593440
100,3703744
101,471984
102,3240032
103,1782816
104,2449552
105,483552
106,2532016
107,2256784
108,1766656
109,2578192
110,2639632
111,2178576
112,2698080
113,393984
114,2766912
115,3811968
116,391520
117,3450880
118,2982672
119,576864
120,3021248
121,2537776
122,1631936
123,2203280
124,5926320
125,2626944
126,2846384
127,2695440
128,2776592
129,3706672
130,3204064
131,614464
132,3674752
133,1900128
134,2819168
135,3189168
136,2369200
137,1838960
138,1983920
139,1870800
140,2355808
141,1892768
142,1607232
143,2132704
144,2118192
145,2324480
146,3391808
147,2254320
148,1599408
149,1960112
150,3274192
151,2361744
152,3201952
153,2637680
154,1848192
155,2115648
156,2215488
157,424064
158,3533936
159,2492736
160,1920096
161,1886032
162,2337264
163,1356096
164,2090560
165,3274032
166,2272048
167,3032240
168,1924800
169,2010208
170,2412720
171,2584480
172,3267408
173,2174800
174,3575792
175,511312
176,2326096
177,2550880
178,3145936
179,399456
180,3395600
181,2438896
182,2782992
183,2780832
184,3722480
185,3209632
186,2445312
187,479504
188,2193664
189,2010304
190,2022240
191,3096016
192,570912
193,3678416
194,2098592
195,2211104
196,2788608
197,2420192
198,2519856
199,3127712
200,2106032
201,2654368
202,1685600
203,1698880
204,1720800
205,3998144
206,515024
207,2813680
208,2230896
209,1883648
210,2546048
211,522144
212,2309776
213,3920208
214,2257168
215,3510384
216,1382400
217,2439120
218,1993872
219,2420832
220,4152304
221,2958128
222,2385328
223,438672
224,3491664
225,2514256
226,2264080
227,1655744
228,3771584
229,2458176
230,2985088
231,2502208
232,3180368
233,3817296
234,4271440
235,3855312
236,448656
237,3694112
238,4909360
239,1915360
240,3223056
241,2255152
242,1202304
243,2596016
244,423808
245,1953952
246,1396368
247,1986048
248,1312896
249,2292272
250,2971232
251,6547168
252,2127104
253,2863104
254,3312176
255,2618912
256,3252528
257,3873888
258,4088432
259,3502944
260,2594352
261,2232240
262,3481344
263,2206656
264,3498016
265,3640352
266,395728
267,3614224
268,3116608
269,3968128
270,1874112
271,3257568
272,2423744
273,2182272
274,3325728
275,3572240
276,3351264
277,2246880
278,3759888
279,2438832
280,3746416
281,2514704
282,1337856
283,3509744
284,3589744
285,3578048
286,2448752
287,1454672
288,1849584
289,1511520
290,3423904
291,2313760
292,3416544
293,1647760
294,2372256
295,2537168
296,1399136
297,2349360
298,2440800
299,2622128
300,3262080
301,3528800
302,3234240
303,3170864
304,4738480
305,3422416
306,3146000
307,2661280
308,3392464
309,3208992
310,3922112
311,2070256
312,3829408
313,3622160
314,3371296
315,2445824
316,3398160
317,3501728
318,2533856
319,434352
320,2079792
321,2252368
322,3518992
323,2351360
324,543200
325,2850880
326,3546336
327,2336608
328,2389664
329,1335824
330,2667216
331,4058336
332,2440320
333,2377520
334,3492368
335,3180192
336,2591312
337,2493616
338,426624
339,3260144
340,449840
341,3382080
342,2185536
343,2798112
344,4004272
345,2828448
346,2713488
347,2452928
348,2996560
349,629776
350,3432896
351,1598368
352,2109264
353,2890496
354,415200
355,3550288
356,3257936
357,2712000
358,3332704
359,1911520
360,3378864
361,2247472
362,2030352
363,3522064
364,3076288
365,2741984
366,3219424
367,2405056
368,2253040
369,2633760
370,3024912
371,2297120
372,2449312
373,3074496
374,2705696
375,2889616
376,2440096
377,2923440
378,2504480
379,2367840
380,544128
381,2113680
382,2394688
383,1334272
384,3375504
385,2621120
386,2631504
387,500720
388,3257936
389,2675088
390,2815440
391,2173072
392,3027712
393,633664
394,3304512
395,2497824
396,3363328
397,3659216
398,2290016
399,486592
400,3486864
401,4289104
402,2684800
403,2765776
404,464048
405,2823872
406,434624
407,3837568
408,3379216
409,2155856
410,1294800
411,2534176
412,3653840
413,2425696
414,3242720
415,483312
416,645456
417,3173856
418,2381104
419,445504
420,3375504
421,2044352
422,2795264
423,2988144
424,3025088
425,3638576
426,3554640
427,2359600
428,2829120
429,2551504
430,3011488
431,2383440
432,4023728
433,2840960
434,3109408
435,2359296
436,2123040
437,2328752
438,3155520
439,2839856
440,3272608
441,3640496
442,2190752
443,3263488
444,3119184
445,3080112
446,3661376
447,4425168
448,2667952
449,2766144
450,589904
451,2689568
452,2389024
453,3602128
454,2474656
455,2522176
456,2713728
457,3236464
458,2048928
459,2278928
460,2450688
461,2059632
462,3874640
463,1254848
464,3935536
465,2378416
466,3444720
467,3949968
468,408752
469,2423856
470,2926544
471,2332656
472,2739232
473,2762176
474,2005712
475,3789968
476,690240
477,671616
478,3427824
479,3240096
480,2541632
481,2423408
482,3755952
483,1555728
484,2285872
485,4101664
486,3954400
487,3698304
488,3486432
489,3187856
490,463088
491,2993312
492,2436240
493,3270976
494,3594240
495,4115184
496,1984016
497,3027408
498,2552736
499,1430000
500,2077584
501,3627232
502,3587392
503,2571248
504,488128
505,3245776
506,2273856
507,1802640
508,2986288
509,2458992
510,3330640
511,2232976
512,3033536
513,2338576
514,4040688
515,2550608
516,3570192
517,1687248
518,3171520
519,2364880
520,2817504
521,4432400
522,2171392
523,2072096
524,2779344
525,2173680
526,2877200
527,545728
528,2686464
529,2952448
530,2071216
531,3338400
532,2362992
533,2122624
534,746384
535,3797824
536,3346128
537,3695488
538,2363456
539,2616816
540,1123360
541,2484560
542,1956368
543,1695664
544,3229952
545,2504896
546,6040880
547,409632
548,2689120
549,3005376
550,1930448
551,3007072
552,2879680
553,2616688
554,2231456
555,2091184
556,3657616
557,3333104
558,3625728
559,2168752
560,3214848
561,2363360
562,3152768
563,3353088
564,3767056
565,2369120
566,1756736
567,2424688
568,2068928
569,1308800
570,2404576
571,5150608
572,4014576
573,3321664
574,2552640
575,2452144
576,3782192
577,4199728
578,3553216
579,491872
580,3299264
581,467712
582,2867568
583,534032
584,3377824
585,3433040
586,3423456
587,3630368
588,2419104
589,3983264
590,3313952
591,4212688
592,3469584
593,2699584
594,1992688
595,3135536
596,3653024
597,568560
598,2523360
599,2830864
600,3620272
601,3181584
602,2324240
603,2090400
604,1822224
605,446096
606,3332624
607,1996048
608,400848
609,2316928
610,3449552
611,1561616
612,3529136
613,2231184
614,1525904
615,3521744
616,3622384
617,2414960
618,3017200
619,2530480
620,4192272
621,596912
622,2310672
623,621648
624,2426848
625,429344
626,3755632
627,469728
628,3047088
629,3904816
630,2077248
631,2141216
632,1756960
633,2245440
634,3738944
635,2970480
636,2284048
637,1431056
638,2518448
639,4192272
640,2450272
641,3393664
642,2582800
643,2349232
644,3209088
645,3043728
646,3033568
647,498608
648,2485104
649,2615536
650,2599680
651,1179472
652,2339856
653,3428736
654,3614144
655,1984976
656,3564416
657,3564384
658,3733424
659,2365264
660,634608
661,3401680
662,2326352
663,2003328
664,2286896
665,2946624
666,2120560
667,3210848
668,2742208
669,2767392
670,2452432
671,4092016
672,3134976
673,2672688
674,2378816
675,3027280
676,4007920
677,2527168
678,430592
679,2375808
680,497456
681,3260304
682,2558784
683,3246256
684,3333200
685,2753984
686,2650400
687,2444032
688,1470160
689,3734896
690,3508768
691,3934608
692,3073184
693,3900592
694,2427904
695,4499600
696,3890736
697,3773328
698,548928
699,2736944
700,3040448
701,3730656
702,1818880
703,3870688
704,3479024
705,3812480
706,4019104
707,3686656
