HICOM_PING_START run=10
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
Progress: 1200/2000 (lost: 0)
Progress: 1300/2000 (lost: 0)
Progress: 1400/2000 (lost: 0)
Progress: 1500/2000 (lost: 0)
WARNING: timeout at seq 1525
WARNING: timeout at seq 1535
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2496.144    Std dev: 970.556
Min:     304.096    Max:     6869.152
P50:    2442.832    P95:     3986.336
P99:    4850.928    P99.9:   6617.888
Throughput: 401 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2718272
2,1738720
3,2614512
4,2395328
5,3227472
6,3266128
7,4134992
8,653008
9,2911280
10,3816352
11,3927152
12,3308896
13,3254592
14,4054672
15,3655904
16,3566800
17,859072
18,2809184
19,2113744
20,2604352
21,2480736
22,3597616
23,2773104
24,4475776
25,2480512
26,3418688
27,2097456
28,3202624
29,2998736
30,2228192
31,1912544
32,2363184
33,3367184
34,2052576
35,3009952
36,462048
37,2221888
38,706992
39,3105072
40,3348256
41,3622080
42,2399216
43,2732896
44,1979024
45,568496
46,2713664
47,2587408
48,3179760
49,3751456
50,466064
51,4643440
52,2065824
53,3874784
54,1842048
55,4850224
56,2420080
57,2345056
58,3492912
59,5529360
60,3459440
61,1994432
62,351856
63,2806944
64,3905920
65,3678096
66,3847888
67,5414288
68,2247344
69,3775120
70,4376448
71,2871984
72,3304848
73,2614256
74,3933520
75,2520256
76,3704832
77,3203232
78,4063184
79,3035376
80,2333424
81,3390176
82,1951632
83,2268528
84,1527008
85,3432720
86,3657440
87,2175920
88,3477696
89,2079840
90,2068464
91,2364928
92,1527328
93,2200096
94,1434720
95,2037632
96,1930096
97,3552912
98,2301184
99,1770208
100,573520
101,2143552
102,3403088
103,3412496
104,1684752
105,1724512
106,1972112
107,1714992
108,2463520
109,2153456
110,371536
111,2120096
112,1570816
113,2262208
114,1061344
115,2323088
116,2988928
117,3645536
118,2684064
119,2983104
120,349216
121,4850928
122,3641792
123,3632896
124,4199424
125,2368496
126,1894656
127,1970944
128,2260528
129,1991008
130,1940736
131,3269200
132,2548656
133,2175696
134,2479312
135,2005328
136,1858144
137,2338960
138,2558624
139,2316512
140,3428848
141,2326640
142,1893392
143,1784000
144,3108288
145,2059392
146,1633840
147,4305344
148,3598288
149,430272
150,3716576
151,499072
152,2899808
153,2735056
154,2135616
155,1851568
156,3365680
157,2254928
158,1363312
159,2133440
160,2909728
161,2764800
162,3249600
163,603024
164,3018432
165,377504
166,3266736
167,3376016
168,2388224
169,3280896
170,2660464
171,2805328
172,378064
173,3227696
174,2601712
175,1314032
176,2316464
177,3841264
178,728048
179,3676128
180,3559344
181,3536896
182,2272800
183,2986784
184,2258032
185,2071280
186,3195056
187,2362416
188,401952
189,3122000
190,3449104
191,2119920
192,3713056
193,3447312
194,1429648
195,2503408
196,2190992
197,3612048
198,1990880
199,2212128
200,2017584
201,2154960
202,2036256
203,2082784
204,1262976
205,2301280
206,2984336
207,2460352
208,2071552
209,2434336
210,1348528
211,2760400
212,1936464
213,2413104
214,1909024
215,1303120
216,2417888
217,452784
218,3617008
219,2276576
220,1378736
221,3539808
222,2116272
223,3930848
224,3046912
225,2516768
226,1995920
227,2629456
228,2797024
229,2519376
230,3330864
231,2060352
232,2883696
233,2583984
234,2148016
235,2639152
236,503248
237,3310768
238,3310416
239,401504
240,3132224
241,4293776
242,3171376
243,3838928
244,534688
245,3060272
246,2341968
247,521344
248,1956896
249,2260432
250,2575456
251,655488
252,3500816
253,2281040
254,2232240
255,3050448
256,529040
257,2866272
258,2086192
259,2344368
260,1473920
261,2235264
262,2692864
263,2672592
264,2112608
265,4750864
266,2170240
267,3265248
268,586064
269,3205424
270,2797424
271,3433120
272,2986800
273,2442832
274,2050112
275,3299344
276,2261008
277,1996976
278,582208
279,1509760
280,3279888
281,563440
282,3506448
283,3698832
284,2213440
285,2748256
286,2983200
287,546672
288,3449312
289,2970320
290,2385376
291,3596352
292,2575664
293,3538208
294,2452832
295,3718256
296,1295312
297,2487184
298,1672160
299,3796560
300,3111344
301,3252240
302,2152736
303,387824
304,3145584
305,2445072
306,3440336
307,3461600
308,4092464
309,2974160
310,2917632
311,3189056
312,2055536
313,1590512
314,1846928
315,440352
316,560352
317,3091840
318,522480
319,2089856
320,2453168
321,3088448
322,4159424
323,2860752
324,3053920
325,3489312
326,3617392
327,1982656
328,2034672
329,2337648
330,1880336
331,513008
332,3250000
333,2914112
334,396416
335,2518816
336,3266384
337,2046432
338,3410944
339,4631904
340,3126736
341,4437984
342,3306736
343,2185136
344,3846912
345,1873312
346,3208032
347,3181520
348,2447840
349,3545280
350,3860336
351,469952
352,2991632
