HICOM_PING_START run=12
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 7
Progress: 100/2000 (lost: 1)
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
WARNING: timeout at seq 640
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
WARNING: timeout at seq 1307
WARNING: timeout at seq 1314
Progress: 1400/2000 (lost: 4)
WARNING: timeout at seq 1430
Progress: 1500/2000 (lost: 5)
Progress: 1600/2000 (lost: 5)
Progress: 1700/2000 (lost: 5)
Progress: 1800/2000 (lost: 5)
Progress: 1900/2000 (lost: 5)
Progress: 2000/2000 (lost: 5)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    5 (0.250%)
RTL (us):
Mean:   2626.394    Std dev: 1109.808
Min:     324.048    Max:     14766.240
P50:    2581.872    P95:     4117.120
P99:    5196.576    P99.9:   9147.312
Throughput: 381 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3437552
2,2330624
3,2472880
4,8606896
5,808240
6,9061232
7,2498416
8,2624336
9,3204240
10,5164288
11,4103136
12,1645904
13,432256
14,3152544
15,3047008
16,2450560
17,2198944
18,3654336
19,411664
20,3339584
21,3034608
22,519696
23,2889232
24,3574064
25,3187872
26,3502144
27,1264416
28,2387152
29,715568
30,5196576
31,5731136
32,4757376
33,3690192
34,827344
35,2204928
36,4651136
37,4468512
38,1622928
39,4288784
40,509856
41,3510576
42,2445200
43,2108800
44,2053776
45,2612352
46,7395168
47,3784736
48,2952464
49,2411792
50,1378688
51,2613408
52,422928
53,3498080
54,7868864
55,5337184
56,2045824
57,3461424
58,2510656
59,408000
60,3977216
61,3164736
62,5456688
63,4027984
64,2115936
65,3494752
66,2565408
67,486480
68,4206928
69,3868240
70,538992
71,2460880
72,3969104
73,3506016
74,3741248
75,3780656
76,3984128
77,3667936
78,479040
79,2534496
80,3773488
81,3806160
82,3086704
83,3725376
84,4260592
85,3611744
86,479152
87,2718240
88,3043200
89,2322544
90,1569456
91,4095120
92,3725904
93,694736
94,2281392
95,4001056
96,3428816
97,3110944
98,2802832
99,3892944
100,4068864
101,3705712
102,3635968
103,3687296
104,3851824
105,731280
106,2694688
107,3171072
108,2546352
109,4184992
110,665952
111,610752
112,3967984
113,1647152
114,3702448
115,3683920
116,564144
117,722240
118,1860688
119,624016
120,577696
121,1704544
122,4124464
123,3395184
124,3476800
125,4937808
126,3356464
127,3572288
128,3056512
129,3825584
130,574784
131,3333696
132,665968
133,2259424
134,3601744
135,3477504
136,3755200
137,3716368
138,754144
139,3018752
140,5211008
141,3422480
142,1653040
143,4006864
144,3733872
145,592560
146,2710848
147,8269392
148,5101120
149,2802080
150,1701888
151,1234368
152,2522208
153,2586208
154,560944
155,3379104
156,4541584
157,2680768
158,4966416
159,738752
160,5454928
161,3427024
162,3815504
163,3802752
164,3778480
165,3549056
166,3470336
167,2958640
168,763024
169,3781088
170,3432768
171,665280
172,2839248
173,730032
174,4304960
175,2904128
176,4077184
177,665872
178,2779728
179,4020048
180,659968
181,4561392
182,3868944
183,4129776
184,3885280
185,620784
186,3121712
187,2776752
188,4137872
189,3742832
190,3744848
191,3754528
192,3886528
193,3255184
194,679808
195,3132048
196,3307328
197,3862944
198,3198144
199,640704
200,679056
201,2964752
202,751408
203,626560
204,3887280
205,3884016
206,4043360
207,3456304
208,2852832
209,2618768
210,3403600
211,4206064
212,3879008
213,3345696
214,3756464
215,3883440
216,3795056
217,581280
218,3984512
219,668368
220,4582512
221,3065120
222,3134608
223,4159424
224,468288
225,2928384
226,3890336
227,722400
228,3410368
229,2952736
230,2570464
231,2635568
232,3442928
233,3252288
234,2768160
235,660096
236,2506224
237,3436416
238,3166144
239,3908128
240,724144
241,906000
242,4779904
243,2453280
244,3789328
245,719264
246,2581872
247,413248
248,2649072
249,2136624
250,1681136
251,3137536
252,2509136
253,1289072
254,2141024
255,1751376
256,3403296
257,2151024
258,1370736
259,2229184
260,2608416
261,4432512
262,1990480
263,2226848
264,3562400
265,2515168
266,5044992
267,2460720
268,1744224
269,3438528
270,3861120
271,3361520
272,489520
273,2845136
274,3991040
275,2400128
276,2484976
277,1218288
278,2386592
279,3537072
280,3670656
281,2850544
282,2779056
283,3286480
284,3729120
285,2213712
286,1502176
287,2381888
288,2488816
289,3133392
290,2699856
291,2827312
292,497456
293,3496816
294,2283376
295,1593040
296,3093568
297,425664
298,2296784
299,2526624
300,2323328
301,1968240
302,2429888
303,2945568
304,2173296
305,2479152
306,1614880
307,3573856
308,1981408
309,1482512
310,2235472
311,3726032
312,3566544
313,1978000
314,3726624
315,2104784
316,3604816
317,1318736
318,2296640
319,3329776
320,2675680
321,2431248
322,529600
323,3011712
324,4578800
325,2657296
326,421968
327,2357712
328,2020480
329,2670976
330,2831856
331,2077168
332,3886160
333,3048848
334,2482320
335,2092944
336,1237216
337,2141696
338,3291520
339,2237664
340,3753536
341,2165040
342,1473632
343,2162816
344,1086032
345,3677216
346,2372272
347,1550704
348,1920416
349,2921040
350,4775872
351,3255072
352,2239536
353,2068640
354,3216112
355,1604640
356,3422624
357,2470992
358,1359984
359,2074848
360,2998432
361,516288
362,1944976
363,2953808
364,2624176
365,3000496
366,4601456
367,2990992
368,2986080
369,3245840
370,1872544
371,1972592
372,3266432
373,2452832
374,3600096
375,3086400
376,2500480
377,3287200
378,2295200
379,3248832
380,3585664
381,2029600
382,410128
383,2388544
384,2416192
385,2766736
386,589520
387,3189648
388,2640576
389,2041136
390,2042368
391,1721840
392,3324896
393,2210992
394,3702800
395,400896
396,2523952
397,3072560
398,2327248
399,2945056
400,3781248
401,3335328
402,2652560
403,2929424
404,2530800
405,1451168
406,3605712
407,420560
408,3483472
409,3133808
410,2642160
411,3748624
412,2890544
413,2239680
414,3443120
415,2633888
416,2784112
417,2566864
418,1368288
419,2245152
420,3865072
421,1979584
422,2794496
423,541616
424,2881168
425,2138944
426,2151520
427,3782224
428,3282512
429,2957760
430,3641264
431,2561040
432,2578144
433,2332880
434,1942880
435,3664752
436,3530992
437,3968384
438,3492736
439,5212064
440,2922496
441,3337680
442,2087024
443,1375728
444,2206576
445,3555328
446,3118784
447,2690928
448,3099696
449,3650592
450,2416112
451,3682496
452,2374128
453,1190576
454,2556976
455,614384
456,2148720
457,2951568
458,2108496
459,2357552
460,2169120
461,1815456
462,2995568
463,1866128
464,2415168
465,2289824
466,2587952
467,3789744
468,3058544
469,2033312
470,2044608
471,1662944
472,2324864
473,2421120
474,2696848
475,2480656
476,1988480
477,2984048
478,2731936
479,1846320
480,1478688
481,3414592
482,2516544
483,3600464
484,2984496
485,2463808
486,2081808
487,3699728
488,2891008
489,2131408
490,2632512
491,2941392
492,468784
493,3886816
494,596176
495,3114352
496,2435856
497,1696224
498,3575440
499,2074848
500,2944192
501,2594448
502,2529264
503,4103200
504,2243728
505,1494192
506,2160768
507,3105776
508,2250000
509,2250544
510,3315632
511,2178912
512,3582544
513,3453264
514,2224304
515,3524688
516,3090032
517,2526352
518,3973488
519,2320992
520,4611904
521,3988064
522,2525120
523,2527312
524,2618832
525,3079920
526,2392016
527,2024464
528,2457072
529,2619344
530,2797232
531,2352256
532,2297040
533,3257712
534,2422976
535,3581456
536,2140832
537,3387072
538,2611552
539,1131152
540,3513040
541,2899216
542,2704176
543,2154672
544,3479552
545,3137728
546,2672320
547,3327856
548,2394864
549,2789808
550,2996544
551,2509040
552,2301264
553,2627920
554,2458464
555,3107344
556,2905504
557,413088
558,2697040
559,2307632
560,2818016
561,2601168
562,3146112
563,3663344
564,2492816
565,3374672
566,3313632
567,2341808
568,2980496
569,2639648
570,2057216
571,2607264
572,387312
573,2697872
574,2358864
575,2114624
576,2631536
577,3198960
578,2305344
579,2464160
580,1265248
581,3638048
582,2569216
583,547056
584,3411712
585,2341488
586,2589488
587,3591280
588,1838640
589,2107104
590,2713504
591,2798704
592,2916592
593,2113680
594,2437888
595,3194288
596,2109232
597,2089424
598,3616912
599,3753072
600,2136048
601,1388320
602,2356096
603,3355536
604,1728624
605,1787376
606,1260896
607,2381088
608,3298608
609,329520
610,2843936
611,2418128
612,3601712
613,4636848
614,476448
615,2214816
616,2067344
617,2500720
618,1495824
619,3355680
620,2401680
621,1624384
622,3227376
623,2352496
624,3661456
625,1335600
626,2557936
627,2073664
628,494096
629,2507856
630,3344768
631,2820352
632,2406528
633,2544880
634,3384576
635,2384672
636,2997200
637,2251504
638,3265840
639,2420080
640,3167216
641,3235152
642,2408384
643,2150432
644,14766240
645,2437824
646,2058976
647,3361136
648,2375856
649,2162256
650,2507904
651,394560
652,1964000
653,3272832
654,2374192
655,3182192
656,2577408
657,1291872
658,3501728
659,2448640
660,3159616
661,2006240
662,2177632
663,3807808
664,1433424
665,3981744
666,3649472
667,2419824
668,2771600
669,1429936
670,3513584
671,2141136
672,3579392
673,1391248
674,1885312
675,2182432
676,3300464
677,2252976
678,1616096
679,3504640
680,3396544
681,2287040
682,1474800
683,2287904
684,2101040
685,3565616
686,2012400
687,573984
688,2644400
689,2278640
690,1410416
691,2017632
692,1383504
693,481200
694,2602080
695,2554064
696,3664784
697,2921440
698,2355008
699,2223520
700,2987056
701,2608144
702,1967536
703,2690512
704,2692048
705,2286544
706,561696
707,2197648
708,2373504
709,2289248
710,2673600
711,1958192
712,2200432
713,2398944
714,2938320
715,2433024
716,1880432
717,2209808
718,2092240
719,3665152
720,1955472
721,1663472
722,2026080
723,3885984
724,2492128
725,3788272
726,1575008
727,370368
728,2646848
729,2346848
730,1732192
731,1896640
732,1882848
733,3296384
734,3781168
735,1989344
736,1942432
737,2139200
738,3816096
739,556992
740,2434688
741,3126928
742,2281360
743,2930864
744,2499216
745,4112704
746,3385312
747,2220448
748,1513888
749,2163728
750,3003744
751,2569216
752,3167856
753,1797152
754,2410912
755,495680
756,2741264
757,3486672
758,2505040
759,2360656
760,2078640
761,2973344
762,2575296
763,3483904
764,1938912
765,3866800
766,620368
767,2450864
768,2249024
769,1569488
770,2109264
771,2802976
772,2803152
773,2230464
774,1662288
775,3411840
776,2046720
777,3024752
778,2625984
779,3490944
780,1983536
781,3018064
782,2693008
783,3632352
784,2286016
785,3690992
786,2557472
787,2247728
788,2031104
789,3714784
790,2335072
791,2049104
792,1365984
793,2281600
794,2408368
795,2973680
796,2542288
797,2144304
798,3840608
799,3007488
800,2026272
801,1566032
802,3481248
803,3670912
804,2415824
805,3776704
806,2928480
807,2633536
808,1417456
809,2340752
810,3706992
811,2083888
812,2290576
813,551552
814,2990080
815,3223744
816,2065472
817,3251632
818,2529024
819,3023184
820,465440
821,2481856
822,2757920
823,2985536
824,3139728
825,2331344
826,4088064
827,384288
828,3202048
829,2422672
830,436256
831,3816352
832,541280
833,3031040
834,3101472
835,2307440
836,1576688
837,2085104
838,3458880
839,1537696
840,2188720
841,1580512
842,3213728
843,2426928
844,3326848
845,3286384
846,2446048
847,3181680
848,3851920
849,3547856
850,2589584
851,2164128
852,3009568
853,697680
854,2589088
855,3296144
856,2609584
857,2789600
858,1922864
859,2556560
860,2600176
861,2509984
862,2975184
863,2497424
864,3314848
865,2587984
866,2421008
867,1605456
868,2161840
869,2651360
870,3095632
871,2997040
872,2494096
873,2590320
874,2621184
875,3184224
876,2190288
877,3617328
878,2308720
879,2511088
880,1276736
881,2460544
882,1360224
883,2303312
884,5155248
885,2370272
886,2499184
887,3639936
888,1244240
889,2631584
890,2976368
891,2673856
892,3596480
893,3209680
894,2125776
895,1432800
896,2009456
897,3512832
898,3011296
899,2389456
900,558352
901,2980320
902,3432272
903,419424
904,3905904
905,2959040
906,2127648
907,3908400
908,2864752
909,2627552
910,2273136
911,1331024
912,4034880
913,3528336
914,3494352
915,3638000
916,2644416
917,470992
918,4290816
919,3066992
920,4066032
921,3201696
922,3768816
923,3880480
924,3063920
925,2226656
926,1523824
927,2239440
928,5029856
929,2514320
930,2680160
931,2482816
932,4056240
933,2459456
934,2735440
935,3797280
936,2255104
937,2214384
938,2875984
939,2410944
940,1525936
941,2074832
942,1826272
943,4440224
944,2979664
945,363312
946,3251056
947,3698784
948,2149696
949,489072
950,3305648
951,2562224
952,2296160
953,3291120
954,2853872
955,547680
956,2617088
957,2049616
958,1722336
959,3031536
960,2372864
961,1531104
962,3513360
963,2087936
964,1224000
965,2656336
966,4007984
967,2381408
968,2594144
969,1443600
970,2499488
971,2039040
972,3780496
973,4119824
974,1430768
975,2450704
976,3734976
977,2337168
978,1594640
979,3168736
980,2456720
981,1481792
982,2258784
983,2241776
984,3725872
985,3492064
986,2057568
987,3574880
988,3524752
989,2081312
990,1660336
991,1950512
992,1555392
993,3682864
994,2315408
995,3009776
996,2211936
997,568960
998,2763136
999,1360128
1000,2472016
1001,2548752
1002,2365712
1003,1695808
1004,2002192
1005,3805696
1006,1603456
1007,507632
1008,3361792
1009,2810336
1010,2351568
1011,1977200
1012,3438528
1013,2376928
1014,3849168
1015,3928464
1016,1897232
1017,3750368
1018,3031744
1019,2345184
1020,587408
1021,2730896
1022,2216432
1023,3502816
1024,1794304
1025,5388928
1026,3493872
1027,2659408
1028,2764992
1029,2393712
1030,1702736
1031,2539712
1032,2192160
1033,1750304
1034,3618480
1035,1962976
1036,1513248
1037,2148320
1038,1503024
1039,2322992
1040,2246480
1041,1673360
1042,450112
1043,4210224
1044,590240
1045,1792576
1046,535504
1047,2620928
