HICOM_PING_START run=14
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 0
Progress: 100/2000 (lost: 1)
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
WARNING: timeout at seq 374
WARNING: timeout at seq 380
Progress: 400/2000 (lost: 3)
Progress: 500/2000 (lost: 3)
Progress: 600/2000 (lost: 3)
Progress: 700/2000 (lost: 3)
Progress: 800/2000 (lost: 3)
Progress: 900/2000 (lost: 3)
Progress: 1000/2000 (lost: 3)
Progress: 1100/2000 (lost: 3)
Progress: 1200/2000 (lost: 3)
Progress: 1300/2000 (lost: 3)
Progress: 1400/2000 (lost: 3)
Progress: 1500/2000 (lost: 3)
Progress: 1600/2000 (lost: 3)
Progress: 1700/2000 (lost: 3)
Progress: 1800/2000 (lost: 3)
Progress: 1900/2000 (lost: 3)
Progress: 2000/2000 (lost: 3)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
Mean:   2893.603    Std dev: 1170.092
Min:     290.240    Max:     8867.840
P50:    3091.024    P95:     4283.072
P99:    5401.568    P99.9:   7862.464
Throughput: 346 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3765664
2,8867840
3,5832528
4,2631360
5,2606864
6,3787968
7,1897408
8,498128
9,3256528
10,2665072
11,1800368
12,1791216
13,2345040
14,3434592
15,1943456
16,3136640
17,531472
18,3064368
19,622608
20,3592384
21,3632896
22,3739552
23,290240
24,2245120
25,2940736
26,3125824
27,3153072
28,2208944
29,2902880
30,845168
31,2580560
32,3094416
33,3629424
34,2446368
35,3384544
36,2505648
37,426912
38,2259984
39,2305792
40,1698816
41,2838576
42,1936192
43,2344752
44,3722656
45,3965632
46,4000592
47,2794192
48,2861520
49,2339456
50,3249840
51,4896576
52,2164432
53,1554944
54,2354208
55,3280688
56,436768
57,2133312
58,2995072
59,3836992
60,1822288
61,2306608
62,2959520
63,4043536
64,2762752
65,2780320
66,616544
67,3074848
68,2254064
69,2801504
70,2162960
71,2269904
72,1652320
73,3526544
74,2608832
75,5120224
76,2316480
77,446480
78,3559840
79,3894224
80,3443232
81,4558704
82,3392560
83,4057056
84,3215152
85,491392
86,3476848
87,3218384
88,3392496
89,516464
90,2602144
91,725632
92,3203056
93,600384
94,3085504
95,3476784
96,3565648
97,3910384
98,3600992
99,474528
100,3681280
101,727040
102,3450352
103,2950320
104,3721072
105,677536
106,2765808
107,2886256
