HICOM_PING_START run=16
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
Progress: 1200/2000 (lost: 0)
Progress: 1300/2000 (lost: 0)
Progress: 1400/2000 (lost: 0)
Progress: 1500/2000 (lost: 0)
Progress: 1600/2000 (lost: 0)
Progress: 1700/2000 (lost: 0)
Progress: 1800/2000 (lost: 0)
Progress: 1900/2000 (lost: 0)
Progress: 2000/2000 (lost: 0)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    0 (0.000%)
RTL (us):
Mean:   2462.420    Std dev: 970.334
Min:     275.408    Max:     9243.888
P50:    2401.888    P95:     3882.912
P99:    5081.104    P99.9:   8563.568
Throughput: 406 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,5878144
2,9243888
3,3891120
4,3449344
5,3242976
6,2555584
7,2355984
8,1559360
9,2551424
10,2438704
11,3133344
12,2717728
13,2645472
14,2334848
15,2817312
16,2841216
17,2130320
18,3123184
19,391664
20,1982272
21,1869168
22,2022496
23,2017312
24,1825712
25,3623952
26,3792320
27,2345232
28,5261936
29,2113792
30,3551664
31,2388752
32,2989424
33,2104720
34,3167088
35,2395248
36,3536384
37,2480032
38,3745280
39,1496784
40,2183264
41,1858336
42,592272
43,3149376
44,2854896
45,2778256
46,2269072
47,1532704
48,2221328
49,3512064
50,5597056
51,2513424
52,2877408
53,4280800
54,484976
55,2051600
56,1053200
57,3044080
58,8563568
59,409936
60,4022256
61,664144
62,3704448
63,2989648
64,3868800
65,4091136
66,3045968
67,2603504
68,2511936
69,2855376
70,2227952
71,2633840
72,5809248
73,3780848
74,4272832
75,3145520
76,3774480
77,3121488
78,2331344
79,2811552
80,2259248
81,2549184
82,2146352
83,2838272
84,2567696
85,2341744
86,445616
87,1982640
88,5920432
89,3467856
90,476768
91,2751776
92,2050416
93,1546464
94,2131504
95,3024288
96,4090752
97,2179216
98,3404144
99,2338672
100,2244688
101,2337104
102,3371200
103,2330720
104,1403216
105,2134496
106,3427120
107,2505360
108,2347824
109,2217904
110,2569648
111,3470880
112,496512
113,2203424
114,2157008
115,1881440
116,1720560
117,2510672
118,530608
119,2186256
120,2547520
121,3479504
122,3213696
123,3157824
124,2805968
125,571520
126,2380752
127,2370896
128,2607440
129,2466880
130,2166352
131,3530496
132,1647488
133,2328944
134,1229584
135,2020160
136,2718304
137,2754064
138,3256080
139,2041488
140,3033840
141,3356928
142,2972496
143,2229680
144,1245424
145,1844240
146,2164432
147,3325840
148,4048736
149,2043968
150,3489296
151,1475168
152,2352832
153,1494240
154,2261488
155,3913408
156,4246064
157,453200
158,2560032
159,2167200
160,2492352
161,3579200
162,3669696
163,3561168
164,3685472
165,2560640
166,2783456
167,4502992
168,529904
169,2740240
170,2896288
171,2536064
172,1444800
173,2080112
174,4075904
175,2558880
176,3379280
177,2888688
178,2826464
179,2110832
180,1328640
181,2585200
182,2280368
183,1541616
184,2268240
185,2284976
186,1382320
187,2403536
188,2998224
189,2537840
190,2579200
191,1950992
192,2225536
193,2238272
194,2413136
195,3232352
196,2532768
197,2221552
198,597488
199,4277632
200,2458544
201,1845872
202,2337920
203,2165632
204,2360928
205,2529008
206,2751728
207,2143744
208,3079744
209,2507648
210,2248752
211,3340640
212,395504
213,2007088
214,2299760
215,4028096
216,2744496
217,2054832
218,3045648
219,2531760
220,2254640
221,2539472
222,2161424
223,386368
224,2124944
225,2513024
226,3018128
