HICOM_PING_START run=19
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
WARNING: timeout at seq 473
WARNING: timeout at seq 482
Progress: 500/2000 (lost: 2)
Progress: 600/2000 (lost: 2)
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2731.774    Std dev: 1161.484
Min:     312.848    Max:     9430.528
P50:    2761.216    P95:     4175.312
P99:    5823.168    P99.9:   8859.040
Throughput: 366 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,4225472
2,1841088
3,494544
4,2358864
5,4136160
6,554592
7,3088816
8,3546912
9,2615424
10,3910864
11,613472
12,726928
13,3135136
14,4160640
15,3437136
16,2381104
17,1764704
18,3096144
19,2147536
20,4002624
21,628912
22,3397152
23,3473376
24,3823008
25,502496
26,2669264
27,3466480
28,604688
29,3776368
30,742048
31,2577248
32,3327408
33,3778128
34,3058624
35,2379120
36,1545984
37,2390400
38,3795920
39,4839744
40,2743568
41,3812864
42,545296
43,2896000
44,3102752
45,2548064
46,631728
47,3129088
48,4094240
49,3849840
50,2963904
51,1389056
52,7121904
53,3917984
54,2958256
55,701264
56,5273712
57,6267856
58,3956064
59,7759056
60,1703376
61,1555920
62,2420592
63,4905616
64,2892448
65,378496
66,3404096
67,1929744
68,3271200
69,2410640
70,2760080
71,2407280
72,2285424
73,2010112
74,2321872
75,2203120
76,2289344
77,2223936
78,1942448
79,2499152
80,1315376
81,2150800
82,3621936
83,1317968
84,2240272
85,2874560
86,3468112
87,2817152
88,2152944
89,3398256
90,2083184
91,2816928
92,345248
93,2380352
94,2619696
95,478320
96,3628576
97,2526672
98,1739296
99,3145424
100,2142528
101,2258480
102,3183216
103,2268368
104,2142336
