HICOM_PING_START run=24
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
Progress: 1200/2000 (lost: 0)
Progress: 1300/2000 (lost: 0)
WARNING: timeout at seq 1321
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   2555.951    Std dev: 1013.491
Min:     305.856    Max:     10236.672
P50:    2479.472    P95:     3995.504
P99:    5193.376    P99.9:   10123.088
Throughput: 391 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,10123088
2,2959520
3,3266288
4,3343488
5,2264672
6,3257168
7,4114128
8,3080032
9,2412656
10,2616928
11,2907136
12,2235808
13,544304
14,3345040
15,1939168
16,2203792
17,3443232
18,2021632
19,1368672
20,2428576
21,541552
22,2471904
23,428176
24,2343216
25,2833280
26,4049680
27,1891680
28,2438928
29,2328336
30,3306672
31,2347472
32,2116720
33,2473120
34,3729136
35,3203344
36,1710064
37,2093440
38,2202064
39,2112608
40,2014096
41,3354016
42,2085536
43,1834048
44,2769520
45,2953040
46,3281488
47,2164464
48,2145344
49,3519568
50,1882064
51,3387840
52,1727072
53,3725072
54,468016
55,2933952
56,2567600
57,2676192
58,5045952
59,2399584
60,2954944
61,2634560
62,2692512
63,3969024
64,2216672
65,4299792
66,4377760
67,1078816
68,4069072
69,5252064
70,3448432
71,7783392
72,7255024
73,3847232
74,3079760
75,4773776
76,2478720
77,3592048
78,3162112
79,1174144
80,4325408
81,6196048
82,3884320
83,3107648
84,4146032
85,5118960
86,4177072
87,3592384
88,670480
89,751472
90,5839024
91,1746576
92,1640272
93,3124320
94,2716384
95,3717808
96,2575520
97,2513024
98,1641600
99,3694464
100,3561168
101,4616912
102,2396000
103,3582608
104,3814736
105,3960624
106,660384
107,2861440
108,3030496
109,1784176
110,3083040
111,3023808
112,3412528
113,4034384
114,3740176
115,3900160
116,3899264
117,3341232
118,836576
119,2724016
120,3590032
121,2974160
122,2485232
123,2564432
124,3806400
125,446592
126,3728704
127,3405664
128,3403696
129,3966000
130,475456
131,2409728
132,2367392
133,1567152
134,640864
135,3600848
136,3650048
137,2800528
138,2304240
139,3918768
140,4608192
141,3162064
142,565024
143,2945104
144,2931472
145,2276560
146,1630896
147,3345776
148,3680704
149,2629008
150,2246256
151,4118176
152,626336
153,3499520
154,2736336
155,2703008
156,2610112
157,5193376
158,574608
159,2719248
160,3922432
161,3678512
162,2518720
163,2412272
164,2337504
165,3627104
166,3770688
167,5042272
168,2447072
169,482976
170,3762240
171,2724640
172,2734336
173,3499712
174,3972304
175,3414992
176,3886160
177,3482528
178,2524272
179,3623056
180,2287024
181,4018768
182,2010560
183,3758944
184,574448
185,2540336
186,2358192
187,2382064
188,3616656
189,504544
190,3222736
191,5089888
192,1562288
193,3890656
194,714432
195,2860784
196,579056
197,2601904
198,4744912
199,2830368
200,3193664
201,4038912
202,522512
203,3254096
204,3836880
205,3702672
206,3553776
207,3560848
208,3757360
209,3761232
210,3520016
211,4102992
212,3918576
213,3995504
214,3144672
215,3630240
216,2843280
217,3932992
218,2349680
219,2393296
220,3801808
221,3655312
222,539552
223,3664240
224,2425088
225,4471056
226,3597568
227,2199360
228,4066640
229,595584
230,2855264
231,3758656
232,2969888
233,2613920
234,2550016
235,4146064
236,4061280
237,3172112
238,3330048
239,2396960
240,2515296
241,2552768
242,2866096
243,3291744
244,2376432
245,1592080
246,3554896
247,3441184
248,3970464
249,3445056
250,493344
251,2666240
252,4187184
253,4146064
254,3675296
255,578000
256,3095488
257,3576256
258,2691696
259,2770368
260,2414832
261,1595840
262,3869808
263,4351680
264,2700832
265,2348176
266,2771344
267,3938016
268,4720832
269,2665536
270,3114160
271,698976
272,3030544
273,3943904
274,3925616
275,3544576
276,3731776
277,3645168
278,4676048
279,504864
280,1925680
281,3917168
282,531712
283,2704944
284,3335840
285,4080640
286,555840
287,2881248
288,3634176
289,3147152
290,2424800
291,5601456
292,3957728
293,3843536
294,580688
295,2761408
296,3872160
297,2666736
298,4962928
299,2748880
300,555328
301,2987056
302,3872064
303,3538304
304,569312
305,3050784
306,3395968
307,3823504
308,4077808
309,4174416
310,2916400
311,4053280
312,3703936
313,564192
314,2622768
315,915184
316,2689200
317,3388368
318,2910016
319,2879072
320,3539584
321,2539792
322,2525696
323,2298624
324,1680512
325,2423040
326,4419552
327,3318016
328,763232
329,2759840
330,3709968
331,3264240
332,2298928
333,1712384
334,3630608
335,643760
336,3002544
337,593184
338,2815200
339,3042288
340,2426128
341,514304
342,2389664
343,4239808
344,2427216
345,2268416
346,1471760
347,2257488
348,3643552
349,1281120
350,2104544
351,2887728
352,3701024
353,2039664
354,1660320
355,2571792
356,3588896
357,2108064
358,2642640
359,2290976
360,459968
361,2986448
362,2664752
363,1230752
364,2258560
365,2596624
366,2260400
367,1463824
368,2002000
369,3326960
370,2460416
371,436880
372,2437456
373,2203936
374,3489360
375,2132944
376,493984
377,2166224
378,1895648
379,2472512
380,3077824
381,2177536
382,305856
383,1513584
384,3349632
385,2335728
386,3018816
387,2569872
388,2065120
389,3319680
390,3010608
391,2464480
392,1993152
393,1562752
394,2364944
