HICOM_PING_START run=26
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
WARNING: timeout at seq 1119
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   2693.250    Std dev: 1120.212
Min:     285.664    Max:     9045.984
P50:    2687.264    P95:     4162.320
P99:    5480.128    P99.9:   8110.320
Throughput: 371 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,5382896
2,317920
3,2140688
4,4140192
5,2119808
6,5540704
7,3325808
8,3907488
9,4136720
10,3519328
11,3719488
12,3801744
13,2589120
14,1666416
15,2186256
16,3354848
17,2091456
18,4339280
19,3908176
20,2713488
21,1948640
22,1866448
23,1978544
24,2143024
25,2897904
26,2627120
27,3900368
28,7705552
29,1161920
30,3714480
31,2021472
32,2250032
33,3000416
34,2174096
35,1636608
36,2323296
37,3194912
38,2482704
39,3004880
40,1411904
41,2682064
42,3485136
43,3848320
44,2389776
45,1402896
46,2298144
47,977040
48,2267664
49,3454544
50,1949104
51,2019232
52,2868464
53,1983600
54,1959584
55,2417328
56,472592
57,2698704
58,2479472
59,2414144
60,2943344
61,2635056
62,581680
63,2393872
64,567232
65,3819200
66,2150928
67,2206112
68,1913184
69,2214000
70,1650592
71,4567712
72,1518976
73,2321072
74,3285984
75,2198880
76,3223616
77,2514192
78,2370848
79,2973072
80,2247072
81,2460752
82,2667840
83,3737792
84,2461760
85,2130896
86,3348048
87,1860880
88,1978896
89,2456096
90,2726800
91,2034752
92,3874496
93,2743456
94,2200336
95,1902576
96,1608240
97,412128
98,1343888
99,2117008
100,2441776
101,2732448
102,2535200
103,1827008
104,2602656
105,2710624
106,443232
107,1968720
108,3468352
109,2300688
110,3240704
111,2104048
112,2140448
113,2246640
114,2062560
115,2711808
116,2588528
117,2178144
118,2655376
119,366976
120,2834704
121,2578640
122,2487472
123,2185888
124,559264
125,4086208
126,2406560
127,3478448
128,2360832
129,2810272
130,2206288
131,3360384
132,2335104
133,3323680
134,2034208
135,2313296
136,1535488
137,2105744
138,2019344
139,2344384
140,2174160
141,346096
142,1948976
143,1511952
144,2275024
145,2521536
146,1386256
147,528016
148,3101584
149,2153056
150,2168144
151,2348672
152,4100176
153,940720
154,3938752
155,3687568
156,4189280
157,2395056
158,3139984
159,3912704
160,3278752
161,656784
162,2972112
163,3747216
164,3755904
165,2308320
166,3514736
167,3833536
168,605616
169,3014096
170,4904288
171,3497456
172,2994640
173,2948608
174,3378720
175,2389040
176,3914992
177,449792
178,2769504
179,2479792
180,4388736
181,3090832
182,3266560
183,2531328
184,2439344
185,3927824
186,2666240
187,5719968
188,2937808
189,2664208
190,3408160
191,3926272
192,3271648
193,4015616
194,2279600
195,628336
196,3570880
197,3142848
198,501920
199,3423600
200,677312
201,1869264
202,686976
203,3262720
204,717824
205,2458560
206,574480
207,2671040
208,2265392
209,2464768
210,3834224
211,3675504
212,2291200
213,4613952
214,2949264
215,2560496
216,2689088
217,2602480
218,1754608
219,3780128
220,3669456
221,2937136
222,3805296
223,2222896
224,4403984
225,621536
226,3051488
227,3932592
228,2687360
229,2190288
230,2430608
231,2678544
232,684768
233,2962320
234,3532960
235,3477696
236,2755904
237,2294560
238,3882544
239,2765776
240,3656464
241,3979520
242,599168
243,2901936
244,649728
245,3044416
246,506288
247,2802416
248,3918752
249,3712720
250,585808
251,2970768
252,3828448
253,3073456
254,3824288
255,4019056
256,2731936
257,4479232
258,2906896
259,2631904
260,2674336
261,2738144
262,2298912
263,2546448
264,3919552
265,3734336
266,2423840
267,2265040
268,3720720
269,2697296
270,2706384
271,523536
272,2754848
273,2411280
274,4225184
275,2986720
276,2709248
277,2469472
278,4179472
279,645184
280,3462112
281,3557328
282,2540272
283,3989232
284,2411040
285,4625104
286,3567072
287,3583008
288,4006912
289,3092928
290,3896432
291,3125056
292,2318608
293,2666576
294,2334064
295,1709472
296,3854000
297,3275056
298,3793328
299,3697008
300,2449408
301,3241792
302,4470704
303,2740096
304,3652992
305,595584
306,2961376
307,3181072
308,4055536
309,4039856
310,573616
311,2658768
312,3747088
313,3689632
314,661056
315,465072
316,2097344
317,3264736
318,3704544
319,3480064
320,2264288
321,590992
322,3502400
323,3427904
324,3822080
325,4000496
326,3705504
327,2979504
328,2541408
329,2390576
330,4114000
331,3685296
332,3820864
333,791408
334,2969072
335,3830832
336,3061312
337,4040464
338,3537824
339,621760
340,4688128
341,3714528
342,2603744
343,3843936
344,3053952
345,2721504
346,4025600
347,3931936
348,3662160
349,581424
350,3204768
351,3930960
352,3295808
353,3964992
354,3777200
355,3620176
356,3764208
357,3766432
358,644704
