HICOM_PING_START run=28
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 0
WARNING: timeout at seq 96
WARNING: timeout at seq 97
Progress: 100/2000 (lost: 3)
Progress: 200/2000 (lost: 3)
WARNING: timeout at seq 218
WARNING: timeout at seq 226
Progress: 300/2000 (lost: 5)
Progress: 400/2000 (lost: 5)
Progress: 500/2000 (lost: 5)
Progress: 600/2000 (lost: 5)
Progress: 700/2000 (lost: 5)
Progress: 800/2000 (lost: 5)
Progress: 900/2000 (lost: 5)
WARNING: timeout at seq 940
Progress: 1000/2000 (lost: 6)
Progress: 1100/2000 (lost: 6)
Progress: 1200/2000 (lost: 6)
Progress: 1300/2000 (lost: 6)
Progress: 1400/2000 (lost: 6)
Progress: 1500/2000 (lost: 6)
Progress: 1600/2000 (lost: 6)
Progress: 1700/2000 (lost: 6)
Progress: 1800/2000 (lost: 6)
Progress: 1900/2000 (lost: 6)
Progress: 2000/2000 (lost: 6)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    6 (0.300%)
RTL (us):
Mean:   2574.713    Std dev: 1101.919
Min:     276.384    Max:     18291.696
P50:    2492.144    P95:     4114.224
P99:    5662.224    P99.9:   9342.848
Throughput: 388 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,7116976
2,3999008
3,6573312
4,4198864
5,6382592
6,4576448
7,4430752
8,3118928
9,4051072
10,2732880
11,5876288
12,4456320
13,3566128
14,2417808
15,2304128
16,3402640
17,2212624
18,1991616
19,3049232
20,2115632
21,1760672
22,2179632
23,4989600
24,2446352
25,2264160
26,1509248
27,1772944
28,3246192
29,486128
30,2998976
31,2378288
32,2228704
33,2512624
34,3139168
35,1731584
36,2523008
37,3126768
38,5917856
39,465568
40,2209344
41,460464
42,4343264
43,2144752
44,2455120
45,3154896
46,4254480
47,4095008
48,457936
49,3251616
50,3478784
51,341040
52,3103776
53,3796000
54,2367712
55,2797120
56,2241872
57,2178336
58,2277088
59,2343584
60,460240
61,4212320
62,512512
63,2698096
64,2108192
65,430304
66,2190576
67,2362448
68,1455616
69,3648688
70,3796064
71,609840
72,3147504
73,2307120
74,2971648
75,2041136
76,4016848
77,1343296
78,2531888
79,1917120
80,2486656
81,2064544
82,1942416
83,2643072
84,3435200
85,2036912
86,3235120
87,2250864
88,2133904
89,2666496
90,5434960
91,6138672
92,382432
93,3677184
94,3787136
95,3356880
96,2864656
97,3869680
98,3970400
99,2345792
100,2541440
101,5877408
102,2696032
103,6345680
104,2279520
105,2454528
106,5040272
107,2858016
108,2532864
109,2390976
110,2110256
111,2759536
112,2861776
113,2065504
114,1150496
115,2095312
116,3863680
117,3260864
118,2348864
119,2119648
120,2600784
121,2920192
122,2131408
123,3604640
124,323600
125,2523760
126,3660288
127,2576000
128,2702992
129,2803136
130,2756960
131,2547616
132,3752528
133,476672
134,2355504
135,3510576
136,2077872
137,3851616
138,2881600
139,2133744
140,2695376
141,3091072
142,1749616
143,3321136
144,7532512
145,2261040
146,2373120
147,2896816
148,2415888
149,2313184
150,400048
151,3209200
152,1742192
153,2260224
154,1973344
155,2805024
156,2741216
157,3668656
158,2291792
159,516560
160,1978784
161,3006560
162,2766816
163,3115904
164,3600768
165,2510240
166,3174752
167,3370800
168,2065696
169,1724656
170,3226528
171,2656912
172,3058064
173,2325264
174,3740624
175,2788864
176,3844368
177,2162432
178,2327312
179,1147200
180,1971472
181,2728400
182,3595120
183,2260336
184,3994912
185,2501936
186,5397392
187,2095152
188,3447968
189,1939440
190,3085888
191,2860320
192,3154576
193,1333040
194,2506880
195,1659504
196,1881280
197,5233328
198,2537968
199,4083712
200,545632
201,2373008
202,2178096
203,1234224
204,2238848
205,1292400
206,2030512
207,1246416
208,3865328
209,431040
210,2007328
211,366976
212,3581584
213,4082144
214,2044000
215,1339472
216,3648784
217,1889184
218,3177904
219,4704320
220,3483552
221,1868576
222,4143760
223,3318384
224,2209632
225,3033680
226,3969440
227,3358512
228,2617104
229,2288672
230,3456576
231,2200416
232,3178624
233,441296
234,3020064
235,394064
236,3271056
237,1813088
238,1972832
239,1705664
240,1829760
241,2265280
242,1112224
243,2367920
244,3587472
245,3112272
246,2264096
247,2128752
248,3382016
249,2804224
250,2400112
251,2475760
252,1437312
253,3260576
254,2158672
255,2196064
256,2927936
257,2166288
258,1814960
259,2153648
260,3290800
261,3289376
262,664304
263,3206640
264,2451920
265,3594464
266,3333248
267,488160
268,3000352
269,3880960
270,3466288
271,451712
272,2036592
273,1550176
274,2043232
275,2920848
276,4386608
277,3623504
278,3342032
279,2354656
280,4952160
281,2023424
282,3391984
283,8539840
284,3123136
285,2471200
286,1669200
287,2681024
288,2780048
289,2376112
290,3704000
291,2647472
292,2500016
293,425296
294,2226176
295,2416320
296,2599536
297,2241584
298,4268864
299,2451168
300,1882912
301,3462016
302,2388416
303,2057376
304,2869552
305,2409792
306,4307328
307,2055824
308,2462896
309,2800192
310,4518784
311,2078416
312,3360704
313,435456
314,2524976
315,1884704
316,2520800
317,2814240
318,2238208
319,2146176
320,1795824
321,3433168
322,2233712
323,282928
324,3257600
325,2902336
326,346272
327,1939632
328,1366048
329,2428864
330,473488
331,3100176
332,2020688
333,2924256
334,2253792
335,2456880
336,2178928
337,2981168
338,380960
339,2147328
340,2597392
341,3214240
342,3863056
343,2145120
344,3300288
345,2713248
346,2133616
347,2254976
348,3377824
349,5012960
350,420976
351,3213120
352,2921120
353,2093984
354,2492944
355,2026544
356,1920432
357,2420448
358,2659264
359,3247520
360,2958928
361,2898480
362,3383472
363,2649968
364,1165168
365,2165584
366,2157632
367,2780704
368,2614976
369,342112
370,3285792
371,2232176
372,2642784
373,2551872
374,412048
375,3629280
376,3102864
377,2272832
378,2982768
379,3521360
380,2931712
381,2082400
382,1944608
383,2500752
384,1991056
385,3148512
386,2304432
387,2986672
388,370288
389,2095056
390,2978640
391,2327056
392,2170864
393,2458272
394,3003232
395,4062976
396,1969616
397,2690640
398,568128
399,3180256
400,2378944
401,2366656
402,2070192
403,2280816
404,3404864
405,2282832
406,3396176
407,2881632
408,2386544
409,2453280
410,471120
411,3118192
412,373456
413,3071200
414,702768
415,2809424
416,2210384
417,3062400
418,2752400
419,2037888
420,2681520
421,3260304
422,2350240
423,2591952
424,2288464
425,2712176
426,2266176
427,377584
428,2233904
429,2061008
430,2280160
431,2795664
432,1839712
433,2241120
434,1996464
435,1394128
436,3722176
437,3733952
438,423600
439,3376480
440,2289040
441,3003792
442,2300416
443,3495152
444,2236800
445,3175488
446,538176
447,1472976
448,2237456
449,2164720
450,1958576
451,2169600
452,1306064
453,2169824
454,3092832
455,3033088
456,2426928
457,4163520
458,498768
459,3276448
460,2846448
461,2523280
462,2744096
463,2192032
464,2259904
465,4959120
466,2108240
467,2049200
468,3360688
469,2110272
470,1614976
471,1723280
472,2141648
473,2067568
474,5423728
475,2168256
476,2220560
477,2081184
478,3714976
479,2262608
480,2325728
481,1260208
482,2435424
483,3426288
484,3572400
485,3664192
486,3976848
487,2791568
488,3942800
489,4212720
490,2063056
491,2048896
492,2359024
493,1260944
494,1893872
495,2687152
496,3133952
497,1973280
498,2066800
499,2899552
500,2785056
501,2377584
502,1752672
503,2040960
504,3644096
505,2614304
506,2466256
507,1553168
508,2133728
509,3267104
510,3453696
511,2861008
512,2895312
513,2343712
514,3800224
515,3155632
516,2257312
517,3150944
518,2755824
519,2384544
520,1411856
521,2499520
522,2415328
523,1483200
524,2080624
525,4009488
526,2185136
527,2503600
528,2154336
529,2649712
530,1167280
531,3734592
532,2111312
533,1434880
534,2217072
535,1253680
536,2174368
537,3522864
538,1984224
539,1978400
540,2570768
541,2864128
542,3284032
543,4102656
544,2310464
545,2521776
546,2970816
547,2970960
548,5131440
549,2272288
550,2794528
551,2509136
552,1945360
553,2188064
554,2521568
555,1433312
556,3558512
557,1897744
558,2236032
559,3212736
560,2303440
561,2620304
562,2561280
563,1769120
564,2510352
565,1899504
566,2339456
567,2550256
568,2374320
569,454944
570,2279840
571,3931552
572,448528
573,1863360
574,2197856
575,1585280
576,2168256
577,3271792
578,4072320
579,3125248
580,2064048
581,2210096
582,1402208
583,2091920
584,3647120
585,2070992
586,3412880
587,2171072
588,3409456
589,3361888
590,3712720
591,2411696
592,2106464
593,2199968
594,1461968
595,2382288
596,2147904
597,2350576
598,2010704
599,1824864
600,1446080
601,2002240
602,1536736
603,2236608
604,1060384
605,1858544
606,2246016
607,2243984
608,1512480
609,2270784
610,2470672
611,3748688
612,3159520
613,2251248
614,3344896
615,2554544
616,3117120
617,3950736
618,1511264
619,2148608
620,3049168
621,2694752
622,2075184
623,391840
624,3817632
625,387280
626,2443808
627,515712
628,3764304
629,3296784
630,2229200
631,3045248
632,2293568
633,2453920
634,724304
635,2682048
636,2540544
637,3064832
638,3591328
639,4238672
640,2160512
641,2278368
642,2655584
643,2246768
644,2895888
645,2538560
646,1859792
647,2564448
648,2636992
649,1696880
650,2352576
651,4612736
652,3643472
653,2676432
654,2187920
655,1992144
656,481088
657,1616352
658,2154704
659,682896
660,3426832
661,2336816
662,1273584
663,2330976
664,1514816
665,3426352
666,2085904
667,2724720
668,2843344
669,2155072
670,446272
671,2375136
672,2266080
673,2191968
674,1977296
675,2981264
676,2333088
677,2031920
678,1141424
679,2350320
680,2320496
681,2817792
682,404064
683,2436752
684,3045776
685,2351536
686,2583456
687,2360032
688,3535376
689,2284320
690,2407440
691,1766976
692,3430992
693,1954704
694,2190224
695,2058032
696,2495664
697,576368
698,3142416
699,2526608
700,2250704
701,4416752
702,2042032
703,3478336
704,5884368
705,2131152
706,3293280
707,3210304
708,623616
709,1617424
710,3527040
711,3721920
712,1749792
713,2954448
714,3081280
715,3038448
716,2328896
717,3376672
718,2406112
719,3312288
720,1890672
721,3213904
722,2289456
723,2084832
724,1009232
725,2453088
726,2711952
727,2359504
728,2436784
729,2698176
730,1495424
731,2158048
732,2380000
733,2257232
734,3345280
735,2239920
736,1234032
737,2089168
738,2575936
739,3210624
740,537120
741,2577328
742,2326336
743,2333216
744,2731312
745,414272
746,3624016
747,1896816
748,2289584
749,2167424
750,1324016
751,2119744
752,2103552
753,3153664
754,3067808
755,3075584
756,2255792
757,2734048
758,3262768
759,2119312
760,3327696
761,2351600
762,1308992
763,2197008
764,1576976
765,3405376
766,2010496
767,1595984
768,1830640
769,3341184
770,2249296
771,2405856
772,2399568
773,2552704
774,3082848
775,2676480
776,3321680
777,4170848
778,2516640
779,520704
780,3898112
781,2914400
782,2604064
783,1439552
784,3640912
785,2421456
786,457520
787,2304736
788,412336
789,1947936
790,1321456
791,3685968
792,3456160
793,2429744
794,3072736
795,2585696
796,2541616
797,1483296
798,1947312
799,3605216
800,3255584
801,2169472
802,2104560
803,1326784
804,2286368
805,2029712
806,4464240
807,1689376
808,2553248
809,3938176
810,3349888
811,2361584
812,2469824
813,2952144
814,612672
815,1446096
816,2262944
817,2132432
818,2696608
819,2445712
820,2512192
821,1353472
822,2522256
823,2176688
824,3107632
825,600768
826,3317920
827,523904
828,1378320
829,1902064
830,1652560
831,1947184
832,1833472
833,2174560
834,1257120
835,3586560
836,2500368
837,3525088
838,2331840
839,2174320
840,1687328
841,2002880
842,6229312
843,391440
844,2565344
845,2239600
846,1629264
847,1662384
848,1493088
849,2262336
850,1754720
851,4522672
852,3447328
853,2897808
854,2067184
855,3054016
856,2605984
857,2102080
858,2321872
859,2771456
860,2748592
861,1780672
862,3801984
863,1464224
864,2253808
865,3545648
866,1954240
867,1983296
868,2459328
869,2049728
870,2266240
871,329040
872,2926032
873,2034720
874,3617600
875,2497376
876,2674144
877,276384
878,2310288
879,2069392
880,3655952
881,2931776
882,2352448
883,3202368
884,2423200
885,1420624
886,2165424
887,2628160
888,5567584
889,3342768
890,3733632
891,4208912
892,3118960
893,1858416
894,2474752
895,3039440
896,353872
897,2683104
898,621056
899,2951984
900,2829392
901,2080912
902,3638368
903,2471552
904,1154256
905,2059968
906,1983664
907,3099440
908,441376
909,3230224
910,2107456
911,3042400
912,2322160
913,2302480
914,2673296
915,2642128
916,1759856
917,2888816
918,531968
919,3429536
920,2194832
921,2249376
922,2737184
923,9342848
924,3417488
925,2739536
926,2135760
927,457312
928,2328592
929,1880288
930,2075680
931,2091424
932,2638096
933,336320
934,1855296
935,3523760
936,2570864
937,3083600
938,352816
939,3247280
940,6092560
941,1652208
942,2202128
943,568912
944,3163200
945,2488176
946,1261344
947,2124784
948,2865728
949,4409424
950,2844992
951,2607968
952,2205680
953,2169568
954,3867792
955,2676816
956,1786576
957,3778464
958,3020496
959,594192
960,1453696
961,2118480
962,3306208
963,4672880
964,2763744
965,637472
966,3566240
967,3545104
968,3279200
969,2340400
970,2192656
