HICOM_PING_START run=3
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
Progress: 1200/2000 (lost: 0)
Progress: 1300/2000 (lost: 0)
Progress: 1400/2000 (lost: 0)
WARNING: timeout at seq 1415
WARNING: timeout at seq 1483
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2226.997    Std dev: 915.719
Min:     324.432    Max:     8357.072
P50:    2285.392    P95:     3420.400
P99:    4842.176    P99.9:   7869.904
Throughput: 449 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3643008
2,3040656
3,4456192
4,2975536
5,2997136
6,982352
7,6013936
8,4049152
9,4426800
10,2577088
11,3871856
12,4710064
13,5289440
14,6030272
15,1816912
16,4999136
17,1952960
18,2757712
19,3214656
20,6762736
21,4830144
22,2642080
23,5570640
24,2749424
25,2745664
26,5015424
27,3877520
28,2605360
29,2939856
30,1967328
31,2310736
32,4339408
33,509312
34,2657200
35,447776
36,2848720
37,2176752
38,2490544
39,1288896
40,2440416
41,3815680
42,2338112
43,1204064
44,1854528
45,572704
46,451904
47,2268208
48,2717904
49,501072
50,1263216
51,2381760
52,1438448
53,2238272
54,2876832
55,2251872
56,3558768
57,2457936
58,2211664
59,1470864
60,2445728
61,2583264
62,515216
63,1291696
64,2005856
65,2837424
66,2271488
67,2108176
68,1392864
69,2397952
70,1301088
71,2430080
72,1978176
73,3098784
74,2366992
75,3154928
76,1754816
77,415584
78,1763360
79,1856608
80,2552352
81,2254208
82,440880
83,2002672
84,1257440
85,2239104
86,2740832
87,557920
88,1304672
89,389280
90,2669840
91,2361440
92,2815328
93,2220048
94,2259472
95,3037744
96,2217264
97,2265760
98,552704
99,2037680
100,2620912
101,2528480
102,1801616
103,2486432
104,2428256
105,2048768
106,3280112
107,2162336
108,2183520
109,1310848
110,1982064
111,1454704
112,2476928
113,2228384
114,2693104
115,2645584
116,2205056
117,1113904
118,1990320
119,1970768
120,1865488
121,1161280
122,521024
123,2812624
124,2007200
125,2646352
126,1949584
127,1842752
128,2351136
129,2288768
130,2767840
131,2233680
132,2280752
133,3363024
134,1286496
135,2261872
136,2966048
137,2246016
138,3624864
139,1941792
140,2859056
141,2107328
142,1998048
143,1335920
144,2064928
145,2731280
146,2846544
147,450320
148,2495056
149,2436240
150,2754976
151,2547056
152,2082336
153,1134848
154,2399376
155,2755824
156,560432
157,1080432
158,515920
159,3321584
160,2515856
161,2216992
162,2836896
163,2275376
164,2317872
165,2477104
166,2376320
167,2069056
168,2104704
169,327792
170,2363840
171,2034080
172,2428832
173,3103968
174,2082992
175,2654224
176,4333072
177,2853120
178,2922432
179,2301296
180,2723008
181,2474640
182,1833200
183,2797184
184,2297184
185,517360
186,2953760
187,2019264
188,640144
189,1899120
190,2262224
191,3263712
192,1993536
193,1854336
194,2310576
195,2025760
196,2114608
197,2485936
198,2281440
199,1045936
200,1998976
201,2089280
202,2698624
203,2412576
204,2225296
205,1335184
206,2562368
207,523568
208,2197760
209,2211120
210,358816
211,427312
212,2305376
213,2220832
214,684048
215,2123664
216,596496
217,1976112
218,2061536
219,2244896
220,1281168
221,2266064
222,1187296
223,2000192
224,1806880
225,335168
226,2957776
227,2083392
228,1166096
229,414496
230,2179632
231,1838656
232,2721536
233,3043664
234,1918880
235,2135504
236,2055808
237,2765344
238,2877056
239,2982208
240,2285328
241,1151616
242,2153984
243,3077440
244,2192688
245,3503472
246,2757392
247,2241104
248,3003456
249,727376
250,2632944
251,2451664
252,2186560
253,3086160
254,2201200
255,2057824
256,3096656
257,1868768
258,2470608
259,1996128
260,2654720
261,2480592
262,1886400
263,2194400
264,2469552
265,3195408
266,1838352
267,2479168
268,2515136
269,2446176
270,2110848
271,1291376
272,2028144
273,3085808
274,2011664
275,454304
276,3257008
277,2050432
278,1272720
279,2345440
280,1140208
281,2032896
282,2041888
283,363296
284,2782688
285,2286144
286,1281824
287,2343040
288,1997984
289,2019632
290,1978432
291,1769792
292,2268000
293,2201328
294,2909680
295,2200736
296,2073104
297,3192752
298,2298352
299,434384
300,2899984
301,2389424
302,1968912
303,2741616
304,2457104
305,2555152
306,3289104
307,2721440
308,2512800
309,388992
310,2822704
311,467744
312,3237120
313,3655504
314,2417840
315,2925072
316,590368
317,1176688
318,2429216
319,1237040
320,2280800
321,3018672
322,2245280
323,456256
324,3032160
325,2180704
326,2342640
327,1655360
328,2516240
329,2592464
330,1228992
331,2444832
332,1981392
333,2588688
334,361680
335,2550336
336,2274016
337,1456784
338,413392
339,2661232
340,1935536
341,2150512
342,2279408
343,2131504
344,1999552
345,2166624
346,2991504
347,2249168
348,399312
349,2546032
350,2121904
351,1649936
352,2421088
353,1696112
354,2191296
355,2109088
356,1778800
357,3336304
358,2416368
359,1333248
360,2270592
361,2964848
362,2033280
363,3548528
364,1817568
365,544288
366,1353840
367,3420400
368,2810624
369,2168960
370,2902432
371,2404896
372,1982304
373,2652816
374,2578912
375,2315888
376,3012800
377,2091104
378,2393680
379,4842176
380,2175552
381,2652624
382,548160
383,2856544
384,2671584
385,2261408
386,571456
387,2854528
388,2231200
389,2885216
390,2322432
391,2677408
392,2057248
393,622256
394,1997568
395,2862768
396,2425440
397,1908128
398,2712576
399,490608
400,2309952
401,601520
402,1083504
403,2322224
404,2554800
405,2591312
406,2032432
407,1235504
408,2514848
409,2847456
410,2262928
411,2424512
412,1997872
413,2637824
414,2763008
415,478656
416,3078640
417,1913920
418,677104
419,1748272
420,2085216
421,2309856
422,1090336
423,1966736
424,2762784
425,435456
426,2289152
427,3469536
428,2097600
429,3235712
430,2197168
431,2029984
432,1167312
433,2150544
434,1177136
435,2018640
436,2011648
437,2392672
438,1849664
439,2049136
440,2268032
441,1155904
442,2021040
443,2751888
444,2069168
445,2036592
446,2133744
447,2027952
448,1259296
449,2617952
450,1781744
451,2513376
452,1911936
453,2887392
454,2210400
455,2134832
456,2755280
457,2041712
458,610144
459,3084352
460,2310064
461,1611312
462,2117328
463,2720128
464,2053200
465,507920
466,1984496
467,1960368
468,2156992
469,3389712
470,1917920
471,2597808
472,2684816
473,1828944
474,2094368
475,1880656
476,1529696
477,3587424
478,2647600
479,1859136
480,2545424
481,416528
482,3013360
483,3424368
484,2088096
485,2356736
486,2674112
487,573792
488,2826256
489,1979456
490,2021632
491,2250384
492,2694352
493,2074240
494,558624
495,3184480
496,2523952
497,2345120
498,2271136
499,2068192
500,2171312
501,1381088
502,2107632
503,1375648
504,2649968
505,1994432
506,717552
507,1780432
508,2644912
509,375120
510,2852512
511,2285744
512,2788016
513,2490496
514,2947760
515,2645408
516,1244400
517,2422336
518,2761904
519,2633776
520,2969312
521,2218016
522,2667808
523,2225792
524,2583600
525,1190608
526,2290768
