HICOM_PING_START run=7
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
Progress: 1200/2000 (lost: 0)
Progress: 1300/2000 (lost: 0)
Progress: 1400/2000 (lost: 0)
Progress: 1500/2000 (lost: 0)
Progress: 1600/2000 (lost: 0)
Progress: 1700/2000 (lost: 0)
Progress: 1800/2000 (lost: 0)
WARNING: timeout at seq 1811
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   2060.668    Std dev: 745.692
Min:     305.056    Max:     7826.432
P50:    2130.208    P95:     3088.352
P99:    3546.912    P99.9:   6092.944
Throughput: 485 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3125680
2,2406656
3,1419584
4,2363232
5,1839424
6,2810896
7,3047504
8,506208
9,3451920
10,3085344
11,2583760
12,2713440
13,3607744
14,4817760
15,2750800
16,447120
17,2641696
18,3050768
19,2614992
20,3277904
21,2956592
22,2530288
23,3545552
24,2061168
25,3039088
26,1978048
27,2296496
28,1244272
29,2730784
30,363936
31,2235200
32,2065248
33,2322160
34,3249680
35,2539136
36,2122432
37,2375728
38,383696
39,2495056
40,2903408
41,2334544
42,1244016
43,2988896
44,2043664
45,530768
46,1491264
47,2282480
48,1993664
49,2687920
50,3146848
51,1851872
52,1400224
53,2665776
54,2048896
55,3088352
56,2437568
57,2444112
58,1221680
59,2454784
60,1872208
61,2052240
62,2082960
63,2645328
64,2331040
65,2446432
66,2817792
67,2289296
68,2112592
69,1193184
70,1887216
71,2330032
72,1969424
73,3018272
74,2101168
75,472912
76,2782240
77,2088208
78,2583088
79,2428240
80,2067760
81,1937568
82,2282384
83,2611696
84,2319296
85,1854096
86,2555760
87,502048
88,2290992
89,3239648
90,1982288
91,3240624
92,3580240
93,2252416
94,2460000
95,1360960
96,3899616
97,1427520
98,7826432
99,2191552
100,2022528
101,2629456
102,2282144
103,2688544
104,2236272
105,2319440
106,3373904
107,3009840
108,2267792
109,2443184
110,1312528
111,2380064
112,2541568
113,3139584
114,2590096
115,2158864
116,1301104
117,2293872
118,1193152
119,2736736
120,574912
121,3134992
122,3460512
123,1983088
124,2125776
125,2042800
126,2864912
127,2178784
128,537440
129,2945840
130,2359824
131,2387840
132,2975856
133,2077904
134,2603904
135,470432
136,2505936
137,2800848
138,2388352
139,1237664
140,483376
141,3062992
142,412864
143,2822640
144,2132080
145,3148400
146,2381280
147,1843792
148,3088560
149,612048
150,1224528
151,1991696
152,1286144
153,2003856
154,2851360
155,2291344
156,2113232
157,1271600
158,1929200
159,1857200
160,573152
161,2981152
162,2600496
163,514512
164,2087056
165,1925472
166,2112288
167,2032944
168,2982528
169,2097664
170,2699360
171,2000768
172,2195104
173,334432
174,2983856
175,2020688
176,1204208
177,2161840
178,2804848
179,2259360
180,2506016
181,2691968
182,2236000
183,2628592
184,2044560
185,2179984
186,2281232
187,515824
188,3132832
189,560864
190,2075648
191,644432
192,2883648
193,2194672
194,1262032
195,557312
196,3196496
197,1952288
198,1347024
199,2028448
200,2791136
201,2154160
202,1957504
203,541840
204,2619616
205,2199040
206,2481840
207,2647040
208,2335440
209,2205152
210,1217216
211,504928
212,2911536
213,485104
214,2902048
215,2027776
216,2251712
217,2076160
218,1194000
219,2026704
220,1117968
221,2118400
222,2560432
223,2681408
224,2040432
225,1374480
226,3252752
227,2153744
228,1093792
229,1935088
230,500944
231,1205264
232,2413376
233,2662064
234,2185136
235,2058816
236,2979456
237,1910096
238,2085920
239,1843792
240,2525152
241,2051968
242,2003344
243,2604784
244,2098768
245,691344
246,2000144
247,2657984
248,3059360
249,2520656
250,1331664
251,2320016
252,1761760
253,2496000
254,3073552
255,1958624
256,2571472
257,2862368
258,1980464
259,2091824
260,357584
261,2836352
262,3902800
263,2320624
264,2334176
265,1679984
266,2428592
267,1852960
268,2205952
269,2489344
270,531296
271,2115120
272,2247104
273,2598112
274,2293328
275,1951808
276,650320
277,1883088
278,560864
279,1199792
280,1957664
281,1819104
282,2413024
283,2070464
284,1921792
285,2499328
286,1989712
287,2028064
288,2076144
289,2886336
290,2340016
291,3655312
292,2104816
293,3044032
294,2203696
295,2434560
296,1957824
297,2123808
298,422864
299,2821664
300,2578240
301,3181088
302,2391696
303,1991856
304,2484000
305,3160624
306,2214048
307,2517392
308,2713984
309,2328192
310,1216240
311,2436976
312,1242704
313,2401664
314,1874272
315,2797424
316,1977120
317,1974928
318,589776
319,2756528
320,2281840
321,1979456
322,1214032
323,511984
324,2926048
325,2062000
326,609056
327,2034256
328,656000
329,3292592
330,1084800
331,1983056
332,628288
333,1853232
334,2134720
335,2637120
336,1758368
337,2113728
338,473056
339,1920784
340,1345056
341,2036672
342,2688944
343,2170736
344,1879312
345,2565824
346,2461056
347,2397920
348,2907456
349,2413840
350,366768
351,2454784
352,1926480
353,2163872
354,2031200
355,1260752
356,528704
357,3175152
358,1824352
359,2076016
360,2279024
361,1894224
362,2805248
363,2933120
364,2503904
365,1308400
366,3494272
367,3697216
368,3490384
369,2050960
370,1950384
371,2433280
372,1934384
373,2663888
374,2856288
375,1926880
376,1860032
377,2264800
378,1239920
379,552432
380,3012272
381,539264
382,3099632
383,2250368
384,1193232
385,2001184
386,2657168
387,2245136
388,2068816
389,2756176
390,545392
391,3296336
392,2411856
393,3298384
394,1895232
395,3463040
396,584112
397,3019136
398,1990816
399,2576048
400,1854208
401,2164208
402,3546912
403,1974720
404,2250608
405,2766320
406,582688
407,1337856
408,3310832
409,1853472
410,2510896
411,2140480
412,2343712
413,2608832
414,2345136
415,2043408
416,1980848
417,2117488
418,2186688
419,2827984
420,2592640
421,2222832
422,1669968
423,434400
424,2825232
425,463232
426,2192496
427,2484896
428,3046784
429,782832
430,1956080
431,2277744
432,2358816
433,1891728
434,2303776
435,387824
436,3089792
437,497888
438,2944112
439,2399152
440,3071328
441,2635600
442,2226208
443,2846112
444,2162416
445,2566416
446,2244816
447,2867328
448,2219824
449,2495456
450,2122112
451,2180928
452,330320
453,2500816
454,2064528
455,2439472
456,2136416
457,1964784
458,2900832
459,2941472
460,2309328
461,2276480
462,1249296
463,2448896
464,3042816
465,2191024
466,2220592
467,450592
468,1970096
469,3206080
470,1809968
471,602816
472,2863456
473,466032
474,3120128
475,447904
476,2174128
477,2059472
478,1862464
479,2491520
480,2131376
481,1984528
482,3298496
483,501552
484,3177136
485,2411232
486,1339312
487,2431328
488,1992352
489,2979248
490,475520
491,2558624
492,414256
493,2474544
494,2242800
495,1203424
496,2135296
497,1183952
498,1990576
499,1750688
500,519392
501,1986512
502,763824
503,2785616
504,2699184
505,2747504
506,1957296
507,2840976
508,2465616
509,1900288
510,2974928
511,2861856
512,2118944
513,1241408
514,2543392
515,2836592
516,703200
517,1960448
518,1952848
519,469776
520,2053936
521,2992224
522,2725072
523,2950272
524,2547088
525,2082448
526,2209744
527,2384528
528,411616
529,2253904
530,1074720
531,1986592
532,2808992
533,2160240
534,1960176
535,1999264
536,2215952
537,2302384
538,1932944
539,409584
540,2903136
541,456880
542,3271872
543,2184096
544,1276352
545,483120
546,1870144
547,1233040
548,2118944
549,1171376
550,1864240
551,1975696
552,427328
553,3004624
554,671552
555,2567072
556,1686192
557,2157216
558,577824
559,3882512
560,2869872
561,2257536
562,1160544
563,1793008
564,2700112
565,350064
566,2718256
567,2353792
568,2012912
569,612944
570,1800224
571,1989264
572,2128352
573,2907952
574,2122960
575,2137632
576,1422096
577,2338240
578,1372096
579,2231568
580,1136224
581,1990064
582,3025392
583,2118960
584,502128
585,1886720
586,2572064
587,1886304
588,2226512
589,1495264
590,2401840
591,1620112
592,2096352
593,2693968
594,2624880
595,2111104
596,2006096
597,2308256
598,3141584
599,2370000
600,2726864
601,2412640
602,2719072
603,2423184
604,2340224
605,1924368
606,1954608
607,474768
608,3256208
609,2064880
610,1297424
611,2424640
612,2630608
613,2252640
614,2022768
615,2467488
616,2346160
617,1815248
618,365712
619,1449360
620,2372160
621,1903696
622,2093488
623,491472
624,2590736
625,1714704
626,2270112
627,435040
628,1850592
629,1949008
630,3481744
631,2077040
632,2193296
633,2786704
634,2198784
635,1731232
636,1855568
637,2042336
638,2643904
639,2785280
640,2073472
641,2112176
642,2129264
643,1189616
644,1889840
645,2680448
646,2711536
647,2176960
648,1128912
649,2089440
650,2922624
651,2042800
652,2074672
653,2570112
654,2405984
655,2313664
656,1309136
657,2241696
658,2964832
659,2159120
660,2015840
661,1289072
662,2363216
663,1209360
664,2326528
665,2417664
666,2214944
667,1785280
668,504176
669,2579024
670,2397264
671,2076816
672,399744
673,2146288
674,2311824
675,358384
676,2778128
677,2119088
678,1227536
679,2050496
680,2720768
681,2220752
682,2232192
683,2629680
684,2490288
685,2259104
686,1286656
687,2034096
688,1160432
689,1980848
690,2467856
691,1949280
692,1076272
693,2307088
694,1086528
695,1927680
696,2630976
697,2827584
698,2005136
699,2108016
700,3267952
701,2860192
702,2548496
703,438240
704,2094768
705,1326832
706,2235184
707,1683712
708,2216656
709,2354096
710,1156992
711,2262352
712,3016320
713,2360064
714,3170080
715,1936848
716,648624
717,1837904
718,2139072
719,2317648
720,1217328
721,493696
722,2906960
723,2107936
724,1885072
725,2055264
726,2402912
727,2803408
728,2399520
729,475200
730,3086800
731,1970336
732,1976720
733,2276384
734,2057632
735,2165120
736,2100768
737,1969744
738,2446176
739,1727744
740,441296
741,2617856
742,2362208
743,2125312
744,2070272
745,2130208
746,1849712
747,1956480
748,1807152
749,2070320
750,1936000
751,1790224
752,2200704
753,2954224
754,1966368
755,2118176
756,2502080
757,2660176
758,2062784
759,2730656
760,2069600
761,1689168
762,2005776
763,1877696
764,1958352
765,2244288
766,1183888
767,2233552
768,2640448
769,2192928
770,1630736
771,2086000
772,468416
773,3041376
774,512752
775,2043712
776,2059408
777,2853664
778,2809248
779,1917616
780,2043552
781,2037408
782,1320976
783,1876128
784,1261632
785,2315456
786,1112272
787,2281488
788,2887520
789,2149168
790,2498480
791,381808
792,2438880
793,1178384
794,2071952
795,2947968
796,2039184
797,1908240
798,2539248
799,348768
800,2190016
801,547216
802,2231232
803,2395824
804,1134816
805,2403712
806,1967296
807,2029888
808,2254112
809,1729088
810,2087488
811,511472
812,2191168
813,1724944
814,2068384
815,2584464
816,2067856
817,2038176
818,3435616
819,2661696
820,1999040
821,2286176
822,3432240
823,2400848
824,2801232
825,2049792
826,2456480
827,2735120
828,395824
829,2604896
830,2292640
831,2176128
832,2934384
833,2671296
834,2189504
835,1157312
836,464656
837,2069584
838,1987936
839,549216
840,2957824
841,2521072
842,1999024
843,1979808
844,530928
845,2988096
846,1986832
847,505744
848,2232672
849,2141648
850,2950224
851,2202240
852,1751088
853,1895232
854,1840608
855,600704
856,2338704
857,2600224
858,2298096
859,2443712
860,458688
861,1938352
862,2914224
863,441232
864,2032720
865,1150624
866,2050400
867,1288000
868,540992
869,2534768
870,2488992
871,3473888
872,1991360
873,3080016
874,2118592
875,2892304
876,2314896
877,1961168
878,2795616
879,2187104
880,2061424
881,1797136
882,464304
883,2008832
884,1702688
885,2044080
886,1844688
887,2009808
888,2220576
889,1037904
890,2168944
891,1791040
892,3443376
893,586320
894,1916448
895,1887072
896,2176000
897,1865936
898,2057648
899,389216
900,2346912
901,2835808
902,565456
903,2950640
904,2379392
905,1151376
906,1833856
907,2501072
908,2876432
909,2006720
910,2467744
911,2013632
912,1719568
913,2223488
914,2517408
915,2847296
916,622784
917,2407616
918,2417536
919,2260096
920,1280960
921,2312192
922,1707968
923,2284960
924,3123104
925,2023376
926,2123392
927,2099680
928,1194144
929,2365568
930,1083360
931,2246624
932,2793072
933,1943872
934,1704992
935,2148512
936,2426976
937,1172704
938,2932864
939,6092944
940,574288
941,2109072
942,1148832
943,442992
944,5256688
945,3731632
946,537296
947,2450736
948,2161456
949,2256560
950,3796160
951,2580656
952,1582944
953,4670928
954,1264608
955,2484304
956,2913040
957,2692656
958,3200256
959,405248
960,3284800
961,2150128
962,2885440
963,2125488
964,2368192
965,2767216
966,578928
967,1274528
968,2411664
969,1108272
970,2428608
971,1158992
972,1948832
973,2127888
974,2275408
975,2081744
976,2520128
977,1914544
978,370224
979,2248480
980,2988752
981,2130432
982,2298112
983,1198848
984,532160
985,2062160
986,1849024
987,2358384
988,368272
989,3097776
990,2013840
991,1756992
992,3246128
993,2005184
994,2577808
995,3002400
996,2317472
997,1211504
998,434128
999,2005488
1000,2596864
1001,3349440
1002,2072144
1003,2501008
1004,2817008
1005,721696
1006,1912944
1007,1264416
1008,2345488
1009,2134928
1010,1939152
1011,2237792
1012,1737984
1013,2563872
1014,1940960
1015,2730208
1016,2488176
1017,1991488
1018,1220704
1019,2057984
1020,1641968
1021,3297808
1022,460240
1023,2016432
1024,2513440
1025,2179296
1026,2485856
1027,1262752
1028,2353376
1029,1234096
1030,2348720
1031,1128336
1032,1931024
1033,2458112
1034,2107056
1035,2129952
1036,2534752
1037,1920896
1038,1740128
1039,3670784
1040,2009632
1041,1862912
1042,2034240
1043,2068560
1044,1711408
1045,2175040
1046,2703824
1047,2339152
1048,2062288
1049,2515504
1050,3913552
1051,2490416
1052,2239232
1053,2407728
1054,2199424
1055,2098432
1056,480288
1057,2495072
1058,2475584
1059,2174352
1060,1236928
1061,2004032
1062,1984736
1063,333088
1064,2951712
1065,3490784
1066,1841536
1067,663664
1068,1857440
1069,2107536
1070,531968
1071,2066064
1072,1919520
1073,759216
1074,2885664
1075,709648
1076,351984
1077,2144704
1078,2482400
1079,568016
1080,1810096
1081,2229936
1082,2542928
1083,2004208
1084,1930096
1085,2598592
1086,2892864
1087,2012128
1088,519040
1089,1331120
1090,2117296
1091,1206016
1092,2011712
1093,2649424
1094,2436192
1095,2227936
1096,1089424
1097,2101728
1098,1870544
1099,2273536
1100,1259728
1101,2630000
1102,2143584
1103,2494800
1104,2191296
1105,2019424
1106,2160064
1107,2202960
1108,2024112
1109,2726288
1110,3267216
1111,350176
1112,2887440
1113,2241584
1114,1203472
1115,2289328
1116,1172464
1117,2225008
1118,2482992
1119,2638928
1120,2395088
1121,2635104
1122,2016768
1123,1701664
1124,1945600
1125,1948544
1126,2012496
1127,2180928
1128,1948192
1129,2118880
1130,2112624
1131,1040256
1132,2170272
1133,1814016
1134,2166032
1135,1192864
1136,1970176
1137,307728
1138,2018512
1139,2988288
1140,2387968
1141,1851984
1142,2130928
1143,1993632
1144,2970640
1145,1954688
1146,1699712
1147,558400
1148,1195184
1149,2106432
1150,2042048
1151,2195264
1152,1626368
1153,2185840
1154,2397408
1155,1501664
1156,2243504
1157,2821184
1158,2078512
1159,2464464
1160,2057472
1161,2204624
1162,2238848
1163,1909744
1164,2720528
1165,1844496
1166,1860720
1167,485072
1168,2700992
1169,426768
1170,2073872
1171,2314880
1172,1935632
1173,611936
1174,2722832
1175,2242656
1176,2353136
1177,1164656
1178,2021312
1179,2962752
1180,2441760
1181,546288
1182,3070112
1183,2050128
1184,2586992
1185,2265312
1186,2019248
1187,2458208
1188,2084352
1189,2489856
1190,3218640
1191,2258944
1192,329760
1193,3423872
1194,1983872
1195,2162320
1196,668416
1197,2043248
1198,2494096
1199,2679504
1200,1996640
1201,2182192
1202,1993408
1203,2186576
1204,1033216
1205,2116016
1206,1452512
1207,2411408
1208,1173760
1209,2308176
1210,1113904
1211,2227168
1212,1591040
1213,3423408
1214,2129728
1215,1236960
1216,2398576
1217,1190944
1218,2364944
1219,1179952
1220,456688
1221,2093472
1222,1999168
1223,1947648
1224,486080
1225,1890736
1226,1069360
1227,2237392
1228,1231504
1229,1960416
1230,2506864
1231,3048496
1232,512432
1233,3092368
1234,2394720
1235,1141664
1236,2403664
1237,1288624
1238,1945360
1239,1576080
1240,453744
1241,2690160
1242,1753456
1243,376336
1244,2750528
1245,2127600
1246,421136
1247,2276496
1248,2648992
1249,2621200
1250,2124784
1251,436976
1252,2202752
1253,1611040
1254,2335600
1255,2485104
1256,2834880
1257,1956896
1258,2278560
1259,2611680
1260,2263120
1261,2071344
1262,2082448
1263,312656
1264,3598464
1265,3005520
1266,2433760
1267,1239472
1268,2382704
1269,2754272
1270,2482048
1271,2413648
1272,1913168
1273,2059600
1274,429376
1275,2096976
1276,1964576
1277,608304
1278,1196304
1279,1910928
1280,1829232
1281,603376
1282,2524816
1283,1711984
1284,462656
1285,2847664
1286,2120224
1287,2480528
1288,2734144
1289,2227360
1290,3530256
1291,2474944
1292,3267216
1293,2863616
1294,2318160
1295,536800
1296,3095232
1297,2416016
1298,1508352
1299,2082448
1300,2727824
1301,2126656
1302,2761680
1303,2187696
1304,2151376
1305,2777952
1306,2237296
1307,467328
1308,2102304
1309,1960736
1310,1941920
1311,2438560
1312,1187264
1313,1923936
1314,1812992
1315,2214960
1316,1132848
1317,2081568
1318,2851424
1319,2048608
1320,2328256
1321,2675248
1322,2565888
1323,2003344
1324,2680768
1325,448240
1326,1905024
1327,2005296
1328,1163232
1329,546224
1330,3025024
1331,475536
1332,2884848
1333,1942528
1334,1921424
1335,469200
1336,1927616
1337,2607792
1338,2220608
1339,2351040
1340,2751072
1341,2333408
1342,2679440
1343,2019248
1344,2232800
1345,338768
1346,2432224
1347,1882080
1348,2111888
1349,2508976
1350,2547024
1351,2575648
1352,2397632
1353,2400592
1354,2823712
1355,2062928
1356,2357440
1357,1267664
1358,1900880
1359,2806976
1360,2203936
1361,2200256
1362,2543616
1363,2589408
1364,2292320
1365,2389280
1366,2192848
1367,1790512
1368,2526640
1369,396128
1370,2095936
1371,1779008
1372,2452656
1373,2305888
1374,1884384
1375,2066352
1376,490448
1377,3167040
1378,3380880
1379,1961008
1380,2083872
1381,2051200
1382,1269792
1383,2016576
1384,1660656
1385,2219504
1386,1073840
1387,1945888
1388,1888592
1389,2131168
1390,1222816
1391,2496656
1392,2414160
1393,487408
1394,1949664
1395,3545920
1396,2292144
1397,2616688
1398,2624880
1399,3192032
1400,1834272
1401,2259296
1402,2715280
1403,2263024
1404,1973584
1405,1758016
1406,2298320
1407,2102048
1408,1822416
1409,2140528
1410,1292816
1411,2282800
1412,1047136
1413,2564144
1414,2481296
1415,2456208
1416,538048
1417,2936208
1418,1898672
1419,2769456
1420,2533168
1421,1927792
1422,2223648
1423,1753488
1424,1550480
1425,2291568
1426,2804896
1427,2121168
1428,1898832
1429,2545024
1430,578320
1431,2014496
1432,2234736
1433,1693712
1434,2337824
1435,2251584
1436,1235952
1437,2482560
1438,1057984
1439,2035184
1440,2179472
1441,1915504
1442,1179472
1443,501456
1444,1942688
1445,2667040
1446,2354320
1447,451824
1448,2954192
1449,2440224
1450,2012720
1451,573952
1452,2825424
1453,2055872
1454,2349408
1455,1218992
1456,427328
1457,1933792
1458,2467264
1459,2103680
1460,2186624
1461,2971936
1462,2238000
1463,498192
1464,1830608
1465,1208544
1466,2628608
1467,3263744
1468,1266064
1469,2199248
1470,2622752
1471,2438864
1472,1883712
1473,1944736
1474,1776736
1475,3210272
1476,2658928
1477,3085824
1478,2370528
1479,1252192
1480,2325632
1481,2924576
1482,1830192
1483,1999984
1484,2500560
1485,431584
1486,2370880
1487,2380944
1488,1259440
1489,517360
1490,1954096
1491,1774400
1492,2225792
1493,2061568
1494,2651008
1495,2164320
1496,1958144
1497,611616
1498,2340304
1499,450960
1500,2617008
1501,1943552
1502,1938768
1503,2356416
1504,2049856
1505,2611680
1506,480832
1507,2249728
1508,2084192
1509,1079280
1510,482288
1511,2149728
1512,1756880
1513,2152992
1514,1874432
1515,2450800
1516,2101920
1517,1975760
1518,1880576
1519,1760240
1520,1754048
1521,2416464
1522,1852528
1523,2061008
1524,2162752
1525,2498128
1526,2394832
1527,2078112
1528,1925744
1529,2530272
1530,2111664
1531,3288656
1532,1994368
1533,513792
1534,2042192
1535,1760864
1536,1921248
1537,2166640
1538,2698944
1539,2120640
1540,2047040
1541,2608928
1542,2105424
1543,2313264
1544,2833280
1545,2903216
1546,2093568
1547,1309936
1548,1731760
1549,1593456
1550,2301888
1551,1901424
1552,2071776
1553,2445200
1554,3121456
1555,619392
1556,2001184
1557,2077968
1558,2239456
1559,1343856
1560,1856736
1561,3072800
1562,2114928
1563,2220832
1564,2531520
1565,2165696
1566,1929312
1567,2241536
1568,396432
1569,2304672
1570,2012368
1571,2268880
