HICOM_PING_START run=14
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
WARNING: timeout at seq 612
WARNING: timeout at seq 624
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
WARNING: timeout at seq 1520
WARNING: timeout at seq 1533
Progress: 1600/2000 (lost: 4)
Progress: 1700/2000 (lost: 4)
Progress: 1800/2000 (lost: 4)
Progress: 1900/2000 (lost: 4)
Progress: 2000/2000 (lost: 4)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    4 (0.200%)
RTL (us):
Mean:   2003.376    Std dev: 765.349
Min:     279.936    Max:     9991.888
P50:    2012.896    P95:     3042.272
P99:    3940.992    P99.9:   9378.016
Throughput: 499 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,1753728
2,2493136
3,2321520
4,2410752
5,1216208
6,2210816
7,1241184
8,1869872
9,417696
10,2718912
11,2400192
12,4778496
13,2315504
14,2486368
15,5547696
16,2161456
17,325776
18,2439648
19,2974656
20,2098896
21,406400
22,410464
23,3406048
24,2143008
25,1780240
26,2859968
27,4247280
28,2650720
29,1946384
30,383792
31,2052128
32,2254496
33,2046848
34,2634560
35,2434448
36,1857920
37,2397344
38,3011840
39,1670496
40,2083968
41,1895456
42,2017680
43,1967584
44,2686128
45,2303936
46,1978816
47,2661760
48,2605488
49,2054528
50,2229088
51,367216
52,2276960
53,2099584
54,2056880
55,2080384
56,2963696
57,2087968
58,1829424
59,476752
60,2844224
61,2412240
62,2247984
63,2048016
64,494912
65,2675776
66,2286816
67,6354816
68,2517696
69,2353744
70,2362544
71,1216912
72,2214832
73,2653568
74,2357328
75,1856816
76,2874736
77,3043936
78,3457584
79,1927872
80,1853680
81,1836096
82,1954608
83,2272528
84,1736800
85,2168752
86,2060560
87,2099488
88,2123088
89,1010688
90,1930592
91,2176880
92,2436528
93,1344912
94,2164512
95,315776
96,2050384
97,414176
98,1966320
99,2227472
100,2235008
101,2164368
102,2335120
103,2848256
104,1840640
105,2321792
106,382096
107,2477648
108,2139152
109,2451056
110,2934080
111,2035952
112,1128176
113,2022816
114,2090560
115,2146112
116,2910704
117,2124512
118,1914464
119,2867648
120,2256176
121,2003024
122,1951152
123,1978208
124,2468768
125,2796800
126,2305088
127,2704928
128,2037984
129,1965584
130,1987360
131,2373440
132,1176672
133,2061088
134,2690720
135,2492752
136,2055360
137,2474656
138,2891264
139,1860432
140,1905808
141,1834576
142,437872
143,975168
144,1926432
145,2091072
146,1926688
147,2517200
148,2087760
149,1725712
150,2111584
151,1669600
152,1775424
153,1960800
154,2404096
155,1840592
156,2465696
157,2227648
158,1883904
159,1805648
160,1761184
161,2083280
162,1806512
163,1771504
164,1903232
165,2081392
166,1606608
167,2251712
168,308880
169,2858448
170,2568736
171,1090368
172,1738320
173,1929968
174,2071696
175,2440096
176,2104128
177,1596352
178,353264
179,1873680
180,2152992
181,2053936
182,2355728
183,2142304
184,3201008
185,446432
186,1862480
187,1886112
188,3293104
189,2149712
190,1921072
191,2755616
192,2402496
193,1858208
194,2355760
195,2145056
196,1625312
197,2089440
198,1630608
199,2070032
200,1845344
201,1936976
202,1789760
203,416480
204,2944464
205,2088176
206,317520
207,2956784
208,2123024
209,456240
210,2796688
211,1994400
212,1924720
213,2106800
214,2150736
215,1115520
216,2010448
217,1942112
218,326176
219,2928400
220,1962656
221,364928
222,1945664
223,2029200
224,1482128
225,1933104
226,1907040
227,1731904
228,1804976
229,1994592
230,2525072
231,1180736
232,2019232
233,2572928
234,2088848
235,1885376
236,2028384
237,1742512
238,499936
239,2132640
240,2988704
241,366384
242,2122528
243,1468704
244,2029664
245,1952976
246,2447856
247,2101856
248,2717808
249,2173632
250,1897600
251,2205952
252,2104368
253,2789600
254,1919344
255,2043840
256,2582096
257,2842448
258,1561568
259,1939632
260,2028128
261,2442208
262,1892928
263,2583024
264,1896032
265,1475328
266,2321376
267,1962432
268,2239152
269,2035072
270,977872
271,1801536
272,2069600
273,1879040
274,512880
275,1075696
276,1902832
277,1906016
278,1896016
279,2443296
280,3344048
281,1933216
282,2582240
283,530688
284,1967840
285,2107536
286,2557568
287,2611984
288,1938864
289,1735104
290,1892880
291,1172288
292,1851424
293,1992576
294,1658960
295,1953408
296,1925936
297,2937648
298,2658544
299,2106048
300,2421968
301,1899136
302,1852096
303,2101792
304,2331520
305,1194640
306,1928128
307,2539184
308,2706192
309,1872928
310,2522272
311,2217344
312,1613312
313,2351984
314,1789104
315,2355344
316,2241840
317,1890864
318,1825024
319,2011632
320,1735840
321,2158672
322,2681584
323,2117520
324,1657792
325,547152
326,2578544
327,2035728
328,2058880
329,2144576
330,2031680
331,2783392
332,2241824
333,1969168
334,1680640
335,2114080
336,5662032
337,2154240
338,2369216
339,2162256
340,1701840
341,1091616
342,430800
343,1803056
344,1815696
345,2277136
346,2585088
347,2227440
348,2166400
349,2823248
350,2415728
351,1868720
352,2452016
353,2871824
354,1941600
355,2562896
356,1932464
357,372016
358,1959648
359,5304384
360,1864240
361,566192
362,2394592
363,2545200
364,1714320
365,2914848
366,2496160
367,357888
368,2482000
369,424384
370,1941344
371,2620208
372,2260720
373,1911984
374,2460832
375,3195360
376,1612544
377,1881136
378,2030704
379,1079216
380,1873984
381,2024320
382,2031904
383,1718496
384,1924736
385,2561776
386,2662528
387,1819856
388,1869264
389,2178656
390,1858128
391,2439728
392,1804752
393,1968864
394,1748864
395,1942112
396,2231040
397,2383440
398,2423280
399,1764192
400,1901248
401,2204944
402,1281728
403,1957520
404,459664
405,2510672
406,427680
407,2979120
408,2311824
409,1849104
410,2092480
411,2042176
412,3269072
413,2211168
414,2128128
415,2234272
416,2664080
417,2007968
418,1706000
419,2087936
420,3375600
421,2036816
422,2273584
423,999728
424,1599792
425,1910416
426,1865248
427,2092416
428,2069312
429,2426720
430,3566624
431,2851328
432,2066912
433,404000
