HICOM_PING_START run=17
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
Progress: 1200/2000 (lost: 0)
Progress: 1300/2000 (lost: 0)
Progress: 1400/2000 (lost: 0)
Progress: 1500/2000 (lost: 0)
Progress: 1600/2000 (lost: 0)
Progress: 1700/2000 (lost: 0)
Progress: 1800/2000 (lost: 0)
Progress: 1900/2000 (lost: 0)
Progress: 2000/2000 (lost: 0)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    0 (0.000%)
RTL (us):
Mean:   1932.814    Std dev: 719.692
Min:     288.640    Max:     5970.832
P50:    1995.072    P95:     2938.928
P99:    3716.160    P99.9:   5187.552
Throughput: 517 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2215520
2,3158000
3,538480
4,1650128
5,2214960
6,1791856
7,2014080
8,1882592
9,498208
10,573648
11,2945776
12,1976720
13,1252208
14,1708384
15,2399680
16,1617968
17,2451776
18,2274272
19,329680
20,2530608
21,1555344
22,2058752
23,2060720
24,2889456
25,2145472
26,2043552
27,2258416
28,3389536
29,1885216
30,2755504
31,2459296
32,2092208
33,1844256
34,2200944
35,1117200
36,1974000
37,2019232
38,2330800
39,2026304
40,2071104
41,342896
42,2983760
43,374560
44,2137072
45,1594800
46,2191488
47,1671808
48,3279456
49,2146272
50,1847712
51,2012944
52,384544
53,2151248
54,1066960
55,1713040
56,1970352
57,1947824
58,2438480
59,2146064
60,1884800
61,490976
62,1328432
63,1933568
64,1734736
65,333776
66,2746880
67,1968720
68,2571296
69,3221760
70,2196144
71,1812320
72,2148352
73,1983264
74,2259184
75,2041600
76,1012576
77,1889632
78,473280
79,2870768
80,2025280
81,1926688
82,1975856
83,3425568
84,1824496
85,529200
86,2443216
87,3317872
88,2826640
89,1651616
90,2006480
91,1886160
92,3454384
93,2065440
94,373568
95,3132400
96,1876784
97,2144384
98,1639136
99,1831040
100,1760320
101,2037072
102,2695904
103,1972336
104,1930368
105,1894064
106,380400
107,2026944
108,2545104
109,3550288
110,2405488
111,1657408
112,1923104
113,1884528
114,2013152
115,2132304
116,2614048
117,360976
118,1798784
119,2090448
120,2341504
121,297840
122,2920912
123,1974496
124,3067072
125,2116688
126,1977632
127,2297472
128,334048
129,2990848
130,1895808
131,478672
132,1814080
133,2329856
134,2110240
135,1159184
136,1839440
137,2525072
138,2089952
139,1915840
140,2157424
141,2066800
142,351584
143,401712
144,2253696
145,2772480
146,2070768
147,1979168
148,2755808
149,2333312
150,2110032
151,1992800
152,1971568
153,2791872
154,3570144
155,2307088
156,1753968
157,746624
158,1712112
159,1924496
160,1580032
161,2113120
162,1734400
163,1961040
164,1781920
165,1830256
166,1980912
167,1907712
168,2111152
169,2305280
170,2537344
171,1476512
172,2086848
173,2022240
174,1922912
175,1986784
176,2133376
177,2103248
178,348656
179,2255440
180,1178928
181,1612544
182,2004240
183,1633584
184,365472
185,2602688
186,2262800
187,1678832
188,1929728
189,1740656
190,608384
191,2566128
192,2301776
193,459328
194,1543424
195,398896
196,1646208
197,2173264
198,1945968
199,1923792
200,1958192
201,1741536
202,2108176
203,1939264
204,2612544
205,2293760
206,1644192
207,3574400
208,2104512
209,1833376
210,1977824
211,2413760
212,1245392
213,1546288
214,2088096
215,430064
216,2085360
217,1246752
218,406832
219,2019088
220,1837472
221,2120576
222,1911600
223,3098256
224,2789072
225,1112304
226,2429072
227,332832
228,3058784
229,1928656
230,588096
231,1578048
232,367296
233,2310112
234,348144
235,2850528
236,445520
237,2859936
238,1937392
239,511040
240,2503616
241,2533584
242,1938672
243,356432
244,1666928
245,2020512
246,1483072
247,1995072
248,1918784
249,1844848
250,2052032
251,2617648
252,2682112
253,1485168
254,1975664
255,2089984
256,668224
257,2500672
258,2024240
259,1524032
260,2275952
261,1931536
262,2640832
263,2307360
264,414864
265,1819328
266,648768
267,1624336
268,3384608
269,2355248
270,2030784
271,486016
272,2486512
273,2277056
274,1754448
275,2379728
276,2093552
277,2518720
278,2147680
279,1712080
280,2091360
281,1800784
282,1823728
283,1716544
284,460096
285,2422496
286,2728720
287,1904528
288,1885968
289,1910448
290,1736976
291,1750768
292,356400
293,352048
294,2481088
295,1949376
296,2010032
297,1798240
298,1986016
299,1919632
300,2409616
301,2744864
302,2040384
303,1794640
304,3651280
305,1906720
306,447840
307,2191504
308,1937648
309,2014144
310,1833168
311,2025808
312,1995744
313,2654528
314,2361520
315,1645184
316,2096144
317,2078032
318,1431696
319,491536
320,2036880
321,1819456
322,390064
323,2355872
324,2490656
325,1543104
326,2484160
327,410464
328,2139824
329,2569536
330,2038880
331,1894928
332,2406624
333,2333280
334,1839776
335,2092336
336,1933008
337,455744
338,1211200
339,1975008
340,1896336
341,1843664
342,2614112
343,2204544
344,1768656
345,2027008
346,1854048
347,2593024
348,3035376
349,2046080
350,2516960
351,2259712
352,1580272
353,471424
354,2357840
355,2970352
356,1464928
357,2158496
358,1790336
359,2017248
360,2032016
361,1495328
362,1870016
363,609616
364,1931744
365,3819600
366,2113504
367,1590592
368,1966896
369,2281760
370,2513632
371,2219152
372,1966560
373,2653248
374,2881632
375,1734480
376,1935152
377,1630784
378,514656
379,2347984
380,2676592
381,1888448
382,504368
383,1819664
384,2236112
385,1567968
386,420720
387,1674960
388,424848
389,2760832
390,1788336
391,2213664
392,403728
393,2830928
394,2564048
395,1381968
396,2459856
397,325888
398,1934592
399,1698096
400,2218928
401,2277440
402,1948000
403,2157648
404,2112576
405,2450864
406,2477280
407,399536
408,2039408
409,2743440
410,2032704
411,1747776
412,2109936
413,1645552
414,431904
415,2508336
416,2093456
417,1601200
418,2091440
419,2076608
420,440160
421,1120528
422,1928560
423,1714704
424,1783744
425,533936
426,2558544
427,2935168
428,2076352
429,1800640
430,2186736
431,1799648
432,1960480
433,1737264
434,561088
435,1211776
436,1704560
437,1875872
438,1799344
439,745808
440,2022080
441,1830080
442,1722704
443,2537472
444,314768
445,2776096
446,1916704
447,572912
448,1776240
449,2034192
450,3913024
451,1917152
452,2395520
453,1805904
454,2403840
455,2207472
456,1833504
457,2098144
458,1636288
459,1962832
460,2114256
461,2133472
462,2121344
463,2484592
464,1974400
465,1997776
466,2002368
467,2233664
468,2638944
469,2317296
470,1898496
471,2158400
472,1853040
473,1509504
474,1943872
475,2522944
476,2441136
477,1997712
478,480560
479,2366944
480,2700912
481,509840
482,2940048
483,1901312
484,3449936
485,2082864
486,1898160
487,2024336
488,1971440
489,1558816
490,2207680
491,1379280
492,1949424
493,1775600
494,1829072
495,2070064
496,1870832
497,2611152
498,2487760
499,419248
500,2051680
501,512288
502,2458416
503,490112
504,1910448
505,2726384
506,1941008
507,1929872
508,2045008
509,1921632
510,1528800
511,1773248
512,2588736
513,2990960
514,1715440
515,2036848
516,1995312
517,1723824
518,346288
519,2684416
520,1660784
521,2424976
522,2422544
523,2452032
524,2068096
525,1717696
526,2055680
527,1719232
528,1789520
529,1748912
530,2145440
531,1789888
532,2497920
533,387616
534,1937184
535,393632
536,2200128
537,3036880
538,2740160
539,1876160
540,3079632
541,2029920
542,1697168
543,335376
544,1964096
545,1909616
546,372064
547,1578656
548,1038880
549,2037184
550,1993040
551,2466112
552,1710224
553,1896384
554,1743264
555,2004064
556,1965280
557,2021936
558,1825264
559,2451120
560,3103056
561,1976448
562,1656400
563,1907328
564,1107280
565,1982992
566,574032
567,2540768
568,2087456
569,372464
570,2090160
571,2770160
572,2077440
573,2022128
574,459408
575,2606704
576,1927360
577,1736608
578,534992
579,1120896
580,1854240
581,1854128
582,1670688
583,1917264
584,2434288
585,1152720
586,1959840
587,2669840
588,2684320
589,2344704
590,1072032
591,1746208
592,2151296
593,1843168
594,2207536
595,2122560
596,1758432
597,2081312
598,2074000
599,1943520
600,1806912
601,2011024
602,2771952
603,2240096
604,1774832
605,650768
606,2474352
607,479232
608,2573168
609,2270288
610,1718240
611,2026832
612,1778928
613,1940272
614,2019024
615,1940848
616,1639744
617,1911920
618,1781328
619,2321808
620,3416080
621,2176016
622,530880
623,2976848
624,1530640
625,1938944
626,1898944
627,2024416
628,1756336
629,1820688
630,2083056
631,1673984
632,1867552
633,1286336
634,2361200
635,1114240
636,2157984
637,1128688
638,1995376
639,2413584
640,361376
641,2180496
642,298112
643,1914800
644,2179488
645,296960
646,2959424
647,2006144
648,1562304
649,1963408
650,528336
651,1808224
652,2304896
653,2069088
654,1851744
655,1974192
656,985728
657,1966448
658,2931360
659,2647328
660,1902464
661,1911424
662,1967712
663,1767216
664,1977264
665,425024
666,1810960
667,665360
668,389904
669,2309632
670,1035328
671,1702096
672,2067488
673,1894384
674,580176
675,1825792
676,1964880
677,1964464
678,2317808
679,2239984
680,1042576
681,1726896
682,549520
683,1064336
684,1847184
685,465904
686,2616912
687,2308880
688,2038208
689,2412464
690,2810416
691,368592
692,1755632
693,2235360
694,446560
695,2700384
696,1996832
697,1199664
698,1991344
699,2419744
700,3281664
701,2637920
702,2254656
703,2555280
704,3445616
705,420032
706,2027440
707,1753120
708,2129408
709,1853552
710,1483024
711,1855536
712,1752880
713,451648
714,2761488
715,1478464
716,2223792
717,2142960
718,2279872
719,2811040
720,1638192
721,1976400
722,1724032
723,451648
724,2586400
725,2193680
726,1470448
727,2199648
728,1910960
729,1999088
730,1802976
731,1950288
732,1795632
733,2414992
734,289920
735,2284832
736,1770272
737,386688
738,1832672
739,395312
740,2762064
741,1911984
742,2438576
743,1867280
744,978896
745,1776320
746,2107152
747,1862208
748,2796992
749,2676160
750,2030928
751,2398800
752,2912960
753,1535216
754,2030512
755,1779920
756,2090736
757,2027280
758,2228560
759,2674304
760,323456
761,1787328
762,2475504
763,2133200
764,2039344
765,2075856
766,2046384
767,1774864
768,2029680
769,2397856
770,2330096
771,2003120
772,2379200
773,1852416
774,926416
775,1736528
776,1781440
777,1687648
778,1969488
779,1542672
780,500240
781,1941072
782,2414352
783,2117952
784,2656688
785,2902048
786,1539936
787,2103456
788,323392
789,1900784
790,1177168
791,1987424
792,1987248
793,327280
794,1996320
795,1724768
796,2071120
797,1945856
798,2099456
799,1946736
800,370976
801,2490304
802,1781968
803,564816
804,1096016
805,1988272
806,2533984
807,2448448
808,1961264
809,2132576
810,2029760
811,1204272
812,1889856
813,588064
814,1959808
815,737584
816,2827808
817,2183408
818,1739120
819,302256
820,1783664
821,1501008
822,2671024
823,566544
824,2193584
825,5970832
826,2179744
827,4605648
828,3386400
829,2597952
830,2390976
831,1799232
832,3094976
833,2708128
834,3425264
835,2237536
836,3232368
837,458720
838,2603328
839,2001312
840,2823776
841,526368
842,2779904
843,1888704
844,1922688
845,1963440
846,1991920
847,2688736
848,4004000
849,2205952
850,389232
851,1995632
852,1146224
853,1931952
854,2356320
855,361872
856,2293632
857,1826336
858,3474816
859,2454384
860,1866768
861,602560
862,1248752
863,1997408
864,1099280
865,1841392
866,2074416
867,1830016
868,1797456
869,2087136
870,1081216
871,1719232
872,341920
873,1224304
874,1635888
875,1958944
876,1866544
877,2569344
878,2161632
879,1952480
880,2196272
881,2416320
882,1196480
883,2040592
884,2674896
885,341392
886,2427696
887,2027648
888,2773200
889,2077936
890,1934128
891,2236544
892,1881952
893,1119584
894,2066672
895,2180992
896,412896
897,2189248
898,1911248
899,2083840
900,1965840
901,2230320
902,3043264
903,2179888
904,2396512
905,1085984
906,2023920
907,1699184
908,2082672
909,1092736
910,1756576
911,368608
912,2575648
913,2233040
914,2081824
915,2029088
916,1949440
917,2421344
918,2583488
919,2069920
920,1160272
921,1869008
922,2140992
923,2415328
924,317936
925,1880560
926,566688
927,1733616
928,2245280
929,368560
930,2236464
931,1601952
932,2081280
933,1791440
934,2029552
935,1844576
936,1789488
937,3058384
938,1767888
939,1918544
940,1815840
941,1832976
942,1930016
943,1934208
944,2070400
945,2321952
946,523536
947,2026528
948,1780368
949,2344432
950,291952
951,2475344
952,1624576
953,2090016
954,1792704
955,486464
956,1214608
957,1828320
958,1980304
959,1723360
960,2257680
961,324544
962,2633536
963,2412944
964,1150624
965,1891584
966,2370352
967,355616
968,2311584
969,1931792
970,1947776
971,2107424
972,2358496
973,2066848
974,2071136
975,390336
976,1415408
977,1820704
978,477248
979,1056000
980,2232960
981,2460080
982,2458528
983,1974800
984,2353488
985,1642096
986,1161328
987,1797808
988,1891856
989,404192
990,3122032
991,2213776
992,2080768
993,1770976
994,1239824
995,1949312
996,2126304
997,1849920
998,1151488
999,2081968
1000,1816160
1001,1917328
1002,1852992
1003,2201216
1004,1835072
1005,1698912
1006,2248704
1007,2562160
1008,2216464
1009,1793520
1010,2178768
1011,326912
1012,3790560
1013,3028384
1014,1895008
1015,1763296
1016,2124720
1017,1007680
1018,426784
1019,3012288
1020,1917216
1021,1933072
1022,2101024
1023,1110032
1024,1816240
1025,668048
1026,2525888
1027,2203456
1028,1746304
1029,1880000
1030,1693200
1031,2240080
1032,1610160
1033,406720
1034,1457616
1035,2002880
1036,1582544
1037,1899488
1038,1176928
1039,1940672
1040,1887344
1041,2185856
1042,1029152
1043,1983104
1044,2043952
1045,2190288
1046,2624272
1047,2011632
1048,1712896
1049,2002784
1050,1703776
1051,2017760
1052,1567616
1053,2204256
1054,1929296
1055,518672
1056,331344
1057,1851312
1058,578144
1059,2390864
1060,631488
1061,1810176
1062,1952960
1063,350432
1064,1830576
1065,1926016
1066,1826896
1067,2078096
1068,2462032
1069,2372688
1070,1997328
1071,292848
1072,1909392
1073,1981024
1074,1702960
1075,2676320
1076,3856480
1077,2370512
1078,1931696
1079,1861840
1080,1945680
1081,2469152
1082,2243984
1083,1960320
1084,1835648
1085,1966672
1086,1819856
1087,1850400
1088,1887616
1089,2054640
1090,2873200
1091,1939104
1092,1869376
1093,365776
1094,2581680
1095,2388848
1096,1508288
1097,2061392
1098,1673856
1099,2113424
1100,1729728
1101,1977584
1102,2172560
1103,1797712
1104,2598896
1105,2337280
1106,1719824
1107,1978016
1108,1506640
1109,400704
1110,2815584
1111,2222992
1112,1868384
1113,457664
1114,1008208
1115,2129568
1116,1767456
1117,1913840
1118,2618528
1119,2378592
1120,1859744
1121,773760
1122,2040368
1123,2530976
1124,391184
1125,1900624
1126,326032
1127,1904800
1128,2039984
1129,1907936
1130,2511696
1131,2583696
1132,1942832
1133,2592048
1134,2811792
1135,1758352
1136,1869488
1137,1610608
1138,2064912
1139,1873376
1140,1787504
1141,2473760
1142,1036928
1143,1870768
1144,2326192
1145,2240032
1146,1752480
1147,2089664
1148,2013680
1149,2502752
1150,2110880
1151,1639024
1152,2120480
1153,2081824
1154,1795456
1155,2202768
1156,2701408
1157,2376592
1158,2417392
1159,2485392
1160,2199344
1161,2099872
1162,2326416
1163,1925696
1164,2370400
1165,2688704
1166,1884928
1167,1847136
1168,475456
1169,2013216
1170,2018736
1171,2410032
1172,2125840
1173,1683632
1174,2133968
1175,1910176
1176,2349648
1177,288880
1178,2847856
1179,2010384
1180,1562736
1181,1898352
1182,1818880
1183,1743776
1184,475600
1185,1879536
1186,2220160
1187,2042240
1188,1484096
1189,1941088
1190,1697024
1191,1901552
1192,288640
1193,1546032
1194,2074560
1195,1824016
1196,3373696
1197,2524304
1198,2015568
1199,1834048
1200,1916464
1201,2111312
1202,2600288
1203,1994352
1204,1666096
1205,2063200
1206,2006336
1207,2389424
1208,2191248
1209,1688688
1210,2202960
1211,1917408
1212,1952816
1213,392272
1214,1930736
1215,2486896
1216,3720032
1217,2151616
1218,2073488
1219,1932944
1220,1815152
1221,1930320
1222,597184
1223,2670080
1224,1730656
1225,2017952
1226,1937488
1227,3049280
1228,2111424
1229,1746160
1230,2088608
1231,1589840
1232,3336368
1233,1725184
1234,344208
1235,2019728
1236,2317440
1237,2568736
1238,1853328
1239,365216
1240,2657152
1241,2340240
1242,328432
1243,2060704
1244,363392
1245,1761760
1246,2015392
1247,448416
1248,1971296
1249,2473040
1250,2364912
1251,1921088
1252,1742880
1253,512832
1254,2085760
1255,1408528
1256,2206096
1257,1648224
1258,2093840
1259,1857664
1260,1801056
1261,1868912
1262,1777184
1263,1992400
1264,587088
1265,350704
1266,1573216
1267,1736816
1268,1637760
1269,407744
1270,2506656
1271,2039712
1272,1467184
1273,3920672
1274,2141504
1275,1699888
1276,2278400
1277,2278800
1278,5035792
1279,1833264
1280,579344
1281,1121104
1282,2359424
1283,2639424
1284,2361120
1285,2161952
1286,1072560
1287,2055936
1288,1746160
1289,1869136
1290,1694512
1291,1806480
1292,2698352
1293,2803744
1294,1923808
1295,1977184
1296,2097344
1297,2468528
1298,386832
1299,1892976
1300,1862128
1301,2760992
1302,2000816
1303,1970000
1304,1801200
1305,2022976
1306,1655280
1307,394912
1308,2004176
1309,2001584
1310,2205968
1311,1780656
1312,2746848
1313,2306464
1314,351120
1315,1995104
1316,1185360
1317,2124480
1318,2691552
1319,2801312
1320,2184832
1321,2579120
1322,2508032
1323,377408
1324,1836512
1325,2583456
1326,3300688
1327,2202880
1328,1976960
1329,2346672
1330,2520976
1331,2192192
1332,2376336
1333,2571872
1334,1854080
1335,2171728
1336,1786144
1337,434816
1338,1093296
1339,2024672
1340,1594544
1341,1627408
1342,2344512
1343,2182688
1344,1188368
1345,2005072
1346,2804336
1347,2307792
1348,1828432
1349,2523264
1350,4738160
1351,2117744
1352,369184
1353,2351312
1354,1969760
1355,2450064
1356,2964128
1357,2021024
1358,1801264
1359,2074368
1360,2867200
1361,2110928
1362,2214544
1363,417520
1364,441584
1365,2109776
1366,2699344
1367,2109136
1368,2261760
1369,352736
1370,343120
1371,2233168
1372,1279056
1373,2271696
1374,1136576
1375,1647104
1376,1870432
1377,4019728
1378,2040544
1379,2552848
1380,2265040
1381,1945376
1382,2274400
1383,2191312
1384,2706352
1385,2090256
1386,1923104
1387,2443216
1388,3058544
1389,1969456
1390,2458048
1391,3294272
1392,2015088
1393,2688448
1394,2557936
1395,2006544
1396,2133232
1397,3052064
1398,1782752
1399,1993056
1400,2429920
1401,2824496
1402,2655408
1403,2949600
1404,306720
1405,1776960
1406,1860816
1407,386400
1408,2581728
1409,2119696
1410,1863472
1411,2425296
1412,2665216
1413,2751488
1414,2764896
1415,1820592
1416,2063936
1417,1876112
1418,2350928
1419,2164528
1420,2062016
1421,2365376
1422,3077360
1423,1757264
1424,1898816
1425,1629760
1426,2011488
1427,2136256
1428,1129008
1429,1844256
1430,2044176
1431,2143152
1432,1215376
1433,1698176
1434,2064832
1435,1999232
1436,2496960
1437,2690944
1438,2541856
1439,2597168
1440,3528720
1441,2075728
1442,1972928
1443,2367888
1444,1947088
1445,2723728
1446,2488096
1447,2022464
1448,2804464
1449,2568784
1450,2293824
1451,1142912
1452,2050352
1453,2755904
1454,3642080
1455,400576
1456,2228864
1457,1889648
1458,1038976
1459,1848736
1460,1974256
1461,306256
1462,2203360
1463,2041760
1464,2004848
1465,2162560
1466,1053920
1467,384576
1468,2216688
1469,1822784
1470,2206176
1471,2109760
1472,2897104
1473,1987888
1474,1955072
1475,2314768
1476,2604016
1477,1946128
1478,2073168
1479,2167376
1480,1122464
1481,1890544
1482,2271888
1483,1715584
1484,2541216
1485,2262800
1486,1597648
1487,2594320
1488,2074080
1489,2712720
1490,2242080
1491,1733456
1492,2043504
1493,1724960
1494,2283312
1495,366816
1496,3385392
1497,396800
1498,2301216
1499,2163024
1500,2491008
1501,2593664
1502,2311904
1503,998800
1504,1994448
1505,541648
1506,1786656
1507,2039632
1508,2146064
1509,2491072
1510,2895632
1511,1806800
1512,2153968
1513,1994560
1514,2448848
1515,2386208
1516,2037744
1517,2353584
1518,2102080
1519,377120
1520,2033584
1521,456096
1522,359328
1523,1650880
1524,479024
1525,1464320
1526,2120368
1527,386800
1528,2007904
1529,2719584
1530,2245888
1531,1938672
1532,2570528
1533,2705744
1534,359776
1535,2238000
1536,1047584
1537,1914784
1538,2020000
1539,2018288
1540,2625920
1541,2383008
1542,1554144
1543,2127296
1544,1825456
1545,1958128
1546,1931808
1547,1811792
1548,2057008
1549,1400416
1550,2126400
1551,2263792
1552,2834848
1553,1916608
1554,1967104
1555,1859312
1556,2773776
1557,2538288
1558,1997056
1559,1847616
1560,2210064
1561,2482480
1562,2066832
1563,2019472
1564,413696
1565,2671024
1566,2104464
1567,389904
1568,1870032
1569,1364912
1570,2196816
1571,2722656
1572,499104
1573,1531760
1574,1751856
1575,2011536
1576,2073984
1577,1165696
1578,1939248
1579,2121264
1580,2358320
1581,1934496
1582,2043712
1583,1985888
1584,2049152
1585,1846928
1586,1171984
1587,1830352
1588,1942160
1589,1709088
1590,2284784
1591,1936944
1592,5187552
1593,354544
1594,1602000
1595,1322016
1596,2704016
1597,1175888
1598,1856144
1599,419248
1600,1155984
1601,2810368
1602,1849136
1603,2551440
1604,1987184
1605,1969504
1606,2179696
1607,1875888
1608,1857584
1609,2046800
1610,2419184
1611,342368
1612,1982240
1613,1727312
1614,3716160
1615,2153296
1616,1954336
1617,2450752
1618,2172432
1619,1762416
1620,486688
1621,2180768
1622,349424
1623,2414144
1624,1877248
1625,2363600
1626,2077680
1627,2483072
1628,2087888
1629,2151808
1630,2471376
1631,3163344
1632,2162400
1633,1239024
1634,2012272
1635,1930992
1636,2242896
1637,2855936
1638,2898176
1639,2614032
1640,1870432
1641,493504
1642,2679504
1643,664800
1644,2285792
1645,2981872
1646,2210352
1647,2745856
1648,2466528
1649,2241920
1650,2795104
1651,2171616
1652,1995920
1653,2044032
1654,449936
1655,2578464
1656,2284880
1657,2738048
1658,2534832
1659,1996704
1660,2891488
1661,2267024
1662,1875696
1663,3120848
1664,2126896
1665,2004080
1666,2849248
1667,3533776
1668,2911968
1669,1943808
1670,1670688
1671,2009136
1672,2383216
1673,1948960
1674,1762896
1675,2223920
1676,2179808
1677,2855616
1678,2404896
1679,367856
1680,3044672
1681,2220480
1682,1466832
1683,2475664
1684,1851248
1685,350272
1686,2744432
1687,2191072
1688,1805552
1689,1862096
1690,2129792
1691,1146192
1692,1941008
1693,1888128
1694,2059088
1695,2779696
1696,2483024
1697,2097264
1698,2436240
1699,3813648
1700,415568
1701,428880
1702,1867616
1703,1034368
1704,1667840
1705,1786096
1706,1554816
1707,500992
1708,1859616
1709,2256064
1710,2502496
1711,517216
