HICOM_PING_START run=22
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
Progress: 1200/2000 (lost: 0)
Progress: 1300/2000 (lost: 0)
Progress: 1400/2000 (lost: 0)
Progress: 1500/2000 (lost: 0)
WARNING: timeout at seq 1575
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   2001.820    Std dev: 739.836
Min:     266.752    Max:     9316.256
P50:    1985.968    P95:     3279.904
P99:    3865.024    P99.9:   6886.944
Throughput: 500 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,507088
2,2585536
3,4856688
4,3498992
5,2789248
6,2118720
7,1688768
8,3401664
9,2871264
10,2079776
11,3268240
12,2052848
13,1946784
14,2347312
15,2030416
16,1683968
17,2269472
18,2032768
19,2233392
20,3569376
21,2320704
22,2622928
23,1423888
24,3791568
25,2102064
26,3240128
27,3494640
28,1927008
29,2949152
30,428512
31,1987584
32,1748752
33,2331536
34,2164352
35,1914224
36,2354816
37,1797264
38,542400
39,1970240
40,2320528
41,2292032
42,1767072
43,2076976
44,1759648
45,2275632
46,2272176
47,1206464
48,1990880
49,2782784
50,501184
51,2786640
52,354736
53,2467952
54,1934336
55,2641728
56,2329120
57,2093824
58,2674320
59,1891136
60,1480160
61,2381296
62,2005360
63,1827024
64,1598256
65,411888
66,1718880
67,2236848
68,2580656
69,2208400
70,1640752
71,2091744
72,1809712
73,514208
74,1500096
75,2465056
76,345104
77,1946704
78,2449584
79,2346720
80,341360
81,1927984
82,2942448
83,2107280
84,488128
85,2013824
86,1371584
87,2054928
88,296592
89,1921904
90,2100544
91,1891952
92,2799728
93,3627376
94,2280912
95,1702976
96,2384688
97,2171376
98,1317488
99,2096064
100,2584640
101,2490480
102,2047664
103,2486176
104,3030688
105,2026208
106,1953296
107,1887200
108,2559248
109,397184
110,3999104
111,3098048
112,367408
113,1798336
114,451472
115,2101088
116,1858656
117,1861632
118,1783168
119,2199248
120,2108896
121,2969120
122,2049152
123,4250592
124,3019424
125,1556480
126,2303008
127,1824688
128,2393472
129,2119136
130,1580736
131,2680080
132,1661184
133,1720624
134,1627936
135,1869184
136,1674512
137,2227936
138,1970832
139,2381216
140,2421200
141,2129360
142,379904
143,2961520
144,675920
145,2624336
146,2106128
147,1992608
148,1881680
149,1817584
150,506400
151,2719280
152,1961712
153,1910416
154,373040
155,2377712
156,2203680
157,1651424
158,2130496
159,1766720
160,3388304
161,461472
162,2010752
163,1924320
164,1712528
165,1752976
166,438816
167,2568400
168,2025136
169,1668736
170,319600
171,2512848
172,2784608
173,1600816
174,3503680
175,1832944
176,1833264
177,2380960
178,1485360
179,2438816
180,3488192
181,2743728
182,1949776
183,2021264
184,1747184
185,1854192
186,2186224
187,2698672
188,323744
189,1951312
190,1793712
191,1538336
192,1968336
193,2140912
194,2204464
195,1922816
196,495168
197,1026512
198,1798160
199,1977744
200,1690368
201,3231088
202,3647168
203,2090528
204,1668672
205,3687568
206,2370352
207,1619552
208,2135792
209,1758176
210,1763024
211,2037968
212,386576
213,1827504
214,2010544
215,1721744
216,1915264
217,1902336
218,420768
219,2433120
220,2125776
221,1668400
222,2246064
223,2199792
224,2373760
225,2122928
226,1488000
227,2647376
228,2014208
229,1656448
230,1704944
231,2138960
232,2143200
233,1090624
234,1939136
235,1658512
236,1977264
237,2469232
238,569376
239,3541904
240,2084416
241,1818768
242,1895392
243,1730240
244,1814656
245,1887952
246,1766064
247,1912464
248,2436000
249,2777664
250,1660080
251,1918576
252,1705088
253,2102800
254,1693152
255,1888368
256,1768032
257,1911728
258,2057456
259,1746496
260,1740048
261,1673984
262,1657296
263,2321840
264,2114880
265,2578704
266,1651904
267,1675216
268,2148736
269,1551440
270,2351072
271,1619488
272,3595088
273,3341840
274,2653408
275,1716864
276,2014176
277,1876608
278,2088704
279,1626240
280,480256
281,2230896
282,2584528
283,2041440
284,2658064
285,393472
286,3199936
287,3687136
288,2693744
289,1874384
290,395408
291,2365680
292,2174432
293,1824976
294,2147872
295,1995536
296,2121792
297,2030544
298,1067488
299,1496880
300,2362880
301,2196464
302,2685600
303,2002864
304,1560848
305,2019280
306,1724288
307,2038624
308,2278736
309,1849296
310,2137568
311,2350096
312,2032128
313,1697280
314,2096768
315,1709488
316,2187040
317,1794912
318,2233792
319,2100048
320,2643328
321,3710256
322,366752
323,2168960
324,1759840
325,2010256
326,1612736
327,1991584
328,1863232
329,2408224
330,2391472
331,1836240
332,2402544
333,1866288
334,1109648
335,1735072
336,2372272
337,1806800
338,1972288
339,1800608
340,2457920
341,2301616
342,301664
343,1755216
344,1688592
345,2045616
346,3316624
347,2185952
348,1808544
349,2466160
350,1976800
351,1868256
352,2200992
353,1958240
354,2263136
355,303792
356,2625920
357,2134320
358,1672192
359,377472
360,1986736
361,1777008
362,1697216
363,1800016
364,2206384
365,1728048
366,698480
367,2251600
368,2622928
369,1429232
370,3298720
371,3556832
372,2575968
373,1563520
374,2353632
375,2067664
376,2235616
377,3186944
378,2032384
379,2427088
380,2506688
381,2070432
382,2438352
383,2219488
384,1836784
385,2603504
386,398016
387,2147760
388,1845792
389,1996448
390,1756640
391,1771088
392,2395552
393,2736336
394,3295808
395,1990048
396,452960
397,1958256
398,2286832
399,4095616
400,2750352
401,3066528
402,2089280
403,1720016
404,1680928
405,1831296
406,1922320
407,2505248
408,2309392
409,1890048
410,466624
411,2601216
412,3016912
413,2022720
414,1084512
415,1716656
416,2101872
417,1692704
418,2041712
419,1932288
420,2512400
421,3364080
422,2052784
423,1877712
424,1985216
425,1733008
426,1907760
427,1956688
428,600640
429,1692912
430,513488
431,2363136
432,3005488
433,1585936
434,3233856
435,2421888
436,1957072
437,2028672
438,1948976
439,2424368
440,2784272
441,1630944
442,1988336
443,1773904
444,515696
445,1183456
446,1892928
447,2720352
448,2533968
449,2197296
450,1625040
451,2007696
452,2457824
453,412384
454,3502048
455,2200400
456,1863440
457,1988992
458,1633776
459,420992
460,1388544
461,2117552
462,954096
463,1790768
464,1793456
465,1855728
466,2289024
467,1889920
468,2762800
469,3571712
470,4278256
471,1945456
472,4056928
473,2077840
474,1631920
475,1625344
476,2374608
477,2170240
478,2640096
479,3667056
480,3459488
481,2292784
482,1706448
483,498832
484,2447520
485,2851760
486,1680240
487,1736320
488,2255520
489,2803088
490,2067392
491,1904560
492,1289120
493,2095008
494,2979360
495,2271264
496,1933648
497,1839376
498,2351744
499,2825744
500,2091648
501,3115424
502,2122896
503,1938848
504,2963328
505,1795696
506,2358000
507,1744864
508,2381872
509,331792
510,3729424
511,2889584
512,402032
513,2727536
514,1847632
515,328608
516,2395136
517,2714832
518,2018512
519,2083824
520,2170080
521,1507120
522,2633536
523,1880912
524,1944256
525,457824
526,1875152
527,341216
528,2026032
529,3035680
530,2099792
531,1897632
532,1988464
533,2158112
534,2237216
535,2306400
536,1896176
537,1863536
538,1833168
539,1825472
540,306512
541,2410768
542,1724432
543,2244448
544,456224
545,1935456
546,2258064
547,2181328
548,1756704
549,3522448
550,349760
551,1957600
552,1722848
553,2294544
554,2132944
555,972320
556,1859552
557,1906496
558,1840544
559,2031520
560,1797472
561,2721920
562,2638656
563,1913776
564,1693488
565,376368
566,3720320
567,400208
568,2012496
569,343264
570,1990640
571,1903376
572,1853552
573,1674960
574,1845312
575,411504
576,2580096
577,456128
578,1686096
579,1843824
580,489488
581,2043888
582,2252864
583,2240976
584,2276448
585,419376
586,2536240
587,1968048
588,297840
589,1855952
590,1140544
591,1849280
592,2517936
593,1994176
594,1322944
595,3740320
596,2296768
597,2088720
598,2621056
599,1769056
600,2333056
601,3690240
602,3326736
603,2463808
604,1808032
605,2044384
606,1759968
607,2151072
608,2055904
609,2893728
610,2249696
611,1601808
612,1943920
613,1577376
614,2029408
615,1741904
616,2354720
617,1750848
618,488128
619,1983344
620,1818992
621,1941520
622,2282208
623,389088
624,2399744
625,1626608
626,2040928
627,1817712
628,2090672
629,1798640
630,2883280
631,2038144
632,1977568
633,1932336
634,2047440
635,1000192
636,1729936
637,468240
638,2438528
639,2789440
640,397888
641,2131840
642,1857344
643,3233952
644,2593504
645,1625024
646,1985584
647,1598304
648,1933248
649,384992
650,2192576
651,930992
652,1401552
653,452064
654,2006608
655,1948976
656,1133408
657,1586864
658,1795456
659,1632416
660,2126480
661,1715408
662,2224512
663,2091808
664,2191632
665,1645008
666,398544
667,1846752
668,3618784
669,1836656
670,1702272
671,1997520
672,2752144
673,9316256
674,2955920
675,1918272
676,372864
677,2559616
678,393840
679,2982560
680,3353136
681,3144144
682,5461680
683,2351808
684,2917152
685,2300000
686,1853952
687,392128
688,2783424
689,2004480
690,1810400
691,1757344
692,2519760
693,3437968
694,1915104
695,1317584
696,1897072
697,2546336
698,2751536
699,1657168
700,1861792
701,374320
702,1978368
703,1606640
704,2074496
705,398704
706,1756336
707,2813264
708,2193264
709,2019664
710,2591744
711,2924832
712,1543936
713,1996560
714,1758528
715,2103760
716,1990928
717,1710928
718,2009072
719,2515504
720,2048048
721,266752
722,1748848
723,1988256
724,1863872
725,1903280
726,1695376
727,1950928
728,1729056
729,409072
730,2611376
731,3351504
732,2624560
733,1684384
734,1850192
735,3987120
736,2258592
737,2696288
738,2055456
739,1938304
740,2145536
741,1890128
742,1601536
743,1891696
744,1226256
745,1899504
746,2298912
747,2716192
748,352048
749,2122000
750,2335856
751,2218640
752,2004864
753,2028688
754,1830960
755,2012480
756,1665040
757,1910944
758,1609680
759,2449408
760,2037888
761,1000752
762,1842128
763,1848464
764,2228656
765,2508656
766,2161200
767,329024
768,2287472
769,1300512
770,1960256
771,429792
772,309696
773,2144320
774,2409344
775,2475424
776,1939632
777,4163248
778,1817232
779,359344
780,3495120
781,3072832
782,348656
783,1773184
784,2279776
785,1993856
786,1918224
787,3689520
788,405488
789,1401920
790,2203296
791,3024464
792,2180704
793,1714688
794,2096736
795,2030992
796,2601936
797,2606464
798,2304784
799,2714288
800,709904
801,2891168
802,428448
803,2086944
804,1821584
805,1805616
806,1699584
807,1932096
808,1763472
809,327776
810,2168688
811,2387008
812,1773344
813,1895488
814,1453648
815,2456704
816,1926512
817,2132272
818,1916976
819,1148240
820,1905856
821,1926144
822,2435152
823,974240
824,1966224
825,2458880
826,447088
827,2054800
828,1854064
829,509968
830,1674880
831,1999520
832,2689744
833,2192720
834,1950736
835,2221888
836,1979936
837,2457968
838,2303184
839,1927216
840,1884272
841,2023200
842,2197968
843,2065968
844,2619936
845,1993232
846,1811872
847,2096368
848,2124048
849,1136896
850,1683200
851,445840
852,2661760
853,1892512
854,1861792
855,2118816
856,401920
857,2105952
858,2335776
859,2275120
860,1629808
861,2302960
862,2033792
863,2433760
864,2867872
865,2135872
866,1685344
867,1874912
868,2509616
869,3748864
870,3536304
871,2566400
872,311696
873,1966320
874,2443232
875,314208
876,3321136
877,346832
878,1875040
879,1628192
