HICOM_PING_START run=27
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
WARNING: timeout at seq 766
WARNING: timeout at seq 771
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
WARNING: timeout at seq 1530
Progress: 1600/2000 (lost: 3)
Progress: 1700/2000 (lost: 3)
Progress: 1800/2000 (lost: 3)
Progress: 1900/2000 (lost: 3)
Progress: 2000/2000 (lost: 3)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
Mean:   2224.105    Std dev: 970.522
Min:     316.128    Max:     12766.752
P50:    2315.664    P95:     3504.496
P99:    3930.240    P99.9:   10000.192
Throughput: 450 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3419616
2,3930240
3,927424
4,1538736
5,3586576
6,3374592
7,2254880
8,1266064
9,471024
10,3253616
11,2128784
12,2140256
13,2618544
14,4148112
15,712576
16,749200
17,2701696
18,2662464
19,616336
20,2437632
21,4410240
22,528080
23,2880240
24,429824
25,2402016
26,3323824
27,2264960
28,3280240
29,3132160
30,2324064
31,2381552
32,2150624
33,1360752
34,2280528
35,1207360
36,2628304
37,3727856
38,2193024
39,1487616
40,2461712
41,474928
42,3307984
43,536960
44,4233600
45,2675872
46,3576944
47,2263072
48,1233248
49,2438160
50,1695008
51,3373232
52,3662144
53,485920
54,3477952
55,348992
56,1658224
57,1946256
58,2428896
59,3475280
60,2136336
61,3106736
62,3205504
63,490432
64,1177824
65,2154016
66,399952
67,2009024
68,2044352
69,2211424
70,1970832
71,2214176
72,384592
73,2481168
74,2316272
75,2241696
76,390736
77,2810272
78,347584
79,2896256
80,2746096
81,3646720
82,2166080
83,1511024
84,406688
85,3006608
86,2367376
87,2376624
88,1300640
89,1969824
90,316128
91,1762048
92,2517856
93,3314688
94,3321120
95,2472784
96,3630480
97,1337440
98,2537536
99,2328448
100,2398816
101,3494288
102,2067264
103,2238144
104,3192560
105,473728
106,2081808
107,1886832
108,594464
109,1274208
110,478864
111,2673584
112,2233456
113,2009808
114,2428304
115,2530480
116,2789696
117,738848
118,2914640
119,2574800
120,3157136
121,3388592
122,1965696
123,632352
124,1857376
125,2952928
126,3170432
127,3978656
128,389888
129,2584480
130,3616320
131,1740480
132,3546560
133,594224
134,2367872
135,1383520
136,2262048
137,1360544
138,2457152
139,2031872
140,2211088
141,2313232
142,2038880
143,1960672
144,425264
145,2824864
146,2257296
147,1053488
148,471472
149,3321760
150,541840
151,3184528
152,3427072
153,2374720
154,3372848
155,4233152
156,2285968
157,3153264
158,2259872
159,3296528
160,2311392
161,3089584
162,2670656
163,445200
164,2592992
165,2194016
166,1234048
167,568960
168,2902768
169,2497280
170,1233376
171,2054480
172,1287680
173,2674240
174,2032304
175,1937920
176,2356512
177,1916048
178,2373200
179,411888
180,3017728
181,2266480
182,1865456
183,2498592
184,2280464
185,2229856
186,1277888
187,2454736
188,3023248
189,2268336
190,3232096
191,2663552
192,2810960
193,2293616
194,3347056
195,505824
196,3084960
197,2201632
198,1201328
199,485584
200,1968272
201,2454752
202,2742544
203,2157328
204,2377584
205,3222800
206,2377120
207,1183616
208,2316544
209,2910624
210,2286416
211,2376288
212,2638208
213,2824816
214,2153792
215,2373072
216,2094848
217,2283616
218,3152944
219,2036384
220,1183552
221,2704800
222,2197872
223,2296256
224,3436048
225,403408
226,3128368
227,2420976
228,2380592
229,3377552
230,3269856
231,2176240
232,3506656
233,2315664
234,1183152
235,600688
236,2978048
237,543376
238,3097328
239,2299952
240,1188400
241,2049152
242,2890272
243,578496
244,2181952
245,690448
246,2276416
247,1316896
248,2217232
249,2723200
250,495712
251,1272288
252,537824
253,2050912
254,1944992
255,2025616
256,3505232
257,3556144
258,2084112
259,1990512
260,2257568
261,2581392
262,2450944
263,3412704
264,2334512
265,3141360
266,2244160
267,3280352
268,2141328
269,2993248
270,662224
271,2602352
272,2237328
273,525568
274,3080176
275,1869040
276,2685488
277,2638304
278,1992608
279,2733760
280,2330512
281,2539712
282,2115520
283,2089984
284,3231920
285,2012384
286,2035792
287,335792
288,2818528
289,1927120
290,1975888
291,459792
292,3309344
293,474016
294,2540800
295,3557440
296,2011904
297,679600
298,2604528
299,3233296
300,1320064
301,2593696
302,472800
303,2635920
304,3120096
305,2276064
306,3268976
307,510752
308,1399280
309,3460016
310,2513184
311,3254160
312,3166288
313,2360832
314,3410640
315,620144
316,2702656
317,1994032
318,2080432
319,2202176
320,3015584
321,556672
322,2971664
323,3050272
324,2878688
325,2550672
326,2265552
327,1544864
328,542048
329,2785456
330,1998000
331,1975424
332,2526944
333,2246064
334,1289904
335,2612128
336,2158272
337,2272480
338,3411408
339,2503872
340,2268032
341,2723888
342,2387104
343,502256
344,3078608
345,2437872
346,2054992
347,2309520
348,2091408
349,2271920
350,1469984
351,3255680
352,2575824
353,1465888
354,2290064
355,2464112
356,1363008
357,3539184
358,508192
359,3559024
360,3337136
361,3553776
362,570544
363,3393888
364,2286160
365,2737920
366,2412288
367,393536
368,2506688
369,2000064
370,1901664
371,387248
372,2940672
373,516736
374,3165536
375,2189664
376,1283856
377,2333280
378,2844144
379,2049936
380,2142064
381,1286592
382,2036656
383,3301248
384,1852112
385,369552
386,3740992
387,3024336
388,2612560
389,2002768
390,555920
391,3483264
392,1221504
393,626016
394,3714624
395,3630080
396,2143024
397,2149664
398,2184944
399,426192
400,2690496
401,2292752
402,2143552
403,1900592
404,2907904
405,425520
406,2863120
407,3211824
408,478528
409,3694672
410,479280
411,2602368
412,404672
413,2664736
414,544688
415,3144304
416,3535200
417,576736
418,2850032
419,2487056
420,1174208
421,2435088
422,2084608
423,2016688
424,2675024
425,2444000
426,1150928
427,2767248
428,1872496
429,696256
430,1326192
431,393440
432,3215440
433,436784
434,2889824
435,518464
436,3321568
437,3271120
438,505232
439,3103024
440,2474992
441,2048464
442,2166832
443,3381888
444,3598912
445,789440
446,3309920
447,2264736
448,2181680
449,3724144
450,2928208
451,2700432
452,2165552
453,1127168
454,435360
455,3230000
456,2150032
457,3007552
458,531952
459,1358880
460,3417808
461,2641024
462,3449264
463,3361824
464,1489648
465,2481024
466,2310416
467,2026672
468,3090768
469,2069776
470,2016816
471,2097008
472,2599984
473,2228976
474,3661744
475,2162816
476,2858560
477,2273056
478,2275648
479,2705104
480,2189648
481,2284528
482,1348064
483,2415376
484,3066544
485,1982144
486,364688
487,2868352
488,486400
489,3357424
490,3303264
491,1909088
492,1257664
493,2110896
494,1270784
495,1892048
496,3126128
497,583744
498,1247248
499,2130080
500,3174720
501,3190928
502,2059920
503,2744800
504,2248512
505,2424160
506,2737856
507,2636384
508,2841552
509,2043648
510,2288576
511,3208480
512,482528
513,3361328
514,1886144
515,2715312
516,436256
517,2841168
518,2452896
519,389680
520,3375312
521,3374480
522,536704
523,3092992
524,517840
525,3123968
526,3471872
527,577456
528,2921776
529,3820288
530,2463024
531,3597360
532,3069776
533,2141648
534,436688
535,3429248
536,3246160
537,3710688
538,2110848
539,1406352
540,3794032
541,3504496
542,2425376
543,3493024
544,1381696
545,518240
546,2643056
547,1860496
548,2975664
549,3027456
550,2261344
551,2217920
552,2050288
553,2217904
554,2800000
555,1963200
556,2391664
557,1753504
558,3085136
559,2799232
560,2549904
561,1177536
562,2013424
563,2919920
564,2454448
565,2434128
566,2885280
567,2241616
568,367888
569,2805504
570,550704
571,2938224
572,473472
573,3099808
574,2455792
575,1130496
576,417584
577,2193440
578,1757680
579,2133440
580,2311664
581,1223776
582,2455808
583,2738160
584,2078656
585,3795008
586,2492704
587,2254304
588,1637536
589,2036800
590,1210224
591,2033184
592,1278544
593,2599504
594,2030368
595,3086480
596,2406816
597,464240
598,2188208
599,2030208
600,1435712
601,2050752
602,2282656
603,2171200
604,2125088
605,434352
606,2721344
607,2520016
608,2070064
609,2350000
610,2262128
611,2113984
612,2960736
613,2367856
614,3646656
615,2495840
616,2786592
617,2282400
618,2691968
619,2284816
620,2806864
621,2137456
622,537168
623,2974016
624,2164704
625,1231280
626,472464
627,2082400
628,2039472
629,594464
630,2230208
631,1627216
632,2037456
633,3068576
634,558048
635,1209936
636,1929088
637,3735088
638,3602800
639,2289360
640,2298624
641,2694464
642,3029280
643,2267696
644,3274016
645,2632896
646,2250992
647,1334352
648,2459952
649,2784048
650,2236672
651,2313712
652,2189232
653,2717600
654,2278432
655,2242640
656,1394912
657,2339520
658,1243024
659,2301728
660,1372016
661,2510272
662,447392
663,3117008
664,2693824
665,2089360
666,3460880
667,2917728
668,480336
669,780272
670,2039920
671,2054784
672,2298864
673,1230752
674,2113904
675,1317408
676,2004128
677,1365120
678,422784
679,2696128
680,2080800
681,1883856
682,2485168
683,2028016
684,2305344
685,2034000
686,2171392
687,2971200
688,2751632
689,3128848
690,2161120
691,2297952
692,2102560
693,1888336
694,473536
695,1079552
696,2612576
697,1495136
698,400112
699,3119328
700,449504
701,429744
702,2774432
703,391408
704,2936176
705,3354304
706,2244256
707,2550928
708,2613648
709,2050800
710,1344048
711,490384
712,3008240
713,2377488
714,1171648
715,2002512
716,3256032
717,2546160
718,2909280
719,1728912
720,2373600
721,453216
722,2620256
723,533776
724,3287264
725,3313824
726,2074208
727,2982272
728,2578048
729,3460272
730,2394048
731,1243264
732,2195776
733,1219312
734,2764112
735,2192112
736,3293616
737,2238416
738,2424112
739,489600
740,2094064
741,2043264
742,608672
743,2246784
744,2021168
745,447168
746,2750832
747,2058864
748,3117376
749,2600496
750,2912112
751,2085856
752,646960
753,1886576
754,2539360
755,3152896
756,445712
757,3129856
758,2030736
759,2785472
760,513504
761,2539136
762,3242336
763,2070912
764,2942400
765,2530000
766,2163264
767,2418336
768,7461504
769,2457568
770,6888656
771,3465184
772,2289392
773,1822960
774,2706736
775,3199024
776,2566816
777,2057024
778,611200
779,446016
780,3388688
781,531344
782,3160384
783,492160
784,2874560
785,1997488
786,2837984
787,2790464
788,526160
789,3155728
790,1974288
791,2491952
792,2822032
793,2010768
794,1217136
795,2163952
796,3068848
797,2462528
798,368416
799,2311296
800,2840464
801,2612240
802,3162128
803,2398528
804,1544112
805,380912
806,2666544
807,2784160
808,2205552
809,2177664
810,1364176
811,450720
812,3222928
813,3309536
814,2761776
815,2173360
816,2626496
817,3015488
818,2520608
819,2567984
820,1368688
821,2324320
822,2092848
823,3276912
824,556912
825,1326368
826,416224
827,3445264
828,3475232
829,3404640
830,2476112
831,2776640
832,2284240
833,2050672
834,2894256
835,2135648
836,2148432
837,2728144
838,570352
839,2961008
840,722928
841,1833792
842,2196368
843,2273888
844,1202800
845,3664192
846,2692080
847,2128688
848,2781344
849,714768
850,2598928
851,2414736
852,2386224
853,1334400
854,2479424
855,1294304
856,2330496
857,2386688
858,1243840
859,2453824
860,2996896
861,2126080
862,421104
863,2867280
864,478944
865,3386976
866,450144
867,2577488
868,454832
869,3172336
870,2019888
871,1100960
872,543968
873,3092000
874,2551616
875,3055888
876,1991888
877,2297376
878,2143296
879,1746592
880,476752
881,2908976
882,2581680
883,2824320
884,2365824
885,2391888
886,4291088
887,426592
888,2502320
889,2246144
890,1433984
891,3352496
892,2842976
893,3789680
894,3674144
895,2361536
896,1236672
897,521872
898,3489824
899,1231440
900,2478688
901,2811584
902,2700528
903,562784
904,2340560
905,2486576
906,3043280
907,2010752
908,2333408
909,2981952
910,2332560
911,3006448
912,1968880
913,2310560
914,3021328
915,1991840
916,3133728
917,2277968
918,2776784
919,2064032
920,2006192
921,3647936
922,2200496
923,2904672
924,697600
925,3216880
926,3098272
927,2911216
928,434816
929,2339040
930,3518816
931,2048976
932,3080864
933,2232448
934,3393904
935,566064
936,3152608
937,3775424
938,2321808
939,2366576
940,2888272
941,2414416
942,2145824
943,1421728
944,3579392
945,2211216
946,1368992
947,2470208
948,2838144
949,2225616
950,2154624
951,1164224
952,550688
953,1899152
954,2973424
955,846576
956,2216960
957,1242304
958,1838912
959,2129808
960,382784
961,3058672
962,2354688
963,1863504
964,2233808
965,3308096
966,524624
967,3002464
968,2553664
969,2838592
970,2452608
971,334480
972,2787456
973,2547952
974,3082048
975,2853120
976,2419280
977,2606656
978,2247872
979,2468144
980,3219424
981,540224
982,2507552
983,2070928
984,563392
985,2824336
986,2904144
987,499584
988,2168944
989,2003984
990,1175104
991,2269760
992,1279184
993,3701376
994,2093552
995,2609184
996,474496
997,2025408
