HICOM_PING_START run=30
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
WARNING: timeout at seq 331
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
WARNING: timeout at seq 669
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
WARNING: timeout at seq 1568
WARNING: timeout at seq 1577
Progress: 1600/2000 (lost: 4)
Progress: 1700/2000 (lost: 4)
Progress: 1800/2000 (lost: 4)
Progress: 1900/2000 (lost: 4)
Progress: 2000/2000 (lost: 4)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    4 (0.200%)
RTL (us):
Mean:   1999.162    Std dev: 768.694
Min:     265.056    Max:     7815.888
P50:    2009.920    P95:     3164.944
P99:    3920.784    P99.9:   7797.344
Throughput: 500 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,6449248
2,2969200
3,2775808
4,2060608
5,2779408
6,3486864
7,2078672
8,2565216
9,2890240
10,1902272
11,1972224
12,1923936
13,2264624
14,4167008
15,1928352
16,2633168
17,486064
18,2028656
19,2114752
20,3236896
21,3723872
22,561008
23,3315392
24,2650864
25,3011296
26,2343488
27,2384304
28,3366336
29,1974096
30,2857488
31,479376
32,2416544
33,2887440
34,1738736
35,2241856
36,1799696
37,2437744
38,1856000
39,2611456
40,3623040
41,2447456
42,1740464
43,1891712
44,1803888
45,2293856
46,1728144
47,1831248
48,271328
49,2957824
50,1877536
51,2047408
52,2173040
53,2373200
54,2524848
55,2064784
56,2755008
57,2629328
58,415840
59,2019888
60,1213744
61,2278464
62,2621696
63,2634528
64,1926704
65,1245360
66,1719488
67,2861488
68,2693776
69,1658720
70,1841744
71,1739248
72,2004176
73,1785008
74,3063408
75,3508016
76,2702432
77,1803344
78,2008160
79,1728208
80,453136
81,2463776
82,2116880
83,1821296
84,2003680
85,1708288
86,433184
87,1481040
88,1578080
89,1946048
90,1873712
91,3025488
92,2113072
93,1790112
94,2024992
95,1862832
96,2133136
97,1789472
98,1772464
99,1722864
100,1806384
101,3153888
102,1741200
103,2678480
104,1887008
105,1165216
106,1861536
107,1754752
108,1757648
