HICOM_PING_START run=5
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
WARNING: timeout at seq 812
WARNING: timeout at seq 822
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
WARNING: timeout at seq 1687
Progress: 1700/2000 (lost: 3)
Progress: 1800/2000 (lost: 3)
Progress: 1900/2000 (lost: 3)
Progress: 2000/2000 (lost: 3)
========== SHM PING-PONG RESULTS ==========[  158.798012] r
andom: crng initMessages sent:    2000 done
Messages lost:    3 (0.150%)
RTL (us):
Mean:   2070.832    Std dev: 807.293
Min:     299.600    Max:     9627.872
P50:    2116.320    P95:     3274.544
P99:    4031.600    P99.9:   7150.160
Throughput: 483 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,5519232
2,3608784
3,2654560
4,2483312
5,2613328
6,2541792
7,2183552
8,2444080
9,2188128
10,362688
11,3696384
12,1851088
13,2048400
14,1930864
15,1851248
16,2219328
17,2992624
18,2124096
19,2219664
20,3030320
21,2024928
22,3221568
23,2815152
24,2841984
25,4208496
26,2204144
27,2310448
28,1367200
29,2044480
30,3843632
31,1495456
32,2110064
33,1151264
34,1909792
35,3928176
36,536080
37,1992512
38,2581264
39,2372048
40,1774272
41,1746944
42,1715984
43,2151136
44,1945440
45,487392
46,389520
47,1881616
48,2484016
49,2273632
50,1899168
51,437856
52,2305200
53,3362480
54,1898064
55,968128
56,2370384
57,2322976
58,2746928
59,2096912
60,2938928
61,2373792
62,2472432
63,1891200
64,1905728
65,2369920
66,2809040
67,2947104
68,2191552
69,1799376
70,1737392
71,2478576
72,2419936
73,350512
74,3313968
75,2193776
76,1796128
77,3768928
78,1779184
79,1862320
80,2188704
81,2186400
82,1842336
83,1986400
84,2816128
85,1987904
86,2463008
87,2611632
88,2732048
89,2286256
90,1300640
91,2402176
92,3046432
93,1698144
94,2191568
95,1634560
96,2519008
97,1836240
98,2031776
99,2134048
100,2099504
101,2832544
102,2336192
103,406320
104,2258112
105,2419520
106,2430192
107,2090608
108,2568144
109,443168
110,1937328
111,3986992
112,2160080
113,1624160
114,2071744
115,386608
116,1134784
117,2130016
118,1627712
119,2084432
120,1633184
121,1840608
122,1538528
123,2148912
124,1638848
125,2081056
126,2991776
127,1915808
128,2308128
129,350192
130,1244544
131,2170768
132,2625408
133,2253952
134,2133760
135,1841056
