HICOM_PING_START run=14
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
WARNING: timeout at seq 485
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   1958.063    Std dev: 791.355
Min:     264.000    Max:     10018.464
P50:    2017.920    P95:     3021.344
P99:    3950.064    P99.9:   9567.952
Throughput: 511 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3888672
2,1463856
3,561824
4,7157552
5,1678400
6,3508928
7,6483408
8,5007040
9,4640944
10,3442320
11,2192208
12,2953776
13,4381616
14,2837600
15,2055568
16,2467040
17,3012096
18,2325344
19,1962592
20,3439168
21,2055056
22,3914256
23,2059648
24,2311808
25,4348592
26,1919952
27,2684064
28,668432
29,1954320
30,2489152
31,3093280
32,2269584
33,2027328
34,3233520
35,2038864
36,1848880
37,1528160
38,1957328
39,388368
40,449584
41,2117152
42,2983952
43,2277392
44,2139616
45,1035408
46,2260720
47,1468208
48,2533024
49,2949728
50,1988160
51,2260912
52,3003968
53,1755152
54,2560352
55,1309216
56,2361536
57,1057344
58,2249984
59,1785648
60,369760
61,1642160
62,1322064
63,2455024
64,1906304
65,2135280
66,2014448
67,1886528
68,2260000
69,920720
70,2713984
71,3353984
72,370896
73,481696
74,3347920
75,2405568
76,1822192
77,2248016
78,1960800
79,2107824
80,2213696
81,2949936
82,1979456
83,2027264
84,405888
85,1463184
86,1908176
87,2666240
88,2066624
89,1806256
90,1918096
91,1911856
92,512848
93,2288592
94,2445936
95,2108736
96,2583056
97,3144256
98,2285520
99,2410352
100,2543232
101,742144
102,1875040
103,2257184
104,2299680
105,2034144
106,2102240
107,1789968
108,299024
109,2303616
110,1663040
111,2167520
112,1778672
113,442336
114,2239872
115,3077440
116,2361808
117,1243392
118,2551680
119,1740800
120,1963952
121,2019712
122,389488
123,2720784
124,2019120
125,1671376
126,333376
127,1558592
128,2053936
129,340544
130,1576880
131,2109488
132,1109088
133,2427456
134,2525664
135,3234288
136,1809392
137,2455936
138,415328
139,1672368
140,2007552
141,2100160
142,2297600
143,2654704
144,1939328
145,1846576
146,1973376
147,2199664
148,354224
149,1045472
150,1992672
151,1953344
152,2216112
153,1033168
154,2124272
155,1504336
156,2021840
157,1781792
158,2248960
159,2535264
160,1913824
161,371792
162,3997984
163,2398336
164,1191552
165,2304640
166,2621712
167,2004144
168,2240608
169,1701168
170,2021520
171,1376240
172,2174016
173,1769024
174,2094512
175,1279008
176,2409152
177,1281776
178,2395744
179,1962240
180,601360
181,2417280
182,2349696
183,2002960
184,424032
185,2676112
186,1784640
187,346400
188,2083920
189,1799008
190,2224656
191,3000288
192,1699904
193,2000768
194,1979632
195,3432720
196,1975072
197,349456
198,1198080
199,2272016
200,2998768
201,1888752
202,1874272
203,3027456
204,1787152
205,444864
206,2037920
207,1031776
208,2019936
209,1685152
210,1887920
211,1766288
212,1856816
213,1760112
214,2195616
215,353312
216,442608
217,1989616
218,1156912
219,2044128
220,1580960
221,2409120
222,2795712
223,1968336
224,1746512
225,1965888
226,2637952
227,2763344
228,2582496
229,2181152
230,1068464
231,2459264
232,2327216
233,2704832
234,2180672
235,2758672
236,1988112
237,2056880
238,1823072
239,1720512
240,2238944
241,560944
242,2973600
243,1988416
244,2595296
245,420784
246,1826880
247,2106384
248,1391296
249,2150928
250,2475488
251,2775568
252,307136
253,1886624
254,2516544
255,2156144
256,1965328
257,363392
258,1619600
259,2352464
260,3821344
261,3021344
262,377152
263,1007104
264,2351696
265,2194768
266,2787808
267,337296
268,2129728
269,2701072
270,388704
271,2231216
272,2076960
273,2438016
274,2007488
275,265680
276,1763360
277,1840800
278,545728
279,2555280
280,2446448
281,2139952
282,1984944
283,376272
284,2644224
285,2258304
286,2870096
287,2009696
288,2259680
289,2175264
290,681120
291,2333760
292,2115568
293,1600512
294,2180240
295,2674336
296,1828656
297,1387168
298,2464848
299,2367584
300,1642976
301,2975440
302,2192656
303,1480320
304,2203104
305,1127840
306,2048000
307,2046912
308,2002432
309,2336256
310,1986160
311,1732432
312,2162048
313,1771760
314,537584
315,1753808
316,2129232
317,2897520
318,1716640
319,1660592
320,368288
321,1883968
322,1697792
323,1806368
324,2227408
325,1485968
326,1953136
327,2157392
328,526352
329,2500544
330,1890592
331,1664032
332,2144928
333,1579952
334,2034528
335,1415392
336,2077088
337,1904672
338,338944
339,2872880
340,2020352
341,1815456
342,1981632
343,1848016
344,2048016
345,2287168
346,2684544
347,2191088
348,329216
349,1783664
350,2196592
351,2001328
352,1902464
353,445680
354,1550016
355,1995952
356,1737616
357,2246624
358,1814720
359,2226832
360,1016320
361,2437776
362,2001136
363,2200976
364,1861856
365,2052208
366,2253760
367,2116288
368,1926096
369,1004624
370,2202368
371,1993424
372,2328992
373,1951328
374,1796704
375,1971552
376,1930400
377,2199680
378,2564640
379,2556416
380,335824
381,2109248
382,1841392
383,2407120
384,403232
385,1935200
386,2142160
387,2608944
388,2133456
389,1650288
390,2187808
391,2139760
392,2637920
393,2136464
394,1731328
395,2077424
396,1919472
397,2063200
398,2613568
399,2948928
400,2986800
401,2707040
402,2286640
403,1702528
404,2056800
405,1684880
406,2277648
407,1148032
408,2207216
409,1861760
410,1809936
411,1635120
412,2097296
413,2843728
414,1873408
415,473888
416,1886672
417,2468304
418,1928800
419,360208
420,2244528
421,2625072
422,2140112
423,2010960
424,595568
425,999488
426,1884496
427,1871504
428,2264000
429,284720
430,1877296
431,1856160
432,472128
433,1974672
434,2440128
435,465408
436,1922304
437,2058048
438,335664
439,1159520
440,2063408
441,1836928
442,2369984
443,297680
444,2278336
445,1822816
446,2062032
447,2458976
448,465760
449,1734384
450,2384160
451,3091904
452,1783920
453,2073952
454,1655296
455,2404112
456,1033968
457,2192656
458,1851056
459,2295632
460,2722992
461,1960288
462,3768512
463,2119408
464,2369584
465,2827584
466,1949312
467,1916272
468,2004224
469,1647472
470,2093232
471,10018464
472,3120160
473,1129184
474,3740368
475,3884368
476,379856
477,4912576
478,3267952
479,385248
480,2950720
