HICOM_PING_START run=16
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
WARNING: timeout at seq 382
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   2110.999    Std dev: 827.133
Min:     270.320    Max:     5455.216
P50:    2210.176    P95:     3335.184
P99:    3876.112    P99.9:   4977.200
Throughput: 474 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3392816
2,2091632
3,1532896
4,2253744
5,3021584
6,2228848
7,1872176
8,322544
9,1782016
10,2424592
11,2013136
12,3317152
13,2176080
14,1464848
15,2475216
16,1087872
17,2358256
18,3218656
19,2061376
20,3845456
21,1956784
22,3406688
23,1702208
24,2430976
25,1143232
26,2454128
27,1951296
28,1955216
29,3588208
30,2503808
31,433648
32,4165248
33,2691584
34,2117760
35,320960
36,2304272
37,1969040
38,362240
39,2758848
40,2122624
41,1819088
42,2020608
43,2795216
44,4113072
45,2674224
46,528640
47,1964304
48,1792272
49,1922000
50,382608
51,3343824
52,2146224
53,2835888
54,1937488
55,1879568
56,3876112
57,393392
58,2615920
59,1925824
60,2057232
61,2917920
62,2908288
63,2032080
64,1760608
65,2365856
66,380240
67,2295856
68,2822720
69,1857248
70,2231744
71,375488
72,1213680
73,2120304
74,2839600
75,3927760
76,3801376
77,1848384
78,2166640
79,411120
80,2262624
81,1913632
82,2517888
83,2092176
84,1633824
85,2302944
86,1772720
87,1967200
88,2723488
89,3215312
90,2694416
91,2070048
92,1991312
93,2011216
94,2304048
95,1996544
96,361088
97,1890048
98,351584
99,1470640
100,2085712
101,1835696
102,2071120
103,1858752
104,2375616
105,378432
106,2247664
107,2423904
108,3721088
109,2109696
110,1852768
111,1787488
112,454064
113,2454464
114,2159680
115,1809040
116,2236048
117,1831296
118,2269056
119,2878224
120,426448
121,1775360
122,3161712
123,2030704
124,2006256
125,2137520
126,2708624
127,2245344
128,2213584
129,1509424
130,2064048
131,294320
132,2208128
133,1758432
134,2199584
135,2395632
136,2791408
137,2622896
138,390320
139,2510848
140,363936
141,2238672
142,1043616
143,1640704
144,2011888
145,2128464
146,1957808
147,2273856
148,4078544
149,4649584
150,2023568
151,1760800
152,2157632
153,1956784
154,2104160
155,2837664
156,3110960
157,2586016
158,1882720
159,3055632
160,4535120
161,1990592
162,2081904
163,1150528
164,2357376
165,299072
166,2520272
167,1761184
168,2356416
169,1961168
170,1688880
171,1812144
172,1831712
173,1894288
174,2137440
175,2423168
176,4883488
177,439792
178,1691968
179,1931648
180,2033136
181,2856432
182,1894864
183,2043936
184,1939776
185,2060816
186,1790064
187,2251696
188,2177920
189,584240
190,2064320
191,2508496
192,2076256
193,381488
194,2645120
195,370032
196,3558672
197,1850560
198,362096
199,2195200
200,1140000
201,2086704
202,2627664
203,2059008
204,2146448
205,2021168
206,2319504
207,2626416
208,508624
209,1457040
210,2092864
211,466800
212,386912
213,2275616
214,2831920
215,1836304
216,1949296
217,1725296
218,442016
219,2038624
220,1013376
221,2485680
222,2033264
223,478160
224,2076368
225,450112
226,2605776
227,1901280
228,407072
229,2249136
230,3031216
231,2141536
232,1961616
233,1973136
234,2752480
235,2251376
236,1827456
237,454880
238,2763008
239,2366080
240,2523120
241,2411328
242,328528
243,2299760
244,2079264
245,3081888
246,2278000
247,431360
248,968336
249,2479808
250,2817872
251,501504
252,1680496
253,2338448
254,2730400
