HICOM_PING_START run=18
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 0
Progress: 100/2000 (lost: 1)
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   2154.428    Std dev: 795.486
Min:     282.640    Max:     5374.576
P50:    2176.320    P95:     3427.872
P99:    3988.832    P99.9:   5216.832
Throughput: 464 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2179824
2,2793168
3,3959520
4,915536
5,5374576
6,5015248
7,3806080
8,2384656
9,2508528
10,4663520
11,2785440
12,3664000
13,4282336
14,3423968
15,2155216
16,857280
17,3224336
18,1933440
19,1079296
20,2153456
21,2983632
22,2709952
23,3137744
24,2474720
25,1332928
26,2349856
27,2873184
28,1549376
29,2340240
30,2651440
31,3082208
32,2310960
33,2235296
34,2157520
35,479472
36,1127216
37,2533440
38,2394304
39,1377120
40,2439072
41,2754624
42,3299776
43,2239584
44,3654176
45,2174160
46,2217360
47,2324208
48,3273776
49,2502400
50,580448
51,3269328
52,2422768
53,1178496
54,3589376
55,2561088
56,3460848
57,1155168
58,2261392
59,2134320
60,3163552
61,3478256
62,2006336
63,510480
64,466704
65,2163664
66,1951904
67,2324096
68,2309072
69,2471552
70,1205696
71,2502512
72,1277952
73,2466960
74,2611776
75,2639488
76,1998688
77,1196464
78,487088
79,3406320
80,376128
81,2697408
82,2856688
83,2323824
84,3178848
85,2557664
86,3025760
87,2670928
88,1198448
89,2052864
90,2738720
91,2653472
92,406768
93,3142768
94,367216
95,3092560
96,474016
97,2453520
98,2514832
99,2421904
100,3054624
101,2473392
102,3015584
103,578624
104,467152
105,2015872
106,3259808
107,2603056
108,590000
109,2230688
110,2614336
111,2263424
112,2902992
113,2327808
114,2492384
115,2219184
116,555424
117,590064
118,3138960
119,2753872
120,2199520
121,2979216
122,2593920
123,3309520
124,458224
125,3059872
126,2186384
127,2897504
128,2231664
129,2572224
130,2101104
131,2816144
132,2680656
133,2234448
134,1978560
135,3356992
136,2205600
137,2283632
138,3240032
139,2083808
140,2257536
141,2875072
142,2115856
143,2450080
144,2555360
145,1233376
146,2176688
147,3758320
148,3010112
149,2398144
150,2277120
151,2476448
152,2971808
153,2416656
154,3230096
155,2298432
156,3015824
157,2469424
158,3267648
159,2169008
160,1315392
161,2614016
162,2224048
163,1806064
164,3307024
165,2482064
166,3031072
167,2404624
168,470976
169,3039104
170,3279568
171,2570816
172,2146832
173,3046336
174,2119504
175,2438736
176,3546368
177,1420288
178,2334256
179,2759264
180,2232512
181,2162368
182,2956352
183,2245312
184,3558752
185,3278864
186,1889344
187,2467952
188,2753696
189,488144
190,3172960
191,2604944
192,1312704
193,2202752
194,451376
195,2124512
196,1329984
197,2156640
198,1262976
199,2188240
200,544176
201,3166640
202,2250880
203,1185760
204,2299056
