HICOM_PING_START run=21
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
WARNING: timeout at seq 540
WARNING: timeout at seq 544
Progress: 600/2000 (lost: 2)
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2296.492    Std dev: 1222.916
Min:     267.216    Max:     37237.632
P50:    2354.288    P95:     3569.424
P99:    4134.272    P99.9:   10040.704
Throughput: 435 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,465296
2,4982080
3,2315904
4,2528272
5,2328288
6,1934784
7,3371072
8,1061120
9,3153440
10,566080
11,2981760
12,2500624
13,1034576
14,2898144
15,3867424
16,4227040
17,2692992
18,3133520
19,2474544
20,1962624
21,645392
22,2782624
23,3617552
24,2072704
25,1762464
26,458400
27,3186384
28,2130448
29,2908208
30,596112
31,3304496
32,2140592
33,362736
34,2635728
35,3683024
36,4134272
37,2354288
38,2665568
39,3004640
40,2282096
41,3305024
42,2444960
43,1349376
44,2132176
45,3390336
46,3009904
47,624416
48,1542864
49,3123472
50,2425216
51,1277072
52,2414816
53,3712800
54,3032992
55,472672
56,2914496
57,643472
58,1531120
59,3281792
60,2247296
61,3629520
62,3030176
63,626384
64,1393920
65,2337904
66,2025552
67,2159312
68,2577920
69,2540304
70,3671936
71,3314512
72,2344736
73,3569424
74,2192448
75,2610432
76,1430544
77,2515296
78,2393600
79,374416
80,2520032
81,3316256
82,1464576
83,2547056
84,2426432
85,3080336
86,641008
87,1259744
88,3535968
89,2572736
90,1147712
91,657456
92,3108768
93,2356400
94,2760576
95,590416
96,1358848
97,454480
98,3350592
99,2270048
100,2207488
101,2472064
102,1301072
103,2290256
104,1112896
105,2507168
106,3466000
107,3428528
108,2044096
109,3290768
110,2393424
111,1470080
112,2308784
113,3308000
114,3214400
115,710432
116,1237232
117,2357760
118,2967664
119,2420800
120,3521504
121,3858368
122,2210144
123,3562416
124,1454240
125,3716512
126,2408208
127,2484160
128,1419504
129,452560
130,4108544
131,3150704
132,2220880
133,546192
134,3084224
135,2627360
136,2928960
137,647584
138,3791088
139,3093120
140,443696
141,2756224
142,721232
143,2755008
144,2401728
145,2074560
146,1313664
147,2373680
148,2736896
149,451472
150,3452496
151,2453728
152,564896
153,2319984
154,3932768
155,2233952
156,2744544
157,1281968
158,2415136
159,2336256
160,2999632
161,2176320
162,2597296
163,2171840
164,434576
165,2654112
166,2875120
167,2542080
168,2121328
169,2923232
170,2448592
171,3161520
172,2395632
173,3122400
174,2431760
175,1299792
176,2358464
177,1832224
178,2779152
179,3701856
180,439808
181,3069872
182,2087632
183,2349632
184,1687136
185,3538992
186,2470592
187,2559920
188,1466976
189,2414624
190,3021904
191,2010784
192,3129216
193,2643184
194,2134192
195,3540912
196,695808
197,2030832
198,2343856
199,3037584
200,2031392
201,2588144
202,2149296
203,3336112
204,2238256
205,363024
206,2787440
207,405760
208,4062160
209,2542608
210,2183424
211,1410720
212,482224
213,3181952
214,3560704
215,3714304
216,3627040
217,2271040
218,1351680
219,636944
220,3278944
221,475264
222,2777376
223,1952480
224,2546784
225,2836240
226,393104
227,2994208
228,3994208
229,3820928
230,3262656
231,2384448
232,1270640
233,522928
234,3099344
235,2273120
236,1135408
237,2328992
238,1444160
239,3599040
240,2621904
241,2586112
242,1235920
243,2363632
244,2853840
245,2581248
246,3213472
247,2560096
248,2059280
249,2450880
250,3490336
251,2225696
252,3930992
253,1967344
254,2412576
255,431664
256,2379248
257,2654144
258,2266560
259,1242704
260,2410272
261,1383616
262,2509936
263,1327424
264,3337728
265,2510704
266,3412480
267,1448112
268,2316416
269,2973184
270,2467280
271,2315568
272,2449280
273,1381344
274,2472224
275,2588880
276,2708064
277,673552
278,1244864
279,506880
280,3252816
281,2086960
282,1362144
283,2205120
284,1373904
285,2208880
286,2531152
287,1388224
288,2430144
289,2038864
290,2357488
291,3381152
292,3290784
293,2199264
294,2791008
295,2845024
