HICOM_PING_START run=25
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
WARNING: timeout at seq 209
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
WARNING: timeout at seq 1103
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
WARNING: timeout at seq 1974
WARNING: timeout at seq 1981
Progress: 2000/2000 (lost: 4)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    4 (0.200%)
RTL (us):
Mean:   2010.678    Std dev: 821.245
Min:     264.848    Max:     11534.016
P50:    2047.680    P95:     3120.656
P99:    4050.608    P99.9:   9820.368
Throughput: 497 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3270352
2,4398560
3,7694464
4,7329760
5,3995440
6,924800
7,2877184
8,3728880
9,2848816
10,550784
11,3148544
12,2434576
13,2383472
14,3162128
15,2216816
16,452320
17,2351232
18,2482160
19,2732944
20,3271376
21,2154112
22,3347392
23,2269968
24,2950096
25,2149264
26,2532496
27,2571792
28,2832560
29,2666256
30,1288272
31,549712
32,3124288
33,404320
34,3085488
35,2290736
36,2560976
37,1200384
38,2386192
39,1418208
40,2136256
41,2873504
42,2856048
43,3086704
44,519056
45,3243904
46,455440
47,3123728
48,3926624
49,3566432
50,362592
51,3698944
52,2966752
53,3889360
54,3673968
55,567632
56,3279008
57,3298992
58,2536208
59,3771984
60,1322672
61,2223248
62,2864144
63,2124112
64,2435008
65,2718848
66,2783440
67,3113776
68,2440352
69,1290896
70,2511808
71,2994512
72,547616
73,2204592
74,2005248
75,2296656
76,1999424
77,2154960
78,2542112
79,2392464
80,1219776
81,2371440
82,1197376
83,2344896
84,1268224
85,2309968
86,1414000
87,3210192
88,2712624
89,2646784
90,2636816
91,2580816
92,2307568
93,2246112
94,2655184
95,2251472
96,2684256
97,2823088
98,3327344
99,1256464
100,2464016
101,2494176
102,441552
103,2691984
104,2232720
105,2751472
106,2458080
107,2228832
108,540144
109,3038016
110,2629952
111,3013008
112,545712
113,3851824
114,410448
115,3303952
116,4101440
117,365056
118,2631152
119,2851072
120,2659440
121,1228704
122,2364960
123,1369248
124,3521888
125,4186048
126,2186144
127,2266000
128,2795392
129,2925280
130,3154688
131,2621216
132,1125888
133,2080704
134,2695120
135,3066512
136,2960288
137,2717168
138,2957280
139,2560336
140,1342768
141,2541200
142,376144
143,2289696
144,1207152
145,3193808
146,2248304
147,4099360
148,1222784
149,382944
150,2932096
151,2347120
152,1798656
153,2425776
154,1216768
155,1847824
156,1797040
157,1845088
158,1564128
159,2094272
160,2898256
161,2081200
162,2178992
163,1695184
164,2196624
165,1002832
166,2005856
167,1797344
168,1931456
169,1954176
170,1807872
171,1706336
172,2403744
173,2810560
174,1940656
175,2907216
176,2027008
177,3135168
178,2823040
179,3479408
180,1895536
181,1167072
182,2215600
183,2767712
184,2454592
185,391040
186,1934816
187,1722144
188,1987024
189,1651936
190,458304
191,1625088
192,440640
193,1791072
194,1225808
195,379440
196,3073184
197,2222384
198,1647584
199,2118304
200,992416
201,9820368
202,1482608
203,2347872
204,4953760
205,2601424
206,4810544
207,589712
208,2240448
209,2118176
210,2689728
211,2365392
212,1147728
213,2412752
214,2628720
215,2100592
216,1771952
217,1964400
218,1882000
219,1865536
220,1652624
221,2029360
222,1973776
223,1725168
224,2325952
225,2242432
226,2767264
227,1872688
228,2003904
229,2211104
230,1097088
231,2852256
232,2627680
233,1781728
234,1781600
235,618880
236,1050688
237,2045376
238,3450848
239,2330784
240,2131216
241,2758064
242,2418544
243,2270336
244,1147696
245,2160032
246,2363680
247,2280160
248,1951200
249,1986000
250,1928576
251,430336
252,1224592
253,2065792
254,1315872
255,443744
256,3203008
257,1990608
258,460464
259,1692320
260,2126832
261,2283568
262,1744752
263,1784800
264,1422672
265,2328560
266,2702000
267,2210560
268,2203712
269,1650816
270,1909584
271,311168
272,1115136
273,2416752
274,1177968
275,2033392
276,1686768
277,2035984
278,2664416
279,3165840
280,2689568
281,392368
282,1999904
283,2405280
284,450048
285,1921504
286,1590496
287,1752896
288,1872608
289,480864
290,1383184
291,1766176
292,405808
293,1182464
294,1822608
295,381376
296,944016
297,1657856
298,2040240
299,1882384
300,443776
301,1959328
302,2024960
303,2522064
304,2308800
305,294240
306,2102512
307,2642976
308,2571856
309,1992496
310,1148512
311,1803760
312,2179536
313,1998016
314,357152
315,1672224
316,1792640
317,1837344
318,2224736
319,2411408
320,1120144
321,2174720
322,1666832
323,1966816
324,2160144
325,2036768
326,2473328
327,1936544
328,1900704
329,432880
330,1561232
331,494352
332,2933712
333,1745344
334,341280
335,1700352
336,2219872
337,2343040
338,363520
339,2735328
340,1997536
341,2726096
342,3558144
343,2703664
344,308880
345,2866064
346,1587568
347,2114992
348,1778400
349,1732864
350,427344
351,2980640
352,1919216
353,1887760
354,2432816
355,1214544
356,1947488
357,307360
358,1829664
359,1889648
360,1735456
361,2019216
362,2413344
363,2886080
364,2209392
365,2474592
366,1848672
367,2055792
368,2379744
369,2362704
370,2588544
371,1730528
372,2044464
373,2137680
374,1653072
375,1913120
376,2564240
377,2347136
378,2112752
379,1957920
380,2053056
381,1407968
382,2367456
383,2772560
384,1917504
385,1877760
386,2206192
387,2212928
388,903872
389,1567568
390,2205248
391,1833888
392,379072
393,2660512
394,2665424
395,2003664
396,1284944
397,1987040
398,1882976
399,1982736
400,373040
401,1819920
402,1651520
403,277008
404,3598112
405,351888
406,2826000
407,2235504
408,1402240
409,1984304
410,1669344
411,2212016
412,1143328
413,435360
414,3022624
415,2504112
416,2553248
417,2586848
418,2255184
419,2359408
420,2671248
421,1910160
422,1825328
423,1702384
424,537984
425,2527776
426,2151840
427,391760
428,2240752
429,2815280
430,2236336
431,1782512
432,1715344
433,2135088
434,2530000
435,2272320
436,1880992
437,1781440
438,1757296
439,2525808
440,2115008
441,1240592
442,2127664
443,1704832
444,1785920
445,1495264
446,2097072
447,1852528
448,1790624
449,3057840
450,2008704
451,2233840
452,2354688
453,2696992
454,2617120
455,1261680
456,2311248
457,2885568
458,1851008
459,1738496
460,1718144
461,1974688
462,1784032
463,2205648
464,1732960
465,416816
466,3045040
467,292224
468,2094400
469,1950544
470,2178032
471,2202800
472,2442688
473,2426384
474,1945328
475,2183712
476,2148896
477,2495600
478,2733488
479,1753136
480,2356032
481,2665760
482,1779984
483,1830736
484,2181568
485,1646336
486,2255888
487,2717680
488,2129936
489,2242128
490,1467856
491,360848
492,1876960
493,1384816
494,1803696
495,329584
496,1796688
497,2196528
498,1882032
499,1708480
500,1984736
501,2601088
502,2173888
503,2204912
504,312464
505,1062400
506,2191984
507,1554384
508,1697760
509,1826208
510,456176
511,3285664
512,397920
513,2919008
514,1597216
515,1901952
516,1953824
517,333408
518,1740576
519,2276800
520,1945312
521,1947696
522,1792960
523,2083568
524,2356496
525,2618000
526,2547312
527,2270592
528,1287424
529,2279936
530,2876512
531,2007216
532,2154016
533,1045408
534,1808336
535,1947008
536,2159952
537,1942736
538,2273040
539,2946992
540,2195840
541,2041616
542,2482560
543,2286576
544,2088960
545,2363280
546,2785568
547,1952896
548,2031216
549,1947024
550,344640
551,1723264
552,2259840
553,1801104
554,1932336
555,1409520
556,2425392
557,2467952
558,1872208
559,1874032
560,2166944
561,1721456
562,299216
563,2707792
564,1906368
565,1765952
566,446720
567,3063184
568,2101616
569,1907424
570,2115440
571,2522352
572,2211968
573,1737872
574,2146608
575,1969088
576,1578896
577,1814320
578,2073216
579,1728896
580,1672704
581,1905024
582,1796896
583,2035968
584,2377584
585,478240
586,2257664
587,1777024
588,2941328
589,1994080
590,1835488
591,1931760
592,2177360
593,357616
594,1587536
595,2588720
596,1648480
597,1900960
598,2269472
599,1942912
600,405904
601,1744336
602,428896
603,2027584
604,1905552
605,2180768
606,2100512
607,2574016
608,2320864
609,1936384
610,1766992
611,385552
612,2154832
613,2066176
614,2236224
615,1899072
616,1666752
617,1948144
618,3146176
619,2736704
620,2087648
621,1692448
622,2108976
623,1773600
624,2151168
625,1062784
626,2481120
627,2913504
628,2402352
629,2010576
630,1127920
631,1663008
632,1820432
633,1647840
634,2336736
635,2168144
636,2220112
637,2818992
638,1921328
639,1760992
640,2218400
641,1685520
642,2279120
643,1734656
644,2248256
645,2119232
646,2440176
647,2557232
648,1742256
649,2209248
650,1767456
651,1962288
652,2111040
653,1934512
654,364160
655,1695648
656,2291152
657,2593856
658,2014656
659,1797312
660,2020592
661,1696368
662,2188080
663,2405472
664,2902976
665,2243936
666,2468928
667,2355232
668,1710976
669,2076832
670,1772592
671,322240
672,1551632
673,322224
674,3017824
675,1711536
676,420800
677,1971504
678,2090400
679,281296
680,2380624
681,1095808
682,1652432
683,1951632
684,1746032
685,2737296
686,1889328
687,1695904
688,277600
689,2937232
690,1993680
691,1692304
692,2079968
693,2088960
694,2053888
695,2683584
696,372624
697,1694736
698,436496
699,1958096
700,1713728
701,3101984
702,2610704
703,1805376
704,2154752
705,1899184
706,2021328
707,2228272
708,1602560
709,2484112
710,2062096
711,1442352
712,1966144
713,2225232
714,275760
715,3346128
716,2058256
717,1713504
718,2326224
719,1974128
720,1819024
721,2238608
722,2037488
723,2114512
724,2339488
725,2698176
726,1996992
727,1963296
728,1894016
729,2339120
730,2483968
731,2361024
732,1883456
733,1983104
734,1868112
735,365072
736,1364768
737,1968048
738,316720
739,2334736
740,2177776
741,2072560
742,417168
743,2862224
744,1995328
745,2223520
746,1453456
747,1865216
748,459328
749,2944320
750,2124352
751,3192800
752,1877888
753,2031056
754,2426816
755,1184528
756,2189392
757,2888112
758,2035472
759,2530400
760,2840848
761,2052800
762,1941312
763,2083008
764,2342944
765,1171552
766,2414112
767,2423344
768,2290640
769,1873312
770,2021424
771,2151280
772,1730288
773,2362384
774,2489984
775,1766304
776,1976768
777,2034272
778,342112
779,1787248
780,1679264
781,1839184
782,1635744
783,2388768
784,1976144
785,1933696
786,2022272
787,2034176
788,2292720
789,1932144
790,2049968
791,2124928
792,1799072
793,3177600
794,2546288
795,1205392
796,2281744
797,2863216
798,2171952
799,2481152
800,2029936
801,2164576
802,1699968
803,659072
804,2682576
805,2379792
806,2277824
807,2568224
808,2549328
809,2557104
810,2562192
811,3650768
812,1977152
813,2030928
814,3251328
815,3103008
816,2989696
817,2069088
818,1647840
819,2283968
820,2213488
821,2033408
822,1674656
823,3328928
824,2639712
825,2030224
