HICOM_PING_START run=27
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 6
WARNING: timeout at seq 10
Progress: 100/2000 (lost: 2)
Progress: 200/2000 (lost: 2)
Progress: 300/2000 (lost: 2)
Progress: 400/2000 (lost: 2)
Progress: 500/2000 (lost: 2)
Progress: 600/2000 (lost: 2)
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2015.393    Std dev: 727.645
Min:     265.664    Max:     4803.936
P50:    2094.960    P95:     3086.656
P99:    3739.088    P99.9:   4630.704
Throughput: 496 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3881136
2,3022976
3,2752480
4,4147408
5,518016
6,2855216
7,3347408
8,3203104
9,4803936
10,3160000
11,795952
12,3216512
13,447888
14,2646432
15,4199168
16,4097680
17,3265520
18,3331728
19,2251264
20,2102064
21,3174864
22,2183216
23,1184896
24,2484240
25,3042784
26,1946880
27,2285680
28,2751600
29,3621648
30,2603344
31,2545456
32,319232
33,2158960
34,2717696
35,2460288
36,2184768
37,1038464
38,2018352
39,2110864
40,1809824
41,1733616
42,377216
43,2814656
44,2478160
45,2425360
46,2140304
47,348896
48,2227472
49,2917984
50,1854992
51,2174144
52,1977808
53,2289632
54,2013280
55,1828128
56,2471376
57,1107104
58,2311360
59,2058032
60,2872240
61,2809040
62,2161216
63,1956816
64,2011584
65,1175776
66,2265872
67,346096
68,2946224
69,1997488
70,339376
71,3086736
72,2001904
73,2114880
74,2876096
75,2953120
76,3045056
77,2564608
78,1791488
79,2646336
80,2546064
81,1832144
82,321664
83,2726000
84,3680992
85,3636816
86,1948144
87,1725088
88,2102608
89,2507808
90,2916672
91,1964224
92,2463696
93,1605008
94,2386928
95,1183344
96,2168960
97,2890784
98,2026320
99,2093424
100,1981072
101,2309328
102,2904720
103,1928464
104,2493424
105,1147776
106,2413552
107,1055616
108,2099920
109,1944592
110,2465872
111,414752
112,2509232
113,2422992
114,1419760
115,1929920
116,386128
117,2583888
118,1853184
119,1967264
120,1934464
121,2156016
122,2469936
123,2923152
124,2083888
125,3690208
126,2004320
127,2389008
128,1129184
129,2200624
130,2613664
131,3947584
132,2385776
133,2269264
134,1096528
135,2331696
136,2278896
137,2676064
138,444432
139,2174128
140,2668736
141,3867600
142,3802176
143,2030448
144,2627504
145,2426416
146,2008368
147,349568
148,2122560
149,2239056
150,3068848
151,2605760
152,2459264
153,1413808
154,2248528
155,2171312
156,3049648
157,1754960
158,2168512
159,355760
160,2924128
161,2384480
162,2397280
163,2366960
164,2096800
165,1715776
166,2098848
167,1592912
168,2020560
169,2393168
170,2626192
171,2001328
172,346832
173,1212768
174,1668112
175,2268880
176,337936
177,2658720
178,2371824
179,3278176
180,2229984
181,2349568
182,2128784
183,2001728
184,2379648
185,2354672
186,361872
187,1222704
188,2202416
189,2510144
190,2854256
191,2006896
192,1092832
193,2164912
194,322144
195,359952
196,2264480
197,2930560
198,1996032
199,1930544
200,1721392
201,2468352
202,2354544
203,3664768
204,2595952
205,2122640
206,958976
207,2059072
208,1944192
209,2594192
210,3003744
211,2108000
212,2160448
213,2854752
214,2074896
215,2003040
216,1782848
217,2211536
218,2630032
219,1837456
220,290976
221,2013728
222,398080
223,387376
224,2248880
225,1114176
226,1723632
227,2143296
228,420768
229,2732448
230,1915600
231,1759296
232,2157024
233,1482800
234,2536816
235,1925376
236,1944480
237,2245664
238,1981600
239,2186160
240,383728
241,2055808
242,1778576
243,2318064
