HICOM_PING_START run=1
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
WARNING: timeout at seq 679
WARNING: timeout at seq 685
Progress: 700/2000 (lost: 2)
WARNING: timeout at seq 799
Progress: 800/2000 (lost: 3)
Progress: 900/2000 (lost: 3)
Progress: 1000/2000 (lost: 3)
Progress: 1100/2000 (lost: 3)
Progress: 1200/2000 (lost: 3)
Progress: 1300/2000 (lost: 3)
Progress: 1400/2000 (lost: 3)
WARNING: timeout at seq 1407
WARNING: timeout at seq 1417
Progress: 1500/2000 (lost: 5)
Progress: 1600/2000 (lost: 5)
WARNING: timeout at seq 1619
WARNING: timeout at seq 1620
WARNING: timeout at seq 1621
WARNING: timeout at seq 1622
WARNING: timeout at seq 1623
Progress: 1700/2000 (lost: 10)
Progress: 1800/2000 (lost: 10)
Progress: 1900/2000 (lost: 10)
WARNING: timeout at seq 1953
Progress: 2000/2000 (lost: 11)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    11 (0.550%)
RTL (us):
Mean:   2431.723    Std dev: 1124.698
Min:     336.640    Max:     10041.072
P50:    2314.688    P95:     4106.256
P99:    6326.176    P99.9:   9285.616
Throughput: 411 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,6766208
2,2111760
3,3085600
4,2271024
5,3172752
6,420624
7,2819728
8,3622544
9,3777344
10,4139520
11,3873936
12,4731232
13,2755152
14,2145152
15,2883168
16,4460752
17,1754464
18,3263280
19,6292896
20,7730176
21,3618128
22,2647312
23,6273760
24,1181232
25,3188352
26,3176288
27,3498960
28,2862320
29,2043664
30,3597200
31,3448976
32,2407136
33,862976
34,2308864
35,620544
36,2499712
37,2164896
38,2020128
39,3624896
40,3527584
41,500560
42,2816624
43,2744496
44,2565392
45,2496784
46,1947472
47,571408
48,2612368
49,4171808
50,500240
51,2719408
52,2322464
53,1580832
54,3370672
55,3395184
56,2710176
57,1948848
58,422384
59,1424320
60,3261936
61,481600
62,3080272
63,400640
64,2850224
65,2417760
66,1353280
67,2729824
68,2311168
69,1259344
70,3517216
71,2035104
72,2788720
73,2767328
74,2396608
75,2341712
76,3583296
77,2628560
78,2571072
79,2250928
80,1309136
81,1886960
82,3476032
83,2092160
84,2341776
85,2998752
86,424912
87,2775536
88,2833360
89,2162672
90,2438992
91,1943680
92,1799680
93,2172240
94,1188944
95,2504336
96,1148272
97,2297424
98,2995824
99,2314688
100,3213216
101,2409168
102,3490128
103,3416416
104,2368112
105,1519072
106,2437600
107,2394192
108,488208
109,2400800
110,2930640
111,2305664
112,3715360
113,3475840
114,2125280
115,1127376
116,2530928
117,3873360
118,2789664
119,2474848
120,3060080
121,2779216
122,2775792
123,2982896
124,2127920
125,2413472
126,2223008
127,499552
128,2544432
129,1156944
130,724224
131,2436208
132,2179504
133,3505408
134,2136832
135,3295504
136,2143088
137,3134656
138,1991584
139,2669728
140,2616368
141,2126992
142,466128
143,4941616
144,579728
145,2129552
146,2195584
147,3297712
148,641408
149,3043152
150,3619648
151,2344272
152,1426336
153,3193776
154,2022128
155,626720
156,2329200
157,2457232
158,5007408
159,2177984
160,3484640
161,428512
162,2974992
163,3719360
164,3183984
165,1918736
166,392560
167,3615776
168,1075328
169,2283824
170,1197200
171,1955776
172,2871520
173,2519808
174,2130576
175,2682080
176,2320048
177,564848
178,3014496
179,2678624
180,2217296
181,2691216
182,2474896
183,2035136
184,3752944
185,1848768
186,537232
187,3380544
188,2192304
189,2039008
190,563648
191,465312
192,3125008
193,2287056
194,1280464
195,2206480
196,2510608
197,2115056
198,2321136
199,3014592
200,2038912
201,607808
202,2782736
203,2588208
204,2458192
205,2930992
206,1990320
207,2411504
208,2200688
209,2121152
210,713120
211,2604336
212,2326576
213,3300992
214,2587968
215,3213792
216,3446512
217,2662272
218,2156496
219,2032480
220,439952
221,2294304
222,2007152
223,2190240
224,3406992
225,2154224
226,2801328
227,3396864
228,3623584
229,2151824
230,2096768
231,1969632
232,2515712
233,2354640
234,2093952
235,3261408
236,2183744
237,1708992
238,596464
239,2983312
240,3096368
241,2035248
242,1866336
243,2299328
244,1362928
