HICOM_PING_START run=18
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
WARNING: timeout at seq 900
WARNING: timeout at seq 911
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
WARNING: timeout at seq 1703
Progress: 1800/2000 (lost: 3)
Progress: 1900/2000 (lost: 3)
Progress: 2000/2000 (lost: 3)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
Mean:   2238.356    Std dev: 1013.404
Min:     267.760    Max:     11864.512
P50:    2137.408    P95:     3746.368
P99:    5738.240    P99.9:   10153.984
Throughput: 447 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,10153984
2,5514416
3,3579408
4,4775344
5,997360
6,3005248
7,623792
8,2609584
9,3341776
10,2313520
11,1874672
12,615920
13,1185056
14,2179728
15,3512816
16,1801440
17,2061968
18,3551808
19,1847184
20,2724224
21,2403792
22,1107136
23,1834496
24,565712
25,2937408
26,2137408
27,2206688
28,2742960
29,1768832
30,2359760
31,1964480
32,3156640
33,2311248
34,436096
35,2352688
36,2340736
37,3286912
38,407424
39,3246736
40,3784480
41,2105376
42,2395776
43,2316336
44,2939952
45,2911680
46,2888480
47,2000720
48,1880880
49,1906240
50,1935296
51,2219120
52,2369360
53,1764736
54,1837024
55,1940800
56,2184464
57,3071328
58,1879664
59,1577488
60,2247088
61,2181632
62,2827216
63,2148752
64,1884800
65,2169296
66,2238160
67,2472416
68,1213104
69,2259824
70,3390848
71,564560
72,1823120
73,1986864
74,2156688
75,1864880
76,2157792
77,2563216
78,2182768
79,620688
80,2250112
81,2492768
82,2979056
83,2727104
84,3236544
85,2428672
86,1853104
87,2076816
88,2284480
89,2146720
90,2409232
91,352240
92,1933312
93,2098656
94,2159792
95,2118000
96,1175760
97,2735536
98,1740544
99,2365824
100,1764256
101,4072016
102,3606112
103,1059456
104,825856
105,4913888
106,3637424
107,2057408
