HICOM_PING_START run=19
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
WARNING: timeout at seq 735
WARNING: timeout at seq 747
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
WARNING: timeout at seq 1594
Progress: 1600/2000 (lost: 3)
Progress: 1700/2000 (lost: 3)
Progress: 1800/2000 (lost: 3)
Progress: 1900/2000 (lost: 3)
Progress: 2000/2000 (lost: 3)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
Mean:   2132.040    Std dev: 871.345
Min:     286.080    Max:     14065.248
P50:    2129.648    P95:     3510.272
P99:    4247.792    P99.9:   8244.480
Throughput: 469 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,5044800
2,6457792
3,1939312
4,2194848
5,1926112
6,522048
7,357568
8,2124880
9,2808960
10,2383904
11,2257744
12,3541392
13,1891808
14,1830496
15,2195376
16,3375488
17,2089392
18,2989840
19,2454720
20,2004112
21,1429168
22,3091968
23,2323504
24,2657136
25,2495568
26,2135120
27,2243232
28,2704496
29,2289056
30,389840
31,1306160
32,1868016
33,1810672
34,3853920
35,2207088
36,976688
37,1500528
38,2616192
39,2427952
40,3718016
41,2031568
42,3120128
43,3424784
44,3549680
45,3133824
46,2290304
47,1159600
48,1853152
49,575648
50,2547472
51,3248992
52,3002640
53,525856
54,1871360
55,2003136
56,2804496
57,2451696
58,2039680
59,2117152
60,3612256
61,2608304
62,1805200
63,1889232
64,1761696
65,2343344
66,1984704
67,1738976
68,1904480
69,2474416
70,2492304
71,770768
72,2922768
73,369392
74,3302832
75,1881072
76,1656448
77,2142976
78,2553488
79,2137392
80,3237104
81,3035440
82,2569088
83,2678880
84,1870608
85,1620192
86,3849920
87,1905264
88,2112480
89,3545200
90,3323120
91,2326384
92,1170960
93,2203088
94,5328640
95,3727040
96,2395456
97,3527840
98,3426848
99,3233440
100,2249984
101,618992
102,2129648
103,376976
104,3150064
105,2091328
106,2272960
107,342000
108,2639136
109,2307984
110,3619392
111,336912
112,3585392
113,1922512
114,2339616
115,1980240
116,1761872
117,2266464
118,3944160
119,2038896
120,1318848
121,1846752
122,1979840
123,2391424
124,1696112
125,3827232
126,2205840
127,2566112
128,2457264
129,1531888
130,1801104
131,2008096
132,2139568
133,2416656
134,3577872
135,678560
136,4817088
137,473584
138,2817360
139,2040768
140,1851456
141,2349168
142,3041120
143,1765216
144,1892480
145,2326576
146,2382256
147,2094640
148,1339872
149,1963696
150,3243760
151,2133392
152,1892768
153,1933952
154,3499088
155,2264752
156,1531360
157,3385552
158,1958224
159,1940592
160,2151136
161,1235456
162,2291728
163,2936768
164,2240352
165,3621632
166,2253920
167,1329312
168,3839248
169,2302672
170,410880
171,2120288
172,1183920
173,2137968
174,1129744
175,2491376
176,3799552
177,4598000
178,2336848
179,2696336
180,2303360
181,3545920
182,1968880
183,2031136
184,2164640
185,2864448
186,3200832
187,2866208
188,3462032
189,2522272
190,2339120
191,1518176
192,691968
193,2889072
194,1971792
195,3166736
196,2390016
197,3415760
198,2287776
199,2231696
200,2574560
201,3603440
202,3364544
203,3516112
204,2017792
205,2518576
206,380576
207,3223456
208,1967984
209,2186864
210,526640
211,2823600
212,2496352
213,3209680
214,2249408
215,3033600
216,2111248
217,2753136
218,2217568
219,2565088
220,1434368
221,2130688
222,2889056
223,2114448
224,1660080
225,1823088
226,1801296
227,2026432
228,2248048
229,2950208
230,2296320
231,2435728
232,2108896
233,1696400
234,1943456
235,1905520
236,1969392
237,1850928
238,2141680
239,2933056
240,2061200
241,2246992
242,1834704
243,2222736
244,1928656
245,490000
246,366896
247,2936160
248,2261056
249,1804464
250,2069520
251,1672192
252,2135936
253,2983808
254,1913904
255,2142752
256,1793456
257,2246368
258,2638384
259,2296144
260,2144016
261,1864976
262,2082368
263,2230016
264,2103248
265,2238416
266,3425120
267,2268128
268,2929840
269,3788656
270,1858160
271,1926256
272,1734608
273,1856320
274,1869936
275,3668368
276,2269168
277,2658208
278,603312
279,2041392
280,2490304
281,2259312
282,2782624
283,2416448
284,2306304
285,2694016
286,3521872
287,3955216
288,2627024
289,1829008
290,488912
291,3040672
292,1869872
293,391408
294,2113536
295,2569152
296,3728960
297,4037664
298,3537264
299,1232368
300,2281328
301,403264
302,2665216
303,2442000
304,2945616
305,2111696
306,664560
307,3044352
308,4762864
309,2410720
310,1923792
311,3286736
312,2180880
313,2006496
314,2731520
315,419040
316,1316960
317,1865424
318,2040816
319,2542784
320,2013216
321,1782208
322,2411568
323,3000064
324,2606848
325,3446032
326,542608
327,2536128
328,2008512
329,615616
330,2033504
331,2505056
332,2937920
333,2671296
334,2124640
335,1669120
336,2571984
337,1836480
338,2323632
339,2126336
340,2273520
341,1927392
342,2328816
343,3288352
344,1417280
345,1868336
346,359376
347,1954912
348,2272416
349,3582000
350,2317824
351,1041776
352,1927808
353,1919440
354,2175968
355,3524576
356,1198624
357,2411472
358,1393248
359,2384608
360,1151104
361,2294672
362,2954992
363,2176704
364,1924096
