HICOM_PING_START run=21
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 0
Progress: 100/2000 (lost: 1)
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
WARNING: timeout at seq 785
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
WARNING: timeout at seq 933
Progress: 1000/2000 (lost: 3)
Progress: 1100/2000 (lost: 3)
Progress: 1200/2000 (lost: 3)
Progress: 1300/2000 (lost: 3)
Progress: 1400/2000 (lost: 3)
WARNING: timeout at seq 1495
Progress: 1500/2000 (lost: 4)
Progress: 1600/2000 (lost: 4)
Progress: 1700/2000 (lost: 4)
Progress: 1800/2000 (lost: 4)
Progress: 1900/2000 (lost: 4)
Progress: 2000/2000 (lost: 4)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    4 (0.200%)
RTL (us):
Mean:   2354.783    Std dev: 1143.052
Min:     268.640    Max:     9672.400
P50:    2243.568    P95:     4142.880
P99:    6003.584    P99.9:   8900.384
Throughput: 425 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2685280
2,2046160
3,758928
4,1523360
5,3553568
6,2724752
7,3010464
8,4188096
9,755232
10,2309328
11,584496
12,2440464
13,3777792
14,3602560
15,3273392
16,3741744
17,1609072
18,7175824
19,787456
20,3436480
21,2350960
22,2819648
23,1916208
24,3764992
25,2788032
26,2283584
27,2240896
28,2104304
29,3300800
30,4020816
31,4309552
32,4473888
33,2812640
34,3277472
35,3916560
36,3598768
37,2962800
38,2563056
39,1221280
40,1766624
41,623056
42,2259280
43,2764528
44,2819488
45,2128624
46,3152848
47,2602192
48,2824864
49,1957888
50,2250976
51,3115120
52,1896800
53,1912944
54,3855904
55,510576
56,2438112
57,3671456
58,5901856
59,1409088
60,8177072
61,2371360
62,2309408
63,2952672
64,2047264
65,2245856
66,3459168
67,3418944
68,2381552
69,3529664
70,2194864
71,3268640
72,1827952
73,2183904
74,2543616
75,2603920
76,2199184
77,426240
78,3161472
79,1869776
80,2248416
81,3526944
82,2377520
83,3150992
84,524224
85,1969264
86,2034416
87,2364272
88,2583616
89,1661936
90,3741184
91,3655408
92,2078320
93,1636192
94,2380112
95,1119376
96,2456896
97,489584
98,4077440
99,3474400
100,3107936
101,485872
102,1033152
103,1820192
104,332832
105,3835584
106,3040336
107,4840928
108,2224096
109,5552256
110,2537920
111,1383280
112,1483008
113,1419968
114,1557056
115,308240
116,1619376
117,1446432
118,3082208
119,2908288
120,2569952
121,8118416
122,3640384
123,3606336
124,2437376
125,3233072
126,5548928
127,6714624
128,4218864
129,999744
130,5742016
131,3943632
132,3753760
133,2945216
134,3660352
135,4309984
136,2883328
137,2152352
138,3259408
139,3139360
140,2278128
141,4060816
142,3285104
143,2407616
144,1324848
145,2398848
146,3074000
147,2116560
148,2409968
149,425040
150,2981920
151,2072576
152,1525952
153,2575232
154,1178944
155,2568928
156,1933200
157,466336
158,2875280
159,498048
160,1075872
161,2009280
162,1853104
163,3425312
164,1862032
165,2345040
166,3254640
167,538720
168,2866160
169,2235152
170,2664304
171,2052656
172,2152480
173,3139280
174,2033664
175,3500736
176,2812000
177,2457984
178,1508912
179,3744720
180,2282416
181,3074000
182,2009168
183,2311648
184,2310912
185,2099680
186,3443056
187,526560
188,3007168
189,3846624
190,4142880
191,2079824
192,2035328
193,545472
194,1399776
195,2341600
196,2149360
197,454272
198,2057472
199,1661024
200,1419952
201,2268048
202,1317440
203,2004208
204,1538064
205,2174912
206,2080848
207,2291408
208,3472304
209,2453200
210,2116688
211,3621776
212,2195872
213,3419840
214,2204320
215,1305632
216,1856768
217,1958256
218,483888
219,3030000
220,3535504
221,2152784
222,3224400
223,2120288
224,2029952
225,3468304
226,2164208
227,2218128
228,1843472
229,2021712
230,2119920
231,1315008
232,2316000
233,2867776
234,2824016
235,3253072
236,2310352
237,1951136
238,2450944
239,3522704
240,2090768
241,1245952
242,2541920
243,2083392
244,2163552
245,1955504
246,1429008
247,2143712
248,1188160
249,2531824
250,3064176
251,2395936
252,2021872
253,2137472
254,1149264
255,1929424
256,2398256
257,2205776
258,1961936
259,2758816
260,2442496
261,2241760
262,502432
263,377584
264,3379728
265,2248304
266,2632768
267,2825616
268,552032
269,1783776
270,1785712
271,2018608
272,2362256
273,2996336
274,311872
275,1975792
276,4195584
277,389584
278,3859888
279,2081696
280,2043744
281,1942704
282,3102272
