HICOM_PING_START run=22
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
Progress: 1200/2000 (lost: 0)
Progress: 1300/2000 (lost: 0)
Progress: 1400/2000 (lost: 0)
Progress: 1500/2000 (lost: 0)
WARNING: timeout at seq 1540
Progress: 1600/2000 (lost: 1)
WARNING: timeout at seq 1636
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2459.436    Std dev: 1122.227
Min:     266.896    Max:     9870.160
P50:    2312.512    P95:     4122.560
P99:    5918.512    P99.9:   9756.848
Throughput: 407 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,9756848
2,5452960
3,5918512
4,3997520
5,3625520
6,6654208
7,4554784
8,4489936
9,3609088
10,2421664
11,3988816
12,4534048
13,8308336
14,880368
15,3496704
16,3702160
17,2924432
18,4219408
19,5283952
20,793632
21,2966080
22,7576096
23,3910304
24,4635264
25,4903968
26,3647920
27,2754816
28,6578944
29,5694208
30,2513200
31,2534944
32,1737680
33,4368624
34,4156224
35,601872
36,416736
37,3747056
38,3952368
39,348896
40,2273376
41,1457024
42,4978560
43,1629120
44,1876960
45,2203216
46,359504
47,2407312
48,1826544
49,2190352
50,2650624
51,1951616
52,1792848
53,1919808
54,2157840
55,2080352
56,1374176
57,2064672
58,1285552
59,2142608
60,1271504
61,2140960
62,3160080
63,2262160
64,3039152
65,390960
66,2336208
67,1678784
68,357200
69,2076320
70,1526112
71,1729952
72,1539008
73,4367120
74,2004816
75,336224
76,8624304
77,3818896
78,3836592
79,2824256
80,4315264
81,1988224
82,2305008
83,3839920
84,2674832
85,2307616
86,2265616
87,505648
88,1529424
89,1808400
90,377328
91,3552880
92,3690304
93,2018960
94,1523776
95,2093936
96,2758656
97,2385248
98,3523632
99,2228368
100,3015392
101,2588144
102,1860096
103,2465392
104,1883168
105,3412576
106,2047008
107,2132960
108,3524912
109,2274304
110,1277792
111,1812528
112,534080
113,1878768
114,1963712
115,585456
116,1876000
117,2164128
118,3209184
119,2141952
120,2362192
121,3270960
122,1970816
123,3539680
124,2587328
125,2097136
126,1835840
127,2282304
128,1984624
129,365056
130,1410896
131,2404656
132,1388176
133,3447920
134,2253648
135,1761200
136,2312528
137,2579920
138,459552
139,4986560
140,4105088
141,312352
142,3313472
143,3820464
144,3723904
145,2275648
146,1391584
