HICOM_PING_START run=25
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
WARNING: timeout at seq 291
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
WARNING: timeout at seq 1814
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2355.886    Std dev: 1086.132
Min:     283.344    Max:     12126.720
P50:    2206.544    P95:     3854.976
P99:    6225.232    P99.9:   10247.024
Throughput: 424 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,12126720
2,4175072
3,3312544
4,4485072
5,2928800
6,3553280
7,731312
8,5824672
9,5022448
10,3065920
11,4209568
12,3421760
13,6480048
14,5553584
15,4229520
16,3284560
17,2898800
18,3166992
19,5235056
20,2956880
21,8234576
22,7559184
23,4874080
24,2867696
25,4251696
26,6324880
27,5608656
28,1030704
29,3414592
30,1061952
31,3696672
32,4302864
33,2130048
34,1669328
35,2611008
36,2642096
37,1979088
38,509920
39,2459712
40,1487824
41,2382560
42,2026832
43,2466624
44,3064944
45,653328
46,1370272
47,3185808
48,515872
49,3249808
50,3400928
51,530512
52,2377040
53,2082240
54,2409392
55,385648
56,3073472
57,3343840
58,3904432
59,445088
60,2494976
61,623008
62,3176272
63,3329728
64,2251600
65,1469088
66,3951568
67,3042272
68,2373936
69,3007200
70,576592
71,3347552
72,1060384
73,2403504
74,2463568
75,2453408
76,2239760
77,541168
78,2108320
79,611744
80,1969872
81,2551552
82,3302800
83,3612288
84,494592
85,3042144
86,499184
87,2789424
88,2016208
89,2045648
90,3415232
91,2535456
92,2153648
93,3320368
94,2353776
95,3383088
96,2231408
97,3249456
98,1683248
99,2279280
100,2682448
101,596384
102,2466352
103,505824
104,2284512
105,2174688
106,2273520
107,4033888
108,3043632
109,2427680
110,3088272
111,2261296
112,3518416
113,468416
114,3234400
115,358688
116,3000336
117,3038912
118,2768720
119,2152544
120,2149616
121,3473408
122,2190640
123,2274000
124,1753888
125,2051648
126,3110624
127,2217664
128,3630576
129,3066304
130,2114448
131,2220032
132,3368400
133,3401536
134,2276624
135,1426624
136,2569600
137,2083520
138,577712
139,2154288
140,3472016
141,2425632
142,3239072
143,3642352
144,2255936
145,1620224
146,3866224
147,3530320
148,3653104
149,2467056
150,2824592
151,1947200
152,485280
153,2203776
154,532960
155,3208096
156,2050992
