HICOM_PING_START run=4
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
Progress: 1200/2000 (lost: 0)
Progress: 1300/2000 (lost: 0)
Progress: 1400/2000 (lost: 0)
Progress: 1500/2000 (lost: 0)
Progress: 1600/2000 (lost: 0)
Progress: 1700/2000 (lost: 0)
Progress: 1800/2000 (lost: 0)
Progress: 1900/2000 (lost: 0)
Progress: 2000/2000 (lost: 0)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    0 (0.000%)
RTL (us):
Mean:   2374.623    Std dev: 987.681
Min:     300.768    Max:     9511.440
P50:    2312.848    P95:     3874.976
P99:    5121.200    P99.9:   7369.920
Throughput: 421 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3912720
2,2397056
3,4461648
4,3542416
5,3439184
6,2093952
7,2376768
8,2622352
9,3560656
10,1590768
11,2374208
12,2509792
13,627792
14,2980096
15,2690240
16,4240912
17,600192
18,7157776
19,3590176
20,877808
21,5247408
22,4494784
23,6107712
24,5121200
25,1629408
26,4615232
27,391872
28,965680
29,7369920
30,2524480
31,4362624
32,7028976
33,737344
34,3235200
35,365408
36,4468448
37,4521024
38,349392
39,4197376
40,3131408
41,2313872
42,2076192
43,2159680
44,2857568
45,4529792
46,5024224
47,2472400
48,2189472
49,2319440
50,3032816
51,2378976
52,406832
53,1717600
54,350400
55,3533376
56,1831184
57,2717120
58,1850320
59,1749904
60,3469136
61,2321408
62,2004896
63,2385024
64,317184
65,3050512
66,1620448
67,468592
68,1360416
69,2132064
70,1988928
71,1934752
72,1781840
73,2892720
74,1854784
75,1987904
76,2356880
77,1890256
78,3234896
79,3873984
80,3095840
81,2179840
82,2230704
83,2876704
84,380688
85,1981968
86,1869328
87,1289248
88,1975904
89,2043072
90,1736928
91,2834432
92,2187456
93,2934528
94,1763008
95,3413248
96,335152
97,2207344
98,2304208
99,5233104
100,1734832
101,2115056
102,2615792
103,2926176
104,383136
105,1983328
106,2265856
107,2227040
108,1784432
109,2731488
110,2219232
111,1790432
112,2086608
113,2190880
114,2637952
115,314272
116,2517136
117,1993184
118,338384
119,2212624
120,1942112
121,3707920
122,2067728
123,2398128
124,2720672
125,3356064
126,543136
127,3631680
128,513904
129,2874864
130,2361360
131,1941760
132,2794112
133,2308592
134,1784544
135,2079584
136,2093840
137,2920688
138,2191264
139,2298192
140,2987040
141,3842064
