HICOM_PING_START run=6
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
WARNING: timeout at seq 422
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
WARNING: timeout at seq 1230
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2212.666    Std dev: 1073.641
Min:     272.336    Max:     13088.256
P50:    2131.120    P95:     3728.752
P99:    6345.664    P99.9:   10876.944
Throughput: 452 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,4270512
2,4802624
3,5553952
4,2658656
5,1379728
6,2087744
7,1647936
8,4807808
9,3572736
10,3839696
11,7268016
12,3930960
13,889760
14,4497840
15,6832544
16,3795136
17,1378848
18,4177392
19,3287872
20,2473744
21,3421040
22,2833104
23,5966576
24,1757712
25,5219200
26,7078640
27,3029376
28,2246976
29,2180976
30,2937920
31,2977312
32,2046048
33,1432208
34,2782368
35,1732656
36,2161568
37,447632
38,1888416
39,1157760
40,1813840
41,1870544
42,1841920
43,2172112
44,2218784
45,1690592
46,2359232
47,2074288
48,1388048
49,1786400
50,684592
51,594512
52,1836368
53,2823392
54,2184272
55,2586448
56,1960608
57,1611248
58,1304400
59,1739040
60,472016
61,1689072
62,2385152
63,1868432
64,2892688
65,2145504
66,1602832
67,2825024
68,1903088
69,2696864
70,2241824
71,2332432
72,3074032
73,2254272
74,3143328
75,1892832
76,459936
77,1234480
78,1906784
79,2210512
80,1863344
81,1301104
82,2315280
83,2722048
84,2261008
85,1864176
86,2523808
87,1942240
88,1727200
89,613664
90,3054976
91,2174672
92,1693760
93,490416
94,334704
95,2134032
96,1672704
97,2206240
98,1683408
99,533648
100,2731248
101,3352896
102,1854560
103,1746816
104,2128000
105,1609280
106,1709568
107,1818272
108,1804864
109,2162544
110,2637920
111,2857424
112,2011040
113,2933312
114,653296
115,1761360
116,2234256
117,1754624
118,2302464
119,1934208
120,2667184
121,2356704
122,2450512
123,1410560
