HICOM_PING_START run=8
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
Progress: 1100/2000 (lost: 0)
WARNING: timeout at seq 1153
WARNING: timeout at seq 1164
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2315.798    Std dev: 1019.565
Min:     273.504    Max:     13458.656
P50:    2235.808    P95:     3838.224
P99:    5407.456    P99.9:   10432.256
Throughput: 432 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,4725712
2,2193904
3,566976
4,3528784
5,3190000
6,560480
7,2660928
8,3430096
9,4057328
10,2181872
11,2143248
12,3498448
13,2829904
14,4520960
15,787920
16,4052896
17,3534048
18,3765712
19,2450128
20,2583856
21,608864
22,3326608
23,2093680
24,448560
25,3733472
26,404032
27,3342944
28,600896
29,3080080
30,3555632
31,3472016
32,3451184
33,3673792
34,3519408
35,2103328
36,3815936
37,1826464
38,536016
39,2551488
40,3279056
41,2533072
42,2704960
43,1406704
44,3328272
45,3739808
46,2214576
47,1336288
48,2532848
49,2808976
50,1562720
51,3798288
52,3225792
53,2499536
54,2356016
55,2721696
56,3707744
57,2559344
58,3210096
59,714624
60,3572128
61,3242688
62,2256960
63,2070128
64,2743200
65,2639232
66,3642192
67,1951760
68,3056704
69,2217760
70,2010864
71,3661216
72,4044560
73,3655936
74,2835760
75,1702640
76,1236736
77,2621120
78,2726304
79,4056640
80,2590640
81,2985616
82,2195456
83,1346416
84,1674656
85,1950544
86,384416
87,2369856
88,394896
89,1962416
90,2895040
91,2342304
92,365968
93,1934448
94,2322192
95,2814336
96,2151696
97,1803888
98,602784
99,1359024
100,2016240
101,345328
102,2156032
103,1695168
104,2054960
105,2861824
106,2513648
107,3511648
108,3171520
109,2398704
110,2020912
111,1240176
112,3710912
113,1847968
114,2540320
115,3162144
116,1760464
117,610496
118,2057952
119,2631360
120,497872
121,3958992
122,2236496
123,1931520
124,1676496
125,1911712
126,2538304
127,411760
128,1784448
129,1986432
130,609520
131,328096
132,1639424
133,510800
134,2378416
135,3132240
136,2366064
137,2122560
138,2745296
139,441392
140,1953456
141,2788560
142,2319504
143,2195616
144,3454192
145,2616368
146,2370544
147,335440
148,1985328
149,2090256
150,588656
151,2621552
152,3151104
153,2375824
154,1855776
155,1762688
156,1041632
157,2010896
158,2066464
159,2083808
160,3256400
161,483952
162,1875024
163,2589232
164,1804112
165,2706704
166,2269696
167,1760240
168,577232
169,1103456
170,1918016
171,3207664
172,2378208
173,1840224
174,1193968
175,2275552
176,2832752
177,3965168
178,2192416
179,1856576
180,2895920
181,2132800
182,2386896
183,3099776
184,2279312
185,1730096
186,2922688
187,2375344
188,2453520
189,2957360
190,2245072
191,2026784
192,2853584
193,2567808
194,1900992
195,2843392
196,2559232
197,1951248
198,1319744
199,1985968
200,2869952
201,2035632
202,2697856
203,1955872
204,1713488
205,2527872
206,2132608
207,2654240
208,2190640
209,487008
210,1874944
211,1843088
212,3076432
213,2649840
214,2025264
215,2085552
216,1958096
217,2893296
218,609312
219,1531536
220,2131568
221,1864592
222,2537280
223,1951328
224,681920
225,1940048
226,2662848
227,2177136
228,1895856
229,2664096
230,3016368
231,2088512
232,3305120
233,2325872
234,326704
235,3035200
236,1624080
237,2667360
238,2855456
239,1948000
240,1989920
241,1765184
242,2947552
243,2502624
244,346592
245,2773552
246,1832544
247,578576
248,395008
249,1831248
250,1884880
251,1901984
252,2678496
253,2143056
254,1858624
255,2247104
256,2236928
257,2727760
258,2351632
259,2574752
260,2586544
261,2320672
262,2548528
263,1938224
264,2080592
265,369456
266,2944000
267,1748128
268,1929360
269,2319664
270,1374112
271,2453344
272,1056816
273,1609904
274,2138688
275,1729152
276,355376
277,1454768
278,1922000
279,1974128
280,2252832
281,2006192
282,2285744
283,1963664
284,1280640
285,1594880
286,2500688
287,340336
288,3354304
289,397952
290,2211184
291,1645072
292,2789136
293,1893968
294,1111056
295,404880
296,1885360
297,2975296
298,696096
299,2856112
300,2172448
301,3196240
302,2330544
303,2264240
304,2917600
305,2183456
306,2330272
307,2674256
308,2662352
309,399936
310,2679888
311,2222784
312,484272
313,1680688
314,2272816
315,3212848
316,1829264
317,533280
318,2518464
319,2642624
320,3461584
321,2105024
322,1772704
323,1853536
324,1668560
325,1799664
326,2516224
327,336576
328,2162848
329,2285952
330,3004800
331,2097696
332,1749072
333,3193088
334,2470032
335,2318288
336,406000
337,1846752
338,1198672
339,1710336
340,2126416
341,2367568
342,2869296
343,2254176
344,2236080
345,2548160
346,2712544
347,1726016
348,1754880
349,2053552
350,2351120
351,2439344
352,1693248
353,2236512
354,2470896
355,1924624
356,2262176
357,2036000
358,3303472
359,1732016
360,2440864
361,2066064
362,2601024
363,3140592
364,2282704
365,2849120
366,656640
367,1213104
368,1692416
369,4211072
370,2858720
371,2498224
372,2041008
373,1686832
374,1991568
375,3043568
376,2794432
377,3209824
378,2204736
379,3311376
380,2687152
381,516960
382,2180624
383,1893888
384,2454480
385,2195088
386,1926336
387,492512
388,2544256
389,2363024
390,1757152
391,2102720
392,2600208
393,1664992
394,3334704
395,2278256
396,4972128
397,3887072
398,3092256
399,3267168
400,3200848
401,365488
402,2088192
403,3490512
404,3647008
405,2851856
406,3714416
407,3824080
408,2359120
409,2281904
410,3002608
411,2254800
412,1862096
413,1894752
414,1843024
415,1892128
416,1575936
417,1939632
418,2076400
419,2788368
420,2181312
421,2360144
422,1192576
423,516896
424,3072208
425,2221296
426,3350864
427,2110688
428,3368864
429,2317680
430,1509440
431,2160352
432,2179216
433,3059872
434,2443040
435,2115360
436,1508544
437,2070064
438,2957344
439,2175408
440,4235424
441,587840
442,2990992
443,3483088
444,1982448
445,1302288
446,2235584
447,1943632
448,2307264
449,631376
450,2487568
451,1967088
452,2976480
453,2498784
454,2234208
455,2548784
456,1474720
457,367872
458,2614400
459,1742400
460,628432
461,2072832
462,2921280
463,1823776
464,2849376
465,2201872
466,324368
467,1963440
468,2779520
469,2393872
470,2245824
471,2913360
472,2277600
473,2549040
474,1968384
475,2595968
476,3737616
477,1960496
478,2354544
479,1398672
480,2040336
481,2752576
482,311600
483,3216880
484,2859952
485,2271616
486,764272
487,1780672
488,2099280
489,379568
490,1865824
491,2150512
492,1957200
493,2965872
494,2370416
495,2100064
496,1197856
497,2064240
498,2286784
499,2142320
500,1992272
501,2628560
502,2590720
503,3048544
504,2661504
505,2995904
506,1977456
507,1756304
508,1967072
509,3215088
510,3359440
511,4554464
512,2787568
513,2187232
514,2358112
515,2434224
516,2135744
517,1592144
518,2480080
519,2187680
520,3045024
521,2212112
522,2048560
523,3142640
524,2805520
525,2803072
526,2010336
527,1914128
528,1787744
529,3300880
530,2712928
531,3401584
532,1733200
533,3096640
534,2945200
535,463040
536,2343408
537,2015840
538,3096304
539,2218976
540,1853264
541,3434464
542,1717984
543,1949616
544,3191376
545,4762768
546,1327664
547,1692496
548,2613376
549,2509328
550,2363232
551,1453344
552,2394592
553,1251264
554,2641648
555,2027216
556,6142192
557,3996144
558,2920800
559,4860416
560,3707600
561,3503568
562,3625328
563,2980208
564,2873536
565,2720832
566,8001696
567,5294960
568,4125072
569,2655504
570,2700656
571,1995744
572,3199952
573,1564352
574,3124512
575,2109488
576,3459536
577,500912
578,4173712
579,7091472
580,1810864
581,2732336
582,1854656
583,2132928
584,2221136
585,5110208
586,2148992
587,406160
588,2990688
589,3867888
590,1405824
591,1538848
592,1431488
593,308640
594,1510848
595,338560
596,5258960
597,3005264
598,2271856
599,3072080
600,2667776
601,2377344
602,7789392
603,421136
604,3975552
605,4745808
606,2432080
607,2225600
608,2758912
609,2364944
610,2172832
611,1805440
612,757616
613,2554848
614,2351984
615,2372336
616,2956688
617,1982544
618,2321904
619,1404160
620,1874848
621,3012880
622,2026608
623,1837968
624,2147728
625,2234032
626,1199472
627,1610992
628,494208
629,393888
630,2236592
631,439280
632,1888896
633,1450672
634,355728
635,2991984
636,2580192
637,1842416
638,2140880
639,1914208
640,764368
641,2412448
642,1586880
643,2004016
644,3285072
645,2299568
646,1846720
647,1133376
648,2058176
649,2753472
650,2063056
651,1747408
652,2061568
653,1635872
654,2166544
655,495632
656,3131568
657,2272112
658,1246016
659,2012512
660,1501040
661,1973584
662,3230720
663,1963728
664,1928592
665,2083056
666,3211664
667,2390528
668,2586320
669,2109968
670,2112064
671,1780480
672,369808
673,3219568
674,1989680
675,1420528
676,2133728
677,1314208
678,1925680
679,3226304
680,2220320
681,2080224
682,3014976
683,515408
684,1328528
685,1840208
686,3135712
687,623056
688,1263168
689,2197328
690,3056304
691,2777616
692,3322592
693,1746992
694,2351232
695,3043488
696,2334608
697,2706512
698,2501392
699,2003216
700,2827424
701,2444016
702,1941040
703,2717392
704,2887840
705,2020640
706,1422656
707,1539568
708,2968304
709,2520272
710,1917968
711,4182560
712,1812176
713,2038224
714,3187584
715,2256128
716,1932384
717,2110160
718,2678688
719,2845552
720,2453072
721,3296336
