HICOM_PING_START run=14
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
Progress: 800/2000 (lost: 0)
Progress: 900/2000 (lost: 0)
Progress: 1000/2000 (lost: 0)
WARNING: timeout at seq 1015
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
WARNING: timeout at seq 1771
WARNING: timeout at seq 1774
Progress: 1800/2000 (lost: 3)
Progress: 1900/2000 (lost: 3)
Progress: 2000/2000 (lost: 3)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
Mean:   2320.560    Std dev: 969.226
Min:     271.088    Max:     7905.904
P50:    2252.464    P95:     3821.216
P99:    5328.000    P99.9:   7512.544
Throughput: 431 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3566128
2,3536592
3,3732688
4,3031168
5,2634608
6,1929296
7,2313360
8,3141792
9,398800
10,2212720
11,2269456
12,2901168
13,4110576
14,2236496
15,2204240
16,5393440
17,1947536
18,1227040
19,4004288
20,4351984
21,2884448
22,3858208
23,781440
24,6307216
25,5401792
26,1408736
27,2372544
28,3226064
29,2918496
30,2297776
31,1924912
32,2260304
33,3435424
34,2321552
35,505504
36,3651552
37,1778992
38,2976864
39,4039360
40,1950112
41,1903792
42,2584608
43,2927040
44,1704896
45,2562432
46,1640464
47,1293616
48,2176272
49,1430192
50,3410736
51,4115424
52,3849696
53,5275024
54,6049120
55,1843392
56,2616832
57,3108208
58,5416304
59,2932288
60,1884096
61,4866176
62,1653200
63,4501024
64,1767888
65,2285824
66,3262512
67,2792880
68,336400
69,2257488
70,1935184
71,447040
72,380224
73,1809408
74,1317152
75,2063280
76,1687472
77,1665696
78,2261456
79,1884688
80,2600304
81,2500400
82,3206640
83,2604000
84,2826816
85,503200
86,3027424
87,2211136
88,410496
89,1979216
90,1928224
91,2374224
92,3002128
93,1966368
94,1995408
95,2150256
96,2683856
97,2741008
98,2880448
99,2078720
100,438384
101,2103536
102,2835056
103,2475072
104,2223984
105,2957552
106,2830752
107,458096
108,2957472
109,3124704
110,3954480
111,2155936
112,1621872
113,341440
114,2671936
115,2144160
116,2339776
117,3037744
118,2137392
119,3188416
120,2057888
121,3977232
122,1910640
123,3921088
124,3050800
125,2956176
126,2675056
127,2087856
128,3060320
129,580992
130,3156576
131,2947872
132,2730080
133,2144640
134,6157216
135,3154912
136,2446144
137,1241456
138,1694464
139,466816
140,2046736
141,522368
142,1868032
143,2715680
144,1972736
145,1994512
146,2234416
147,2334912
148,3467312
149,1241968
150,1598144
151,2132832
152,1757568
153,3686736
154,2301232
155,1935536
156,1522240
157,2201184
158,2929248
159,3025968
160,2384160
161,1822432
162,536304
163,3134368
164,2320448
165,2433184
166,2375088
167,3226064
168,2327280
169,2147632
170,1549776
171,3620832
172,2297392
173,3035504
174,2605712
175,2554384
176,1683136
177,2463968
178,1839792
179,1629120
180,2144736
181,3256160
182,2875392
183,2883280
184,2578992
185,2409632
186,2832640
187,2624752
188,3032752
189,1864688
190,2686112
191,1964352
192,1770304
193,2007168
194,2269776
195,1183776
196,1790576
197,2008080
198,2001840
199,613248
200,1908656
201,2199040
202,1861120
203,1307792
204,2080768
205,2559088
206,2682496
207,1755744
208,2323504
209,2337776
210,2440144
211,1269584
212,2411088
213,2895200
214,3758592
215,2332320
216,1974480
217,3220640
218,2708784
219,2009280
220,2393440
221,2974256
222,2212928
223,1833984
224,3716400
225,2591440
226,2742640
227,2152160
228,1488720
229,2173280
230,464992
231,3299712
232,1858640
233,3378192
234,2208960
235,2153952
236,2369904
237,3133632
238,2329808
239,2076192
240,2741296
241,2509568
242,1828752
243,1855456
244,1933904
245,1304832
246,2683024
247,1878784
248,4036976
249,2810112
250,2109792
251,1836736
252,2239808
253,4465504
254,1886256
255,5328000
256,2065168
257,1956160
258,1622496
259,1659872
260,825072
261,3867520
262,1179856
263,1754144
264,1952176
265,1954320
266,3449296
267,2185056
268,2164912
269,3497104
270,2823616
271,2376176
272,1792272
273,2046016
274,1711760
275,1348080
276,1628832
277,2249504
278,2137392
279,1687040
280,1707136
281,2711472
282,2990816
283,498016
284,2378448
285,1782128
286,2273664
287,359744
288,3067104
289,2480432
290,1210000
291,2236704
292,3167152
293,423040
294,1705280
295,2557280
296,3208912
297,1850928
298,2161568
299,347296
300,1762064
301,4050016
302,1856288
303,2717040
304,3269376
305,448208
306,3121696
307,2484256
308,2874496
309,2278512
310,472528
