HICOM_PING_START run=16
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 98
Progress: 100/2000 (lost: 1)
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   2346.237    Std dev: 959.141
Min:     287.840    Max:     7955.040
P50:    2295.056    P95:     3800.384
P99:    4956.128    P99.9:   7434.704
Throughput: 426 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,6529408
2,7434704
3,4423840
4,2077936
5,2257936
6,3306320
7,635216
8,3880928
9,1855424
10,2502992
11,2085408
12,2771296
13,544768
14,2017936
15,2639072
16,2719872
17,1985808
18,1255440
19,2519216
20,2040416
21,2724912
22,626400
23,2157168
24,2076128
25,2919616
26,2149440
27,2120704
28,2485344
29,2929456
30,2229936
31,3246576
32,552112
33,1560128
34,2224400
35,2332384
36,3675152
37,3156096
38,2837456
39,2762736
40,431472
41,2255184
42,2197952
43,1621840
44,2062944
45,3230768
46,1863824
47,1847680
48,2503776
49,2203616
50,1614064
51,2306288
52,2290528
53,1450752
54,2313440
55,2755920
56,2038800
57,1682592
58,2286576
59,1955216
60,1976144
61,325904
62,2883296
63,2415168
64,1349792
65,1842432
66,1561120
67,1665904
68,2480784
69,2836288
70,1942032
71,2953728
72,2045648
73,423280
74,2146432
75,3023440
76,807040
77,451392
78,1882304
79,1308144
80,2305072
81,2700816
82,295824
83,3415616
84,2377984
85,2144176
86,1106672
87,1692560
88,623680
89,406096
90,2198176
91,3083584
92,2322848
93,1957696
94,2774608
95,3828976
96,2849696
97,2042400
98,1722080
99,2221168
100,2859968
101,3351952
