HICOM_PING_START run=22
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
WARNING: timeout at seq 691
WARNING: timeout at seq 697
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2280.532    Std dev: 1029.329
Min:     283.984    Max:     10117.296
P50:    2219.920    P95:     3814.608
P99:    5446.688    P99.9:   9754.320
Throughput: 438 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,8935920
2,1129776
3,4393728
4,4368224
5,2605632
6,5589568
7,2588784
8,2479600
9,2364992
10,1480608
11,2083968
12,2292048
13,2354368
14,662048
15,2197440
16,3490736
17,2134576
18,3131984
19,2434496
20,3416128
21,2420912
22,2574960
23,3832096
24,3365296
25,2066288
26,3276480
27,1969296
28,3253936
29,467712
30,3247216
31,2700080
32,431168
33,2353584
34,2070944
35,1937296
36,3520992
37,1532112
38,3593456
39,4684880
40,490608
41,2692208
42,2880224
43,4433024
44,2374256
45,490960
46,2339680
47,2644816
48,478384
49,3224496
50,3409808
51,2228896
52,3055008
53,3130752
54,2605152
55,1939360
56,1480000
57,2174592
58,3333168
59,3470032
60,654992
61,515936
62,3281024
63,407376
64,2540144
65,2166096
66,2782512
67,2975824
68,2182608
69,2945696
70,4109152
71,1835488
72,425248
73,3098656
74,457696
75,3364400
76,421120
77,3328496
78,3193168
79,2386848
80,3256160
81,1672976
82,3486096
83,1751424
84,2132880
85,2121328
86,2613568
87,1495344
88,2136976
89,1443088
90,2228560
91,2306832
92,1475088
93,2108016
94,2086784
95,559408
96,2682880
97,3711744
98,2621216
99,1782400
100,528720
101,1500592
102,3401168
103,2015056
104,1286704
105,1868096
106,2365808
107,1911552
108,3314096
109,3031696
110,2255776
111,2504864
112,2370160
113,3388896
114,3469712
115,2364608
116,419376
117,2529504
118,2422736
119,1411968
120,2376688
121,2625904
122,2720560
123,2892672
124,2480736
125,1985312
126,2477616
127,3244992
128,2089472
129,2339888
130,1431936
131,3714624
132,1849744
133,3480784
134,2361312
135,3272400
136,2119504
137,1414464
138,2021680
139,2181712
140,1921472
141,1724976
142,2601728
143,1753456
144,1567120
