HICOM_PING_START run=23
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
WARNING: timeout at seq 619
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
WARNING: timeout at seq 948
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
Progress: 2000/2000 (lost: 2)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    2 (0.100%)
RTL (us):
Mean:   2484.338    Std dev: 1169.629
Min:     288.704    Max:     13472.528
P50:    2360.992    P95:     4102.576
P99:    6441.728    P99.9:   11000.368
Throughput: 403 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,5071920
2,2613312
3,2034528
4,4041008
5,3841936
6,378880
7,3382864
8,955200
9,2301408
10,2138848
11,2034960
12,2588352
13,3768208
14,3209664
15,2568048
16,2387120
17,1588688
18,2277472
19,2542880
20,3532144
21,1788864
22,3016864
23,2109728
24,13472528
25,6727856
26,4473456
27,5247712
28,6321440
29,4473120
30,2114784
31,536272
32,2394528
33,3389936
34,2564656
35,3231008
36,3323152
37,552832
38,1795600
39,3834368
40,3985312
41,913264
42,4828624
43,2886528
44,3706064
45,3931744
46,702416
47,679232
48,4117920
49,606000
50,777952
51,4585552
52,3029344
53,1988640
54,4041056
55,2399248
56,3466192
57,3308528
58,4042880
59,3121040
60,744416
61,2151232
62,1638816
63,438256
64,2854560
65,2076976
66,3925008
67,439584
68,3309328
69,2025664
70,2275312
71,1662176
72,2189520
73,3372288
74,3609664
75,3795504
76,3451104
77,3383584
78,2513248
79,3250400
80,2345504
81,3157072
82,599136
83,2716576
84,2409552
85,2437616
86,3444976
87,2889344
88,2431712
89,2258592
90,3382656
91,1486240
92,2174128
93,1768256
94,3794816
95,3193104
96,2446064
97,2004752
98,2931984
99,2326336
100,2530768
101,2574704
102,2177328
103,3197904
104,3960384
105,1831392
106,3838288
107,3248576
108,3668752
109,2427648
110,2133792
111,3405248
112,723088
113,3098208
114,2290560
115,3533536
116,3558256
117,2162256
118,3404096
119,1556336
120,495392
121,2723232
122,3831904
123,551920
124,2987632
125,3431152
126,2229008
127,4192416
128,3781952
129,3573056
130,2029776
131,3844176
132,2394528
133,4049920
134,479456
135,2820464
136,2301264
137,2580976
138,504992
139,2436928
140,2258336
141,3194736
142,662400
143,1662112
144,405008
145,3279680
146,461024
147,2461632
148,2189728
149,1881232
150,1884256
151,2785776
152,2363296
153,519792
154,2818688
155,3374400
156,2544672
157,3107632
158,2246576
159,3217552
160,2301040
161,1812992
162,2168512
163,2509472
164,2322016
165,1494752
166,3596128
167,3869328
168,3465168
169,2537200
170,497408
171,4590448
172,460320
173,3489360
174,3669392
175,2374960
176,1925888
177,1307184
178,3306096
179,2525824
180,2712288
181,3568464
182,2975776
183,3042240
184,2701488
185,2397296
186,2185216
187,2082384
188,2049360
189,3608144
190,2332000
191,3646800
192,1946016
193,3558672
194,434080
195,2491296
196,2153040
197,1682880
198,639584
199,2538816
200,2174768
201,4217344
202,2411840
203,2333712
204,1883088
205,3414784
206,1799536
207,3906576
208,3327904
209,3831520
210,709552
211,2995200
212,3230848
213,4015696
214,2195248
215,3673728
216,2413680
217,3401872
218,3442368
219,626256
220,2022640
221,3494992
222,2822688
223,725616
224,3543904
225,2879072
226,3343312
227,3209968
228,2594048
229,3731360
230,2395312
231,1521296
232,2096960
233,1834624
234,2315888
235,2307776
236,2398416
237,3735488
238,1475088
239,2103792
240,2571040
241,2450480
242,3338112
243,3193248
244,2604864
245,2020752
246,2208736
247,2352624
248,3388064
249,3530656
250,2239008
251,2147232
252,2613312
253,460608
254,2231360
255,2028592
256,1603728
257,2379904
258,1930464
259,1553488
260,3540128
261,2191552
262,3383312
263,3204848
264,3894256
265,3779376
266,2798224
267,2751392
268,4019904
269,2452784
270,4035552
271,2516992
272,2024704
273,3457808
274,4175984
275,1416832
276,2553776
277,1979360
278,1492496
279,690960
280,3126496
281,4174784
282,2815872
283,503536
284,3120496
285,1999072
286,3248608
287,2598720
288,3450800
289,2328064
290,394608
291,3806656
292,505952
293,3162528
294,2089056
295,2886512
296,2293584
297,2481712
298,315056
299,1577680
300,2563952
301,2565600
302,3024272
303,2225280
304,2640784
305,4411568
306,2146976
307,3302912
308,1878320
309,2595872
310,348672
311,2875616
312,2619584
313,2042128
314,2182624
315,337616
316,2802896
317,2085600
318,1383344
319,4291472
320,2038832
321,2907696
322,593952
323,1700208
324,2180320
325,2269264
326,1237216
327,1995744
328,3144336
329,4611808
330,3418688
331,3306688
332,3661968
333,3761168
334,3555360
335,4237520
336,5552672
337,10181776
338,314992
339,445232
340,3105680
341,2261136
342,3893440
343,3756816
344,541136
345,2726752
346,4409872
347,3279792
348,2163344
349,2488736
350,3014848
351,3035696
352,3192272
353,524272
354,2278816
355,3627008
356,410448
357,2514752
358,2277808
359,2312256
360,3454352
361,3789184
362,2105120
363,3884592
364,2433120
365,3265584
366,1716880
367,1736848
368,394736
369,2313872
370,1381680
371,1910960
372,2697600
373,2199280
374,2371264
375,3117152
376,2922832
377,3141360
378,2056768
379,2968432
380,605696
381,2454256
382,2861360
383,2565952
384,3347984
385,2523008
386,2825744
387,4019872
388,2456944
389,2254128
390,3185072
391,2366768
392,429168
393,2980016
394,451296
395,2549072
396,2193840
397,2241936
398,1310160
399,2503040
400,1906352
401,1935872
402,1322016
403,535024
404,3640096
405,3477648
406,3397376
407,2484368
408,2374672
409,1314816
410,1826544
411,2291312
412,2913920
413,2047568
414,2541120
415,470288
416,2115136
417,1647552
418,348720
419,1701584
420,2346496
421,1117696
422,2397616
423,1191616
424,1689248
425,1985216
426,1694592
427,2357648
428,1580096
429,1922112
430,2024832
431,2504320
432,2417296
433,1393072
434,2473312
435,1970176
436,2482704
437,2804992
438,1627936
439,1853760
440,2336352
441,1325760
442,1824192
443,1812944
444,2136272
445,3306704
446,2574016
447,3153680
448,2153568
449,1529728
450,2174384
451,3058768
452,2425728
453,1853120
454,3592128
455,1957424
456,2129776
457,2070048
458,681056
459,3619472
460,3424720
461,1717248
462,2112464
463,2284272
464,431584
465,1872832
466,2943104
467,2619968
468,2274000
469,1906960
470,2078720
471,2250496
472,1247488
473,2278944
474,1323936
475,2124256
476,1306976
477,1936704
478,3313968
479,3646608
480,1685200
481,315792
482,2022368
483,1873248
484,1751696
485,2932016
486,404624
487,3836480
488,1975904
489,1886976
490,1784176
491,1734848
492,1979584
493,2204528
494,2839600
495,370944
496,2042672
497,2042048
498,2839296
499,3842816
500,3188512
501,4004288
502,4548048
503,2609392
504,2275040
505,1614160
506,2071888
507,1705056
508,2294368
509,1810720
510,2535552
511,2397296
512,2186080
513,2951632
514,3374944
515,3050720
516,1661936
517,2618560
518,1886928
519,1753152
520,3291328
521,2584592
522,1670384
523,2218064
524,2207520
525,3000672
526,2604768
527,521152
528,3381872
529,3090448
530,1617744
531,3937648
532,2766912
533,2933744
534,2519456
535,1903344
536,1835360
537,2028000
538,2282448
539,2245328
540,341040
541,2106288
542,2695088
543,2296048
544,419392
545,3202768
546,352736
547,1962624
548,2956464
549,3083472
550,3887904
551,3038192
552,2955200
553,2517360
554,1286944
555,1995136
556,2501040
557,3468176
558,3749824
559,3213392
560,1733904
561,2283504
562,1936960
563,1105312
564,1770496
565,2104416
566,1689840
567,1986032
568,1931008
569,2764208
570,354368
571,2224160
572,1757904
573,1885664
574,2376224
575,1646240
576,2081248
577,1817792
578,2543504
579,4366336
580,2515280
581,1507824
582,2805632
583,517216
584,2344576
585,2403856
586,2273552
587,3104000
588,2387776
589,1909344
590,1299616
591,2159776
592,2568064
593,2722272
594,2229552
595,2879136
596,2021264
597,1794912
598,2657136
599,2769216
600,1803312
601,2317040
602,1953024
603,3080448
604,2099488
605,3877632
606,2186416
607,1299536
608,2463728
609,403776
610,1687120
611,2921872
612,2363776
613,2084736
614,2943104
615,2014256
616,1945072
617,2400528
618,1763696
619,3103264
620,2640768
621,6471680
622,3521504
623,4266544
624,2635824
625,4615168
626,1126432
627,6788960
628,4347216
629,3284960
630,7585760
631,4346080
632,2922272
633,2516816
634,362336
635,2169856
636,2005968
637,440832
638,2635696
639,880416
640,2814208
641,365696
642,2529168
643,4259184
644,4389680
645,2327280
646,1788512
647,3145680
648,2350256
649,1947712
650,3560784
651,1826928
652,2095024
653,2860288
654,563280
655,3069296
656,2499232
657,2053504
658,1639840
659,2147536
660,1816272
661,2244640
662,1704720
663,2789104
664,3036208
665,2041792
666,1400832
667,2187600
668,1392048
669,388576
670,2621792
671,2135760
672,2255952
673,1965152
674,2978736
675,2154544
676,401184
677,1718768
678,2675744
679,2183088
680,1955408
681,432192
682,1778912
683,2097776
684,1971712
685,1875328
686,3234368
687,1841008
688,646192
689,3376928
690,3078800
691,2130464
692,1782384
693,3523136
694,2689088
695,406080
696,2462880
697,2423056
698,2730928
699,2603808
700,405088
701,3283856
702,3903248
703,1970592
704,2333904
705,1405760
706,2207552
707,2893840
708,398208
709,2922672
710,2388608
711,3652272
712,2311200
713,1440880
714,354656
