HICOM_PING_START run=26
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
WARNING: timeout at seq 558
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
WARNING: timeout at seq 1286
WARNING: timeout at seq 1293
Progress: 1300/2000 (lost: 3)
Progress: 1400/2000 (lost: 3)
Progress: 1500/2000 (lost: 3)
Progress: 1600/2000 (lost: 3)
Progress: 1700/2000 (lost: 3)
Progress: 1800/2000 (lost: 3)
Progress: 1900/2000 (lost: 3)
Progress: 2000/2000 (lost: 3)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
Mean:   2318.636    Std dev: 974.999
Min:     264.896    Max:     8695.216
P50:    2269.968    P95:     3805.824
P99:    5448.784    P99.9:   8186.496
Throughput: 431 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,1732384
2,1112288
3,2130848
4,2269920
5,2360160
6,1668112
7,3899312
8,3678912
9,3984832
10,3814480
11,6394208
12,5086384
13,3357744
14,4204240
15,1009920
16,7796128
17,3885936
18,3608096
19,6753344
20,2546080
21,3545440
22,3666688
23,4065184
24,2987760
25,3145712
26,2731872
27,2138320
28,515536
29,2930080
30,3924160
31,2085104
32,2104688
33,2471232
34,2613312
35,432672
36,5595584
37,470928
38,2931120
39,2191296
40,349152
41,3275408
42,393056
43,1957968
44,1755536
45,2102256
46,2447872
47,338832
48,1893872
49,2629552
50,3299552
51,1825968
52,2709424
53,2466608
54,1852496
55,2072272
56,1713936
57,2198016
58,1891008
59,2619920
60,2232896
61,2099328
62,1775648
63,1961344
64,1122512
65,1949936
66,2968112
67,2347520
68,1881744
69,657120
70,2383008
71,3368288
72,1991056
73,1670864
74,1245600
75,2028336
76,2826304
77,3751120
78,2373120
79,2430432
80,3022464
81,2508176
82,1980512
83,451856
84,1704464
85,3371152
86,2404624
87,333104
88,2376144
89,1377328
90,349824
91,3640544
92,2492192
93,1738496
94,3049216
95,3331984
96,1684992
97,2396576
98,3109792
99,2116352
100,1925840
101,2469840
102,1805600
103,2600512
104,367520
105,4277488
106,1894704
107,1923584
108,2814208
109,2059376
110,1580480
111,2001728
112,1894848
113,3811312
114,4014192
115,2326832
116,1930208
117,3036272
118,2311152
119,3421312
120,2097008
121,2481984
122,477072
123,2299200
124,2037216
125,1148288
126,2004512
127,2998752
128,2372144
129,4007088
130,1918496
131,1826032
132,2195616
133,1837072
134,2134352
135,2363648
136,567568
137,3479104
138,2039600
139,1480880
140,420592
141,2511296
142,2501040
143,3069216
144,2720464
145,3591856
146,1850944
147,1837760
148,3730688
149,496080
150,2571968
151,3735104
152,1958848
153,1480800
154,2246496
155,2027680
156,2279552
157,3429328
158,2001760
159,1853136
160,1995712
161,1990576
162,3711760
163,629136
164,2083664
165,3013456
166,2589168
167,323952
168,2828336
169,2131920
170,1449536
171,4887760
172,2603504
173,2359920
174,2521504
175,3141024
176,3439536
177,514080
178,1424112
179,3728976
180,1994112
181,3164992
182,2420720
183,465808
184,2399152
185,2463152
186,1318288
187,3980672
188,448400
189,2434320
190,2479680
191,565072
192,1917152
193,1720304
194,2181696
195,2230480
196,3063248
197,2818432
198,3249760
199,2176144
200,2582960
201,673024
202,2780400
203,619312
204,2750112
205,4086704
206,495184
207,2883728
208,2609648
209,2084128
210,2382880
211,2022368
212,2408112
213,1444208
214,2474336
215,2003184
216,1688960
217,432272
218,2634064
219,2490576
220,2635776
221,2663728
222,1307536
223,2396624
224,1763216
225,2535168
226,3609712
227,2102432
228,1959616
229,644384
230,2821216
231,2785504
232,564544
233,2456640
234,3605120
235,1987760
236,1369456
237,2005104
238,3068032
