HICOM_PING_START run=27
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
WARNING: timeout at seq 185
WARNING: timeout at seq 189
Progress: 200/2000 (lost: 2)
Progress: 300/2000 (lost: 2)
Progress: 400/2000 (lost: 2)
Progress: 500/2000 (lost: 2)
Progress: 600/2000 (lost: 2)
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
WARNING: timeout at seq 1451
Progress: 1500/2000 (lost: 3)
Progress: 1600/2000 (lost: 3)
Progress: 1700/2000 (lost: 3)
Progress: 1800/2000 (lost: 3)
Progress: 1900/2000 (lost: 3)
Progress: 2000/2000 (lost: 3)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
Mean:   2294.212    Std dev: 1018.185
Min:     282.256    Max:     10306.304
P50:    2220.336    P95:     3756.336
P99:    5685.600    P99.9:   9475.760
Throughput: 436 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,426976
2,1922640
3,303552
4,3835632
5,1737504
6,1271232
7,1617216
8,2479520
9,2067184
10,2174128
11,2742864
12,2237264
13,500240
14,4142192
15,2381456
16,2385760
17,3303360
18,2015920
19,2210400
20,626640
21,2613184
22,714464
23,3113136
24,2518240
25,3425536
26,3124928
27,1845264
28,2852704
29,2215120
30,2424832
31,492560
32,2520016
33,1961008
34,1872752
35,1968016
36,2585328
37,2378864
38,2273632
39,3187008
40,2166720
41,1636560
42,2033344
43,381120
44,3066992
45,1546752
46,2355952
47,303792
48,2399536
49,410384
50,2034432
51,1452848
52,1836096
53,2538384
54,4584528
55,2454944
56,1948416
57,1148320
58,2043248
59,2820688
60,2397632
61,1984592
62,2679968
63,317200
64,2279456
65,1605456
66,1444896
67,409152
68,1985600
69,1411968
70,2121760
71,3223712
72,2035248
73,2094752
74,3055232
75,2491120
76,1706096
77,1205600
78,1939520
79,2199312
80,2409168
81,1877040
82,2146864
83,2397360
84,1267296
85,1730672
86,2649024
87,1855696
88,1696384
89,3385520
90,2401808
91,1927392
92,2053360
93,1589456
94,2165504
95,2284912
96,2603280
97,2133440
98,1742416
99,2014880
100,1943616
101,2727376
102,2748784
103,1934384
104,2967312
105,2454544
106,1772400
