HICOM_PING_START run=4
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 22
Progress: 100/2000 (lost: 1)
WARNING: timeout at seq 130
Progress: 200/2000 (lost: 2)
Progress: 300/2000 (lost: 2)
WARNING: timeout at seq 344
Progress: 400/2000 (lost: 3)
Progress: 500/2000 (lost: 3)
Progress: 600/2000 (lost: 3)
Progress: 700/2000 (lost: 3)
Progress: 800/2000 (lost: 3)
Progress: 900/2000 (lost: 3)
Progress: 1000/2000 (lost: 3)
WARNING: timeout at seq 1024
Progress: 1100/2000 (lost: 4)
Progress: 1200/2000 (lost: 4)
WARNING: timeout at seq 1230
WARNING: timeout at seq 1231
Progress: 1300/2000 (lost: 6)
Progress: 1400/2000 (lost: 6)
Progress: 1500/2000 (lost: 6)
Progress: 1600/2000 (lost: 6)
Progress: 1700/2000 (lost: 6)
WARNING: timeout at seq 1735
WARNING: timeout at seq 1746
Progress: 1800/2000 (lost: 8)
Progress: 1900/2000 (lost: 8)
Progress: 2000/2000 (lost: 8)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    8 (0.400%)
RTL (us):
Mean:   2484.583    Std dev: 1469.849
Min:     271.344    Max:     49312.496
P50:    2307.792    P95:     3994.384
P99:    4904.080    P99.9:   7353.968
Throughput: 402 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,2441952
2,1633488
3,3520448
4,3898720
5,3971584
6,3628416
7,576464
8,3156384
9,3440864
10,3394368
11,4182592
12,3781392
13,604928
14,957856
15,3537808
16,1797600
17,3716032
18,3600400
19,1898848
20,3352320
21,1803360
22,4648864
23,1552944
24,1717920
25,4560416
26,1779376
27,2408576
28,4309568
29,4221248
30,1476400
31,1338704
32,1414288
33,271344
34,4063440
35,3289040
36,3109904
37,4771312
38,2804848
39,342048
40,2204496
41,1886592
42,3222928
43,2264752
44,1659984
45,354080
46,1538432
47,1866784
48,3526416
49,2455680
50,2945632
51,2233632
52,2015632
53,3210048
54,1816688
55,2395872
56,1799168
57,1922128
58,2951984
59,1882704
60,2072112
61,1922832
62,2902480
63,2511168
64,1820288
65,2750800
66,3376928
67,1657440
68,1894160
69,2337696
70,2028224
71,3552464
72,3100720
73,2569056
74,3419312
75,2125712
76,3597168
77,3323456
78,2089264
79,2048176
80,1702272
81,1913776
82,3103024
83,2780528
84,1703488
85,2677008
86,333504
87,2128160
88,313216
89,2952400
90,2066672
91,1875584
92,2303008
93,2344576
94,2194464
95,1606960
96,2939568
97,2768848
98,1999088
99,2252400
100,439920
101,2033120
102,463344
103,1891616
104,3756384
105,3547040
106,323744
107,3711328
108,2002832
109,2234496
110,1874992
111,1493056
112,351408
113,3315120
114,1788192
115,314304
116,591760
117,1917440
118,2718288
119,2224704
120,2313440
121,3498656
122,2324208
123,1555488
124,2850816
125,4448464
126,2410016
127,2964032
128,2713824
129,2252688
130,3320672
131,5245344
132,2583216
133,2087648
134,5583008
