HICOM_PING_START run=12
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
Progress: 700/2000 (lost: 0)
WARNING: timeout at seq 754
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   2351.849    Std dev: 1018.772
Min:     267.248    Max:     10184.800
P50:    2254.384    P95:     3844.784
P99:    5546.768    P99.9:   9125.216
Throughput: 425 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,1687024
2,310656
3,7595920
4,2895008
5,2408352
6,3741904
7,2002528
8,2515184
9,1654480
10,3242592
11,2122912
12,2196816
13,1727312
14,2053008
15,3487248
16,2142544
17,3722064
18,5001344
19,1980496
20,3720128
21,3369664
22,2131840
23,6653216
24,4725600
25,1993664
26,3033984
27,6296384
28,3262512
29,2139872
30,2011904
31,3164704
32,2288656
33,2979920
34,3311328
35,2940160
36,1933504
37,2517984
38,3249664
39,4971296
40,4009440
41,2147440
42,3807088
43,4851584
44,2436080
45,4631392
46,2412912
47,1933952
48,10184800
49,2239648
50,3080400
51,2512496
52,2806128
53,617360
54,2160144
55,2638624
56,1935616
57,2499344
58,3704720
59,3506016
60,5280816
61,344496
62,5183232
63,2704400
64,7569824
65,5049792
66,536832
67,2249760
68,3640896
69,7299312
70,304752
71,1495504
72,1418576
73,1400464
74,1424464
75,1531040
76,1412480
77,5815904
78,1838048
79,1603392
80,1980256
81,3223808
82,2553856
83,2058880
84,1754960
85,2470176
86,3247088
87,1819312
88,353664
89,1816336
90,2209280
91,1696640
92,2927024
93,2267408
94,2032896
95,2970880
96,2394672
97,2241440
98,1316864
99,1866272
100,2242624
101,381824
102,3093296
103,1843920
104,3808240
105,1676256
106,3358944
107,1733152
108,2464496
109,354608
110,2906096
111,371024
112,1818800
113,2064480
114,2879152
115,2343232
116,2167136
117,1575456
118,1952768
119,1675024
120,2160304
121,1432304
122,2155008
123,2669424
124,2083792
125,1789008
126,2608000
127,3408320
128,1877680
129,3025088
130,2335296
131,1915760
132,3245024
133,586192
134,1517248
135,1926560
136,2816944
137,2320416
138,1736048
139,2426992
140,1657952
141,1618112
142,1916928
143,6157456
144,826096
145,831408
146,4564112
147,344320
148,3092704
149,1872928
150,2993408
151,431056
152,2106368
153,2892176
154,2085856
155,2285520
156,2950592
157,2471440
158,1505616
159,425936
160,2811888
161,1868336
162,2511264
163,2143936
164,2006320
165,390928
166,386288
167,1789872
168,2625456
169,344112
170,2742752
171,3295712
172,2311024
173,2289200
174,1599168
175,432848
176,2346032
177,526224
178,2034704
179,2083248
180,2400384
181,1896192
182,2211312
183,1660720
184,1975088
185,1567712
186,2144512
187,3397216
188,2563824
189,2697168
190,2277664
191,1779120
192,3770672
193,1812224
194,1401984
195,1963376
196,2793712
197,2858864
198,1756256
199,4115664
200,1787088
201,439664
202,3313776
203,3439888
204,1974592
205,450000
206,2494480
207,3280272
208,2340800
209,2109584
210,2176448
211,2241488
212,526032
213,2223088
214,2246400
215,3395040
216,3623104
217,1865200
218,1912528
219,3741280
220,2090928
221,1541200
222,1940272
223,3137696
224,2419456
225,1977296
226,2536784
227,3060832
228,3417488
229,382912
230,1754304
231,1835184
232,2399456
233,1691216
234,1744992
235,1607440
236,2932736
237,2652432
238,1980096
239,1654528
240,351728
241,3251136
242,384976
243,2723424
244,440096
245,1818336
246,3045056
247,2749712
248,3482880
249,1859712
250,3513632
251,3256512
252,2414720
253,2536816
254,1997424
255,3286560
256,2445696
257,1663584
258,2874960
259,3043584
260,3913008
261,1886704
262,2403312
263,2451936
264,1522192
265,2122976
266,3804928
267,3324256
268,3295296
269,462800
270,2890384
271,2529344
272,3919664
273,2010144
274,404016
275,2050928
276,2093840
277,2410320
278,3026304
279,1983728
280,3371392
281,2498768
282,3065664
283,1636096
284,2167504
285,3207040
286,541152
287,3026688
288,2103408
289,3066288
290,557456
291,3145552
292,2351968
293,1645936
294,2782880
295,3036192
296,314128
297,3216848
298,2102800
299,1724208
300,1981600
301,609792
302,1845776
303,3211888
304,2427120
305,3204800
306,1978320
307,3025184
308,2705760
309,3499232
310,1939360
311,1793968
312,372064
313,2645616
314,2384496
315,3135456
316,2393872
317,3199296
318,2069456
319,1384272
320,2532288
321,1706256
322,3660272
323,1797168
324,3090352
325,2491520
326,1933424
327,1416064
328,1675648
329,2228944
330,3190896
331,484144
332,3444800
333,2322944
334,1802416
335,2379344
336,3646400
337,360256
338,2749280
339,2801488
340,481456
341,2786304
342,2071728
343,2583344
344,2790624
345,2283248
346,3810432
347,1484640
348,1848848
349,2344800
350,2812000
351,2178112
352,379664
353,606096
354,2948160
355,2511392
356,3572352
357,3496064
358,3573376
359,3974896
360,3179712
361,2483808
362,1890400
363,3216656
364,2237632
365,2181488
366,427184
367,3205760
368,1861792
369,2306656
370,332128
371,2647968
372,1856032
373,2305952
374,1984624
375,3057616
376,354992
377,1407248
378,2001472
379,1831360
380,1972320
381,1703840
382,2156320
383,2030384
384,2255152
385,1744208
386,1785504
387,1853904
388,1766272
389,3793456
390,1767696
391,1780144
392,2009888
393,2238528
394,2929856
395,2288240
396,2159216
397,3119488
398,481712
399,3084176
400,2623872
401,401248
402,2851632
403,2171728
404,2110416
405,2255056
406,3553232
407,2099632
408,2186928
409,3176688
410,2159232
411,2148208
412,3169152
413,4402000
414,3208000
415,2731296
416,2838176
417,2424640
418,2103488
419,2618464
420,2637744
421,2333568
422,7022272
423,3215520
424,3551920
425,5729104
426,897840
427,1411360
428,480352
429,4331712
430,3770672
431,6134448
432,1054256
433,2093776
434,324384
435,3577488
436,3724224
437,4583568
438,4654672
439,2798272
440,4974256
441,3712976
442,2973360
443,5653696
444,379840
445,1059808
446,3906720
447,3292256
448,4664208
449,639360
450,2690688
451,3479200
452,3421104
453,1974464
454,2912096
455,2366256
456,2114448
457,374624
458,1850016
459,338224
460,3245056
461,2027408
462,2160816
463,2039488
464,2481872
465,456992
466,3051808
467,2742352
468,2073376
469,2201312
470,441408
471,3094224
472,3268496
473,2542192
474,3107120
475,2751680
476,1714528
