HICOM_PING_START run=19
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
WARNING: timeout at seq 589
WARNING: timeout at seq 598
Progress: 600/2000 (lost: 2)
Progress: 700/2000 (lost: 2)
Progress: 800/2000 (lost: 2)
Progress: 900/2000 (lost: 2)
Progress: 1000/2000 (lost: 2)
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
WARNING: timeout at seq 1398
Progress: 1400/2000 (lost: 3)
WARNING: timeout at seq 1408
Progress: 1500/2000 (lost: 4)
Progress: 1600/2000 (lost: 4)
Progress: 1700/2000 (lost: 4)
WARNING: timeout at seq 1772
Progress: 1800/2000 (lost: 5)
Progress: 1900/2000 (lost: 5)
Progress: 2000/2000 (lost: 5)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    5 (0.250%)
RTL (us):
Mean:   2297.243    Std dev: 966.691
Min:     266.048    Max:     8057.168
P50:    2159.936    P95:     3757.760
P99:    5057.696    P99.9:   7911.984
Throughput: 435 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,3014016
2,2668352
3,395888
4,2685456
5,2333712
6,2949552
7,758976
8,761072
9,3213744
10,3546384
11,3620320
12,408448
13,3045760
14,2357280
15,2306032
16,1559616
17,500176
18,2784160
19,2495872
20,2393184
21,3237664
22,2482752
23,3000128
24,2052944
25,2126768
26,3936656
27,2559024
28,2118128
29,3095168
30,2427008
31,2130560
32,2404640
33,3164848
34,2912656
35,2978720
36,3646848
37,3835664
38,3829376
39,3984528
40,2714704
41,2465600
42,4085328
43,3737200
44,2048784
45,3028608
46,2551632
47,659296
48,2421296
49,3364048
50,2035360
51,1563216
52,1834592
53,3295008
54,2543968
55,3275776
56,2043280
57,2783424
58,3004128
59,1744880
60,1746224
61,2049776
62,2071632
63,1627904
64,414256
65,2926048
66,2069680
67,2854352
68,3066928
69,3204976
70,1793952
71,2105664
72,2162672
73,498032
74,3351776
75,4329152
76,3157968
77,1980304
78,3476864
79,366080
80,2525952
81,1622144
82,4077696
83,3742624
84,2121056
85,2254832
86,3608896
87,3110528
88,2606064
89,2951536
90,2196544
91,3767632
92,1590640
93,2255728
94,3253920
95,2357712
96,627040
97,6851904
98,3160720
99,2097840
100,1732240
101,2231680
102,5901536
103,3436944
104,2061280
105,2115680
106,3209120
107,1809696
108,2780256
109,3021952
110,2097312
111,2174688
112,2070400
113,1663344
114,3672752
115,4191312
116,3421712
117,2311504
118,1951168
119,3339872
120,2527712
121,3740896
122,3271776
123,2372352
124,4174192
125,2175664
126,470000
127,3191520
128,3693904
129,2359824
130,2416096
131,1749760
132,1895040
133,1742080
134,2203280
135,2259296
136,3315424
137,2271120
138,406288
139,3455520
140,3416864
141,3587152
142,2064816
143,3084048
144,2521808
145,3271344
146,1888160
147,3354800
148,2361616
149,4757920
150,2197376
151,2302608
152,3276464
153,2692432
154,1973440
155,2032960
156,351408
157,1648016
158,3404784
159,2410208
160,3294352
161,366288
162,2020832
163,3644272
164,2020144
165,2050944
166,2249376
167,1758112
168,500960
169,3212048
170,3389488
171,1873408
172,4041680
173,1499488
174,1968352
175,2767056
176,2613632
177,1861456
178,346016
179,2137264
180,1987168
181,3667472
182,2166000
183,1874816
184,2533632
185,3481008
186,2015632
187,1715504
188,3565344
189,1936288
190,3340576
191,337776
192,1972368
193,2596752
194,578672
195,2665504
196,3555424
197,1965984
198,530400
199,3054192
200,3718048
201,2176112
202,2121888
203,2804752
204,2485568
205,1783760
206,3311120
207,374064
208,3424064
209,1973408
210,3086000
211,2322960
212,1811296
213,3308208
214,2326768
215,1977552
216,1995888
217,2372864
218,3647136
219,3308320
