HICOM_PING_START run=21
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
Progress: 600/2000 (lost: 0)
WARNING: timeout at seq 660
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
Progress: 1400/2000 (lost: 1)
Progress: 1500/2000 (lost: 1)
Progress: 1600/2000 (lost: 1)
Progress: 1700/2000 (lost: 1)
Progress: 1800/2000 (lost: 1)
Progress: 1900/2000 (lost: 1)
Progress: 2000/2000 (lost: 1)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    1 (0.050%)
RTL (us):
Mean:   2238.531    Std dev: 1028.062
Min:     266.432    Max:     10214.848
P50:    2135.472    P95:     3798.432
P99:    5518.880    P99.9:   8989.904
Throughput: 447 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,1831504
2,4428608
3,3818064
4,5628384
5,3538224
6,3788208
7,2718128
8,4300336
9,3225696
10,1146736
11,2704080
12,1697616
13,283440
14,1485808
15,340416
16,3930208
17,2832784
18,2471728
19,1760832
20,518528
21,736016
22,3612528
23,3485344
24,1631360
25,359728
26,4027760
27,2247472
28,3137872
29,2382080
30,1825120
31,2971984
32,493408
33,4319648
34,2038528
35,2414560
36,393088
37,3167632
38,1680784
39,3050128
40,2212768
41,3198768
42,1695792
43,266432
44,1513088
45,1496672
46,1511296
47,1420544
48,1433056
49,276944
50,2332928
51,2148304
52,2163840
53,1956848
54,2727280
55,2236976
56,1658768
57,2225648
58,1779552
59,2829376
60,2258736
61,314160
62,3109488
63,389040
64,2070800
65,2095744
66,3260512
67,4140176
68,2947616
69,3007312
70,2117712
71,432112
72,4003040
73,2991616
74,3434192
75,352672
76,2918160
77,476912
78,1996384
79,3869312
80,1808416
81,2424256
82,3489600
83,1827536
84,2535808
85,3442384
86,3309744
87,2452176
88,2117312
89,2186304
90,550848
91,2587152
92,1704048
93,2408416
94,387504
95,2947360
96,2046544
97,2928608
98,2198320
99,1869504
100,2227664
101,3393168
102,2148144
103,1579472
104,2030496
105,1323968
106,2317008
107,2651184
108,2320000
109,2646720
110,2423360
111,2773520
112,3216160
113,566704
114,3383072
115,673328
116,2681440
117,2208416
118,3871536
119,1581600
120,3711024
121,2299072
122,1884528
123,2274176
124,3502096
125,657968
126,2971328
127,4354368
128,2979984
129,382384
130,2802400
131,2454432
132,2186176
133,1576128
134,2039664
135,3504704
136,418080
137,1478560
138,2055696
139,1752080
140,2273200
141,1753792
142,3707360
143,2200192
144,4624608
145,2750576
146,1708272
