HICOM_PING_START run=22
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 0
WARNING: timeout at seq 63
Progress: 100/2000 (lost: 2)
WARNING: timeout at seq 188
Progress: 200/2000 (lost: 3)
Progress: 300/2000 (lost: 3)
Progress: 400/2000 (lost: 3)
Progress: 500/2000 (lost: 3)
Progress: 600/2000 (lost: 3)
Progress: 700/2000 (lost: 3)
Progress: 800/2000 (lost: 3)
Progress: 900/2000 (lost: 3)
Progress: 1000/2000 (lost: 3)
Progress: 1100/2000 (lost: 3)
Progress: 1200/2000 (lost: 3)
WARNING: timeout at seq 1293
Progress: 1300/2000 (lost: 4)
Progress: 1400/2000 (lost: 4)
Progress: 1500/2000 (lost: 4)
Progress: 1600/2000 (lost: 4)
Progress: 1700/2000 (lost: 4)
Progress: 1800/2000 (lost: 4)
Progress: 1900/2000 (lost: 4)
Progress: 2000/2000 (lost: 4)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    4 (0.200%)
RTL (us):
Mean:   2240.899    Std dev: 1107.774
Min:     265.136    Max:     19688.384
P50:    2133.696    P95:     3754.624
P99:    5230.448    P99.9:   18138.560
Throughput: 446 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,6529696
2,2727712
3,4291648
4,5443152
5,7552688
6,4877696
7,4528944
8,3813856
9,2429888
10,2215632
11,6142192
12,443008
13,2364992
14,1830928
15,2994768
16,285424
17,1986496
18,1853168
19,2060192
20,1805664
21,3594464
22,2410880
23,3335296
24,3781376
25,3828016
26,1849648
27,3514640
28,2305088
29,2051072
30,2993952
31,2105376
32,3743024
33,2107776
34,3084400
35,2388400
36,1869072
37,2601456
38,2316528
39,2509472
40,2464784
41,4014368
42,485824
43,1875136
44,1530960
45,2284064
46,1898144
47,2065792
48,391776
49,3062576
50,2053760
51,1961136
52,2106944
53,1867600
54,3058544
55,3164176
56,2542896
57,2560144
58,2615744
59,3677488
60,2652240
61,543072
62,4044672
63,3181888
64,3799776
65,4991232
66,2550944
67,1904592
68,1818400
69,340016
70,1683392
71,1536352
72,2338320
73,1869632
74,1348736
75,437072
76,2874256
77,2784704
78,2696112
79,1855088
80,2921600
81,2133696
82,1823360
83,1868800
84,2180896
85,3295520
86,3754624
87,2217584
88,1922704
89,3117104
90,2377888
91,444224
92,2229760
93,1741344
94,3657952
95,4308896
96,2428400
97,1751568
98,3102944
99,2367360
100,1867312
101,2535520
102,2276960
103,2314688
104,1519520
105,1597664
106,2378768
107,401072
108,2798080
109,2458768
110,336704
111,1742864
112,2936800
113,2528160
114,1764480
115,1572352
116,329392
117,1843008
118,2103568
119,470704
120,2801488
121,2581616
122,3763520
123,1958528
124,2543872
125,392400
126,2228656
127,1922064
128,3193360
129,2730944
130,3488272
131,2067792
132,1643264
133,3553184
134,1643760
135,4711632
136,527888
137,2909712
138,2174176
139,1580368
140,1621248
141,2092944
142,363584
143,3104656
144,1828800
145,2071024
146,286608
147,2922864
148,344560
149,1857840
150,3067856
151,2617312
152,1699168
153,2309952
154,1357760
155,2000288
156,3063712
157,2495792
158,1610640
159,1951072
160,371280
161,2999696
162,2051072
163,1465920
164,1847744
165,4421120
166,2286640
167,3793120
168,1626496
169,2177808
170,2042896
171,465840
172,314544
173,3562592
174,3437520
175,1692080
176,2353712
177,2003600
178,1580080
179,1947232
180,3437136
181,2346960
182,3256368
183,1741456
184,623408
185,2093632
186,2839088
