HICOM_PING_START run=24
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
WARNING: timeout at seq 2
Progress: 100/2000 (lost: 1)
Progress: 200/2000 (lost: 1)
Progress: 300/2000 (lost: 1)
Progress: 400/2000 (lost: 1)
Progress: 500/2000 (lost: 1)
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
WARNING: timeout at seq 1082
Progress: 1100/2000 (lost: 2)
Progress: 1200/2000 (lost: 2)
Progress: 1300/2000 (lost: 2)
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
WARNING: timeout at seq 1785
Progress: 1800/2000 (lost: 3)
WARNING: timeout at seq 1840
Progress: 1900/2000 (lost: 4)
Progress: 2000/2000 (lost: 4)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    4 (0.200%)
RTL (us):
Mean:   2331.780    Std dev: 1103.322
Min:     287.312    Max:     15548.128
P50:    2213.152    P95:     3839.280
P99:    5530.384    P99.9:   10544.640
Throughput: 429 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,10493920
2,8063824
3,5361696
4,3933488
5,2242528
6,2249552
7,2424336
8,1944208
9,3241248
10,2322448
11,1540736
12,2227440
13,2883680
14,4121920
15,2420208
16,3496496
17,3445104
18,2114576
19,10544640
20,2505552
21,1861184
22,358032
23,1465872
24,3574704
25,2007968
26,3974384
27,2852368
28,2169824
29,4477536
30,512304
31,2446384
32,2006896
33,2407728
34,3260608
35,2084160
36,1537584
37,3058768
38,1966064
39,2251984
40,2456000
41,2370800
42,3634176
43,292896
44,1875456
45,1998624
46,2326016
47,1474928
48,311216
49,1493792
50,1661408
51,1522832
52,3644144
53,2267312
54,2172624
55,2022768
56,2726464
57,2349776
58,1728848
59,332656
60,2989360
61,2058576
62,1911856
63,2549744
64,1671088
65,2881808
66,1956464
67,1831040
68,459424
69,2784208
70,2772304
71,1664976
72,2560784
73,2993568
74,2036160
75,1420720
76,1642192
77,382512
78,2998464
79,2184448
80,1451872
81,2490752
82,3472416
83,1847504
84,3336560
85,2633856
86,2902704
87,422976
88,1818000
89,3007920
90,2612784
91,3338512
92,1879408
93,1504272
94,1910000
95,2251536
96,493824
97,2569952
98,2209264
99,3123280
100,351008
101,3057376
102,1802032
103,1572096
104,1889904
105,435952
106,513072
107,1673280
108,2590304
109,1398592
110,1740128
111,2680240
112,2177616
113,472640
114,1852288
115,1908928
116,1757888
117,2948336
118,2853136
119,1721520
120,2753616
121,2068192
122,1938912
123,2688592
124,1703696
125,1792208
126,474256
127,3083904
128,2400416
129,1635696
130,2093088
131,1884288
132,3048272
133,2431040
134,2090544
135,5658304
136,7830192
137,3280384
138,2269504
139,5530384
140,3987376
141,3972960
142,5226592
143,2002512
144,3599920
145,679536
146,3259632
147,320608
148,4249168
149,2594768
150,1858576
151,5824096
152,1747680
153,3176128
154,2137440
155,3893568
156,3459472
157,1847312
158,3695216
159,1954000
160,3324192
161,5696880
162,2344608
163,1410432
164,1389408
165,1436368
166,1353024
167,1474464
168,1451248
169,2775024
170,438928
171,3219744
172,1778672
173,307312
174,426400
175,1983376
176,2860320
177,2417360
178,2017392
179,2848624
180,1874848
181,2508528
182,2815568
183,3728176
184,1732320
185,3388880
186,1529232
187,3629584
188,2714272
189,1916112
190,404352
191,415248
192,1805616
193,411584
194,2126176
195,2157552
196,1547376
197,2155296
198,2016144
199,1944000
200,2091760
201,2173872
202,2515840
203,1626528
204,1802224
205,2331472
206,3509552
207,2087744
208,2291120
209,1813264
210,2366128
211,1663216
212,3454032
213,2297184
214,531872
