HICOM_PING_START run=28
Messages: 2000  |  Payload: 64 B  |  Channel: hicom (HI-only)
Progress: 100/2000 (lost: 0)
Progress: 200/2000 (lost: 0)
Progress: 300/2000 (lost: 0)
Progress: 400/2000 (lost: 0)
Progress: 500/2000 (lost: 0)
WARNING: timeout at seq 593
Progress: 600/2000 (lost: 1)
Progress: 700/2000 (lost: 1)
Progress: 800/2000 (lost: 1)
Progress: 900/2000 (lost: 1)
Progress: 1000/2000 (lost: 1)
Progress: 1100/2000 (lost: 1)
Progress: 1200/2000 (lost: 1)
Progress: 1300/2000 (lost: 1)
WARNING: timeout at seq 1372
Progress: 1400/2000 (lost: 2)
Progress: 1500/2000 (lost: 2)
Progress: 1600/2000 (lost: 2)
Progress: 1700/2000 (lost: 2)
Progress: 1800/2000 (lost: 2)
Progress: 1900/2000 (lost: 2)
WARNING: timeout at seq 1906
Progress: 2000/2000 (lost: 3)
========== SHM PING-PONG RESULTS ==========
Messages sent:    2000
Messages lost:    3 (0.150%)
RTL (us):
Mean:   2202.901    Std dev: 926.517
Min:     268.080    Max:     9729.120
P50:    2120.880    P95:     3601.072
P99:    4691.968    P99.9:   9153.824
Throughput: 454 msg/s
============================================
===CSV_START===
Seq,RTT_ns
1,4137984
2,6036928
3,5325424
4,2229072
5,3255136
6,4945008
7,3346064
8,3769088
9,7912336
10,3997120
11,1633072
12,1979968
13,3324416
14,2531248
15,3456304
16,2234304
17,532976
18,2042224
19,2964416
20,4066864
21,337488
22,2830560
23,3936720
24,2122832
25,2120352
26,2864912
27,2235344
28,1865744
29,2540048
30,3114128
31,2373776
32,1922608
33,3679488
34,2645552
35,2527664
36,2131712
37,3269808
38,2765232
39,3470800
40,3601072
41,3940016
42,1804304
43,3504496
44,2358560
45,3256608
46,438256
47,3060128
48,1674624
49,4013728
50,392336
51,2044928
52,1774000
53,1996432
54,2953008
55,3958528
56,3450512
57,3497568
58,3427088
59,1902352
60,1368640
61,2199264
62,2620464
63,2752848
64,405376
65,2837888
66,1983888
67,2407472
68,1851472
69,491680
70,1920880
71,1527568
72,2012064
73,1529264
74,1837440
75,3071792
76,4031504
77,2181376
78,1724816
79,2934400
80,2590240
81,1746080
82,2244960
83,1990192
84,1844656
85,3894576
86,367088
87,2696768
88,2815312
89,2053888
90,3008064
91,2229936
92,1851008
93,2249232
94,1766256
95,2536912
96,2683104
97,1955072
98,2822048
99,2746672
100,1624304
101,1959952
102,1238736
103,1803936
104,1783760
105,2267056
106,1628240
107,1761232
108,452944
109,321232
110,2089760
111,471648
112,3536448
113,1967040
114,1302368
115,2322352
116,2551056
117,2413008
118,2072176
119,2210640
120,2149920
121,1995600
122,2150352
123,401264
124,3292704
125,1564944
126,2175632
127,1921136
128,2883472
129,334560
130,2322464
131,1730768
132,2527872
133,3142608
134,3293040
135,1760208
136,2094256
137,2022448
138,2950544
139,2235312
140,1516480
141,1918512
142,1694448
143,2428240
144,3202544
145,1752848
146,2410000
147,1995456
148,1910784
149,2198160
150,2022912
151,322400
152,2134640
153,3010912
154,3717872
155,3769840
156,2260800
157,2260512
158,1671056
159,2270624
160,2142944
161,2264944
162,2005952
163,2160944
164,2013712
165,1801200
166,3136976
167,500560
168,2347792
169,408336
170,3928320
171,2660832
172,2077536
173,2340576
174,3606112
175,1407696
176,1885648
177,4241040
178,2852096
179,2825632
180,3060416
181,3504288
182,2293904
183,1343424
184,1777200
185,2558048
186,3046832
187,2006720
188,496784
189,2201184
190,2405856
191,1916640
192,2104592
193,2059312
194,3657216
195,1984128
196,3020736
197,3622240
198,2564320
199,1736288
200,2639392
201,2311712
202,463392
203,2833776
204,2172032
205,1080944
206,2312096
207,3137952
208,2382032
209,1998160
210,1467056
211,1922256
212,3269040
213,2628624
214,474384
215,2219392
216,2231184
217,2470896
218,3262880
219,1671632
220,2748224
221,1574464
222,1909712
223,455760
224,1433888
225,1872528
226,2376192
227,3507792
228,1584352
229,2074112
230,2030688
231,2803424
232,2495072
233,1888608
234,1531344
235,1641216
236,2275296
237,3205072
238,1804880
239,2118928
240,1950544
241,1520896
242,1986496
243,3020752
244,2534432
245,1826080
246,1412944
247,1808240
248,2507248
249,2901952
250,2335056
251,1355504
252,1847328
253,2115024
254,2375312
255,4672224
256,1682352
257,4550512
258,1430960
259,2136480
260,2963872
261,2288224
262,1978576
263,2173408
264,1444176
265,2428736
266,1840512
267,1749424
268,2479200
269,1795040
270,2236400
271,480288
272,2568720
273,1905792
274,2197216
275,3706736
276,1872960
277,3099744
278,1677600
279,1988320
280,2476800
281,2201376
282,2164336
283,3248032
284,2163280
285,2135872
286,412976
287,2088224
288,2569232
289,2691552
290,2048064
291,1323872
292,1725664
293,2075504
294,1782976
295,2033712
296,1958464
297,1894048
298,2143664
299,1994752
300,1929104
301,1981920
302,1761744
303,3984224
304,2291888
305,479776
306,2838832
307,2028432
308,2870704
309,2247568
310,2261200
311,3125520
312,2758528
313,1833408
314,2056192
315,283264
316,3144176
317,388160
318,2822272
319,2090992
320,2107472
321,366944
322,2124448
323,3000464
324,2985056
325,1582000
326,2698240
327,320944
328,1941072
329,495072
330,1862848
331,3314368
332,4132144
333,2126960
334,2877328
335,1666912
336,385168
337,2252560
338,2126160
339,506992
340,1883216
341,3190224
342,3597968
343,2798672
344,1968944
345,2170736
346,3957904
347,1620080
348,1873824
349,3293232
350,2460432
351,427648
352,2591872
353,3596016
354,2130064
355,2044176
356,387312
357,1457696
358,1977744
359,2785728
360,299824
361,2486928
362,3178992
363,1939280
364,358448
365,2892304
366,2314320
367,1671888
368,2390352
369,1757296
370,1790336
371,1787712
372,2958928
373,379840
374,2298496
375,1873392
376,3142912
377,2192784
378,1797184
379,2073200
380,1866944
381,3272608
382,364704
383,2353776
384,1439248
385,2203536
386,1508944
387,292752
388,1677728
389,1439360
390,1834928
391,1968160
392,1958400
393,3043760
394,697760
395,1635712
396,2055984
397,3439360
398,2967968
399,4172352
400,1829568
401,2776192
402,2669200
403,2270272
404,1494464
405,1634592
406,2184208
407,2157824
408,2485408
409,2938128
410,2828560
411,1696368
412,2110192
413,3242176
414,1968896
415,1569808
416,1880592
417,1992032
418,2080960
419,2800768
420,2260320
421,2128256
422,1461040
423,1760640
424,2080160
425,2243984
426,2513936
427,2819664
428,2767808
429,1897184
430,2777680
431,2070320
432,2111344
433,392048
434,1664336
435,1817872
436,2781024
437,2175616
438,1983136
439,2010816
440,3857248
441,3151792
442,2095408
443,2186064
444,1861104
445,1168720
446,1790928
447,2238048
448,2161488
449,2202720
450,2869744
451,384800
452,3478080
453,2172176
454,307296
455,2054320
456,1809120
457,448528
458,1450752
459,1651616
460,318816
461,3119904
462,2192960
463,372432
464,2961088
465,1590144
466,1929760
467,1926368
468,2104592
469,1867888
470,2656832
471,2466144
472,1662608
473,2951344
474,1586160
475,1727056
476,488688
477,2538112
478,2811184
479,1584944
480,2192592
481,1778784
482,2378288
483,1678624
484,2672288
485,2293968
486,2275248
487,1341632
488,1676592
489,2108048
490,1769072
491,2033712
492,1869792
493,3179488
494,2287344
495,2190528
496,446640
497,2076944
498,2588064
499,3266944
500,2098576
501,2005536
502,373152
503,1710832
504,1871440
505,328608
506,1749328
507,3169632
508,2332320
509,1716864
510,3171504
511,2031680
512,2142080
513,1724128
514,1715488
515,2168128
516,1720464
517,3005296
518,399152
519,2302736
520,2054080
521,2125840
522,2216864
523,1991952
524,3194784
525,2423120
526,1665808
527,1666080
528,1774096
529,2861024
530,2110336
531,1896560
532,2120880
533,2102768
534,3283328
535,2127680
536,2127904
537,3274688
538,2147200
539,1681632
540,2342544
541,1802736
542,3221248
543,2327664
544,2081472
545,1816064
546,400896
547,2381648
548,1511136
549,1542256
550,2247264
551,2214256
552,1899104
553,1969888
554,4329168
555,1929808
556,1429728
557,1785824
558,1982272
559,268080
560,1910096
561,1930112
562,2285856
563,2295216
564,2689968
565,415504
566,1994864
567,356560
568,3007344
569,1859904
570,2153328
571,538144
572,2853376
573,2135712
574,1928688
575,2713344
576,464272
577,2853152
578,1945808
579,3386384
580,2155440
581,1783744
582,1629712
583,9153824
584,2470016
585,5995808
586,471568
587,3829392
588,3022528
589,5091904
590,6362960
591,365056
592,1951808
593,2340976
594,3119840
595,2327440
596,435696
597,2288544
598,1869216
599,2274592
600,3035408
601,481680
602,2450112
603,1659344
604,2089488
605,1944864
606,3519472
607,2452848
608,456112
609,2473040
610,2046736
611,1371728
612,2040656
613,2579040
614,2965904
615,1706704
616,292352
617,3242784
618,2886768
619,2857584
620,1758576
621,2036672
622,1604416
623,335360
624,1525856
625,1936976
626,1956352
627,319040
628,3061600
629,2186896
630,1496176
631,1747168
632,2587152
633,3046672
634,2016000
635,1534608
636,2184960
637,2007648
638,2223344
639,1892736
640,2979040
641,3403344
642,289152
643,2411008
644,1724656
645,2911888
646,2018272
647,2189456
648,2043712
649,2344976
650,1872064
651,2056816
652,1893856
653,1970816
654,2051072
655,2185056
656,2991632
657,2701280
658,1805328
659,2143856
660,1802720
661,2976320
662,2549776
663,2027376
664,1508032
665,2055824
666,2743520
667,2144656
668,1613760
669,1872800
670,1793568
671,2038832
672,2041584
673,313120
674,2282096
675,2260576
676,1951664
677,1852176
678,2321360
679,3441792
680,387376
681,1828752
682,2507744
683,1501312
684,2410672
685,2476672
686,1785888
687,1876448
688,2037408
689,1861968
690,1498144
691,362368
692,1956880
693,2368640
694,1860000
695,623760
696,3526688
697,3024192
698,1700384
699,2173360
700,1901904
701,1776672
702,2080464
703,1960048
704,3308896
705,2060464
706,3849984
707,2059072
708,2243376
709,2366400
710,2000032
711,1335424
712,2014736
713,1612208
714,1671536
715,392704
716,1550016
717,1778320
718,1979568
719,1982928
720,2793520
721,2212368
722,1996960
723,336976
724,1979136
725,2409152
726,1738080
727,2908880
728,361296
729,2437216
730,1860048
731,1540992
732,1996496
733,2309728
734,2080176
735,1761152
736,2912192
737,2860608
738,3677568
739,447456
740,2310736
741,585744
742,2050400
743,2141456
744,436128
745,2418960
746,1612736
747,1881840
748,3087424
749,2714432
750,3156720
751,329968
752,3344704
753,1832064
754,405088
755,800608
756,2544096
757,2002848
758,2964816
759,2322368
760,1996544
761,1490656
762,1639008
763,2438752
764,1829136
765,2839120
766,1930416
767,1925280
768,2216832
769,1593696
770,2104768
771,377488
772,3075488
773,2357760
774,1507104
775,2009136
776,2625104
777,2256160
778,448064
779,2279856
780,1976592
781,2992960
782,3794256
783,2229872
784,2201168
785,1658224
786,1984864
787,2751232
788,2374752
789,2265968
790,1624848
791,2251968
792,1626096
793,403504
794,2286976
795,370832
796,3002880
797,2103456
798,1565472
799,1804752
800,2375488
801,1930160
802,3897072
803,2092720
804,2434208
805,1801632
806,1746544
807,2051552
808,1827968
809,2283520
810,2218400
811,1959632
812,2658576
813,373792
814,2234352
815,2416144
816,384800
817,2929392
818,2591888
819,2685808
820,2256096
821,1129696
822,1976224
823,1980496
824,1870336
825,1542336
826,1901344
827,2752544
828,3466720
829,3198336
830,3355264
831,1893840
832,477808
833,2636240
834,1370112
835,2413296
836,2061488
837,2986176
838,293872
839,2069248
840,1818352
841,339488
842,1726368
843,2043216
844,1640560
845,1943088
846,3080208
847,2562832
848,2992352
849,2083808
850,3326512
851,3557072
852,2737648
853,3683552
854,2189344
855,3586288
856,3232160
857,2353280
858,274624
859,2838544
860,1603312
861,2151152
862,1815328
863,2031088
864,1873712
865,3114496
866,2250704
867,3024736
868,1791472
869,2419280
870,1829088
871,2841776
872,2220016
873,1855808
874,395744
875,2903984
876,2800480
877,362576
878,4015872
879,3471120
880,2801344
881,2242256
882,3141952
883,2312592
884,1906864
885,3206128
886,2679600
887,2100784
888,1582336
889,2041760
890,1947120
891,2180208
892,1939504
893,3000320
894,2433152
895,1957440
896,3207856
897,2447616
898,532448
899,2397248
900,3703504
901,2709696
902,2060624
903,1744480
904,2206448
905,453808
906,1601024
907,2323072
908,1975536
909,2282720
910,1566576
911,1905840
912,2938432
913,2261632
914,393792
915,3520608
916,1738656
917,2288848
918,1721968
919,2547648
920,2985600
921,1707552
922,1940320
923,1800576
924,1839648
925,320352
926,1750400
927,1478992
928,1686592
929,1621136
930,1954304
931,1625280
932,2234592
933,1554352
934,1778080
935,1871984
936,2065088
937,1489648
938,1808944
939,407280
940,2652992
941,1450688
942,2175216
943,1429776
944,1728784
945,2037168
946,1764384
947,3274432
948,2102608
949,2103952
950,1499888
951,1887136
952,3037408
953,2621904
954,1763968
955,1468480
956,3951264
957,1944736
958,3201104
959,2469552
960,1930624
961,336832
962,1895424
963,3025984
964,2202720
965,1656176
966,2220864
967,1931504
968,1686496
969,1932352
970,3053456
971,2119888
972,1966256
973,3044928
974,1992832
975,1934576
976,2448944
977,2285824
978,1619184
979,499488
980,1987200
981,2084240
982,1848800
983,2799776
984,2216400
985,1852224
986,2170208
987,2225568
988,1947024
989,2160000
990,377984
991,3384592
992,2116064
993,2180240
994,1794480
995,1931840
996,3204912
997,2150912
998,2172176
999,1261872
1000,393424
1001,3744592
1002,2440016
1003,1943568
1004,1857584
1005,2363856
1006,1724288
1007,2299760
1008,1947200
1009,1828736
1010,2477312
1011,1718368
1012,325040
1013,2878864
1014,2200224
1015,1710272
1016,2203360
1017,1955808
1018,1618832
1019,338192
1020,3267504
1021,602608
1022,2907392
1023,1901744
1024,3216816
1025,2427216
1026,1851296
1027,1922080
1028,1724096
1029,3103680
1030,2423552
1031,2349664
1032,2708688
1033,2469200
1034,2017072
1035,3013456
1036,2523968
1037,3060992
1038,1903728
1039,2061472
1040,2175696
1041,3089504
1042,2306272
1043,425936
1044,2852208
1045,2171600
1046,3001520
1047,2352032
1048,1821952
1049,2691728
1050,2671760
1051,2363280
1052,3333472
1053,1423856
1054,1695056
1055,2083328
1056,3530992
1057,1692176
1058,2263616
1059,492320
1060,2448880
1061,2225120
1062,1415712
1063,2138864
1064,3158912
1065,2596048
1066,3369680
1067,2046752
1068,3118032
1069,2126240
1070,1672976
1071,2138416
1072,399680
1073,3159328
1074,2006928
1075,3030336
1076,2121264
1077,1860720
1078,2359408
1079,1763200
1080,2596576
1081,2955424
1082,1782992
1083,2698272
1084,2583344
1085,1802992
1086,307504
1087,1521456
1088,2158576
1089,1631232
1090,1953792
1091,2621856
1092,3377488
