========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:     374
Lost (no echo):     1627 (81.350%)
Elapsed:           7.784 s
RTL (us):
  Mean: 5310.835    Std dev: 676.217
  Min:  4441.104    Max:     13235.088
  P50:  5195.184    P95:     6173.440
  P99:  7956.720    P99.9:   13235.088
IAJ (us):
  Mean: 4314.429    Std dev: 540.724
  Min:  3455.536    Max:     8623.776
  P50:  4233.920    P95:     5178.448
  P99:  6488.112    P99.9:   8623.776
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,136573379776,136579537072,6157296,6488112
1,136579709296,136587025184,7315888,8623776
2,136587175056,136596648960,9473904,5116720
3,136596663584,136602765680,6102096,5029088
4,136602779984,136608794768,6014784,4401248
5,136608809712,136614196016,5386304,4410528
6,136614211744,136619606544,5394800,7054208
7,136619620960,136627660752,8039792,4702336
8,136627675856,136633363088,5687232,5266976
9,136633380272,136639630064,6249792,5449728
10,136639645952,136646079792,6433840,4667440
11,136646095824,136651747232,5651408,5914224
12,136651761392,136658661456,6900064,3984864
13,136658675488,136663646320,4970832,4863152
14,136663661008,136669509472,5848464,4296800
15,136669577152,136674806272,5229120,4003296
16,136674820464,136679809568,4989104,6154240
17,136679824448,136686963808,7139360,3864320
18,136686978480,136691828128,4849648,5371696
19,136691851520,136698199824,6348304,5612496
20,136698213536,136704812320,6598784,4303760
21,136704826448,136710116080,5289632,4103152
22,136710130592,136715219232,5088640,4602384
23,136715232928,136720821616,5588688,4041856
24,136720836128,136725863472,5027344,4606832
25,136725878368,136731470304,5591936,4639136
26,136731484432,136737109440,5625008,4050272
27,136737124224,136742159712,5035488,4362624
28,136742214048,136747522336,5308288,4190416
29,136747591392,136752712752,5121360,4032672
30,136752727152,136757745424,5018272,4882240
31,136757758992,136763627664,5868672,4092320
32,136763643104,136768719984,5076880,3918256
33,136768733840,136773638240,4904400,3609808
34,136773651216,136778248048,4596832,4029232
35,136778277328,136783277280,4999952,4519600
36,136783291152,136788796880,5505728,4209024
37,136788810720,136794005904,5195184,4107696
38,136794020032,136799113600,5093568,3671472
39,136799127520,136803785072,4657552,4660080
40,136803799152,136809445152,5646000,4219728
41,136809459024,136814664880,5205856,4175808
42,136814678816,136819840688,5161872,4846016
43,136819854528,136825686704,5832176,3952384
44,136825701120,136830639088,4937968,4034016
45,136830655568,136835673104,5017536,3923216
46,136835686976,136840596320,4909344,4007936
47,136840623408,136845604256,4980848,4047136
48,136845621264,136850651392,5030128,4076128
49,136850665440,136855727520,5062080,4092224
50,136855742336,136860819744,5077408,3875136
51,136860833632,136865694880,4861248,4516880
52,136865708880,136871211760,5502880,5484144
53,136871227472,136877695904,6468432,3561600
54,136877711248,136882257504,4546256,4317984
55,136882271744,136887575488,5303744,4525488
56,136887614192,136893100976,5486784,3914720
57,136893114592,136898015696,4901104,4309040
58,136898030000,136903324736,5294736,4704784
59,136903339040,136909029520,5690480,4009664
60,136909043616,136914039184,4995568,4603168
61,136914053456,136919642352,5588896,4494080
62,136919656048,136925136432,5480384,4675040
63,136925150336,136930811472,5661136,5187072
64,136930825104,136936998544,6173440,3999472
65,136937012928,136941998016,4985088,4640576
66,136942046528,136947638592,5592064,4094832
67,136947652912,136952733424,5080512,4017360
68,136952747904,136957750784,5002880,4479360
69,136957765328,136963230144,5464816,4821552
70,136963244336,136969051696,5807360,3996528
71,136969065936,136974048224,4982288,4391472
72,136974061568,136979439696,5378128,4575056
73,136979453360,136985014752,5561392,3803952
74,136985028768,136989818704,4789936,4780176
75,136989832576,136995598880,5766304,4182608
76,136995621952,137000781488,5159536,4331568
77,137000796096,137006113056,5316960,4153584
78,137006127264,137011266640,5139376,4736272
79,137011280992,137017002912,5721920,3763024
80,137017017328,137021765936,4748608,4237936
81,137021779424,137027003872,5224448,3756880
82,137027016816,137031760752,4743936,4529936
83,137031774720,137037290688,5515968,4162944
84,137037304560,137042453632,5149072,3962144
85,137042468400,137047415776,4947376,4212496
86,137047460944,137052628272,5167328,4081536
87,137052642928,137057709808,5066880,4455952
88,137057723920,137063165760,5441840,4650448
89,137063205664,137068816208,5610544,3929456
90,137068830304,137073745664,4915360,4554656
91,137073759552,137079300320,5540768,4663296
92,137079314592,137084963616,5649024,4158848
93,137084995088,137090122464,5127376,4045728
94,137090136384,137095168192,5031808,4565120
95,137095208960,137100733312,5524352,4724944
96,137100747776,137106458256,5710480,5355600
97,137106472864,137112813856,6340992,4254576
98,137112828640,137118068432,5239792,4432848
99,137118082672,137123501280,5418608,3995664
100,137123515920,137128496944,4981024,3772672
101,137128511312,137133269616,4758304,3990288
102,137133284112,137138259904,4975792,3968960
103,137138273984,137143228864,4954880,4760400
104,137143243072,137148989264,5746192,4683520
