========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    1922
Lost (no echo):       80 (4.000%)
Elapsed:           11.790 s
RTL (us):
  Mean: 5934.692    Std dev: 660.218
  Min:  4641.392    Max:     11315.968
  P50:  5826.880    P95:     7136.000
  P99:  8024.992    P99.9:   11091.584
IAJ (us):
  Mean: 4952.596    Std dev: 640.225
  Min:  3654.768    Max:     8629.504
  P50:  4858.064    P95:     6148.800
  P99:  7033.936    P99.9:   8194.256
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,226553430464,226560920416,7489952,5413008
1,226561099232,226567333424,6234192,6693888
2,226567476144,226575027312,7551168,6163872
3,226575042016,226582191184,7149168,5815984
4,226582245552,226589007168,6761616,5458144
5,226589022176,226595465312,6443136,5838704
6,226595479952,226602304016,6824064,5756080
7,226602318864,226609060096,6741232,7072496
8,226609074976,226617132592,8057616,5152544
9,226617147376,226623285136,6137760,5862192
10,226623301040,226630147328,6846288,7068816
11,226630162768,226638216144,8053376,5878720
12,226638234272,226645094864,6860592,5544112
13,226645110352,226651638976,6528624,5347072
14,226651654032,226657986048,6332016,6823184
15,226658000592,226665809232,7808640,5669072
16,226665823680,226672478304,6654624,6209296
17,226672493168,226679687600,7194432,6296224
18,226679702784,226686983824,7281040,5392912
19,226686998928,226693376736,6377808,6843744
20,226693392160,226701220480,7828320,4994640
21,226701260880,226707215120,5954240,4991328
22,226707232000,226713206448,5974448,6684560
23,226713222288,226720891008,7668720,6098176
24,226720962800,226727989184,7026384,4951392
25,226728005168,226733940576,5935408,6049264
26,226733955536,226740989840,7034304,4846144
27,226741003584,226746835984,5832400,5169040
28,226746850000,226753005024,6155024,6994128
29,226753019360,226760999152,7979792,4862640
30,226761013616,226766861792,5848176,4902720
31,226766875872,226772764512,5888640,4861008
32,226772778656,226778625520,5846864,5183536
33,226778639696,226784809056,6169360,4888144
34,226784823488,226790697200,5873712,4972096
35,226790711632,226796669296,5957664,5095104
36,226796683296,226802764400,6081104,4874592
37,226802779248,226808638992,5859744,4342688
38,226808653232,226813981680,5328448,5819520
39,226813995776,226820801200,6805424,4931824
40,226820815456,226826733024,5917568,4733456
41,226826747184,226832466480,5719296,4650832
42,226832480672,226838117312,5636640,5946384
43,226838131072,226845063696,6932624,4940960
44,226845077584,226851004656,5927072,4713008
45,226851018912,226856717664,5698752,4739680
46,226856731408,226862457344,5725936,5651696
47,226862472752,226869109040,6636288,4652240
48,226869123568,226874761280,5637712,4737616
49,226874775408,226880498896,5723488,4568320
50,226880513104,226886067216,5554112,4681312
51,226886081168,226891748528,5667360,5381760
52,226891762704,226898130288,6367584,6224928
53,226898144704,226905355216,7210512,4878864
54,226905369776,226911234080,5864304,4525792
55,226911248464,226916759872,5511408,4715904
56,226916774080,226922475776,5701696,4530720
57,226922488896,226928006496,5517600,5073408
58,226928019536,226934079904,6060368,4858912
59,226934093872,226939938816,5844944,5715584
60,226939966672,226946654400,6687728,5114992
61,226946668384,226952769392,6101008,5283520
62,226952783552,226959052912,6269360,4733440
63,226959066864,226964786352,5719488,4839184
64,226964800224,226970625536,5825312,5466480
65,226970639280,226977092016,6452736,5012496
66,226977106672,226983104512,5997840,4696464
67,226983118608,226988800976,5682368,5026784
68,226988815072,226994827760,6012688,5099136
69,226994841936,227000926896,6084960,4703680
70,227000951744,227006630576,5678832,4334768
71,227006645744,227011965344,5319600,5713328
72,227011979216,227018678672,6699456,5147264
73,227018692960,227024825936,6132976,4952368
74,227024840176,227030778304,5938128,4855152
75,227030791344,227036633456,5842112,4505600
76,227036647424,227042139056,5491632,6167216
77,227042152464,227049306272,7153808,4664000
78,227049345056,227054970272,5625216,4646144
79,227054984512,227060616416,5631904,4477216
80,227060630656,227066093632,5462976,5910928
81,227066107568,227073004560,6896992,5048768
82,227073018512,227079053328,6034816,5803056
83,227079067456,227085856384,6788928,5635344
84,227085870992,227092491728,6620736,5181056
85,227092506592,227098672784,6166192,5135984
86,227098686816,227104808768,6121952,4711808
