========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        7 (0.350%)
Elapsed:           11.892 s
RTL (us):
  Mean: 5916.811    Std dev: 833.558
  Min:  4463.392    Max:     22378.880
  P50:  5818.160    P95:     6996.928
  P99:  8309.920    P99.9:   15724.912
IAJ (us):
  Mean: 4914.649    Std dev: 631.810
  Min:  3539.408    Max:     8817.776
  P50:  4837.552    P95:     5990.528
  P99:  7098.000    P99.9:   8286.112
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,618085836416,618093016352,7179936,5982384
1,618093245776,618099998736,6752960,6539680
2,618100928368,618107538416,6610048,4908032
3,618107590976,618113446448,5855472,6536624
4,618113460752,618120983072,7522320,5350064
5,618120999264,618127333136,6333872,5876064
6,618127346336,618134209200,6862864,5523120
7,618134254544,618140732320,6477776,5494192
8,618140747280,618147226512,6479232,5072368
9,618147241328,618153298880,6057552,5520240
10,618153313008,618159819120,6506112,5881360
11,618159832272,618166700480,6868208,4327104
12,618166714112,618172027584,5313472,5670912
13,618172040928,618178698496,6657568,5346496
14,618178712816,618185044992,6332176,6972496
15,618185059136,618193017488,7958352,5722608
16,618193031952,618199740096,6708144,5391936
17,618199754432,618206132032,6377600,5733488
18,618206153600,618212865520,6711920,5207248
19,618212882672,618219072768,6190096,5633808
20,618219087104,618225706576,6619472,6314912
21,618225721440,618233021488,7300048,4955456
22,618233044096,618238976944,5932848,5000384
23,618238992480,618244977328,5984848,5159632
24,618244991872,618251136960,6145088,4705168
25,618251151600,618256842128,5690528,5209264
26,618256856608,618263051392,6194784,4920528
27,618263065504,618268971920,5906416,5232224
28,618268986672,618275204144,6217472,6011648
29,618275227104,618282215792,6988688,4562368
30,618282230464,618287778160,5547696,6437536
31,618287793072,618295215696,7422624,5960656
32,618295230720,618302176352,6945632,4882016
33,618302193056,618308058368,5865312,6080768
34,618309067184,618315139136,6071952,4546160
35,618315154112,618320685296,5531184,4409584
36,618320699408,618326094880,5395472,5642784
37,618326110576,618332737664,6627088,4712048
38,618332752704,618338449712,5697008,5294016
39,618338468144,618344743728,6275584,4298480
40,618344758832,618350042208,5283376,5650208
41,618350055936,618356692416,6636480,4551904
42,618356707296,618362244320,5537024,5638960
43,618362259264,618368883280,6624016,6872240
44,618368898176,618376755520,7857344,4485968
45,618376770720,618382241488,5470768,4600032
46,618382255536,618387841520,5585984,5192240
47,618387855344,618394033760,6178416,5927824
48,618394047824,618400961584,6913760,4678384
49,618400976848,618406639968,5663120,5323632
50,618406654112,618412963600,6309488,4773040
51,618412980272,618418736640,5756368,4339232
52,618418750704,618424075872,5325168,5754608
53,618424976224,618430830480,5854256,5212528
54,618430844512,618437043008,6198496,4414288
55,618437056848,618442457296,5400448,5581760
56,618442470672,618449039056,6568384,4439760
57,618449053568,618454478816,5425248,4186608
58,618454492640,618459665424,5172784,4986176
59,618459678496,618465651600,5973104,6115648
60,618465665856,618472767248,7101392,4465808
61,618472781744,618478233056,5451312,5506640
62,618478247440,618484739696,6492256,4612832
63,618484754464,618490352528,5598064,6319536
64,618490433168,618497672064,7238896,4392992
65,618497687632,618503065056,5377424,4448896
66,618503078416,618508513952,5435536,4313872
67,618508528208,618513827824,5299616,4793152
68,618513840976,618519620976,5780000,4540560
69,618519634192,618525161536,5527344,4527744
70,618525209424,618530689280,5479856,5293552
71,618530703328,618536982832,6279504,4917888
72,618536997152,618542900720,5903568,4778768
73,618542972256,618548679488,5707232,4557280
74,618548693648,618554236768,5543120,5527008
75,618554250928,618560763776,6512848,4533216
76,618560778096,618566296992,5518896,4415680
77,618566311184,618571712672,5401488,4808752
78,618571726592,618577521424,5794832,5173824
79,618577623808,618583695248,6071440,4827328
80,618583709440,618589522576,5813136,6526256
81,618589616256,618597048832,7432576,5254256
82,618597063280,618603303088,6239808,4698432
83,618603317056,618609001520,5684464,4859920
84,618609014928,618614861440,5846512,4957072
85,618614875056,618620818512,5943456,5332416
86,618620833136,618627150928,6317792,4564256
87,618627165776,618632715184,5549408,4510320
88,618632729376,618638225504,5496128,4551104
89,618638239792,618643776608,5536816,4954624
90,618643791072,618649731232,5940160,4910224
91,618649756656,618655641456,5884800,4836672
92,618655655120,618661478128,5823008,5415760
93,618661494976,618667893888,6398912,5748816
94,618667946112,618674642704,6696592,5366976
95,618674657840,618681009680,6351840,4848640
96,618681024864,618686858320,5833456,5078560
97,618686873296,618692936880,6063584,4787680
98,618692962672,618698724560,5761888,5480304
99,618698737920,618705204864,6466944,4624208
100,618705221792,618710829072,5607280,5034864
101,618710843280,618716863936,6020656,4484976
102,618716878384,618722348912,5470528,4581024
103,618722362592,618727929936,5567344,4752368
104,618727966496,618733682304,5715808,6437360
105,618733696848,618741119664,7422816,4737584
106,618741150928,618746857248,5706320,5086224
107,618746871328,618752943472,6072144,4672160
108,618752971232,618758615632,5644400,5379440
109,618758632608,618764995072,6362464,4720048
110,618765009712,618770715120,5705408,5390864
111,618770729984,618777105984,6376000,4762672
112,618777120944,618782868656,5747712,4985984
113,618782883264,618788854640,5971376,4778208
114,618788868080,618794632848,5764768,4415232
115,618794646880,618800048080,5401200,4725840
116,618800697056,618805773920,5076864,4896048
117,618805788240,618811669968,5881728,4801696
118,618811684496,618817471664,5787168,4669600
119,618817486144,618823141264,5655120,4622864
120,618823156016,618828764128,5608112,4459168
121,618828778496,618834223296,5444800,5537008
122,618834237088,618840760304,6523216,4370992
123,618840773824,618846131296,5357472,4835008
124,618846145904,618851966304,5820400,4976128
125,618851982320,618857942432,5960112,4566816
126,618857958480,618863509248,5550768,4683264
127,618863522336,618869192512,5670176,4487440
128,618869219264,618874679952,5460688,5431360
129,618874693152,618881111312,6418160,4941424
130,618881125888,618887052736,5926848,4610224
131,618887066064,618892662960,5596896,4299808
132,618892676656,618897962768,5286112,5841632
133,618897976608,618904804400,6827792,4348256
134,618904819408,618910152656,5333248,4878112
135,618910184992,618916030768,5845776,5052192
136,618916888896,618922082960,5194064,4727888
137,618922096464,618927810848,5714384,5299744
138,618927824256,618934110592,6286336,4598672
139,618934124752,618939709264,5584512,4503040
140,618939723280,618945212304,5489024,4752128
141,618945248576,618950964432,5715856,4502480
142,618950982768,618956466912,5484144,4652640
143,618956481232,618962119552,5638320,4881040
144,618962134064,618968000592,5866528,4938224
145,618968014880,618973938816,5923936,4898816
146,618973952960,618979837632,5884672,5617488
147,618979851040,618986455120,6604080,4245424
148,618986469584,618991700544,5230960,4524576
149,618991715408,618997225120,5509712,4946304
150,618997268032,619003171424,5903392,4644720
151,619003234496,619008816144,5581648,4825200
152,619008830672,619014641344,5810672,5124272
153,619014656368,619020765616,6109248,4872704
154,619020780256,619026638320,5858064,5368688
155,619026652496,619033007008,6354512,4975584
156,619033022144,619038982592,5960448,4510768
157,619038996128,619044493360,5497232,4986656
158,619044507664,619050480016,5972352,5136336
159,619050494688,619056616352,6121664,4870096
160,619056629920,619062486448,5856528,4182560
161,619062500416,619067669008,5168592,4816912
162,619067683408,619073485920,5802512,6529568
163,619073503536,619081015488,7511952,4578064
164,619081030320,619086593552,5563232,4249392
165,619086608064,619091842944,5234880,4992848
166,619091856608,619097835792,5979184,4985520
167,619097851184,619103821312,5970128,5314512
168,619103836112,619110135824,6299712,4565216
169,619110151104,619115701040,5549936,4954704
170,619115716256,619121655744,5939488,5155984
171,619121669968,619127811728,6141760,5265536
172,619127825984,619134077264,6251280,6006496
173,619134091984,619141083760,6991776,4623072
174,619141099328,619146706832,5607504,5097152
175,619146722224,619152803984,6081760,4301104
176,619152818032,619158105088,5287056,5708960
177,619158118832,619164814048,6695216,4928048
178,619164828736,619170742096,5913360,5545472
179,619170756688,619177287568,6530880,4826368
180,619177303568,619183113936,5810368,4598672
181,619183128256,619188712608,5584352,4346032
182,619188726992,619194058640,5331648,5648000
183,619194073136,619200706640,6633504,4348496
184,619200731616,619206055136,5323520,5976800
185,619206069584,619213031936,6962352,4921824
186,619213046608,619218953760,5907152,4766672
187,619218970416,619224720432,5750016,4504208
188,619224735136,619230224640,5489504,4415200
189,619230240560,619235639840,5399280,4619104
190,619235653392,619241258944,5605552,4727744
191,619241272384,619246986688,5714304,4652768
192,619247001536,619252639456,5637920,4345648
193,619252654272,619257985104,5330832,4745808
194,619258009840,619263730912,5721072,4283088
195,619263755984,619269014000,5258016,4799952
196,619269027504,619274813952,5786448,5318320
197,619274827888,619281132272,6304384,4525056
198,619281145744,619286657328,5511584,4832224
199,619286672064,619292489552,5817488,4955376
200,619292503728,619298444928,5941200,5296576
201,619298460192,619304741504,6281312,4975888
202,619304755504,619310717392,5961888,5014784
203,619310732448,619316732176,5999728,5474176
204,619316747584,619323206352,6458768,6006192
205,619323222128,619330212544,6990416,5626592
206,619330228080,619336839136,6611056,4500672
207,619336855616,619342339808,5484192,5395376
208,619342355600,619348735184,6379584,4874848
209,619348750896,619354610032,5859136,4905024
210,619354629392,619360515056,5885664,4459840
211,619360531216,619365974896,5443680,4842368
212,619365991440,619371817264,5825824,5647296
213,619371833456,619378464560,6631104,4471424
214,619378479728,619383935984,5456256,5578624
215,619383960016,619390514608,6554592,5008624
216,619390609312,619396523232,5913920,4960496
217,619396584832,619402483728,5898896,5477856
218,619402499456,619408961584,6462128,4488672
219,619408979744,619414450256,5470512,4226000
220,619414466288,619419676256,5209968,5073712
221,619419691824,619425749968,6058144,5232960
222,619425766464,619431982928,6216464,5456256
223,619431998560,619438439184,6440624,5317072
224,619438456672,619444756256,6299584,4448176
225,619444772128,619450204432,5432304,5894896
226,619450221712,619457099328,6877616,4609568
227,619457115888,619462708896,5593008,5067952
228,619462724640,619468776848,6052208,5174336
229,619468791808,619474951184,6159376,4513200
230,619474981152,619480464384,5483232,4881232
231,619480479504,619486345616,5866112,4482448
232,619486377856,619491828064,5450208,5507600
233,619491843568,619498335664,6492096,5417456
234,619498351056,619504753120,6402064,4444592
235,619504769152,619510197712,5428560,4784080
236,619510215664,619515981792,5766128,5729232
237,619515998944,619522711024,6712080,5507696
238,619522726944,619529218720,6491776,4729632
239,619529255216,619534948352,5693136,4990848
240,619534973584,619540939200,5965616,4349568
241,619540965936,619546288768,5322832,4386576
242,619546304288,619551675344,5371056,4457584
243,619551689600,619557132928,5443328,4669888
244,619557148400,619562802816,5654416,4964112
245,619562817216,619568766928,5949712,5392464
246,619568783312,619575159392,6376080,4930944
247,619575198000,619581090336,5892336,4753840
248,619581106608,619586844176,5737568,5160880
249,619586860864,619593005056,6144192,5883616
250,619593022128,619599888672,6866544,6060304
251,619599905712,619606948976,7043264,6108160
252,619606981920,619614057136,7075216,5572912
253,619614073568,619620630048,6556480,5209600
