========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:     714
Lost (no echo):     1306 (65.300%)
Elapsed:           9.536 s
RTL (us):
  Mean: 6994.026    Std dev: 1244.085
  Min:  4904.928    Max:     15821.296
  P50:  6745.104    P95:     9096.064
  P99:  12446.752    P99.9:   15821.296
IAJ (us):
  Mean: 5870.322    Std dev: 850.054
  Min:  3920.016    Max:     9959.712
  P50:  5748.368    P95:     7399.168
  P99:  8600.896    P99.9:   9959.712
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,183803643296,183813587840,9944544,7561792
1,183813771536,183822149632,8378096,6348256
2,183822298704,183829497888,7199184,7302592
3,183829513264,183837800480,8287216,6562352
4,183837815920,183845362832,7546912,6327568
5,183845378560,183852690400,7311840,5809184
6,183852766560,183859499584,6733024,5798224
7,183859515744,183866297808,6782064,5639232
8,183866321776,183872937040,6615264,5412976
9,183873093936,183879350016,6256080,6185120
10,183879364976,183886535136,7170160,5758576
11,183886550512,183893293712,6743200,5349408
12,183893309344,183899643120,6333776,5892784
13,183899657904,183906535904,6878000,5301552
14,183906551104,183912837456,6286352,5962304
15,183912852496,183919799760,6947264,6119568
16,183919814224,183926919328,7105104,5632464
17,183926933888,183933551792,6617904,6747712
18,183933567344,183941299504,7732160,5560336
19,183941324848,183947859840,6534992,7232992
20,183947890544,183956092832,8202288,6220672
21,183956153840,183963313504,7159664,5887376
22,183963327968,183970200880,6872912,5589088
23,183970215520,183976789968,6574448,5468800
24,183976805024,183983258768,6453744,5063168
25,183983272912,183989321936,6049024,6502000
26,183989337104,183996823936,7486832,5402576
27,183996839632,184003226512,6386880,5007504
28,184003240720,184009234016,5993296,5464672
29,184009248224,184015698688,6450464,5698976
30,184015769440,184022397664,6628224,6109808
31,184022412256,184029507472,7095216,6131648
32,184029522768,184036639120,7116352,4819296
33,184036656368,184042458416,5802048,5156944
34,184042505520,184048615360,6109840,5324112
35,184048629392,184054939472,6310080,5867264
36,184054962896,184061806736,6843840,6104080
37,184061831456,184068910816,7079360,4591968
38,184068925520,184074502784,5577264,5240272
39,184074517760,184080743056,6225296,4805424
40,184080771248,184086548480,5777232,4339056
41,184086562400,184091887536,5325136,5606368
42,184091901616,184098493904,6592288,5549152
43,184098509248,184105043056,6533808,6880240
44,184105057264,184112923296,7866032,7232448
45,184112937408,184121155744,8218336,6488208
46,184121170976,184128643952,7472976,4524128
47,184128658688,184134168080,5509392,6052784
48,184134182128,184141220864,7038736,5397936
49,184141234416,184147618800,6384384,4989056
50,184147632400,184153607856,5975456,5292720
51,184153621808,184159900576,6278768,5272112
52,184159914336,184166172688,6258352,5906496
53,184166190128,184173079184,6889056,5480688
54,184173093648,184179559872,6466224,5059152
55,184179574272,184185619024,6044752,6939520
56,184185633504,184193558544,7925040,6189456
57,184193573376,184200748000,7174624,6184144
58,184200763360,184207932144,7168784,5583728
59,184207947488,184214515872,6568384,5385696
60,184214530704,184220901568,6370864,5332800
61,184220916672,184227234368,6317696,5698960
62,184227249616,184233933328,6683712,4952912
63,184233948432,184239886240,5937808,5987968
64,184239901296,184246874208,6972912,5725632
65,184246889600,184253599840,6710240,6181840
66,184253614560,184260781680,7167120,5463968
67,184260796416,184267245648,6449232,5371024
68,184267260816,184273616672,6355856,6942560
69,184273631296,184281559232,7927936,6226608
70,184281573840,184288785840,7212000,4832704
71,184288800368,184294618544,5818176,5158096
72,184294633376,184300776640,6143264,5415808
73,184300791344,184307192448,6401104,5609168
74,184307207232,184313801616,6594384,4434368
75,184313816944,184319235984,5419040,5072736
76,184319250384,184325308720,6058336,5007120
77,184325323520,184331315840,5992320,5730176
