========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       24 (1.200%)
Elapsed:           10.872 s
RTL (us):
  Mean: 5408.267    Std dev: 1334.912
  Min:  3487.440    Max:     28406.608
  P50:  5287.136    P95:     6773.344
  P99:  10534.912    P99.9:   20984.464
IAJ (us):
  Mean: 4329.538    Std dev: 815.633
  Min:  2506.000    Max:     8764.480
  P50:  4299.712    P95:     5649.568
  P99:  6986.720    P99.9:   8704.432
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,699989701232,699995357136,5655904,5408912
1,699995536816,700001766048,6229232,4809680
2,700001938288,700007575728,5637440,5329408
3,700007590768,700013905136,6314368,4726272
4,700013919824,700019631408,5711584,6049200
5,700019646208,700026680608,7034400,5408624
6,700026705520,700033089232,6383712,5447968
7,700033104304,700039537200,6432896,7082192
8,700039551824,700047619392,8067568,7494800
9,700047641456,700056114192,8472736,5484960
10,700056914144,700062599152,5685008,5635792
11,700062613680,700069234944,6621264,5390736
12,700069249616,700075625680,6376064,4848224
13,700075639904,700081473904,5834000,5159536
14,700081502080,700087633440,6131360,4933200
15,700087647920,700093566640,5918720,4829248
16,700093581168,700099395888,5814720,5262736
17,700099410448,700105658624,6248176,4861280
18,700105673168,700111519904,5846736,4947440
19,700111533472,700117467344,5933872,5059328
20,700117512560,700123526672,6014112,5132144
21,700123540288,700129658816,6118528,5170288
22,700129673840,700135829104,6155264,5479168
23,700135844336,700142308272,6463936,4199264
24,700142322880,700147507536,5184656,5170512
25,700147522080,700153678048,6155968,4940848
26,700153691360,700159618896,5927536,5193872
27,700159633104,700165812768,6179664,4966368
28,700165828144,700171779136,5950992,4814720
29,700171794032,700177593856,5799824,5503136
30,700177608304,700184096992,6488688,5462528
31,700184111888,700190559520,6447632,4251120
32,700190574208,700195810640,5236432,5352784
33,700195825616,700202163424,6337808,4121408
34,700202177936,700207284832,5106896,5283712
