========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        5 (0.250%)
Elapsed:           12.039 s
RTL (us):
  Mean: 5990.623    Std dev: 789.603
  Min:  4486.624    Max:     14935.072
  P50:  5914.736    P95:     7216.352
  P99:  7844.080    P99.9:   12598.960
IAJ (us):
  Mean: 5001.709    Std dev: 725.349
  Min:  3522.032    Max:     8744.080
  P50:  4938.432    P95:     6213.312
  P99:  6840.432    P99.9:   8706.912
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,716985497328,716993323744,7826416,6881264
1,716993514576,717001205008,7690432,6723072
2,717001368624,717008928080,7559456,6025920
3,717008943888,717015954000,7010112,6239120
4,717015969328,717023193120,7223792,6199024
5,717023208592,717030392144,7183552,6056224
6,717030407584,717037448368,7040784,6649456
7,717037464048,717045097824,7633776,4961824
8,717045113616,717051059648,5946032,5180256
9,717051075248,717057239904,6164656,5166928
10,717057276480,717063406832,6130352,5964832
11,717063422720,717070371664,6948944,5710144
12,717070387664,717077081808,6694144,5379888
13,717077100400,717083461696,6361296,6087936
14,717083477072,717090549632,7072560,5783776
15,717090565968,717097333408,6767440,4974304
16,717097350624,717103307712,5957088,6165040
17,717103323264,717110472752,7149488,6139440
18,717110531504,717117612192,7080688,5004368
19,717117628512,717123616560,5988048,5753056
20,717123632560,717130369616,6737056,6031696
21,717130385104,717137401312,7016208,4931184
22,717137417760,717143332496,5914736,5632576
23,717143354784,717149965072,6610288,5859136
24,717149981792,717156824208,6842416,5136096
25,717156840144,717162960304,6120160,5763648
26,717163006528,717169723952,6717424,4881584
27,717169739776,717175605536,5865760,5586160
28,717175620688,717182191696,6571008,4334464
