========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    1097
Lost (no echo):      910 (45.500%)
Elapsed:           10.430 s
RTL (us):
  Mean: 6044.776    Std dev: 961.851
  Min:  3880.432    Max:     17889.408
  P50:  5934.256    P95:     7298.768
  P99:  9590.896    P99.9:   16051.232
IAJ (us):
  Mean: 5026.741    Std dev: 742.428
  Min:  2895.488    Max:     8812.496
  P50:  4967.120    P95:     6263.232
  P99:  7134.864    P99.9:   8762.192
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,168513885056,168521569488,7684432,4624432
1,168521834960,168527193920,5358960,5282880
2,168527423024,168533476800,6053776,4293792
3,168533491920,168538770592,5278672,6883392
4,168538828400,168546653984,7825584,3199728
5,168546669168,168550853712,4184544,3400320
6,168550871744,168555254032,4382288,4987168
7,168555269264,168561241200,5971936,4375424
8,168561301904,168566616624,5314720,3449248
9,168566631488,168571065872,4434384,5261792
10,168571110592,168577327664,6217072,4627040
11,168577378016,168582954704,5576688,5404400
12,168582971232,168589359104,6387872,3999952
13,168589374672,168594359056,4984384,3801680
14,168594375616,168599160736,4785120,4908576
15,168599184816,168605069312,5884496,3833232
16,168605084400,168609902544,4818144,3664896
17,168609944960,168614567440,4622480,3992592
18,168614584112,168619560032,4975920,4681360
19,168619614016,168625241392,5627376,8715888
20,168625256912,168634957280,9700368,5664336
21,168634982208,168641621616,6639408,4311584
22,168641696672,168646933200,5236528,3416000
23,168646948704,168651349200,4400496,3518240
24,168651364368,168655867440,4503072,5831840
25,168655939424,168662699280,6759856,3394208
26,168662766640,168667093488,4326848,4899856
27,168667110032,168672993344,5883312,4045968
28,168673047760,168678039312,4991552,3847984
29,168678053232,168682887296,4834064,4815776
30,168682930400,168688703072,5772672,3966064
31,168688719152,168693669136,4949984,4156544
32,168693711376,168698825680,5114304,3432400
33,168698842432,168703258080,4415648,5512528
34,168703272688,168709770608,6497920,3813680
35,168709784976,168714584288,4799312,3727776
36,168714599792,168719312064,4712272,5880272
37,168719335152,168726192336,6857184,4071968
38,168726206768,168731264304,5057536,4797632
39,168731298928,168737061936,5763008,4148672
40,168737077296,168742210608,5133312,3780448
41,168742225424,168746991056,4765632,3343600
42,168747015920,168751334656,4318736,4768096
43,168751350864,168757102752,5751888,4319664
44,168757119984,168762422416,5302432,2895488
45,168762437472,168766317904,3880432,3849360
46,168766362368,168771167264,4804896,4831744
47,168771182784,168776999008,5816224,3878768
48,168777042112,168781877776,4835664,4234608
49,168781892240,168787112384,5220144,3943920
50,168787138592,168792056304,4917712,5053776
51,168792100384,168798110080,6009696,4622176
52,168798127424,168803732256,5604832,6949392
53,168803747680,168811681648,7933968,6421184
54,168811697072,168819102832,7405760,5042160
55,168819117424,168825144992,6027568,5224672
56,168825160880,168831369664,6208784,4845504
57,168831385184,168837215168,5829984,6008416
58,168837231168,168847779712,10548544,5219552
59,168847838512,168854788128,6949616,5196368
60,168854804368,168861007680,6203312,5571472
61,168861068496,168867204048,6135552,7970384
62,168867219920,168873775520,6555600,5791744
63,168873791712,168882745904,8954192,6190448
64,168882782400,168889537648,6755248,5559776
65,168889554592,168896728096,7173504,5115712
66,168896782224,168903287872,6505648,5179200
67,168903303120,168909403584,6100464,5169712
68,168909470080,168915582784,6112704,4726864
69,168915596896,168921752496,6155600,4853920
70,168921767888,168927479360,5711472,4701440
71,168927493536,168933333280,5839744,5630032
72,168933347552,168939034720,5687168,4356128
73,168939057008,168945664752,6607744,5335520
74,168945687328,168951020880,5333552,4527568
75,168951045088,168957356400,6311312,5025152
76,168957372176,168962883968,5511792,4766272
77,168962898384,168968909120,6010736,4421632
78,168968925248,168974675392,5750144,6151792
79,168974690672,168980097024,5406352,5162336
80,168980111552,168987248816,7137264,4750336
81,168987267312,168993411152,6143840,5039168
82,168993463904,168999161488,5697584,5211952
83,168999178112,169005200656,6022544,5743536
84,169005217760,169011412608,6194848,6450304
85,169011459712,169018156144,6696432,4697488
86,169018171504,169025606448,7434944,5293552
87,169025622464,169031303936,5681472,4556160
88,169031329104,169037597488,6268384,5127936
89,169037613296,169043153648,5540352,4914176
90,169043168448,169049281584,6113136,5444112
91,169049295744,169055195760,5900016,4485120
92,169055211280,169061639872,6428592,5460592
93,169061655360,169067124992,5469632,4439216
94,169067148944,169073585584,6436640,4968000
95,169073602048,169079024800,5422752,5036752
96,169079048512,169084992800,5944288,5032224
97,169085016320,169091029552,6013232,4684240
98,169091043488,169097061776,6018288,5372624
99,169097082592,169102746016,5663424,4704928
100,169102759808,169109118640,6358832,5113776
101,169109135344,169114823568,5688224,4837024
102,169114838400,169120937344,6098944,4253888
103,169120954512,169126774368,5819856,5456272
104,169126788512,169132028256,5239744,4574144
105,169132062496,169138484528,6422032,5719552
106,169138499232,169144058672,5559440,4382208
107,169144072464,169150778224,6705760,5718160
108,169150792912,169156160432,5367520,5267584
109,169156175792,169162878592,6702800,4904208
110,169162895952,169169146176,6250224,5005296
111,169169224224,169175050384,5826160,4409264
112,169175066128,169181055680,5989552,6063392
113,169181070848,169186464944,5394096,4536144
114,169186478272,169193528336,7050064,5045296
115,169193552032,169199064480,5512448,4501872
116,169199078288,169205109776,6031488,5980736
117,169205124048,169210611648,5487600,4524784
118,169210625152,169217592384,6967232,5163728
119,169217606512,169223117168,5510656,4874288
120,169223132464,169229280896,6148432,5167536
121,169229321456,169235155184,5833728,4854784
122,169235169584,169241322720,6153136,4971568
123,169241337248,169247177504,5840256,4611696
124,169247191776,169253149072,5957296,4903392
125,169253163392,169258760768,5597376,4395600
126,169258775008,169264664160,5889152,4017808
127,169264679472,169270059760,5380288,5062928
128,169270073152,169275077568,5004416,4377104
129,169275129216,169281140496,6011280,5511312
130,169281157488,169286517600,5360112,4614064
131,169286530752,169293028912,6498160,5791360
132,169293043376,169298642976,5599600,4362864
133,169298657296,169305434336,6777040,5202768
134,169305450080,169310797200,5347120,4664336
135,169310854336,169316999968,6145632,5393488
136,169317058672,169322664304,5605632,4517776
137,169322677616,169329057792,6380176,6312880
138,169329073584,169334575568,5501984,4209472
139,169334589680,169341888448,7298768,4934832
140,169341902000,169347097920,5195920,4607888
141,169347115824,169353032752,5916928,5947552
142,169353054448,169358640640,5586192,3895824
143,169358655600,169365588192,6932592,5249040
144,169365602672,169370484016,4881344,5163616
145,169370497280,169376733056,6235776,3988384
146,169376774624,169382896672,6122048,5737856
147,169382912096,169387885056,4972960,5297312
148,169387898688,169394622912,6724224,5064832
149,169394636752,169400920224,6283472,5774416
150,169400933104,169406985056,6051952,6094640
151,169406998672,169413759472,6760800,5057008
152,169413773344,169420854112,7080768,6396208
153,169420867264,169426911120,6043856,6312240
154,169426924832,169434307328,7382496,4649360
155,169434321360,169441619568,7298208,4996528
156,169441633424,169447268928,5635504,4232272
157,169447282496,169453265456,5982960,5491264
158,169453279408,169458497728,5218320,4804944
159,169458511360,169464988992,6477632,5033872
160,169465075328,169470793936,5718608,4404496
161,169470809392,169476827808,6018416,4871232
162,169476842752,169482232304,5389552,5137744
163,169482245968,169488103536,5857568,5905440
164,169488762432,169494241280,5478848,4481472
165,169494292416,169501146720,6854304,5843280
166,169501162112,169506628192,5466080,4321744
167,169506642528,169513471472,6828944,5533184
168,169513485760,169518793216,5307456,4479088
169,169518807536,169525326400,6518864,5906608
170,169525340400,169530805488,5465088,4312720
171,169530819456,169537712096,6892640,4791216
172,169537726448,169543024816,5298368,4822656
173,169543039760,169548816032,5776272,5639200
174,169548829696,169554638688,5808992,4634816
175,169554652944,169561277888,6624944,5188240
176,169561315536,169566912704,5597168,5074064
177,169566926912,169573100944,6174032,5151296
178,169573123248,169579175008,6051760,4305840
179,169579189120,169585326304,6137184,5400112
180,169585340800,169590632144,5291344,5322832
181,169590646032,169597032256,6386224,5427168
182,169597046368,169603355088,6308720,4358640
183,169603369200,169609782256,6413056,5355248
184,169609796512,169615140896,5344384,4948272
185,169615155504,169621496144,6340640,5080848
186,169621510864,169627444416,5933552,4858032
187,169627460752,169633525264,6064512,5289472
188,169633579696,169639383296,5803600,4357888
189,169639449632,169645672768,6223136,5022240
190,169645687488,169651030656,5343168,4731200
191,169651044624,169657052896,6008272,5539936
192,169657067872,169662784096,5716224,4327904
193,169662798736,169669324032,6525296,5602816
194,169669339184,169674651936,5312752,4459600
195,169674665712,169681254752,6589040,5774800
196,169681269904,169686714352,5444448,4518320
197,169686750336,169693489152,6738816,5117856
198,169693503728,169699007472,5503744,4938704
199,169699024176,169705125328,6101152,4726608
200,169705187184,169711064032,5876848,4661632
201,169711078240,169716790640,5712400,6056128
202,169716805216,169722452272,5647056,4028336
203,169722466656,169729508400,7041744,5981600
204,169729523264,169734536736,5013472,4253280
205,169734595920,169741518336,6922416,5467536
206,169741532912,169746771616,5238704,4454784
207,169746788864,169753239152,6450288,5433872
208,169753256384,169758693936,5437552,4624912
209,169758734032,169765127808,6393776,6586480
210,169765181088,169770752720,5571632,5541936
211,169770768224,169778339200,7570976,4638400
212,169778355088,169784881136,6526048,4238800
213,169784897584,169790519536,5621952,4875776
214,169790535152,169795758336,5223184,4410752
215,169795773216,169801634112,5860896,3854912
216,169801650448,169807044864,5394416,5607664
217,169807062752,169811899776,4837024,5830544
218,169811914816,169818507440,6592624,4515696
219,169818523808,169825337984,6814176,5658976
220,169825354048,169830853680,5499632,4030880
221,169830869888,169837512656,6642768,5776448
222,169837528496,169842543536,5015040,4903392
223,169842595696,169849319984,6724288,4832048
224,169849335584,169855223376,5887792,4827504
225,169855284368,169861055424,5771056,4148080
226,169861072544,169866882928,5810384,5473744
227,169866948000,169872031008,5083008,4433872
228,169872684208,169878504752,5820544,5181232
229,169878520272,169883938624,5418352,5654096
230,169884009664,169890119856,6110192,5131184
231,169890135264,169896773952,6638688,4955568
232,169896789440,169902905136,6115696,4940880
233,169902929904,169908860704,5930800,5835616
234,169908876240,169914801584,5925344,3962192
235,169914816976,169921637200,6820224,5516432
236,169921652944,169926599392,4946448,4565152
237,169926615200,169933115824,6500624,4318064
238,169933152384,169938680976,5528592,5211456
239,169938696560,169943999040,5302480,5511392
240,169944021552,169950210496,6188944,4565632
241,169950226432,169956721888,6495456,5969472
242,169956756080,169962287520,5531440,4314704
243,169962308288,169969256992,6948704,5530672
244,169969308576,169974571696,5263120,4951776
245,169974588912,169981102368,6513456,4792576
246,169981118512,169987054144,5935632,4616768
247,169987070016,169992846720,5776704,6493152
248,169992862480,169998463488,5601008,4148832
249,169998480800,170005956640,7475840,5425840
250,170005972880,170011105472,5132592,4943280
251,170011121968,170017531312,6409344,4746256
252,170017576304,170023474592,5898288,4719008
253,170023490112,170029220848,5730736,4734464
254,170029236592,170034939856,5703264,4918848
255,170034955520,170040674320,5718800,4467296
256,170040690144,170046593168,5903024,5424624
257,170046609184,170052060464,5451280,4536176
258,170052627568,170058485088,5857520,5625040
259,170058500880,170064021264,5520384,6264960
260,170064039280,170070646304,6607024,4381440
261,170070661952,170077911264,7249312,4855328
262,170077928512,170083292704,5364192,4733584
263,170083308800,170089148032,5839232,5454032
264,170089163680,170094881616,5717936,4646032
265,170094897712,170101335648,6437936,4921104
266,170101356832,170106981680,5624848,5152272
267,170107001296,170112902784,5901488,4908064
268,170112919328,170119055056,6135728,4781040
269,170119083024,170124963120,5880096,5276256
270,170124979408,170130744160,5764752,4789120
271,170130760528,170137020416,6259888,6653024
272,170137038384,170142809536,5771152,6376704
