========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    1548
Lost (no echo):      465 (23.250%)
Elapsed:           10.455 s
RTL (us):
  Mean: 5587.849    Std dev: 1084.885
  Min:  3521.872    Max:     20547.952
  P50:  5473.376    P95:     7007.760
  P99:  8872.736    P99.9:   16544.128
IAJ (us):
  Mean: 4557.613    Std dev: 810.480
  Min:  2536.176    Max:     9046.640
  P50:  4495.888    P95:     5922.032
  P99:  6893.840    P99.9:   8573.168
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,407967770032,407976087984,8317952,9046640
1,407977261888,407986134624,8872736,4541520
2,407986282768,407991676144,5393376,5178672
3,407991692768,407997854816,6162048,4624576
4,407997870128,408003479392,5609264,5554080
5,408003495280,408010033472,6538192,5962416
6,408010049344,408016995888,6946544,4480064
7,408017011264,408022475952,5464688,4075024
8,408022490416,408027550976,5060560,4738624
9,408027564960,408033289600,5724640,4317968
10,408033303584,408038607568,5303984,4399168
11,408038659936,408044006736,5346800,5351840
12,408044024064,408050358576,6334512,6569040
13,408050372592,408057927616,7555024,6017408
14,408057943008,408064945024,7002016,5037168
15,408064959632,408070982192,6022560,5431376
16,408070998032,408077413568,6415536,4942352
17,408077453232,408083355920,5902688,5873360
18,408083371424,408090229280,6857856,3999488
19,408090246128,408095228768,4982640,4998832
20,408095243984,408101227600,5983616,5128848
21,408101242608,408107356448,6113840,4777312
22,408107371696,408113133760,5762064,7062656
23,408113173536,408121196416,8022880,4918480
24,408121211360,408127114896,5903536,4073344
25,408127139680,408132188240,5048560,5947232
26,408133161728,408139135472,5973744,4852384
27,408139154352,408144987856,5833504,4853392
28,408145002592,408150841248,5838656,4250320
29,408150857168,408156091568,5234400,5878992
30,408156107264,408162970560,6863296,4050352
31,408162986096,408168020912,5034816,5656992
32,408168036272,408174677904,6641632,5601024
33,408174692960,408181278928,6585968,5305264
34,408181294272,408187584192,6289920,5504272
35,408187599376,408194088464,6489088,5774592
36,408194104448,408200863056,6758608,4203504
37,408200877536,408206066560,5189024,4440592
38,408206178192,408211507152,5328960,4986432
39,408211522048,408217493584,5971536,4570944
40,408217507248,408223064528,5557280,4961728
41,408223132864,408229026256,5893392,4949600
42,408229041264,408234975856,5934592,4839968
43,408235001744,408240815824,5814080,5730112
44,408240834576,408247545936,6711360,4640144
45,408247561696,408253186080,5624384,4974528
46,408253200464,408259160608,5960144,4891456
47,408259175808,408265052064,5876256,4835984
48,408265067104,408270888048,5820944,5181888
49,408270903008,408277069936,6166928,5044624
50,408277084016,408283114560,6030544,4867936
51,408283132832,408288982496,5849664,4732304
52,408288998480,408294714800,5716320,5221680
53,408294730144,408300936480,6206336,4788768
54,408300952448,408306725248,5772800,4333792
55,408306740768,408312059040,5318272,5962240
56,408312073952,408319021280,6947328,4978496
57,408319036608,408324999776,5963168,4762480
58,408325014944,408330762256,5747312,4304352
59,408330777696,408336066608,5288912,5334432
60,408336082096,408342401040,6318944,4312592
61,408342445104,408347713632,5268528,5130528
62,408347729680,408353844160,6114480,4877408
63,408353858528,408359721568,5863040,5155472
64,408359751728,408365877040,6125312,5230928
65,408365892000,408372107968,6215968,5636784
66,408372867184,408378744752,5877568,4348480
67,408378759664,408384093232,5333568,5724624
68,408384109008,408390817856,6708848,4211184
69,408390850192,408396029040,5178848,5498272
70,408396044416,408402527312,6482896,3956384
71,408402543056,408407483696,4940640,5290384
72,408407497888,408413774080,6276192,5289472
73,408413819776,408420063552,6243776,5131504
74,408420839008,408426195056,5356048,3304000
75,408426210576,408430499056,4288480,3701776
76,408430514816,408435200832,4686016,3290608
77,408435216288,408439491440,4275152,5010240
78,408439507696,408445501680,5993984,4106496
79,408445516752,408450608176,5091424,4475776
80,408450659664,408456083952,5424288,4399520
81,408456099216,408461483472,5384256,4018976
82,408461499216,408466502448,5003232,3951936
83,408466517648,408471454384,4936736,2777488
84,408471469936,408475231872,3761936,4838496
85,408475246816,408481070368,5823552,4186752
86,408481109088,408486257120,5148032,4134576
87,408486272704,408491391696,5118992,2724400
88,408491406496,408495116096,3709600,5135040
89,408495161344,408501251136,6089792,4312880
90,408501266288,408506564016,5297728,4372768
91,408506588272,408511936784,5348512,5329264
92,408511981696,408518266048,6284352,3671600
93,408518280928,408522937648,4656720,4017568
94,408522953104,408527955216,5002112,5624016
95,408527970464,408534579232,6608768,4133760
96,408534594384,408539712992,5118608,4589232
97,408539728080,408545302224,5574144,4251024
98,408545317520,408550553248,5235728,3709120
99,408550568576,408555262368,4693792,3833936
100,408555277872,408560096304,4818432,4810480
101,408560868688,408565906784,5038096,3668576
102,408565922464,408570575360,4652896,4164992
103,408570590576,408575740352,5149776,3304160
104,408575755360,408580044512,4289152,5048224
105,408580060624,408586092736,6032112,3747872
106,408586112624,408590840608,4727984,3900640
107,408590857920,408595741248,4883328,4629024
108,408595756480,408601370272,5613792,3889424
109,408601384640,408606259696,4875056,3202144
110,408606275168,408610461840,4186672,3594656
111,408610477552,408615056496,4578944,3768032
112,408615079536,408619824528,4744992,4704736
113,408619873200,408625529264,5656064,3962352
114,408625543664,408630491616,4947952,4090560
115,408630507712,408635582176,5074464,3340240
116,408635597568,408639922416,4324848,4329808
117,408639936720,408645252224,5315504,3770976
118,408645265808,408650023200,4757392,4098576
119,408650074208,408655121776,5047568,4762288
120,408655166208,408660884064,5717856,3862768
121,408660899136,408665746832,4847696,4264960
122,408665761216,408671011792,5250576,3557296
123,408671025440,408675569088,4543648,3503120
124,408675583232,408680072208,4488976,4821184
125,408680730544,408685893392,5162848,3855248
126,408685908384,408690748640,4840256,3817616
127,408690763280,408695566256,4802976,4300912
128,408695581280,408700867168,5285888,3628688
129,408700883888,408705495856,4611968,4245040
130,408705509392,408710740896,5231504,3966752
131,408710755840,408715707648,4951808,4758352
132,408715723296,408721466000,5742704,4023328
133,408721480160,408726489328,5009168,3354720
134,408726521120,408730844048,4322928,5323840
135,408730861504,408737167888,6306384,3982816
136,408737188352,408742150704,4962352,4250880
137,408742165728,408747401584,5235856,4688720
138,408747468224,408753090304,5622080,3986256
