========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        8 (0.400%)
Elapsed:           13.829 s
RTL (us):
  Mean: 6884.803    Std dev: 1043.671
  Min:  4662.064    Max:     26814.416
  P50:  6920.064    P95:     8010.272
  P99:  8453.280    P99.9:   24181.872
IAJ (us):
  Mean: 5876.461    Std dev: 784.058
  Min:  3686.176    Max:     8955.568
  P50:  5948.000    P95:     7014.064
  P99:  7302.848    P99.9:   8916.720
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,771479838096,771487157392,7319296,5834048
1,771487318960,771493991440,6672480,6297168
2,771494139712,771501288608,7148896,6672752
3,771501304816,771508961360,7656544,5375216
4,771508988512,771515336576,6348064,5998480
5,771515351968,771522335056,6983088,6500896
6,771522350048,771529835952,7485904,6823344
7,771529851472,771537659296,7807824,4816736
8,771537674048,771543476032,5801984,5711952
9,771543491600,771550187984,6696384,4630400
10,771550202928,771555818384,5615456,7014064
11,771555833952,771563832448,7998496,5980672
12,771563846160,771570813120,6966960,6027216
13,771570828416,771577840336,7011920,4432608
14,771577857296,771583272944,5415648,5982704
15,771583287872,771590255648,6967776,4585648
16,771590272992,771595841296,5568304,5281392
17,771595856592,771602122688,6266096,4843744
18,771602138080,771607966432,5828352,5871024
19,771607981632,771614837456,6855824,5342272
20,771614853424,771621179728,6326304,5768528
21,771621194704,771627948256,6753552,6322592
22,771627963728,771635270848,7307120,5878416
23,771635286224,771642149264,6863040,4017504
24,771642164464,771647166768,5002304,4767120
25,771647181488,771652933888,5752400,5356608
26,771652948080,771659290496,6342416,5970624
27,771659304880,771666261120,6956240,4275248
28,771666276352,771671536368,5260016,5337104
29,771671551568,771677873472,6321904,4832848
30,771677889376,771683706320,5816944,5313712
31,771683721408,771690020032,6298624,4251312
32,771690035648,771695271344,5235696,4617616
33,771695286240,771700888960,5602720,4943872
34,771700903136,771706832832,5929696,5350064
35,771706847968,771713182896,6334928,5028816
36,771713196816,771719211712,6014896,5011920
37,771719227184,771725223632,5996448,5435760
38,771725238656,771731659392,6420736,5507744
39,771731674896,771738167136,6492240,4493280
40,771738181360,771743660416,5479056,5181968
41,771743675536,771749842384,6166848,4982400
42,771749856432,771755824784,5968352,5715952
43,771755840128,771762540736,6700608,5483872
44,771762555568,771769024608,6469040,5089952
45,771769039680,771775114560,6074880,5080336
46,771775129648,771781194896,6065248,4660752
47,771781209872,771786855648,5645776,5160720
48,771786870208,771793016368,6146160,4521312
49,771793030592,771798537680,5507088,4322800
50,771798551408,771803860480,5309072,5471888
51,771803893040,771810332368,6439328,4123600
52,771810347008,771815455968,5108960,5242800
