========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       11 (0.550%)
Elapsed:           11.771 s
RTL (us):
  Mean: 5851.653    Std dev: 935.622
  Min:  4037.792    Max:     12461.168
  P50:  5770.992    P95:     7391.536
  P99:  8766.592    P99.9:   11530.096
IAJ (us):
  Mean: 4855.360    Std dev: 859.370
  Min:  3052.912    Max:     9002.016
  P50:  4805.408    P95:     6376.256
  P99:  7178.240    P99.9:   8902.192
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,663165731664,663172779792,7048128,6259712
1,663172964768,663180039504,7074736,8327280
2,663180965664,663189366784,8401120,4877808
3,663189383248,663195244592,5861344,5288672
4,663195261792,663201533264,6271472,4683792
5,663201590512,663207217056,5626544,5560496
6,663207232832,663213777552,6544720,6233568
7,663213794480,663221011120,7216640,5501760
8,663221105408,663227512880,6407472,5455104
9,663227529280,663233967984,6438704,4759600
10,663233985440,663239727584,5742144,5520144
11,663239744192,663246247728,6503536,6926016
12,663246263664,663254173744,7910080,4610736
13,663254205424,663259784480,5579056,6750736
14,663259800176,663267535216,7735040,6998672
15,663267587232,663275533888,7946656,5801968
16,663275550128,663282335856,6785728,4296192
17,663282352640,663287632048,5279408,4376416
18,663287648336,663293008464,5360128,4950064
19,663293023632,663298958528,5934896,5466736
20,663298973392,663305425264,6451872,4654288
21,663305450176,663311079552,5629376,5237408
22,663311170944,663317316960,6146016,5209584
23,663317372672,663323526544,6153872,5143024
24,663323542752,663329669568,6126816,4008976
25,663329686144,663334678544,4992400,3862496
26,663334694352,663339541040,4846688,5233712
27,663339591824,663345774752,6182928,4717376
28,663345790336,663351492128,5701792,5522256
29,663351507328,663358014384,6507056,4683920
30,663358127360,663363698304,5570944,4883568
31,663363713520,663369581872,5868352,4302080
32,663369597456,663374883952,5286496,5268336
33,663374924288,663381152288,6228000,4976400
34,663381197568,663387128688,5931120,5388176
35,663387167408,663393516864,6349456,4973456
36,663393533168,663399490320,5957152,5305552
37,663399505552,663405795872,6290320,4889232
38,663405812032,663411685104,5873072,5178784
39,663411701488,663417863888,6162400,6365696
40,663417879712,663425229584,7349872,7429376
41,663425261904,663433658960,8397056,5157808
42,663433675248,663439816768,6141520,5934192
43,663439832480,663446750960,6918480,4127872
44,663446767072,663451878832,5111760,5057424
45,663451894944,663457936256,6041312,4910752
46,663457985328,663463847008,5861680,5055728
47,663463863088,663469902736,6039648,4345536
48,663469947936,663475248272,5300336,5076576
49,663475264496,663481324848,6060352,4874512
50,663481373888,663487199360,5825472,4533312
51,663487215264,663492732672,5517408,4653904
52,663492749088,663498386576,5637488,3185856
53,663498401904,663502572432,4170528,3110720
54,663502586688,663506683152,4096464,6572448
55,663506698144,663514255600,7557456,4068672
56,663514271408,663519324272,5052864,4586912
57,663519338896,663524911184,5572288,4600336
58,663524950176,663530511520,5561344,3869360
59,663530525936,663535380880,4854944,4375072
60,663535396032,663540755952,5359920,4594400
61,663540771264,663546350352,5579088,3978912
62,663546365248,663551329264,4964016,4604224
63,663551345072,663556933488,5588416,4951456
64,663556950656,663562884944,5934288,3909856
65,663562923040,663567794800,4871760,4946304
66,663567810432,663573741104,5930672,4145424
67,663573756528,663578886528,5130000,4040608
68,663578924064,663583927136,5003072,5229920
69,663583944464,663590157056,6212592,4348752
70,663590172304,663595505808,5333504,4891504
71,663595522352,663601397312,5874960,4743584
72,663601450928,663607140896,5689968,4614928
73,663607155904,663612755824,5599920,4207936
74,663612771424,663617963760,5192336,4919088
75,663617978592,663623882848,5904256,5278816
76,663623924688,663630161664,6236976,4549680
77,663630176544,663635711344,5534800,5128512
78,663635727712,663641839856,6112144,4657088
79,663641854384,663647496944,5642560,5221264
80,663647513008,663653718208,6205200,4496224
81,663653734528,663659214432,5479904,3769136
82,663659229936,663663983568,4753632,5408752
83,663663999632,663670392320,6392688,4087216
84,663670434512,663675479536,5045024,4831376
85,663675494832,663681310912,5816080,4614144
86,663681326544,663686925056,5598512,3796896
87,663686941536,663691721952,4780416,4491584
88,663691736480,663697213536,5477056,4529568
89,663697229664,663702743104,5513440,3796992
90,663702758848,663707540096,4781248,4914336
91,663707583872,663713454432,5870560,4383280
92,663713469472,663718837712,5368240,3894704
93,663718853680,663723732416,4878736,5117536
94,663723747792,663729849952,6102160,4589968
95,663729864528,663735439920,5575392,4721200
96,663735456928,663741161120,5704192,4550560
97,663741177136,663746711680,5534544,3912688
98,663746726928,663751624368,4897440,5007728
99,663751640272,663757632096,5991824,4261408
100,663757648624,663762893504,5244880,3917824
101,663762908848,663767811328,4902480,5385840
102,663767826448,663774197168,6370720,4267280
103,663774212880,663779464448,5251568,4710272
104,663779480688,663785174720,5694032,4817584
105,663785190592,663790992304,5801712,4954384
106,663791007328,663796946688,5939360,4749264
107,663796963440,663802695952,5732512,3921968
108,663802710912,663807617920,4907008,4655792
109,663807632976,663813273712,5640736,4602688
110,663813315648,663818876400,5560752,3745104
111,663818891984,663823621504,4729520,5096352
112,663823636128,663829717856,6081728,4550992
113,663829733200,663835268848,5535648,5266624
114,663835348080,663841535472,6187392,5331744
115,663841551696,663847867216,6315520,5348576
116,663847883424,663854215792,6332368,4178000
117,663854232128,663859393792,5161664,4957712
118,663859446960,663865351504,5904544,4611344
119,663865368032,663870962848,5594816,3738048
120,663870977728,663875700896,4723168,4820784
121,663875716656,663881521680,5805024,4314160
122,663881536272,663886835840,5299568,4154384
123,663886851136,663891990224,5139088,5218064
124,663892005568,663898208288,6202720,4638960
125,663898224288,663903847248,5622960,4614416
126,663903863024,663909461664,5598640,4453424
127,663909477824,663914915088,5437264,4011744
128,663914933920,663919926832,4992912,5436288
129,663919943088,663926363120,6420032,4251248
130,663926379376,663931614368,5234992,4999424
131,663931629520,663937613792,5984272,4823552
132,663937629664,663943437344,5807680,5077792
133,663943453776,663949515136,6061360,4748368
134,663949531968,663955263504,5731536,3696656
135,663955312672,663959960160,4647488,5304848
136,663959974384,663966265008,6290624,4600768
137,663966317312,663971865776,5548464,6079120
138,663971880752,663978944896,7064144,5505120
139,663978960832,663985450016,6489184,4573744
140,663985466240,663991023760,5557520,4803488
141,663991141808,663996827248,5685440,4525568
142,663996843056,664002352816,5509760,3706736
143,664002369040,664007059552,4690512,4787888
144,664007165136,664012847440,5682304,4802384
145,664012864768,664018649824,5785056,4210656
146,664018665296,664023860480,5195184,5029456
147,664023876032,664029889936,6013904,4608096
148,664029927264,664035498032,5570768,4415392
149,664035512816,664040913424,5400608,5274464
150,664040930976,664047187888,6256912,4629184
151,664047203600,664052817072,5613472,4768912
152,664052839744,664058585984,5746240,4396496
153,664058601648,664063982480,5380832,5354400
154,664063997040,664070336880,6339840,4145712
155,664070352288,664075482592,5130304,4677984
156,664075496736,664081160576,5663840,4446784
157,664081175840,664086607360,5431520,3904384
158,664086622032,664091511744,4889712,4737872
159,664091526304,664097249616,5723312,4096368
160,664097264640,664102345984,5081344,4011888
161,664102360800,664107357872,4997072,5105152
162,664107373696,664113463024,6089328,4536464
163,664113479408,664118999488,5520080,3971424
164,664119014976,664123970912,4955936,5538112
165,664123986464,664130509024,6522560,4119184
166,664130524032,664135628208,5104176,4884224
167,664135644032,664141512432,5868400,4566784
168,664141528624,664147079216,5550592,3677216
169,664147125984,664151756432,4630448,6332928
170,664151771568,664159089360,7317792,5302512
171,664159150160,664165391872,6241712,5207488
172,664165446032,664171599360,6153328,4774720
173,664171614800,664177374080,5759280,4408240
174,664177390432,664182782320,5391888,4223152
175,664182798768,664188005472,5206704,5387600
176,664188021152,664194393072,6371920,4214480
177,664194440592,664199607552,5166960,5178960
178,664199622864,664205786512,6163648,3902336
179,664205802144,664210688848,4886704,3825360
180,664210704032,664215514208,4810176,4970112
181,664215529616,664221484320,5954704,4530544
182,664221499984,664227014864,5514880,4787952
183,664227140144,664232802816,5662672,4742336
184,664232819376,664238545152,5725776,4135296
185,664238589248,664243680448,5091200,5277488
186,664243696448,664249957936,6261488,4418384
187,664249974672,664255376320,5401648,4614928
188,664255391824,664260991248,5599424,5012368
189,664261006960,664267003616,5996656,4813088
190,664267019216,664272816704,5797488,4938176
191,664272832640,664278754880,5922240,4152144
192,664278770160,664283907024,5136864,5615040
193,664283924720,664290522064,6597344,4118432
194,664290538592,664295640496,5101904,5364208
195,664295656416,664302004704,6348288,4521408
196,664302020928,664307526112,5505184,4934224
197,664307541824,664313460336,5918512,5329760
198,664313486960,664319790096,6303136,5089040
199,664319805984,664325879136,6073152,4713568
200,664325893856,664331592704,5698848,4260880
201,664331608752,664336853584,5244832,3963872
202,664336870224,664341817456,4947232,4057696
203,664341833040,664346875152,5042112,3822976
204,664346901632,664351698128,4796496,5255440
205,664351713584,664357953568,6239984,4053664
206,664357970960,664363007232,5036272,3255056
207,664363115472,664367262288,4146816,3227088
208,664367318928,664371489376,4170448,4472768
209,664371506048,664376962144,5456096,3654736
210,664376979872,664381616880,4637008,3856816
211,664381633152,664386473696,4840544,3779792
212,664386491088,664391253488,4762400,6060352
213,664391269616,664398313840,7044224,3848576
214,664398331520,664403162416,4830896,3450272
215,664403180752,664407612688,4431936,3220512
216,664407628768,664411833200,4204432,4817696
217,664411849552,664417650896,5801344,4064128
218,664417667712,664422715024,5047312,3840496
219,664422733776,664427555520,4821744,3269088
220,664427620640,664431824608,4203968,4522144
221,664431840400,664437346752,5506352,4322304
222,664437363552,664442669056,5305504,4121360
223,664442688384,664447790416,5102032,5806240
224,664447806992,664454596656,6789664,6035792
225,664454616912,664461632448,7015536,5506288
226,664461653072,664471665856,10012784,4502464
227,664471734832,664478172144,6437312,4534608
228,664478192304,664483674608,5482304,4134016
229,664483693136,664489209216,5516080,3688320
230,664489228000,664494343232,5115232,3346592
231,664494359680,664499031552,4671872,3416848
232,664499167008,664503378144,4211136,4627504
233,664503395728,664507794992,4399264,4362464
234,664507811712,664513422496,5610784,3739952
235,664513440112,664518784960,5344848,3518832
236,664518802048,664523524912,4722864,5184864
237,664523540864,664528043744,4502880,4003152
238,664528061520,664534228608,6167088,3514352
239,664534245088,664539231760,4986672,4269584
240,664539249056,664543746112,4497056,3978192
241,664543763520,664549015696,5252176,3788768
242,664549033376,664553993888,4960512,4205648
243,664554010608,664558782656,4772048,4784656
244,664558799584,664563988304,5188720,4015168
245,664564004496,664569772960,5768464,3191760
246,664569789120,664574788128,4999008,3292032
247,664574804416,664578979888,4175472,3620976
248,664578996768,664583271920,4275152,4572352
249,664583357200,664587892896,4535696,3976192
250,664587910432,664593465248,5554816,3976560
251,664593482352,664598441440,4959088,3428080
252,664598457536,664603418000,4960464,4887680
253,664603442336,664607846080,4403744,4010400
254,664607861888,664613733760,5871872,3712752
255,664613750000,664618744160,4994160,4503744
256,664618761408,664623456912,4695504,3818336
257,664623474048,664628960656,5486608,3911280
258,664628978192,664633778992,4800800,4067984
259,664633795504,664638690272,4894768,4198112
260,664638710032,664643758256,5048224,4237584
261,664643774960,664648956368,5181408,3582400
262,664648972944,664654193952,5221008,4015840
263,664654210928,664658776352,4565424,4669648
264,664658792160,664663792192,5000032,4112848
265,664663809440,664669461840,5652400,4311104
266,664669478288,664674574688,5096400,4788208
267,664674634848,664679885792,5250944,4279392
268,664679903184,664685674000,5770816,3563216
269,664685692544,664690953392,5260848,5107936
270,664690969456,664695516608,4547152,4139680
271,664695532752,664701624544,6091792,3696960
272,664701642576,664706764224,5121648,3540688
273,664706781168,664711461184,4680016,4630464
274,664711478112,664716001872,4523760,4137456
275,664716028032,664721632336,5604304,3190912
276,664721648976,664726769792,5120816,3580064
277,664726786832,664730960704,4173872,3502880
278,664730986320,664735540768,4554448,4455680
279,664735558176,664740043648,4485472,4004512
280,664740061264,664745499328,5438064,4475584
281,664745517168,664750503840,4986672,4833216
282,664750520928,664755979424,5458496,4159744
283,664755996336,664761812640,5816304,3561168
284,664761830512,664766972384,5141872,3266400
285,664766988944,664771533552,4544608,4575104
286,664771549920,664775799952,4250032,4089520
287,664775816608,664781375056,5558448,3946064
288,664781399568,664786464576,5065008,3328480
289,664786482336,664791410640,4928304,4445616
290,664791427648,664795739120,4311472,3981488
291,664795755616,664801184736,5429120,4383472
292,664801201392,664806166224,4964832,3325104
293,664806269360,664811549696,5280336,4566544
294,664811566368,664815874800,4308432,4329760
295,664815891536,664821441344,5549808,3896176
296,664821460400,664826771104,5310704,4232960
297,664826787872,664831667280,4879408,4321280
298,664831684768,664836900240,5215472,4464480
299,664836954480,664842221520,5267040,4263024
300,664842238528,664847686000,5447472,4069200
301,664847702064,664852949024,5246960,4439328
302,664852968768,664858018224,5049456,4572288
303,664858035264,664863457552,5422288,4454064
