========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    1373
Lost (no echo):      671 (33.550%)
Elapsed:           13.447 s
RTL (us):
  Mean: 7700.106    Std dev: 1240.052
  Min:  5021.280    Max:     16776.064
  P50:  7474.160    P95:     9622.160
  P99:  12148.112    P99.9:   16344.672
IAJ (us):
  Mean: 6602.208    Std dev: 975.518
  Min:  4056.848    Max:     9067.072
  P50:  6460.432    P95:     8419.552
  P99:  8783.648    P99.9:   9029.344
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,278708054832,278715616784,7561952,8458416
1,278715874688,278725075200,9200512,5738848
2,278725210816,278731814048,6603232,8461040
3,278731835600,278741275088,9439488,5492880
4,278741288832,278747767968,6479136,7039040
5,278747810096,278755807008,7996912,5565472
6,278755821792,278762372480,6550688,8647744
7,278762407888,278772020224,9612336,7871536
8,278772034368,278780891760,8857392,8205168
9,278780906384,278790096928,9190544,6579040
10,278790142656,278797675968,7533312,6625536
11,278797689296,278810353712,12664416,5859632
12,278810403872,278817979248,7575376,6019024
13,278818054896,278824838880,6783984,7192992
14,278824851680,278831857904,7006224,6748224
15,278831873360,278840050896,8177536,6149088
16,278840063968,278847799120,7735152,6275296
17,278847814672,278854948208,7133536,8236080
18,278854977504,278862223504,7246000,6365808
19,278862238352,278871459584,9221232,5603120
20,278871472240,278878825392,7353152,5638848
21,278878838736,278885428512,6589776,6992752
22,278885441168,278892067360,6626192,8206768
23,278892749152,278900060112,7310960,7704192
24,278900961792,278909266880,8305088,5112992
25,278909280432,278917971072,8690640,8149616
26,278917985584,278924084064,6098480,5040368
27,278924646032,278933233680,8587648,6407088
28,278933247616,278939274048,6026432,6073200
29,278939286560,278946681136,7394576,5171904
30,278946695632,278953754336,7058704,8377280
31,278953767456,278959926240,6158784,5743536
32,278960022816,278969303520,9280704,5910784
33,278969316800,278976047056,6730256,6077888
34,278976729456,278982957840,6228384,6371968
35,278983004016,278990035728,7031712,6619920
36,278990050144,278997407696,7357552,5596128
37,278997420688,279005027616,7606928,5726672
38,279005041840,279011623744,6581904,6259408
39,279011637024,279018350416,6713392,7217568
40,279018363872,279025609824,7245952,6875232
41,279025623184,279033827392,8204208,5399104
42,279033848592,279046552240,12703648,5410032
43,279046603440,279054427472,7824032,6107056
44,279054440336,279060826576,6386240,8890512
45,279060841440,279067236608,6395168,6359344
46,279067250784,279074343664,7092880,7559744
47,279074382096,279089603600,15221504,6033424
48,279089618352,279099494112,9875760,6072656
49,279099518224,279112006112,12487888,7901392
50,279112021152,279122889552,10868400,6867088
51,279122903712,279130248896,7345184,4357328
52,279130263408,279138808640,8545232,5765024
53,279138939504,279145842064,6902560,6503152
54,279145854512,279152914720,7060208,7508832
55,279152996752,279161816112,8819360,5780320
56,279161830688,279169683200,7852512,7113904
57,279169701584,279175040528,5338944,7927072
58,279175073968,279181805552,6731584,6565552
59,279181819776,279189308704,7488928,7559248
60,279189321872,279197817536,8495664,6496336
61,279197838688,279204597856,6759168,7643056
62,279204618256,279212711760,8093504,7331984
63,279212725520,279221638832,8913312,6513568
64,279221685456,279229204384,7518928,5132688
65,279229217488,279237763632,8546144,8026720
66,279237816800,279245259968,7443168,7549344
67,279245272912,279253903024,8630112,6545984
68,279253916208,279262235008,8318800,7789584
69,279262249664,279269748576,7498912,6060416
70,279269762192,279275881264,6119072,5063584
71,279275894848,279284907984,9013136,6246848
72,279284958448,279293457328,8498880,4753296
73,279293476784,279301003312,7526528,6903104
74,279301038224,279309792896,8754672,8213952
75,279309812992,279316853312,7040320,6938112
76,279316865984,279322916896,6050912,5383264
77,279322962016,279330163744,7201728,6525840
78,279330201440,279335917040,5715600,7728928
79,279335947616,279343820144,7872528,6390496
80,279343834656,279353034096,9199440,5902560
