========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:     793
Lost (no echo):     1228 (61.400%)
Elapsed:           11.103 s
RTL (us):
  Mean: 7604.072    Std dev: 1179.852
  Min:  5163.040    Max:     17427.296
  P50:  7513.584    P95:     9567.568
  P99:  10752.864    P99.9:   17427.296
IAJ (us):
  Mean: 6533.861    Std dev: 958.945
  Min:  4192.464    Max:     9006.000
  P50:  6514.256    P95:     8304.128
  P99:  8917.712    P99.9:   9006.000
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,407959615584,407967467968,7852384,8538832
1,407967745888,407977006800,9260912,8488112
2,407977152352,407986494912,9342560,6989744
3,407986568304,407994484656,7916352,6221264
4,407994540576,408001705920,7165344,7756864
5,408001719984,408010462784,8742800,6504096
6,408010476496,408017966880,7490384,7604912
7,408018060976,408026571792,8510816,6036352
8,408026584416,408033608144,7023728,7275952
9,408033620992,408041884096,8263104,4360528
10,408041897312,408047244624,5347312,6174480
11,408047266080,408054419104,7153024,5852096
12,408054432624,408061271200,6838576,5707216
13,408061285776,408067978416,6692640,8129088
14,408067991248,408077107504,9116256,4468432
15,408077120272,408082575936,5455664,6017184
16,408082616688,408089593120,6976432,4781952
17,408089605840,408095375072,5769232,6220912
18,408095387440,408102595984,7208544,5688912
19,408102608944,408109284896,6675952,7867280
20,408109297712,408118152176,8854464,6593136
21,408118165568,408125745312,7579744,7327280
22,408125825008,408134072592,8247584,6956352
23,408134132160,408142028944,7896784,7534176
24,408142042864,408150563120,8520256,7168128
25,408150576464,408158731248,8154784,6814896
26,408158745024,408166546144,7801120,5901792
27,408166584320,408173447936,6863616,4833520
28,408173463632,408179281456,5817824,6663888
29,408179294320,408186945344,7651024,6034624
30,408186989360,408193979968,6990608,5884416
31,408193992656,408200864384,6871728,5113616
32,408200883472,408206978000,6094528,5896048
33,408206990768,408213874048,6883280,4844544
34,408213886656,408219718592,5831936,7176160
35,408219731296,408227894752,8163456,6403744
36,408227933776,408235298496,7364720,6183360
37,408235311904,408242481856,7169952,7339952
38,408242540112,408250821808,8281696,5329152
39,408250834208,408257150960,6316752,7086256
40,408257170096,408265237216,8067120,6829232
41,408265249728,408273066448,7816720,7517392
42,408273088848,408281583840,8494992,4894560
43,408281596912,408287478400,5881488,5853120
44,408287490832,408294331520,6840688,6025408
45,408294343664,408301356928,7013264,7515936
46,408301369456,408309872864,8503408,4419696
47,408309893248,408315292560,5399312,6716720
48,408315305136,408323009280,7704144,7166688
49,408323021712,408333774576,10752864,7378128
50,408333831360,408341941264,8109904,5936896
51,408341960528,408350319392,8358864,5353088
52,408350332528,408357256288,6923760,8403200
53,408357269488,408363609376,6339888,5074496
54,408363621648,408373012576,9390928,5270208
55,408373025072,408379087072,6062000,7544576
56,408379099408,408385357280,6257872,6064192
57,408385369984,408393901856,8531872,7761984
58,408394007280,408400966048,6958768,6389264
59,408400987200,408409728032,8740832,7059568
60,408409743008,408417117296,7374288,7195584
61,408417130816,408425176864,8046048,5585056
62,408425224144,408433372448,8148304,6493872
63,408433385376,408439957504,6572128,5423936
64,408439972592,408447451376,7478784,6466384
65,408447464464,408453875312,6410848,7134608
66,408453888352,408461341696,7453344,4892480
67,408461355792,408469476304,8120512,6731488
68,408469488528,408475368784,5880256,7055360
69,408475381296,408483100272,7718976,6213360
70,408483112992,408491155632,8042640,6527104
71,408491167968,408498368992,7201024,6001824
72,408498383536,408505896096,7512560,5947360
73,408505908800,408512897920,6989120,6327328
74,408513020912,408519845280,6824368,6312928
75,408519858144,408527172608,7314464,6364512
76,408527185424,408534485536,7300112,8193264
77,408534537904,408541850048,7312144,5360208
78,408541865376,408551043312,9177936,9006000
79,408551056128,408561065008,10008880,5603056
80,408561078000,408567425216,6347216,6482480
81,408567445280,408577431216,9985936,6039600
82,408577444880,408584034272,6589392,5177008
83,408584046768,408594606768,10560000,5975568
84,408594627728,408602089248,7461520,6740640
85,408602102048,408609128848,7026800,8045904
86,408609141744,408615305856,6164112,7353168
87,408615318768,408622281424,6962656,6270400
88,408622315840,408630022064,7706224,6939248
89,408630034736,408639067968,9033232,6982752
90,408639081504,408647421136,8339632,5931648
91,408647433728,408654691536,7257808,4192464
92,408654703776,408662630784,7927008,5981280
93,408662692192,408670613536,7921344,6314880
94,408670626432,408677545184,6918752,7398528
95,408677574608,408682737648,5163040,6911792
96,408682750176,408689718928,6968752,5554560
97,408689737472,408697033808,7296336,8578576
98,408697094672,408705432336,8337664,6459808
99,408705445200,408713344128,7898928,7308368
100,408713363888,408719898688,6534800,7049344
101,408719960960,408729477264,9516304,5108816
102,408729489472,408736937072,7447600,5690448
103,408736949632,408745245440,8295808,6514384
104,408745267360,408753294784,8027424,4813056
105,408753307744,408759403600,6095856,7167664
106,408759415872,408766094048,6678176,8779504
107,408766106240,408773608432,7502192,7328976
108,408773620784,408779421488,5800704,7474000
109,408779434688,408787589152,8154464,6693328
110,408787601328,408797368656,9767328,7779072
111,408797401056,408805697632,8296576,5708800
112,408805710480,408814171632,8461152,5135552
113,408814185152,408821864960,7679808,5348704
114,408821877424,408830644032,8766608,6232656
115,408830656848,408837352832,6695984,5811200
116,408837365296,408843488384,6123088,6827920
117,408843549136,408849837088,6287952,6704288
118,408849849696,408857069744,7220048,7071792
119,408857082160,408869061568,11979408,6913312
120,408869081552,408875872768,6791216,8766080
121,408875885376,408883700688,7815312,6908912
122,408883715232,408891404976,7689744,7185440
123,408891417328,408899476768,8059440,5134544
124,408899489520,408907390080,7900560,7006384
125,408907402256,408917156160,9753904,6103616
126,408917168880,408925065072,7896192,6838224
127,408925084624,408933250512,8165888,7160048
128,408933263264,408939385056,6121792,6732000
129,408939411792,408947391440,7979648,5481344
130,408947410336,408954495056,7084720,8330576
131,408954593488,408965622384,11028896,7828320
132,408965642528,408973460608,7818080,5907696
133,408973472848,408981620656,8147808,8521056
134,408981702176,408989352656,7650480,7188352
135,408989364992,408995834000,6469008,7659232
136,408995848736,409005164576,9315840,8890752
137,409005178288,409013992896,8814608,5063520
138,409014012672,409020900592,6887920,5920224
139,409020914304,409030421648,9507344,7798048
140,409030434112,409038610000,8175888,5666592
141,409038623536,409047269232,8645696,7516128
142,409047288592,409057159984,9871392,6622336
143,409057179392,409063223504,6044112,7007952
144,409063241776,409070143728,6901952,6519376
145,409070156464,409078941776,8785312,5293120
146,409078956080,409085608368,6652288,8917712
147,409085621120,409094124496,8503376,6648416
148,409094138224,409101746832,7608608,6740144
149,409101759600,409109754784,7995184,5616096
150,409109828960,409117274160,7445200,6682384
151,409117288432,409123567280,6278848,7532368
152,409123586672,409133484992,9898320,8170704
153,409133565728,409141133408,7567680,8264112
154,409141145968,409148873552,7727584,6474144
155,409148886224,409155489648,6603424,6202720
156,409155558752,409163172032,7613280,7069312
157,409163198816,409171704400,8505584,5370560
158,409171727040,409180875104,9148064,6324064
159,409180887376,409190139216,9251840,6696544
160,409190151904,409197613360,7461456,6128304
161,409197625728,409204816080,7190352,6348336
162,409204850416,409212885392,8034976,5265520
163,409212897904,409219255952,6358048,6392880
164,409219268064,409226580016,7311952,5994048
165,409226592544,409234276560,7684016,6873616
166,409234289840,409241404864,7115024,4934016
167,409241418704,409248753200,7334496,6830144
168,409248855328,409255018720,6163392,7564976
169,409255030784,409262411600,7380816,6834768
170,409262424080,409269405648,6981568,8555264
171,409269419248,409277279264,7860016,5364528
172,409277291648,409283213280,5921632,7511216
173,409283273456,409291043424,7769968,7819024
174,409291078880,409299608400,8529520,7051168
175,409299620784,409307443168,7822384,6949424
176,409307477744,409316998432,9520688,7220960
177,409317010976,409323362960,6351984,7139824
178,409323376672,409331874176,8497504,5896816
179,409331887760,409342072512,10184752,6949696
180,409342085616,409350891536,8805920,7638032
