========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       23 (1.150%)
Elapsed:           14.449 s
RTL (us):
  Mean: 7191.454    Std dev: 1175.205
  Min:  4133.040    Max:     18839.120
  P50:  7110.096    P95:     9082.208
  P99:  10074.224    P99.9:   17563.472
IAJ (us):
  Mean: 6168.740    Std dev: 1026.540
  Min:  3152.240    Max:     8993.856
  P50:  6125.968    P95:     8006.592
  P99:  8592.096    P99.9:   8990.032
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,536997567376,537003925952,6358576,8148928
1,537004873808,537013074880,8201072,5644912
2,537013247504,537019719792,6472288,4711008
3,537019733120,537025430800,5697680,5315936
4,537025443648,537031746736,6303088,6632688
5,537031759328,537039379424,7620096,6686656
6,537039393360,537047066080,7672720,5556160
7,537047079056,537053622240,6543184,6775136
8,537053635408,537061397376,7761968,6503184
9,537061409888,537068900560,7490672,5744000
10,537068957552,537075644560,6687008,5075232
11,537075694256,537081719792,6025536,6295280
12,537081732432,537089015072,7282640,7284768
13,537089027808,537097299840,8272032,5277536
14,537097363312,537103577376,6214064,6155200
15,537103591616,537110732576,7140960,5998448
16,537110745344,537117731024,6985680,7145744
17,537117746944,537125876768,8129824,4577696
18,537125898176,537131454464,5556288,6257072
19,537131467232,537138711536,7244304,5717568
20,537138724736,537145429104,6704368,6963072
21,537145442352,537153392176,7949824,5189824
22,537153411936,537159582000,6170064,6908624
23,537159594688,537167490624,7895936,5767824
24,537167503264,537174258448,6755184,7093616
25,537174286432,537182352064,8065632,6826320
26,537182365152,537190178384,7813232,6504768
27,537190191088,537197683152,7492064,4647584
28,537197696768,537203330736,5633968,7132112
29,537203343840,537211462848,8119008,5701104
30,537211484256,537218163952,6679696,4417472
31,537218176640,537223581424,5404784,5917248
32,537223642704,537230498672,6855968,5980448
33,537230582400,537237479120,6896720,7009920
34,537237502816,537245489040,7986224,6979136
35,537245502368,537253468176,7965808,5005744
36,537253481248,537259473920,5992672,6700816
37,537259548400,537267174736,7626336,5958800
38,537267188000,537274133536,6945536,6714528
39,537274146112,537281848064,7701952,6131824
40,537281868848,537288979888,7111040,5632816
41,537289009760,537295612704,6602944,6893840
42,537295687024,537303506544,7819520,7262016
43,537303559808,537311768560,8208752,8687264
44,537311781856,537321455824,9673968,8990032
45,537321513744,537331445856,9932112,5422560
46,537331458544,537337868416,6409872,6188384
47,537337882240,537345056800,7174560,5592432
48,537345069280,537351649232,6579952,8223520
49,537351683440,537360872752,9189312,5366656
50,537360885520,537367239408,6353888,5116512
51,537367253024,537377378768,10125744,5348256
52,537377434064,537383495280,6061216,5177888
53,537383548432,537389843536,6295104,7679360
54,537389856384,537396021424,6165040,7665600
55,537396035024,537404700784,8665760,5286704
56,537404713664,537413366384,8652720,5968880
57,537413378736,537419653088,6274352,6652016
58,537419742384,537426621968,6879584,7400384
59,537426638656,537434273984,7635328,6161216
60,537434290352,537442674368,8384016,6716496
61,537442687552,537449835584,7148032,5039664
62,537449870960,537457552080,7681120,6167584
63,537457569136,537463591744,6022608,8000384
64,537463605760,537470759328,7153568,6478656
65,537470836064,537479759712,8923648,6192752
66,537479830640,537487238368,7407728,7348016
67,537487253280,537494431120,7177840,6481792
68,537494443712,537502779136,8335424,6360448
69,537502841280,537510260928,7419648,6114240
70,537510273696,537517621376,7347680,6106720
71,537517634272,537524735616,7101344,5583456
72,537524748000,537531842336,7094336,7380624
73,537531855952,537538425792,6569840,5638352
74,537538438656,537546806416,8367760,6313328
75,537546822176,537553444768,6622592,5988704
76,537553457808,537560758096,7300288,8453408
77,537560787920,537567746800,6958880,4974832
78,537567761760,537577200208,9438448,6168416
79,537577256128,537583175040,5918912,6498784
80,537583187728,537590343456,7155728,6484800
81,537590356240,537597842240,7486000,5846160
82,537597928688,537605327040,7398352,7745088
83,537605339776,537612173200,6833424,6097840
84,537612696768,537620918288,8221520,8344592
85,537620931424,537628016128,7084704,7087680
86,537628029088,537637360720,9331632,5176240
87,537637374224,537645448400,8074176,6006528
88,537645461024,537651624640,6163616,6526624
89,537651637392,537658631168,6993776,5806416
90,537658669472,537666157792,7488320,7313968
91,537666170272,537672964208,6793936,4788240
92,537672996640,537681278176,8281536,5782672
93,537681291184,537687066416,5775232,5004832
94,537687079312,537693849088,6769776,8470720
95,537693861424,537699853920,5992496,6635904
96,537699870304,537709324640,9454336,8091968
97,537709337424,537716960544,7623120,7714816
98,537716981216,537726052512,9071296,5554688
99,537726065728,537734767328,8701600,7376496
100,537734832112,537741322016,6489904,6805648
101,537741335072,537749698512,8363440,6187472
102,537749712368,537757504160,7791792,7895744
103,537757568144,537764691632,7123488,5004896
104,537764714912,537773587376,8872464,5444608
105,537773600624,537779592272,5991648,4855904
106,537779613600,537786036880,6423280,8637168
107,537786070048,537791892784,5822736,7625888
108,537791906368,537801529952,9623584,6504400
109,537801556288,537810155840,8599552,5035168
110,537810169440,537817660240,7490800,5756304
111,537817674272,537823695408,6021136,7963984
112,537823735616,537830451712,6716096,6851168
113,537830472944,537839415696,8942752,6880512
114,537839430272,537847266864,7836592,5684672
115,537847279456,537855147376,7867920,4856800
116,537855160288,537861832048,6671760,6188944
117,537861845104,537867688848,5843744,7390208
118,537867710256,537874877792,7167536,7698624
119,537874891104,537883268000,8376896,8215376
120,537883280720,537891966624,8685904,7646128
121,537891987040,537901182000,9194960,4892880
122,537901194768,537909828128,8633360,8178912
123,537909842432,537915721008,5878576,7249264
124,537915776288,537924899920,9123632,5688400
125,537924914416,537933149184,8234768,6865456
126,537933162272,537939837584,6675312,8396944
127,537939850912,537947703040,7852128,7270784
128,537947718240,537957099984,9381744,4987440
129,537957112976,537965370768,8257792,6124304
130,537965384384,537971358208,5973824,7064368
131,537971376160,537978482512,7106352,5875664
132,537978495040,537986546880,8051840,5184656
133,537986581072,537993422544,6841472,6580304
134,537993435648,537999607200,6171552,5981792
135,537999619872,538007187504,7567632,5970528
136,538007200736,538014169296,6968560,7163888
137,538014190368,538021139824,6949456,5377520
138,538021152688,538029303712,8151024,7264848
139,538029361712,538035681232,6319520,6177360
140,538035693952,538043946080,8252128,7697536
141,538044039632,538051123440,7083808,6523968
142,538051137120,538059820976,8683856,6721968
143,538059835936,538067344944,7509008,6289056
144,538067385360,538075066912,7681552,7004448
145,538075116384,538082355968,7239584,5897904
146,538082377504,538090360416,7982912,5396592
147,538090373200,538097258320,6885120,6458752
148,538097319152,538103654912,6335760,8720560
149,538103683680,538111113664,7429984,7262608
150,538111127968,538120834224,9706256,7649264
151,538120855632,538129096832,8241200,5036704
152,538129117184,538137746096,8628912,6711456
153,538137793024,538143782800,5989776,6182352
154,538143855232,538151494256,7639024,7279696
155,538151541056,538158676608,7135552,5712912
156,538158691280,538166956304,8265024,6005728
157,538166975456,538173669216,6693760,5139200
158,538173682304,538180674944,6992640,6045856
159,538180690224,538186814144,6123920,5781056
160,538186834576,538193860000,7025424,7169728
161,538193880464,538200641056,6760592,5608352
162,538200681184,538208810784,8129600,6236816
163,538208846816,538215419136,6572320,5940288
