========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):        6 (0.300%)
Elapsed:           11.939 s
RTL (us):
  Mean: 5944.706    Std dev: 969.253
  Min:  3098.304    Max:     15502.992
  P50:  5807.856    P95:     7608.032
  P99:  8528.576    P99.9:   15300.912
IAJ (us):
  Mean: 4946.575    Std dev: 882.443
  Min:  2113.808    Max:     8798.752
  P50:  4820.800    P95:     6617.600
  P99:  7369.296    P99.9:   8683.664
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,708831478768,708837200848,5722080,5520464
1,708837375744,708843721312,6345568,4137152
2,708843854224,708848858464,5004240,4529680
3,708848872096,708854388144,5516048,7369296
4,708854402448,708862757440,8354992,4252544
5,708862810560,708868009984,5199424,4715328
6,708868026128,708873725312,5699184,4858784
7,708873746080,708879584096,5838016,4130240
8,708879596576,708884714336,5117760,7785184
9,708884738128,708893499520,8761392,4517808
10,708893549392,708899017328,5467936,4933664
11,708899030672,708904950992,5920320,4546704
12,708905010736,708910497696,5486960,5386304
13,708910574880,708916884000,6309120,4843296
14,708916896464,708922727296,5830832,5242304
15,708922741600,708928969600,6228000,5067184
16,708928982320,708935036784,6054464,5451648
17,708935066112,708941488432,6422320,5382176
18,708941500864,708947870608,6369744,5297136
19,708947883760,708954167744,6283984,6677408
20,708954181344,708961845152,7663808,4222112
21,708961859104,708967067264,5208160,6494160
22,708967125584,708974561424,7435840,5694976
23,708974575024,708981256400,6681376,7433456
24,708981269504,708989689856,8420352,5359040
25,708989703312,708996048896,6345584,6617776
26,708996062752,709003666672,7603920,5160128
27,709003682096,709009826800,6144704,4329616
28,709009847328,709015156416,5309088,5848896
29,709015168656,709022005312,6836656,3535008
30,709022017840,709026540320,4522480,5177152
31,709026634256,709032717472,6083216,4759648
32,709032729648,709038477120,5747472,6044080
33,709038489680,709050845184,12355504,4085072
34,709050899904,709057889264,6989360,4122016
35,709057902096,709062974336,5072240,5704320
36,709062987712,709078288624,15300912,4747888
37,709078319232,709083410640,5091408,6073152
38,709083423568,709090114960,6691392,5746592
39,709090128192,709095862848,5734656,4457184
40,709095875440,709102936000,7060560,3714928
41,709102950048,709109682592,6732544,4962896
42,709109695136,709115139776,5444640,4020624
43,709115155360,709119854704,4699344,3889760
44,709119867808,709125817600,5949792,5957008
45,709125854848,709130838224,4983376,5211056
46,709130858864,709135727984,4869120,4358960
47,709135740640,709142684992,6944352,6588368
48,709142706080,709148896048,6189968,6020224
49,709148909920,709154255008,5345088,4192736
50,709154268400,709161843376,7574976,4640752
51,709161866080,709168863600,6997520,6327728
52,709168877296,709174056336,5179040,4870352
53,709174069632,709179697088,5627456,4663808
54,709179710432,709187024816,7314384,5512576
55,709187037616,709192895168,5857552,4273824
56,709192907968,709198558976,5651008,6720016
57,709198591616,709205071552,6479936,4770608
58,709205084240,709210345376,5261136,5584864
59,709210358560,709218065392,7706832,6697216
60,709218077696,709223836000,5758304,4379088
61,709223849808,709230420864,6571056,4971744
62,709230434096,709238118080,7683984,4791744
63,709238131680,709243497168,5365488,5377360
64,709243580128,709249468912,5888784,4357760
65,709249482688,709255260656,5777968,6368496
66,709255273888,709261638016,6364128,5824480
67,709261681392,709266995776,5314384,5551296
68,709267008832,709274364272,7355440,5626416
69,709274401088,709281188752,6787664,5731728
70,709281230400,709287740048,6509648,4795712
71,709287752768,709294366464,6613696,6813408
72,709294379424,709301098192,6718768,6051888
73,709301111136,709306893904,5782768,6247328
74,709306906240,709314707312,7801072,4974112
75,709314720256,709321759200,7038944,6006944
76,709321809984,709329006528,7196544,6467616
77,709329018672,709334980640,5961968,4851984
78,709334992896,709341987584,6994688,6507472
79,709342000080,709349455200,7455120,6219456
80,709349468160,709355307184,5839024,5833072
81,709355319696,709362814656,7494960,5360928
82,709362837008,709370034112,7197104,5051088
