========================================
net_sender_li (pinger) — Scenario 3 reversed
EB corbos Linux Network Determinism
Metric: Round-Trip Latency (RTL)
========================================
Target:       10.0.1.1:5000
Probes:       2000
Protocol:     UDP
Period:       1 ms
Msg size:     64 B
Flood rate:   0 Mbps
Echo timeout: 10 ms

net_sender_li: SCHED_FIFO OK (priority 90)
Sending HELLO to 10.0.1.1:5000 (protocol=UDP)...
HELLO_ACK received — protocol=UDP
Starting ping-echo loop (2000 probes at 1 ms period)...


========== NET SENDER_LI (PINGER) RESULTS ==========
Probes sent:        2000
Echoes received:    2000
Lost (no echo):       16 (0.800%)
Elapsed:           11.737 s
RTL (us):
  Mean: 5833.121    Std dev: 1079.873
  Min:  3557.312    Max:     21830.512
  P50:  5633.648    P95:     7242.928
  P99:  8957.200    P99.9:   13919.744
IAJ (us):
  Mean: 4810.124    Std dev: 881.846
  Min:  2575.072    Max:     8828.784
  P50:  4662.544    P95:     6198.064
  P99:  6823.696    P99.9:   8789.488
===CSV_START===
index,send_time_ns,recv_time_ns,rtl_ns,iaj_ns
0,381701447312,381706819568,5372256,3848304
1,381706993104,381711667872,4674768,5805472
2,381711846992,381718473344,6626352,3818736
3,381718488672,381723292080,4803408,3390160
4,381723307552,381727682240,4374688,4947232
5,381727696992,381733629472,5932480,4097808
6,381733644112,381738727280,5083168,4100256
7,381738768848,381743827536,5058688,5743152
8,381743843360,381750570688,6727328,5989472
9,381750612512,381757560160,6947648,4142096
10,381757576128,381762702256,5126128,6121776
11,381762717088,381769824032,7106944,4050688
12,381769839712,381774874720,5035008,7226800
13,381774890192,381783101520,8211328,6042656
14,381783116064,381790144176,7028112,3760768
15,381790160304,381794904944,4744640,3688976
16,381794922832,381799593920,4671088,5739216
17,381799611072,381806333136,6722064,3867760
18,381806349488,381811200896,4851408,5023792
19,381811242224,381817224688,5982464,6984640
20,381817241744,381825209328,7967584,4289408
21,381825233984,381830498736,5264752,5368208
22,381830514224,381836866944,6352720,5144480
23,381836885184,381843011424,6126240,5648848
24,381843061664,381849660272,6598608,4813360
25,381849676176,381855473632,5797456,6396880
26,381855505664,381862870512,7364848,3726096
27,381862911936,381867596608,4684672,5046112
28,381867611936,381873642720,6030784,4071680
29,381873659264,381878714400,5055136,3703264
30,381878755600,381883417664,4662064,6138432
31,381883438080,381890556096,7118016,3843728
32,381890572560,381895399824,4827264,6622096
33,381895673552,381903021920,7348368,3899456
34,381903036896,381907921376,4884480,6713856
35,381907938112,381915635232,7697120,6093088
36,381915650464,381922728320,7077856,4120832
37,381922745456,381927849152,5103696,5635968
38,381927864048,381934485120,6621072,4417904
39,381934500752,381939903024,5402272,5619200
40,381939919120,381946522224,6603104,3774912
41,381946536720,381951297136,4760416,3541792
42,381951311600,381955838928,4527328,5169760
43,381955853472,381962008688,6155216,3645840
44,381962082944,381966654528,4571584,3494832
45,381966673792,381971149360,4475568,5502096
46,381971167088,381977651456,6484368,3779792
47,381977666880,381982431248,4764368,3374608
48,381982447216,381986805856,4358640,3768944
49,381986823392,381991574800,4751408,4996144
50,381991631008,381997570944,5939936,4045904
51,381997585104,382002616848,5031744,3536080
52,382002631168,382007152928,4521760,3424336
53,382007167552,382011577264,4409712,5599616
54,382011629776,382018176880,6547104,3668624
55,382018192064,382022845504,4653440,3638768
56,382022861120,382027484272,4623152,5736016
57,382027499904,382034220288,6720384,4140992
58,382034234496,382039361280,5126784,3313392
59,382039377392,382043674672,4297280,5335840
60,382043689600,382050010512,6320912,3745552
61,382050027440,382054756064,4728624,3393152
62,382054770512,382059149216,4378704,5264272
63,382059164672,382065413488,6248816,4226064
64,382065427472,382070639552,5212080,5618320
65,382070654064,382077257872,6603808,4449568
66,382077272672,382082707440,5434768,3730576
67,382082744944,382087438016,4693072,6089072
68,382087452816,382094527088,7074272,3465120
69,382094541904,382098992208,4450304,3610112
70,382099007120,382103602320,4595200,5334128
71,382103617136,382109936448,6319312,3711536
72,382109950848,382114647984,4697136,3802736
73,382114663312,382119450720,4787408,5326224
74,382119465280,382125776944,6311664,3950992
75,382125792720,382130727936,4935216,3483696
76,382130742592,382135211632,4469040,5450800
77,382135227040,382141662432,6435392,4162944
78,382141677248,382146825376,5148128,3763824
79,382146840800,382151589200,4748400,5794976
80,382151603968,382158384176,6780208,3752240
81,382158399008,382163136416,4737408,3435744
82,382163151888,382167572160,4420272,5350976
83,382167610896,382173923136,6312240,3779168
84,382173937136,382178702304,4765168,3627088
85,382178726496,382183329392,4602896,3627264
86,382183344336,382187956656,4612320,4815696
87,382187970896,382193772352,5801456,3797008
88,382193788576,382198569360,4780784,6322000
89,382198609504,382205891360,7281856,3441600
90,382205907920,382210332960,4425040,3851824
91,382210347216,382215184784,4837568,3668816
92,382215212000,382219853600,4641600,4624128
93,382219868064,382225477728,5609664,4187280
94,382225492256,382230665008,5172752,3846240
95,382230680016,382235511248,4831232,5050560
96,382235525296,382241561808,6036512,4058752
97,382241577376,382246620560,5043184,3424960
98,382246634848,382251045520,4410672,3629120
99,382251060752,382255674640,4613888,5340176
100,382255707808,382262014816,6307008,4174240
101,382262029440,382267189056,5159616,3618352
102,382267223040,382271807408,4584368,4786528
103,382271861264,382277593936,5732672,4048480
104,382277608992,382282642416,5033424,3571072
105,382282657408,382287213488,4556080,5176576
106,382287228592,382293390064,6161472,3966448
107,382293405296,382298356512,4951216,3500784
108,382298370880,382302857296,4486416,3501248
109,382302871696,382307358544,4486848,4696480
110,382307373472,382313055024,5681552,4393264
111,382313070064,382318448288,5378224,3400752
112,382318463024,382322849040,4386016,5159152
113,382322863392,382329008192,6144800,4389776
114,382329023312,382334397968,5374656,3480256
115,382334452048,382338878224,4426176,3577808
116,382338892640,382343456032,4563392,5231152
117,382343472720,382349687184,6214464,4177776
118,382349702224,382354864960,5162736,3669824
119,382354879136,382359534784,4655648,5851584
120,382359550496,382366386368,6835872,3441328
121,382366400992,382370827696,4426704,3149616
122,382370862928,382374977312,4114384,3848224
123,382374994400,382379825536,4831136,5542080
124,382379841264,382386367616,6526352,3716256
125,382386383696,382391083872,4700176,3864400
126,382391128720,382395948272,4819552,5926384
127,382395964496,382402874656,6910160,3765568
128,382402889584,382407640224,4750640,5007248
129,382407697232,382413647472,5950240,4297424
130,382413661888,382418944896,5283008,3874272
131,382418959936,382423819168,4859232,5211216
132,382423835856,382430030384,6194528,3793616
133,382430045968,382434824000,4778032,5994112
134,382434840528,382441818112,6977584,3858064
135,382441833312,382446676176,4842864,3625008
136,382446694160,382451301184,4607024,5607488
137,382451317712,382457908672,6590960,3990160
138,382457923616,382462898832,4975216,5055232
139,382462916032,382468954064,6038032,4668624
140,382468969824,382474622688,5652864,3754016
141,382474638144,382479376704,4738560,3452400
142,382479391152,382483829104,4437952,4935152
143,382483844592,382489764256,5919664,3849056
144,382489780432,382494613312,4832880,3396192
145,382494628112,382499009504,4381392,5641680
146,382499026736,382505651184,6624448,4218720
147,382505665152,382510869904,5204752,3576512
148,382510885904,382515446416,4560512,5102272
149,382515461360,382521548688,6087328,4238864
150,382521563904,382526787552,5223648,3937056
151,382526803360,382531724608,4921248,6055952
152,382531740400,382538780560,7040160,3910176
153,382538796000,382543690736,4894736,5438656
154,382543705872,382550129392,6423520,3691904
155,382550177856,382554821296,4643440,3905216
156,382554869424,382559726512,4857088,5754480
157,382559742432,382566480992,6738560,3985904
158,382566496864,382571466896,4970032,3448096
159,382571483024,382575914992,4431968,4685936
160,382575930384,382581600928,5670544,4216048
161,382581615408,382586816976,5201568,3390224
162,382586831312,382591207200,4375888,5561392
163,382591319968,382597768592,6448624,3982736
164,382597784288,382602751328,4967040,3365328
165,382602766624,382607116656,4350032,3435600
166,382607131616,382611552256,4420640,5241936
167,382611570880,382617794192,6223312,3929712
168,382617809936,382622723904,4913968,5854608
169,382622740384,382629578512,6838128,4290192
170,382629593312,382634868704,5275392,4086800
171,382634885536,382639955504,5069968,6128240
172,382639982240,382647083744,7101504,5918112
173,382647100304,382654001856,6901552,8828784
174,382654018416,382667938160,13919744,4065824
175,382668006480,382677766944,9760464,3670336
176,382677783104,382682832768,5049664,5002352
177,382682847840,382687503104,4655264,4166304
178,382687517696,382693505456,5987760,4061424
179,382693519552,382698671760,5152208,5395552
180,382698710592,382703733184,5022592,4628368
181,382703747920,382710128736,6380816,4773040
182,382710174384,382715757104,5582720,4110912
183,382715772528,382721530144,5757616,3847600
184,382721544368,382726641056,5096688,5924240
185,382726655936,382731488656,4832720,3922880
186,382731543712,382738412896,6869184,5883792
187,382738472224,382743335776,4863552,3549520
188,382743350864,382750219568,6868704,3989680
189,382750233808,382754769088,4535280,5158432
190,382754818976,382759758768,4939792,3503952
191,382759773024,382765917200,6144176,3314256
192,382765932384,382770421152,4488768,4521360
193,382770435392,382774735408,4300016,5836656
194,382774752144,382785725648,10973504,4586848
195,382785740672,382791247008,5506336,4915424
196,382791324000,382798083664,6759664,4177648
197,382798140608,382803670512,5529904,6040368
198,382803688608,382809585936,5897328,3862016
199,382809600640,382814763584,5162944,3963024
200,382814778944,382821803952,7025008,5245792
201,382821819264,382826665968,4846704,4157792
202,382826681504,382831628992,4947488,5581936
203,382831643680,382837874784,6231104,4050800
204,382837889072,382843032576,5143504,4298352
205,382843046720,382849614512,6567792,5351904
206,382849629152,382854665312,5036160,4547456
207,382854681008,382859963664,5282656,5840784
208,382859979632,382866315568,6335936,5276224
209,382866332432,382871863024,5530592,4933696
210,382871880048,382878703808,6823760,3920096
211,382878724288,382884980032,6255744,5612432
212,382885030112,382890913728,5883616,4433136
213,382890929344,382895833824,4904480,5279968
214,382895850032,382902446256,6596224,3902016
215,382902463168,382907879392,5416224,5432032
216,382907895984,382914159360,6263376,4220224
217,382914174864,382919061376,4886512,4413312
218,382919077648,382925493408,6415760,5654304
219,382925508896,382930713632,5204736,6032432
220,382930731008,382936126944,5395936,5200656
221,382937042256,382942781248,5738992,5609264
222,382942797152,382949813680,7016528,4416864
223,382949875840,382956014336,6138496,5652768
224,382956036272,382962623600,6587328,5259968
225,382962639744,382968040464,5400720,4874144
226,382968057264,382974693232,6635968,4099344
227,382974720432,382980953200,6232768,5546048
228,382981000336,382986827344,5827008,4521520
229,382986846752,382991926688,5079936,5146256
230,382991942848,382998472736,6529888,6689008
231,382998489632,383003994256,5504624,4292256
232,383004021200,383010140512,6119312,5382112
233,383010156528,383017829520,7672992,4230624
234,383017863296,383023121776,5258480,4284240
235,383023139216,383029503888,6364672,5844832
236,383029520624,383034734512,5213888,5900752
237,383034750320,383040018752,5268432,4167328
238,383040035504,383046863584,6828080,6406432
239,383046880256,383053764336,6884080,6169024
240,383053780816,383058931664,5150848,4322928
241,383058948400,383066338096,7389696,5317776
242,383066355120,383073507120,7152000,4592000
243,383073522640,383078830048,5307408,4123216
244,383078857376,383085147824,6290448,5842304
245,383085164480,383090739824,5575344,4033296
246,383090755744,383095863040,5107296,5390912
247,383095881392,383102705344,6823952,3909520
248,383102722752,383107738640,5015888,5485824
249,383107755168,383114129552,6374384,4509360
250,383114147344,383119039072,4891728,6090048
251,383119055024,383125524896,6469872,4493712
252,383125541056,383131034256,5493200,5139648
253,383131053328,383138124304,7070976,4778448
254,383138153840,383143618016,5464176,5045408
255,383143633856,383149757664,6123808,4292240
256,383149774368,383155536112,5761744,3960320
257,383155585056,383161581520,5996464,5231728
258,383161597792,383166873760,5275968,4576576
259,383166888816,383171834080,4945264,4844880
260,383171858704,383178065808,6207104,4536000
261,383178081440,383183642384,5560944,5817104
